Verkiezing;;Gemeenteraad Aa en Hunze 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Aa en Hunze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Gieten;OBS Gieten;Zorgcentrum Dekelhem;Ontmoetingscentrum Boerhorn Rolde;Dropshuis de Eekhof;Het Markehuis Grolloo;Dorpshuis de Trefkoel Gasselte;MFC de Spil Gasselternijveen;Dorpshuis Gasselternijveenschemond;Dorpshuis Ous Hoes Gieterveen;Dorpshuis de Kiep Eexterveenschekanaal;MFC de Badde;Gemeenschapshuis de Spiker Nieuw Annerveen;Dorpscentrum 't Achterhoes Eexterveen;Dorpshuis Annen 1;Dorpshuis Schipborg;Cafe/Restaurant Eext;Dorpshuis de Gasterij Gasteren;Gemeenschap Oes Stee Anderen;Dorpshuis Anloo;Dorpshuis Annen 2;Cafe Hofsteenge Rolde;Gemeentehuis Gieten;Gemeentehuis Gieten;Onmoetingscentrum de Boerhoorn Rolde;MFC de Spil Gasselternijveen;Dorpshuis Annen
Gebiednummer;;;;;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;41;51;52;53;54
Postcode;;;;;9461 BH;9461 DA;9461 JA;9451 KD;9454 PL;9444 XE;9462 RH;9514 CA;9515 PE;9511 PM;9659 PL;9654 PP;9657 PD;9658 PH;9468 BJ;9469 PE;9463 PC;9466 PL;9465 TS;9467 PH;9468 BJ;9451 BA;9461 BH;9461 BH;9451 KD;9514 CA;9468 BJ
;opgeroepenen;;;22661;2780;1396;1409;2209;477;921;1566;1517;552;807;428;330;321;503;1418;521;1192;373;222;320;1500;1899;0;0;0;0;0
;geldige stempas;;;11673;700;518;516;1335;298;512;774;541;239;378;140;197;166;271;712;344;632;223;150;216;639;541;301;492;381;157;300
;geldig volmachtbewijs;;;1363;90;44;54;166;51;86;98;55;34;47;20;19;17;31;88;32;81;27;10;20;75;68;32;39;29;21;29
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;13036;790;562;570;1501;349;598;872;596;273;425;160;216;183;302;800;376;713;250;160;236;714;609;333;531;410;178;329
;geldige stembiljetten;;;12970;784;562;566;1495;347;597;867;589;269;420;157;216;183;301;797;374;710;249;159;236;710;605;333;526;410;178;330
;blanco stembiljetten;;;44;3;0;2;4;2;1;3;3;3;4;2;0;0;1;1;2;2;1;0;0;2;3;0;5;0;0;0
;ongeldige stembiljetten;;;23;3;0;2;2;0;0;2;4;1;1;1;0;0;0;2;0;1;0;1;1;0;1;0;1;0;0;0
