Verkiezing;;Gemeenteraad Assen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Assen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau De Nieuwe Kolk;Stembureau City Life Church;Stembureau WPDA;Stembureau de Spreng I;Stembureau de Spreng II;Stembureau Buurthuis de Zonnereep;Stembureau De Schulp;Stembureau Sportpark Asser Boys;Stembureau Provinciehuis Drenthe;Stembureau Het Schakelveld;Stembureau Stadsbroekhal;Stembureau De Dissel;Stembureau Korfbal- en tennisvereniging AVO;Stembureau Pand 17;Stembureau Sportcomplex Marsdiek;Stembureau De Opstandingskerk;Stembureau 't Markehuus I;Stembureau de Maasstee;Stembureau MFA Pittelo I;Stembureau MFA Pittelo II;Stembureau Sporthal De Timp;Stembureau De Componist;Stembureau Sporthal Olympus I;Stembureau Sporthal Olympus II;Stembureau 't Markehuus II;Stembureau Dr. Naussau College Penta;Stembureau MFA Kloosterveste I;Stembureau MFA Kloosterveste II;Stembureau IJsvereniging Kloosterveen;Stembureau Het Lichtpunt;Stembureau Molukse kerk Pniël;Stembureau Rode Kruisgebouw;Stembureau De Bron I;Stembureau De Bron II;Stembureau Stadhuis Dinsdag;Stembureau de Spreng Dinsdag;Stembureau Dissel Dinsdag;Stembureau Componist Dinsdag;Stembureau Stadhuis Maandag;Stembureau de Spreng Maandag;Stembureau Dissel Maandag;Stembureau Componist Maandag;Stembureau MFA Kloosterveste Dinsdag;Stembureau MFA Kloosterveste Maandag;Stembureau Rode Kruisgebouw maandag;Stembureau Rode Kruisgebouw dinsdag;Stembureau 't Markehuus maandag;Stembureau 't Markehuus dinsdag
;andere verklaring;;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;ChristenUnie;;;3991;102;89;74;14;46;47;57;73;78;111;79;35;210;91;90;60;164;164;78;56;48;109;126;17;23;121;10;136;119;49;224;29;55;37;36;119;51;141;70;111;49;119;66;108;97;24;45;56;78
;;1;Weening, B.J.;2009;60;35;38;3;22;22;22;38;48;60;43;20;99;47;42;30;72;66;50;34;22;64;59;9;10;53;5;63;56;26;104;15;28;21;23;73;29;72;36;66;22;66;46;45;47;13;26;24;35
;;2;Staal, C.J.;201;3;8;1;0;1;2;1;2;0;4;5;0;6;4;2;1;5;7;1;2;6;7;5;0;0;7;1;11;17;5;19;5;4;3;3;6;1;7;5;4;3;3;1;9;7;0;1;3;3
;;3;van der Mark-Leijssenaar, J.A.W.;736;18;15;17;6;5;8;11;12;18;31;14;5;41;13;13;12;41;26;10;3;6;16;27;4;6;24;3;27;14;7;20;7;13;4;7;22;16;28;11;26;12;16;9;21;29;4;9;16;13
;;4;Setz, J.N.;227;8;13;6;2;10;3;6;5;2;2;1;0;14;3;5;2;14;13;5;1;0;2;4;1;0;10;0;6;8;4;10;1;0;1;0;5;0;7;3;3;4;10;2;11;4;0;6;1;9
;;5;Medemblik, T.S.;90;1;1;3;0;1;1;2;3;1;2;2;0;2;2;0;0;2;6;1;1;3;4;0;1;2;1;0;6;3;1;18;0;0;0;0;1;0;1;0;0;2;1;1;8;3;0;0;2;1
;;6;Jongman, R.;24;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;1;1;1;1;0;0;0;1;1;0;4;1;0;0;0;0;0;2;0;0;0;0;0;3;0;0;1;0;1
;;7;van Luijk, S.C.;89;2;3;0;0;0;0;0;1;1;0;1;3;7;2;0;4;2;5;1;0;0;2;6;1;0;1;0;5;2;1;21;0;0;1;0;1;0;2;1;2;0;1;0;8;1;0;1;0;0
;;8;Holwerda, H.;96;0;2;0;0;0;2;0;1;1;1;1;0;18;7;10;8;7;2;1;1;0;0;2;0;0;2;0;3;0;0;1;0;1;0;0;0;1;9;2;2;0;7;2;0;0;0;0;1;1
;;9;van der Meer, D.;22;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;4;1;1;0;0;0;0;0;1;0;2;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
;;10;Verdouw, M.A.;173;2;3;5;0;0;3;5;4;2;5;3;0;9;9;4;2;7;13;2;3;2;8;5;0;2;9;0;6;4;3;10;0;1;1;1;5;3;5;4;3;1;3;0;2;0;3;0;3;8
;;11;Charmes, R.A.;64;1;3;3;2;1;1;0;1;0;1;0;0;3;1;6;1;7;1;2;6;1;0;1;0;0;1;0;0;2;0;2;0;0;0;0;0;0;3;1;0;1;4;3;0;2;2;0;0;1
;;12;Setz, C.J.;22;0;1;0;0;0;1;1;1;0;0;0;1;0;1;2;0;0;2;0;0;0;0;1;0;0;1;1;2;3;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
;;13;Potkamp, J.A.;73;1;3;0;1;5;2;7;1;3;2;2;6;0;0;1;0;0;2;2;0;1;3;3;0;3;2;0;0;1;0;0;0;4;1;2;1;0;1;2;3;1;2;0;0;1;2;0;1;1
;;14;Dekker, M.;41;0;0;0;0;0;0;0;0;0;0;2;0;4;0;1;0;1;3;0;0;2;0;5;0;0;2;0;1;4;0;8;0;0;0;0;3;0;0;0;0;0;0;0;1;2;0;0;0;2
;;15;Leeftink, L.E.;56;2;0;0;0;0;2;1;1;0;0;3;0;2;2;3;0;4;7;0;1;0;0;3;0;0;4;0;0;1;1;0;0;1;2;0;0;1;0;2;0;3;5;1;0;0;0;0;2;2
;;16;Holtman, J.K.;36;0;1;1;0;0;0;0;1;0;0;0;0;2;0;0;0;1;3;2;3;2;0;2;0;0;2;0;3;2;0;4;0;0;1;0;0;0;0;2;0;0;1;1;0;0;0;0;2;0
;;17;Otten, J.;32;2;0;0;0;0;0;1;1;2;1;1;0;2;0;1;0;1;1;0;0;2;2;2;0;0;1;0;0;0;0;1;0;2;2;0;0;0;4;1;0;0;0;0;0;1;0;0;1;0
2;Partij van de Arbeid (P.v.d.A.);;;2703;126;73;60;10;45;38;68;96;87;78;54;44;145;46;26;22;68;69;37;29;29;113;67;10;20;63;25;75;65;27;48;21;37;25;30;109;58;112;56;80;62;92;33;57;58;18;23;28;41
;;1;Vorselman-Derksen, C.H.W.J.;1582;78;49;34;8;27;16;28;50;34;39;32;26;69;28;15;10;46;43;24;17;17;63;45;7;9;42;14;51;37;14;30;13;19;16;20;63;34;62;34;57;34;49;23;40;36;13;16;21;30
;;2;Bouwmeester, W.;363;20;4;5;1;8;13;25;25;41;7;8;7;16;8;6;6;5;6;3;2;1;14;8;0;5;4;2;7;6;3;4;2;7;1;4;8;11;8;2;6;19;2;1;3;7;1;4;2;5
;;3;Omar, O.S.;98;6;5;3;0;2;0;1;4;2;3;0;0;3;0;2;0;2;4;1;2;5;4;3;0;0;2;2;3;4;0;5;0;3;1;1;3;3;3;3;2;0;5;1;0;2;0;2;0;1
;;4;Bakker, S.J.;44;2;2;0;0;0;2;0;1;0;0;2;1;2;0;0;0;0;1;0;0;1;5;0;0;0;0;2;0;1;1;0;0;0;1;0;0;1;1;4;2;1;5;3;0;1;0;0;1;1
;;5;van Halen, G.J.;102;3;3;1;0;1;0;0;0;0;0;4;0;19;1;0;1;5;6;1;1;0;1;1;1;0;2;1;3;1;2;1;0;1;1;1;4;0;18;1;0;1;13;0;1;0;1;0;1;0
;;6;Hilboezen, W.;28;0;1;0;0;0;1;2;1;3;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;1;1;2;4;1;0;0;2;0;0;0;0;0;1;0
;;7;Goettsch, R.S.;141;5;3;3;0;4;2;2;7;3;9;5;4;14;4;1;1;2;1;1;2;0;2;2;1;0;3;0;2;7;2;1;1;0;2;1;6;3;2;4;4;4;3;2;6;6;1;0;2;1
;;8;Eerland, G.J.;141;3;1;4;0;0;0;5;3;2;5;1;4;10;3;0;1;3;3;3;3;0;10;4;1;1;5;3;3;1;0;3;1;4;2;2;9;3;7;3;4;2;5;3;5;5;0;0;0;1
;;9;Gunnink-de Wal, J.;48;2;1;2;0;0;0;1;1;0;1;0;1;4;1;0;0;1;2;0;1;1;5;1;0;0;1;0;1;2;2;0;1;0;0;0;5;0;2;0;2;0;3;0;2;0;0;0;0;2
;;10;Schuurman, J.B.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;11;Oosterwijk, J.J.H.;9;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Fonck, K.;5;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Medema, H.H.;36;1;0;2;0;0;2;2;1;1;2;1;0;1;0;0;2;0;1;0;0;0;1;0;0;0;3;1;2;2;1;1;0;0;0;0;2;0;2;2;1;1;1;0;0;0;0;0;0;0
;;14;Slagt, V.F.;10;2;1;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Poelman, A.J.;14;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0
;;16;Vellinga, J.;24;1;1;0;0;0;0;0;1;0;4;0;0;1;0;1;0;0;1;2;0;1;2;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0
;;17;Doppenberg, A.J.H.;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Addiks, J.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Ploeg, H.;43;2;2;0;0;0;1;1;2;0;8;0;0;0;0;1;1;2;0;2;1;3;0;2;0;0;0;0;0;2;2;2;0;1;1;0;2;0;1;1;0;0;1;0;0;0;1;1;0;0
3;GROENLINKS;;;2434;110;96;65;16;43;33;55;79;76;94;70;39;146;35;34;39;47;85;29;24;20;60;54;17;23;60;3;62;61;11;57;40;50;19;16;93;69;67;43;49;48;56;30;58;33;7;23;27;63
;;1;Bakker, S.;771;37;22;20;5;18;10;19;23;21;30;18;11;47;9;4;13;20;16;5;11;9;19;20;5;6;22;2;20;16;3;10;8;16;8;6;23;23;32;15;18;19;19;13;25;11;2;10;12;20
;;2;Haan, H.T.;963;39;43;33;5;15;12;23;37;32;34;28;19;49;16;23;20;16;37;14;10;8;28;23;5;12;20;0;25;27;4;24;3;13;7;8;37;27;11;24;22;23;21;12;14;13;2;7;8;30
;;3;van der Kolk, P.R.;114;5;5;1;0;4;2;4;2;2;5;2;1;4;1;1;1;2;8;0;0;2;2;3;1;2;2;0;3;3;0;3;4;4;0;0;4;2;8;2;2;0;2;0;6;1;3;2;3;0
;;4;Aikema, G.J.;48;4;2;0;0;2;1;4;0;4;2;0;0;3;1;0;0;1;4;0;0;0;0;0;1;1;1;0;3;2;0;1;2;0;0;0;2;3;0;1;1;1;0;1;0;0;0;0;0;0
;;5;van de Kamp, T.;60;3;2;0;0;0;0;1;0;0;0;3;1;4;1;1;1;0;4;1;0;0;0;2;2;2;4;0;1;0;0;4;0;4;1;1;3;2;2;0;0;1;2;0;2;2;0;1;0;2
;;6;Verhaaf, G.B.F.;13;1;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Kuiper, W.H.;41;3;1;0;2;3;1;1;4;2;1;4;0;1;0;0;0;3;0;0;0;0;3;0;0;0;2;0;0;3;0;0;2;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0
;;8;Veenstra, M.W.;138;4;8;4;1;1;2;0;9;4;7;8;2;8;5;1;3;0;5;1;1;0;2;4;3;0;3;1;4;3;2;5;2;4;1;1;7;3;1;0;3;2;3;0;4;0;0;2;1;3
;;9;van der Klok-Suidman, I.;75;1;3;2;0;0;3;1;0;0;4;2;0;8;0;2;0;2;4;3;2;0;0;0;0;0;1;0;3;1;0;1;0;1;0;0;4;6;3;1;1;0;5;2;2;2;0;0;0;5
;;10;Pormes, S.R.;60;1;4;1;0;0;1;1;1;2;0;0;2;2;0;0;1;0;1;1;0;0;2;0;0;0;4;0;1;1;0;1;18;4;0;0;2;0;1;0;1;2;1;1;0;1;0;0;1;1
;;11;van der Veur, K.;44;3;3;0;0;0;1;1;0;0;3;1;0;5;2;0;0;3;2;2;0;0;2;0;0;0;1;0;1;2;0;2;0;2;1;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0
;;12;de Kleine, B.;8;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;de Groot, J.R.;26;0;0;1;0;0;0;0;1;3;7;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;1
;;14;Nijmeijer, H.R.;22;0;0;1;2;0;0;0;1;3;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;1;1;3;0;0;0;0
;;15;Slagt-Tichelman, E.;51;8;3;2;1;0;0;0;0;2;1;1;0;4;0;1;0;0;4;1;0;1;2;2;0;0;0;0;0;2;0;3;1;0;0;0;3;2;0;0;1;0;1;0;2;0;0;0;2;1
4;Stadspartij PLOP;;;4278;172;156;59;31;39;63;121;100;79;95;137;44;266;75;118;69;95;160;83;75;71;141;118;23;32;145;17;166;143;71;126;68;81;38;36;109;48;128;61;86;33;65;42;129;86;17;27;40;94
;;1;Santing, H.;1676;58;68;10;9;14;22;37;34;35;25;46;21;127;32;39;32;29;68;28;29;23;46;51;7;10;65;4;88;58;36;51;7;33;17;6;44;15;59;28;31;18;27;17;56;45;13;8;14;36
;;2;Boonzaaijer, C.M.V.;446;32;17;6;3;2;4;8;10;12;5;11;7;5;8;12;11;8;12;16;12;9;17;12;0;4;8;3;19;17;7;3;35;7;6;6;17;4;5;3;12;2;7;4;15;7;2;2;3;9
;;3;Booij-Venekamp, J.;666;16;21;4;7;7;14;19;18;8;15;20;6;38;12;29;9;21;20;10;10;9;19;15;5;7;28;1;15;30;12;33;6;16;4;9;7;10;21;10;7;7;10;13;24;10;2;5;7;20
;;4;Dik, A.A.;258;11;7;3;3;2;3;5;5;6;13;23;1;21;1;1;6;4;8;5;5;6;12;8;5;4;10;2;7;5;0;7;2;0;2;3;8;0;3;2;8;0;4;3;7;10;0;3;0;4
;;5;Roggen, A.;68;2;1;1;0;1;2;1;7;0;1;3;0;8;1;0;0;1;4;0;1;1;3;1;0;0;4;0;2;3;0;1;2;0;0;2;4;2;1;2;2;0;0;1;1;0;0;2;0;0
;;6;de Ruiter-Dekker, A.J.;226;13;9;6;2;4;4;5;4;1;10;3;1;16;4;7;4;3;12;5;2;4;6;10;0;1;6;4;6;3;5;8;2;4;3;2;6;3;11;4;5;2;4;1;4;3;0;0;1;3
;;7;Fontijn, H.;102;5;3;1;1;1;0;2;2;1;1;3;2;4;0;5;0;0;0;7;7;6;6;2;4;2;2;0;2;6;2;2;0;4;3;1;5;3;0;0;1;0;2;0;2;0;0;1;1;0
;;8;Wolthers-Vrede, J.R.;132;5;2;6;2;1;1;4;2;3;2;4;0;13;2;2;0;2;7;3;1;0;3;0;0;0;5;0;17;6;0;8;1;2;0;1;2;1;6;1;2;0;1;0;2;1;0;3;2;6
;;9;Wiersema, J.R.;148;4;7;4;1;2;6;5;3;5;3;6;2;8;3;3;1;4;7;1;1;4;6;6;1;1;2;0;1;2;1;0;3;2;0;2;5;3;5;2;2;1;2;1;5;0;0;2;9;4
;;10;Seubring, J.R.;51;3;3;3;0;0;0;0;0;1;5;1;0;1;0;5;1;3;0;2;1;0;4;0;0;2;0;0;0;2;0;1;0;3;0;0;0;0;1;0;5;1;0;0;1;0;0;0;1;1
;;11;Hummel, D.;77;1;1;0;0;1;0;25;5;0;2;3;0;3;4;0;0;6;3;0;0;1;1;0;0;0;1;0;0;0;0;2;1;3;0;0;4;4;3;0;0;1;1;0;0;1;0;0;0;0
;;12;Effendi, M.M.;28;1;3;0;1;0;2;1;1;2;0;0;1;1;0;1;0;1;2;0;0;1;3;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
;;13;Smit, H.;35;1;1;0;0;1;0;2;3;0;2;1;0;2;1;1;0;0;0;0;0;0;3;2;1;0;3;0;0;0;1;3;0;2;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0
;;14;Kruise, E.;47;1;1;0;0;1;0;0;2;0;1;0;0;2;0;5;0;3;0;2;1;2;1;0;0;0;1;1;0;4;3;1;0;1;0;0;1;0;3;0;3;0;1;0;1;3;0;0;0;2
;;15;ten Oever, B.J.;34;0;0;1;0;0;0;0;0;2;4;1;1;2;0;1;2;1;2;0;0;3;0;1;0;0;2;0;1;0;2;0;0;0;0;1;1;0;0;0;0;1;2;0;1;2;0;0;0;0
;;16;Wensing, H.E.J.;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
;;17;Hagen, G.;24;0;1;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;2;1;3;0;0;0;0;1;1;2;0;0;0;0;0;0;0;2;3;0;0;0;0
;;18;Solisa, A.V.;90;9;6;3;1;1;2;4;0;2;0;1;0;2;1;3;0;3;3;4;3;0;2;1;0;1;0;0;4;0;0;5;7;2;1;1;3;1;2;3;2;0;1;0;4;0;0;1;0;1
;;19;Postma, J.;161;9;5;8;1;1;3;3;4;1;5;10;2;13;6;4;2;6;11;0;1;2;8;8;0;0;5;0;2;3;2;1;1;2;1;1;0;2;6;2;6;0;3;1;3;1;0;0;1;5
5;VVD;;;2551;123;92;48;13;40;36;57;55;78;76;58;31;137;54;78;72;52;56;9;28;9;36;39;13;8;38;16;127;113;106;97;6;28;10;12;84;50;69;37;57;51;57;12;117;63;6;25;27;45
;;1;Rasker, M.F.;1299;73;46;25;6;16;14;23;20;40;46;25;19;64;27;38;40;23;32;6;15;6;14;24;2;3;18;4;62;54;65;47;4;13;6;7;48;21;38;23;36;17;32;9;62;31;3;16;13;23
;;2;Hasslacher, M.A.;113;2;1;0;1;2;6;2;9;4;4;4;3;7;3;1;4;2;0;0;1;0;0;2;0;0;2;0;4;7;2;4;0;1;0;0;6;2;3;0;3;5;3;1;4;5;1;1;0;1
;;3;Homan, B.;93;7;5;2;2;2;1;1;0;0;1;2;0;3;3;3;2;2;0;0;2;0;6;0;1;1;0;1;6;4;3;4;0;1;1;2;5;1;6;1;3;0;0;0;2;3;1;0;1;2
;;4;Klok, R.;116;5;3;0;0;3;5;8;3;7;1;1;2;2;1;6;2;0;5;0;0;1;2;2;0;0;4;0;3;3;3;2;0;1;0;0;2;8;4;1;1;13;1;0;3;0;0;0;3;5
;;5;Alberts, S.;526;25;20;13;3;7;4;13;8;14;17;17;5;30;15;20;11;15;9;1;2;2;11;8;6;2;7;8;29;21;20;18;1;7;2;1;11;12;12;8;11;8;11;2;29;11;0;4;6;9
;;6;Panhuis, G.J.;61;2;3;1;0;3;1;2;4;5;2;3;0;3;0;1;2;1;2;0;2;0;0;1;0;1;3;0;10;1;0;0;0;0;0;2;1;0;0;1;0;4;0;0;0;0;0;0;0;0
;;7;Lutke, M.;67;1;1;0;0;1;2;0;1;1;1;0;0;3;2;2;4;0;0;1;0;0;0;0;0;1;0;1;7;6;3;6;0;0;1;0;0;0;0;0;0;0;4;0;8;6;0;3;0;1
