Verkiezing;;Gemeenteraad De Wolden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Wolden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Zuidwolde;Ontmoetingscentrum De Boerhoorn;Dorpshuis 't Markehuus;Dorpshuis Buddingehof (1);Dorpshuis De Kolonie;Streekcentrum De Snikke;Dorpshuis Linde;Dorpshuis 't Drogterhuus;Buitencentrum De Poort;Sportcafé De Marse;Dorpshuis Bastogne;Dorpshuis De Schakel;Welzijncentrum Havezate (1);Welzijncentrum De Havezate (2);Dorpshuis D' Olde Karke;Dorpshuis De Alke;Dorpshuis Buddingehof (2);Dorpshuis De Veldhoek;De Ontmoetingskerk;Gemeentehuis Zuidwolde;Dorpshuis Buddingehof;Welzijncentrum Havezate (1);Buitencentrum De Poort;Gemeentehuis Zuidwolde;Dorpshuis Buddingehof;Welzijncentrum Havezate (1);Buitencentrum De Poort
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
Postcode;;;;;7921 GD;7921 GB;7924 PP;7961 AM;7961 NH;7924 RD;7925 PB;7705 PH;7963 AH;7963 BZ;7964 KK;7958 SB;7957 AW;7957 AW;7932 PP;7927 TC;7961 AM;7958 RC;7921 AH;7921 GD;7961 AM;7957 AW;7963 AH;7921 GD;7961 AM;7957 AW;7963 AH
;;16;Santing, J.;139;0;0;0;0;2;0;0;0;30;66;6;2;2;3;0;3;2;2;1;0;0;0;8;1;0;0;11
;;17;Schuldink, D.J.;33;11;2;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;5;5;0;0;0;4;0;0;1
;;18;Boverhof, J.;117;6;2;1;0;0;1;0;1;0;3;0;9;36;33;2;0;0;3;1;0;0;3;0;0;1;15;0
;;19;Bennink, G.J.;45;7;1;17;0;0;6;0;0;0;0;0;1;4;1;1;1;0;0;2;3;0;0;0;1;0;0;0
;;20;Heuvelman, A.;78;0;2;1;5;4;1;1;0;0;1;0;54;0;0;0;0;1;7;0;0;0;0;0;0;0;1;0
;;21;Kreulen, A.;14;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Scheper, H.;61;1;0;0;1;0;0;0;0;0;1;0;51;1;0;1;0;0;2;0;0;0;0;0;0;0;3;0
;;23;van de Pol, M.J.A.;21;0;0;0;1;9;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;6;0;0
;;24;Dijkstra-Offerein, J.;56;20;5;0;1;1;0;0;1;2;12;2;0;1;0;0;2;1;0;1;1;0;0;3;1;0;0;2
;;25;Boverhof, B.;28;4;1;0;0;0;0;0;0;0;0;0;0;6;10;0;0;0;0;0;0;0;3;0;0;0;4;0
;;26;Buld, R.;150;4;1;0;38;19;0;0;2;0;10;0;0;1;2;0;2;43;0;0;1;9;0;1;0;16;1;0
;;27;Leffers-Heeling, G.C.;82;1;1;0;6;3;1;0;0;13;27;5;0;2;0;1;1;1;1;2;0;0;0;5;1;1;1;9
2;VVD;;;1617;147;63;80;59;67;46;35;15;79;173;64;77;89;91;31;36;64;37;54;40;20;39;32;61;27;51;40
;;1;Mulder, H.;869;92;37;14;34;36;27;20;8;17;68;44;53;58;60;12;23;41;12;25;29;16;28;13;41;8;39;14
;;2;Hulst, M.S.J.;141;22;9;49;1;0;7;0;0;1;4;0;0;5;6;0;1;4;1;15;2;0;0;0;8;4;1;1
;;3;Jansen Hut, H.;80;4;0;2;1;9;0;1;0;4;8;6;8;1;2;1;0;2;21;0;0;1;0;2;1;1;2;3
;;4;Smit, R.;101;1;0;0;1;2;0;1;0;26;44;1;1;1;1;0;1;0;0;1;0;0;0;7;0;0;0;13
;;5;Pont, O.E.A.;26;1;1;3;0;0;2;2;7;0;2;0;0;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0
;;6;Kuit, H.F.;18;2;1;1;0;1;0;0;0;0;1;0;8;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0
;;7;de Boer, A.R.;32;0;0;0;5;6;0;0;0;0;0;3;0;0;0;1;0;9;0;0;0;1;0;0;1;6;0;0
;;8;Pauwels, L.W.;91;4;2;0;3;1;0;2;0;12;29;2;0;0;2;14;3;0;1;3;1;0;0;2;2;1;1;6
;;9;Rooze, R.S.T.;44;0;0;5;10;2;6;0;0;1;2;0;0;6;4;0;0;3;1;1;1;0;2;0;0;0;0;0
;;10;Veenstra, S.I.;29;1;0;2;1;0;0;0;0;0;0;0;2;8;5;1;0;0;0;0;0;0;2;0;2;0;5;0
;;11;Scheper-Beijering, H.G.;18;0;2;4;0;0;1;0;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;5;0;0
;;12;Middelveldt, F.J.;22;0;0;0;1;8;0;1;0;1;2;3;0;0;0;0;1;1;0;0;0;2;2;0;0;0;0;0
;;13;Moes, A.;36;0;0;0;0;0;0;0;0;11;9;4;0;0;0;0;0;0;1;0;0;0;1;7;0;0;0;3
;;14;Timmer, M.;36;8;8;0;1;1;3;3;0;0;0;0;0;0;0;0;1;0;0;4;3;0;0;1;3;0;0;0
;;15;ten Wolde-Schoonvelde, C.A.;29;0;0;0;0;0;0;1;0;3;0;1;4;7;4;0;0;1;0;0;0;0;4;0;0;2;2;0
;;16;Rooze, K.W.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
;;17;Putman, L.G.M.;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Klok, E.R.;39;12;3;0;1;1;0;4;0;1;1;0;1;1;1;1;3;0;0;4;3;0;0;0;2;0;0;0
3;CDA;;;1710;148;80;23;120;96;31;42;16;29;32;23;191;21;35;20;190;143;19;116;57;54;8;7;79;93;17;20
;;1;Brouwer-Dekker, C.F.M.;585;79;32;8;16;19;13;21;7;12;10;9;65;14;20;7;57;18;7;58;35;7;4;2;38;8;11;8
;;2;de Boer-Overbeek, T.S.;100;2;1;1;8;10;1;0;0;0;3;2;6;3;0;0;2;33;1;0;1;10;2;2;2;9;1;0
;;3;Drost, K.;183;30;27;0;0;3;11;6;0;0;2;0;12;0;0;2;10;2;0;37;14;0;2;0;23;1;0;1
;;4;de Boer-Pekel, T.;235;3;0;0;57;21;0;0;0;2;5;0;19;0;6;0;0;33;0;0;1;23;0;1;1;59;3;1
;;5;Wesselink, M.E.;21;0;0;2;1;4;0;2;2;0;1;0;0;1;0;1;0;2;0;0;1;1;0;0;0;3;0;0
;;6;van den Pol, N.H.;144;1;0;1;19;30;0;0;0;1;0;0;24;0;2;0;3;35;3;3;5;8;0;0;0;7;0;2
;;7;Bakker, H.;20;0;0;1;1;0;0;0;0;7;0;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;8;Bakker, J.M.;34;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;27;0;0;3;0;0;0;0;1;0;0;0
;;9;Jonkman, J.;68;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0
;;10;Bouwers, I.;153;17;11;7;6;4;4;12;4;3;1;2;10;2;0;3;30;4;3;12;0;1;0;1;13;1;0;2
;;11;Waninge, F.;46;1;1;0;0;0;0;0;1;0;1;0;34;0;0;2;0;2;3;0;0;0;0;0;0;0;1;0
;;12;Pool, W.;6;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;13;Wagenaar, G.J.J.;9;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
;;14;Dekker, A.;8;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
;;15;Boschman, H.;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;de Wit, T.J.;22;0;0;1;2;0;0;0;0;1;2;2;8;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2
;;17;Keizer, J.;29;1;0;0;3;2;0;0;0;0;0;0;7;0;0;0;0;9;0;0;0;1;0;0;0;5;1;0
;;18;Laarman, W.;5;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;19;van Dekken, B.;8;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;20;Vedder-Monaster, E.C.;31;2;1;0;1;2;1;0;2;2;2;1;2;0;6;4;2;2;0;1;0;0;0;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1009;91;55;22;43;38;18;5;12;50;77;28;59;50;47;10;21;47;37;34;44;17;25;36;34;38;41;30
;;1;Turksma, M.P.;371;21;10;7;29;10;8;0;4;15;15;7;18;30;20;8;9;32;14;8;18;12;9;8;5;27;20;7
;;2;Venema, E.M.;96;25;10;4;2;1;2;0;0;3;3;1;0;2;6;0;1;0;2;8;9;1;2;1;12;1;0;0
;;3;Assink, A.F.;221;31;13;6;7;15;3;3;2;5;9;5;13;10;11;2;5;8;10;11;10;2;0;14;8;4;10;4
;;4;Smand, A.;55;0;1;0;0;0;1;0;0;5;6;8;0;0;9;0;0;4;0;0;0;0;7;5;1;0;0;8
;;5;Bennink, E.;58;1;2;3;0;2;0;0;0;8;24;1;0;0;1;0;0;0;1;0;0;1;0;5;0;1;1;7
;;6;Mesman, L.P.M.;20;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;6;0;0;0;6;0
;;7;Hoogendijk, A.D.;47;0;1;0;0;0;0;0;0;12;18;5;0;1;0;0;0;0;0;0;0;0;0;3;2;2;0;3
;;8;Dijkstra, L.A.;25;4;7;1;0;0;0;0;0;0;0;1;1;0;0;0;5;1;0;3;1;0;1;0;0;0;0;0
;;9;Klunder, H.;10;0;1;0;0;0;0;0;5;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
;;10;Bosch, R.A.A.;27;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0
;;11;Slot, J.;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;Bremmer, G.;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;13;Morrenhof, F.J.;17;0;0;0;4;5;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;3;0;0
;;14;Stolte, D.J.;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0
;;15;Voppen, J.H.J.;4;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van der Weerd, J.P.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Langen, H.C.M.;20;3;4;1;1;3;0;0;0;0;2;0;1;0;0;0;0;1;0;1;1;0;0;0;2;0;0;0
;;18;Rabbinge, R.;9;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;2;0
;;19;Damming, A.;12;1;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;5;0;1;0;0;0;1;0;0;0
5;GROENLINKS;;;1083;93;36;33;20;45;38;13;35;52;63;54;100;49;60;17;32;33;34;55;44;17;13;31;41;27;21;27
;;1;Kippers-van Lint, E.;613;53;15;24;6;30;32;11;29;21;16;37;62;25;41;12;21;14;23;28;19;10;9;18;21;8;15;13
;;2;van IJzendoorn, H.W.;73;5;2;0;0;2;0;0;0;8;22;7;5;4;1;1;1;0;1;3;1;0;0;5;2;2;0;1
;;3;Overvliet, M.A.;97;14;11;4;1;1;4;0;1;6;2;2;4;0;1;1;2;0;2;11;11;1;0;1;14;2;0;1
;;4;de Jonge, J.;18;1;0;0;0;0;0;0;0;2;5;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6
;;5;Splinter, L.E.;79;1;0;0;13;10;0;0;0;2;0;1;7;1;1;1;0;18;3;0;0;6;0;0;1;13;1;0
;;6;Verheijen, E.M.M.;9;1;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0
;;7;Berghuis, I.H.;19;6;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;1;0;1;0
;;8;Hecker-Hafkamp, S.M.M.N.;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0
