Verkiezing;;Gemeenteraad Tynaarlo 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tynaarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ons Dorpshuis;VV Actief;Sporthal Groote Veen;Sportcentrum De Marsch (drive-through);Restaurant 't Huys van Bunne;MFA Borchkwartier;Sporthal De Kamp;Sporthal De Kamp;MFA Yders Hoes;Gymzaal Tynaarlo;Grand Café Het Witte Huis;MFA De Zeijer Hoogte;Dorpshuis Klein Kruierij;Sporthal De Zwet;Brasserie 't Hof van Zuidlaren;Sporthal De Zwet;GKv Kandelaarskerk;Harens Lyceum;Waterpark de Bloemert (Expeditiepoort);Dorpshuis De Zaandorre;Gemeentehuis;Sporthal Groote Veen;'t Loughoes;Brinkhotel;MFA Borchkwartier;Sportcentrum De Marsch (drive-through);Sporthal De Zwet;Sporthal De Zwet;Sporthal Groote Veen;Sporthal Groote Veen;Gemeentehuis;Gemeentehuis
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Postcode;;;;;9765 AP;9761 TC;9761 TM;9765 EM;9496 PA;9766 PP;9481 AK;9481 AK;9494 RB;9482 PP;9483 PH;9491 AA;9473 TL;9472 RN;9471 AR;9472 RN;9471 PR;9471 EC;9475 TG;9474 PD;9481 AW;9761 TM;9761 GE;9471 AE;9766 PP;9765 EM;9472 RN;9472 RN;9761 TM;9761 TM;9481 AW;9481 AW
;opgeroepenen;;;27067;1037;984;1499;681;735;1330;982;1443;1060;1438;483;604;396;1312;939;1438;1532;1471;307;256;978;1562;1496;1445;968;691;0;0;0;0;0;0
;geldige stempas;;;14841;697;378;501;271;320;678;472;504;442;702;294;299;211;555;504;559;772;749;175;128;423;450;941;536;548;299;271;421;497;611;271;362
;geldig volmachtbewijs;;;1727;94;55;88;25;55;101;49;57;62;67;44;38;22;58;45;66;79;66;18;15;45;62;103;47;84;30;32;30;50;68;31;41
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;16568;791;433;589;296;375;779;521;561;504;769;338;337;233;613;549;625;851;815;193;143;468;512;1044;583;632;329;303;451;547;679;302;403
;geldige stembiljetten;;;16478;783;431;583;295;373;778;516;561;503;764;336;336;231;607;543;622;841;814;189;143;468;508;1040;579;629;328;303;447;546;679;300;402
;blanco stembiljetten;;;50;5;1;4;0;2;0;0;0;1;5;2;1;2;1;5;2;5;0;2;0;0;4;0;4;1;0;0;1;0;0;2;0
;ongeldige stembiljetten;;;41;3;1;2;1;0;1;5;0;0;0;0;0;0;5;1;1;5;1;2;0;0;0;5;0;2;1;0;3;1;0;0;1
