Verkiezing;;Gemeenteraad Westerveld 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Westerveld;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1701;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis Hart van Diever;Hotel Villa Nova;Dorpshuis  Oens Huus;Ons Dorpshuis;Grand Café de Brink;Buurthuis De Gowe;Landhotel  De Borken;Dorpshuis  De Veldkei;Dorpshuis De Wiekslag;Dorpshuis  De Vlasbarg'n;Dorpshuis De Stobbe;Restaurant Hartenlust;Restaurant De Tippe;Gemeentehuis in Diever;'t Hof van Dwingeloo;Brandweerkazerne Vledder;Dorpshuis De Veldkei;Grand Café de Brink, vervroegd stemmen maandag;Dorpshuis  De Veldkei,  vervroegd stemmen maandag;Restaurant De Tippe,  vervroegd stemmen maandag;Gemeentehuis in Diever,  vervroegd stemmen maandag;Grand Café de Brink,  vervroegd stemmen dinsdag;Dorpshuis  De Veldkei, vervroegd stemmen dinsdag;Restaurant De Tippe, vervroegd stemmen dinsdag;Gemeentehuis in Diever, vervroegd stemmen dinsdag
;;18;Muggen, E.;7;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;1
;;19;Visser, T.;7;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Schors, L.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Partij van de Arbeid (P.v.d.A.);;;953;53;14;25;154;36;25;12;27;37;42;27;22;71;45;42;56;29;12;38;29;25;25;33;30;44
;;1;Puper, J.;511;25;9;12;68;26;10;8;16;15;13;9;10;48;27;31;39;17;7;12;19;8;12;27;19;24
;;2;Rösener Manz - van der Walle, E.M.R.;189;13;3;5;72;1;8;0;1;5;5;6;4;12;5;2;8;6;1;5;7;4;9;0;5;2
;;3;Dollekamp-Molleman, C.;41;4;0;0;3;0;0;2;1;0;7;4;0;1;0;1;0;1;2;5;1;2;1;2;1;3
;;4;Dollekamp, C.R.;9;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
;;5;Jansen, H.A.;10;0;0;0;5;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0
;;6;de Vries-Luchtmeijer, G.;36;0;0;0;4;1;1;1;0;1;0;0;2;6;1;0;9;0;0;1;1;1;0;0;4;3
;;7;Torreman, T.;16;0;0;0;0;6;1;1;1;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0
;;8;van der Marel, E.M.;30;0;1;0;0;0;2;0;5;0;1;3;4;0;0;0;0;2;0;10;0;2;0;0;0;0
;;9;Spijkerman, A.G.M.;21;2;0;0;0;1;1;0;1;13;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0
;;10;Duiven, F.;15;2;0;1;0;0;0;0;0;3;0;2;0;0;1;1;0;0;0;2;0;0;1;1;0;1
;;11;Overbeek, J.B.;10;0;0;0;1;0;1;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;3;0;0
;;12;Riem Vis, C.A.;4;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;13;Meekhof, G.;36;5;1;1;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;1;0;7;1;0;0;9
;;14;Vriend, K.;16;2;0;0;0;0;0;0;0;0;11;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
;;15;Christensen, L.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;16;Fopma, A.;7;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6;D66;;;614;26;14;16;52;50;31;23;24;36;32;11;32;29;33;39;22;24;8;12;5;11;16;24;19;25
;;1;Oosterhuis, A.R.;425;13;7;7;44;18;19;8;21;34;23;8;31;19;29;14;16;23;2;10;4;9;9;22;16;19
;;2;Miedema, S.;18;1;0;0;2;1;1;0;2;2;5;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0
;;3;Muller von Czernicki, M.M.O.;12;1;0;6;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;4;Ietswaart, H.;68;7;2;0;1;13;7;11;0;0;1;1;1;0;1;9;0;1;3;2;0;1;3;0;0;4
;;5;Knoeff, A.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;6;Luinge, J.B.;21;0;0;0;0;7;1;1;0;0;0;0;0;0;0;8;0;0;2;0;0;0;2;0;0;0
;;7;Hessel, H.W.;24;2;0;0;1;7;3;2;0;0;0;0;0;0;1;6;0;0;0;0;0;1;0;0;0;1
;;8;Bruin-Westeneng, J.A.;7;0;0;0;2;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Drost, L.J;7;0;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
;;10;Boxma, S.H.A.;7;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;den Hollander, R.;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Vogel, M.;15;0;0;2;1;0;0;0;0;0;0;0;0;4;0;0;5;0;0;0;1;0;0;0;2;0
;;13;de Bruin, T.;7;1;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0
7;Progressief Westerveld / GROENLINKS;;;2045;120;63;45;154;95;133;84;77;76;132;56;86;101;152;92;62;79;51;41;48;67;59;59;57;56
;;1;van de Kasteelen, M;697;39;19;14;47;34;39;36;32;20;50;11;16;42;49;33;22;30;20;18;22;24;22;22;19;17
;;2;Staalman, J.;543;20;21;17;65;23;22;12;17;21;42;16;22;42;40;16;29;17;5;2;20;16;12;12;21;13
;;3;Joziasse, C.L.;144;26;5;6;3;4;11;3;1;4;10;3;0;3;22;4;8;2;4;1;2;7;0;1;1;13
;;4;van Wisse, C;16;2;1;0;2;2;3;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;2;0;0;0
;;5;Offringa, A.R.;35;0;1;1;1;4;3;7;0;0;2;0;2;2;0;2;1;0;4;0;0;2;2;0;0;1
;;6;Beets, W.;48;4;1;4;8;0;0;0;2;4;5;2;0;0;5;0;1;2;1;1;1;0;0;1;4;2
;;7;Verf, M.M.;171;8;8;2;6;4;6;3;17;2;17;8;22;2;11;3;0;11;2;12;1;2;1;17;3;3
;;8;van Teijlingen, J.H.;17;0;0;0;0;1;0;0;1;0;1;2;5;2;1;0;0;1;0;2;0;0;0;1;0;0
;;9;Ruifrok, S.M.;117;2;2;0;1;9;25;8;3;0;4;1;8;0;6;17;0;5;5;1;0;4;10;3;2;1
;;10;den Breems, C.;27;4;1;0;1;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;6;1;0;0;2
;;11;van der Kooij, M.A.;25;0;1;0;0;2;2;2;0;4;0;0;1;2;2;2;0;1;1;1;0;1;1;0;0;2
;;12;Verheul, J.H.A.M.;11;2;0;0;0;1;0;0;0;1;0;0;0;0;3;1;0;2;0;0;0;1;0;0;0;0
;;13;Weerman, A.;6;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;1;0
;;14;Oostendorp, M.;30;2;0;0;2;0;2;4;0;0;1;2;2;1;0;4;0;3;1;0;0;2;2;0;0;2
;;15;van Haaften, J.F.O;11;2;0;0;0;1;0;0;1;0;0;0;3;0;0;0;0;2;0;1;0;0;0;0;1;0
;;16;Nijland, G.;17;2;0;0;0;1;9;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0
;;17;Tienkamp, P.A.;13;0;0;0;0;0;0;0;0;11;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;18;Sickenga, R.M.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Vis, R. H.;11;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Jubbega, H.L.;3;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Wijma, C.F.;12;1;0;0;0;2;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Mahler, M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Liempd, E.E.A.A.;4;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Rooijers, F.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Berkhout, R.P.;12;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;26;Mirck, J.M.S.;6;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
;;27;Balkema, G.T.;10;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
;;28;Verheij, M.H.M.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;29;Smits, K.;43;1;1;0;1;6;10;7;0;0;0;0;0;0;0;6;0;0;4;1;0;1;3;2;0;0
;;30;de la Mar, J.N.;13;2;1;0;2;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;2;0
