Verkiezing;;Gemeenteraad Meppel 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Meppel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0119;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Cultureel Centrum de Plataan;Vrijeschool de Toermalijn;Brandweerkazerne;Anne Frankschool;De MensA activeringscentrum;Clubhuis Blue Devils;Wijkservicepunt De Koeberg;Wijkcentrum Oosterboer;Het Erf (H. van Boeijen);Stembureau NS Station;Dorpshuis De Schalle;Stadhuis 14-03-2022;Stadhuis 15-03-2022;Dorpshuis De Schalle 14-03-2022;Dorpshuis De Schalle 15-03-2022;Verenigingsgebouw Meppeler Mannenkoor;Clubhuis MVV Alcides;Leerwerkcentrum;Clubhuis Meppeler Hockey Vereniging;CSG Dingstede;Terra Meppel;Sporthal Koedijkslanden;Gereformeerde kerk Nijeveen;Kruiskerk;Dansschool Hulzebos
;;17;Start, W.;32;4;1;2;2;1;1;0;5;0;4;0;1;0;2;0;1;2;0;0;2;0;2;0;0;2;0
;;18;Wessels, J.;40;2;0;8;3;4;1;2;2;0;0;2;1;0;1;0;3;1;0;0;0;2;2;3;2;0;1
;;19;van den Berg w/v de Ruijter, A.;28;1;2;2;1;0;1;0;0;1;3;2;1;1;1;1;0;1;1;1;1;1;0;1;2;2;1
;;20;Meijer, R.M.;15;1;0;0;0;0;0;0;0;2;1;0;1;2;0;0;0;1;1;0;0;1;1;3;0;0;1
;;21;van den Bergh, A.S.;8;1;1;0;1;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;22;Kuipers, A.;75;6;5;2;3;0;3;6;8;5;6;0;1;1;6;0;2;3;1;6;1;0;1;4;2;0;3
2;VVD;;;2256;121;84;76;62;91;31;139;90;136;144;68;142;95;130;20;51;95;46;54;92;50;93;51;138;31;126
;;1;van Ulzen, R.;999;55;35;43;32;52;18;64;39;59;58;33;43;53;55;13;13;50;17;31;40;19;57;24;29;16;51
;;2;Meesters, J.R.;136;5;3;4;6;5;2;10;2;10;8;4;16;3;11;0;4;6;4;4;3;2;4;3;6;2;9
;;3;Grotens-Pleyte, M.S.;195;13;6;5;1;6;3;13;8;16;7;2;31;1;7;0;10;6;3;2;4;5;4;6;28;2;6
;;4;van Scheijen, J.N.M.;148;0;0;2;1;1;0;1;0;5;4;1;31;1;4;4;19;0;1;0;2;0;0;2;60;0;9
;;5;Dohle, F.;82;5;4;3;2;0;0;2;6;4;11;2;2;5;9;0;4;3;1;1;2;1;3;3;0;1;8
;;6;Raat, L.;279;22;21;7;5;9;3;17;11;16;30;13;6;10;15;1;1;9;9;12;17;11;16;4;3;3;8
;;7;Verstraaten, M.;44;1;2;0;0;0;1;6;0;1;6;0;1;3;3;0;0;0;0;0;11;1;0;1;1;1;5
;;8;Gouw, G.C.;24;1;1;0;0;4;0;1;0;9;1;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;1
;;9;Wesselius, N.;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;10;Kok, M.;26;7;0;0;1;3;0;1;2;0;0;1;1;0;3;0;0;0;3;0;0;0;0;1;1;0;2
;;11;Hagedoorn, A.C.;17;0;0;0;0;0;0;2;0;1;0;2;1;2;0;0;0;1;1;0;1;1;2;0;0;0;3
;;12;Lanjouw, M.R.;47;2;1;2;0;5;0;3;3;2;7;1;0;1;4;0;0;2;1;1;2;4;0;1;0;0;5
;;13;van Deel, J.W.;14;0;0;0;0;0;0;2;1;2;0;2;0;0;3;0;0;1;0;0;0;0;1;1;0;0;1
;;14;Elling, G.G.;6;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
;;15;Turksma, M.;6;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;van Bergen, F.A.A.;7;0;0;0;1;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;ter Horst, W.;21;0;3;2;0;0;1;6;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;2
;;18;Vedder, R.;11;0;0;1;2;0;0;1;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0
;;19;Worst, H.A.;62;4;1;1;6;1;0;5;3;0;4;2;2;4;2;0;0;6;1;0;5;2;1;3;1;0;8
;;20;Visser-Bosma, T.A.;11;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;2;0;4
;;21;de Boer, J.;94;4;7;3;3;4;2;3;8;7;7;4;6;3;5;1;0;7;3;0;2;3;1;1;5;3;2
;;22;Koning, R.P.;24;0;0;2;1;0;0;1;1;0;0;0;1;2;7;0;0;0;0;2;1;1;2;0;1;1;1
3;CDA;;;2003;68;77;17;41;82;24;90;107;145;96;53;215;63;80;68;98;85;32;50;60;54;88;41;183;39;47
;;1;Knorren, E.;885;23;25;8;13;31;11;22;34;61;31;19;155;21;33;41;57;33;11;20;17;20;26;15;127;15;16
;;2;Dunnink, K.;250;10;8;2;4;15;0;13;12;35;22;10;4;9;6;4;2;24;5;7;13;7;17;6;3;3;9
;;3;Heijink, C.;315;10;13;6;10;17;5;15;28;30;18;11;10;12;18;4;6;11;6;12;22;8;15;8;7;6;7
;;4;Zijlstra, M.;11;0;0;0;0;0;0;2;1;1;0;0;2;0;1;0;1;0;0;0;0;2;0;1;0;0;0
;;5;Raven, R.C.;71;2;2;0;5;3;1;7;7;3;2;1;2;3;2;0;0;4;1;1;2;4;13;5;0;1;0
;;6;ter Veen - de Koe, C.K.D.;97;7;8;0;1;8;3;11;7;4;5;5;2;2;5;0;0;4;2;1;1;5;3;1;1;9;2
;;7;Floor, D.;22;3;3;0;0;1;1;0;2;1;3;1;0;1;2;0;1;0;0;0;0;1;0;0;0;0;2
;;8;Mossel, J.J.;40;1;2;0;1;0;0;4;5;2;0;1;9;0;1;2;2;1;0;1;0;0;1;0;7;0;0
;;9;van der Munnik, E.A.;17;1;0;1;2;1;0;3;0;1;0;0;0;0;2;0;1;1;1;1;1;1;0;0;0;0;0
;;10;van der Niet, W.J.;24;1;4;0;0;0;0;0;3;2;0;1;0;2;1;0;1;3;0;0;0;1;2;0;2;1;0
;;11;Westenbrink, J.;48;0;0;0;0;1;0;1;1;1;0;1;7;0;0;4;13;0;2;0;1;0;0;2;14;0;0
;;12;ter Veen, G.W.;3;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Brand, K.;25;0;0;0;0;0;0;0;1;0;0;0;7;0;0;4;4;1;0;0;1;0;1;0;6;0;0
;;14;Witten, A.;13;0;0;0;1;0;0;1;0;3;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;2
;;15;Meijer, J.;10;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0
;;16;Sijbom, S.F.B.;17;2;3;0;0;1;0;4;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1
;;17;Tadema, L.D.;31;2;5;0;0;0;0;3;1;0;0;0;0;8;3;0;0;0;0;1;0;1;5;0;2;0;0
;;18;Tuut-Kiekebos, O.;33;0;1;0;0;0;0;0;0;0;0;1;10;0;0;6;7;0;1;0;0;0;0;0;7;0;0
;;19;ten Hulscher, H.G.;16;3;0;0;0;0;0;2;0;0;5;0;0;2;1;1;0;0;1;1;0;0;0;0;0;0;0
;;20;van der Woerdt, J.;20;0;0;0;1;0;0;0;0;1;2;0;5;0;0;2;3;0;1;1;0;0;0;0;2;1;1
;;21;Wolvekamp-Bloemert, S.I.;40;2;0;0;3;3;1;1;2;0;3;2;0;2;3;0;0;0;0;1;1;1;3;1;3;2;6
;;22;Bruinsma-Bouwens, D.S.;15;0;1;0;0;1;1;0;1;0;4;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;1
4;ChristenUnie;;;1418;58;41;12;40;77;41;124;91;109;88;14;45;76;65;14;13;56;18;63;65;56;72;42;40;70;28
;;1;Stam, G.;813;35;28;5;22;45;27;66;41;60;44;11;32;50;34;8;6;40;6;36;27;32;40;26;30;48;14
;;2;Booij-van Wijk, T.;203;4;6;2;6;14;3;20;30;16;5;0;5;11;16;3;1;7;5;5;10;2;10;7;1;9;5
;;3;Tamminga, S.Y.J.;104;0;1;1;8;4;3;18;5;8;13;0;2;0;4;0;0;4;0;2;17;1;5;2;0;3;3
;;4;Visscher, H.;14;3;1;0;1;0;0;0;1;1;2;0;0;1;0;0;0;0;1;0;0;2;1;0;0;0;0
;;5;van der Kamp, R.H.;68;5;1;0;0;3;4;8;3;7;7;1;0;3;3;0;0;0;1;1;4;2;5;3;0;4;3
;;6;Koot, J.A.;38;1;0;1;0;5;1;3;1;6;5;0;0;3;2;1;0;1;2;0;1;2;2;0;0;0;1
;;7;Tamminga-van Dijk, G.M.;35;1;2;1;0;2;0;3;0;0;4;0;3;2;0;0;2;3;0;7;0;0;0;0;0;4;1
;;8;Burema, J.P.;7;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;1;0;0
;;9;Tempelman, H.;11;2;0;0;0;0;0;0;1;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Twerda, H.;8;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0
;;11;Mossel-van Ommen, M.;7;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;0;0
;;12;Spithoff, D.K.;9;0;0;0;0;0;0;2;0;1;2;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Treep, A.J.;21;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;5;3;5;2;0;0;0;0
;;14;Vedder, K.;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
;;15;Bergsma, H.;8;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;2;0;0;0;0;0;2;0;0;0;0
;;16;Bergsma-Eefting, K.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;1;0;0
;;17;Otten, G.E.J.H.;16;0;1;1;0;0;2;0;3;0;2;0;0;0;0;0;0;1;1;1;0;2;0;1;1;0;0
;;18;Groeneveld, B.;22;2;0;1;0;0;0;1;4;1;1;0;0;2;2;0;0;0;0;0;0;3;1;1;1;1;1
;;19;Meijer, R.M.;9;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0
;;20;Scholtus, L.C.;13;2;1;0;0;1;0;0;0;0;2;0;1;0;1;1;1;0;0;0;0;1;0;2;0;0;0
5;SP (Socialistische Partij);;;1230;76;59;36;63;61;79;26;119;46;60;27;34;59;63;13;25;33;34;67;14;41;23;63;16;74;19
;;1;Topma, X.M.;634;39;32;20;30;34;37;10;62;25;34;19;12;25;29;11;15;19;15;39;6;17;10;38;6;38;12
;;2;Schut, E.;279;24;13;10;6;15;21;4;26;12;15;6;8;15;14;0;7;8;7;18;4;8;8;16;2;9;3
;;3;van Brussel, M.;67;3;2;1;6;5;8;4;9;3;1;0;3;0;5;1;0;0;2;0;3;2;3;1;2;3;0
;;4;Boer, J.A.;67;5;3;1;4;5;0;1;6;2;6;0;6;6;4;0;0;1;2;1;1;1;1;3;3;4;1
;;5;Veneman, J.;31;0;0;2;4;0;4;0;2;0;1;0;0;2;4;0;0;1;4;0;0;3;0;2;0;2;0
;;6;Ramaglia, D.M.;15;0;0;1;1;1;0;2;0;1;0;0;1;1;2;0;0;0;0;0;0;3;0;1;0;1;0
;;7;Hoefman, J.J.;8;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0
;;8;van Dijk, G.;24;1;3;0;3;0;3;1;3;0;0;0;0;3;2;0;0;1;0;0;0;0;1;0;0;3;0
;;9;Topma-Damhuis, G.B.I.;17;0;1;0;1;0;1;0;2;1;1;0;2;0;1;0;0;2;0;1;0;2;0;0;1;1;0
;;10;Wieringa, T.H.;10;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;1;1
;;11;Buwalda, J.T.G.;8;0;1;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
;;12;Yavuz, M.;16;1;0;0;3;0;0;2;1;0;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;4;0
;;13;Koopman-Douma, J.;7;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0
;;14;Luehof, H.;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Vermeulen, R.A.;9;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1
;;16;van Os, J.R.C.;7;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1
;;17;Esselbrugge, G.;28;2;1;0;1;0;2;1;8;0;0;1;0;0;1;1;2;0;1;0;0;2;0;1;1;3;0
6;Partij van de Arbeid (P.v.d.A.);;;1281;73;46;21;42;55;66;40;128;83;58;15;33;75;81;14;37;48;34;14;21;52;43;49;46;67;40
;;1;Huisman-Wigbers, J.;692;42;21;9;17;30;29;24;75;55;43;8;21;46;35;6;24;32;19;8;7;32;24;24;16;20;25
;;2;Timmer, H.;213;13;16;1;16;11;21;0;17;8;7;2;0;7;21;2;1;6;8;1;2;4;2;7;4;29;7
;;3;Keur, P.C.;21;0;0;1;0;2;0;3;2;0;0;1;0;2;0;0;0;2;0;0;6;1;1;0;0;0;0
;;4;Veld-Fonk, G.L.M.;45;2;2;2;0;2;1;0;6;4;1;2;0;5;2;0;2;2;2;3;0;1;0;3;2;1;0
;;5;Wanrooij, P.W.;21;1;0;0;0;0;0;0;0;0;0;0;2;0;1;2;5;0;0;0;0;1;0;1;8;0;0
;;6;Voetelink, I.J.;15;2;0;1;0;2;1;0;0;0;0;1;0;2;0;0;0;0;0;0;3;0;0;0;1;1;1
;;7;de Vos, J.;49;2;3;3;0;4;6;1;2;2;2;0;0;3;4;1;1;2;2;0;1;0;2;4;1;2;1
;;8;Dijkink, J.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0
;;9;Haze, H.K.;92;1;3;2;4;2;4;8;18;8;0;0;0;3;12;0;1;0;0;0;1;7;7;6;4;0;1
;;10;Donker, H.;8;0;0;0;0;0;1;0;0;0;1;0;0;2;1;0;0;2;0;0;0;0;0;0;0;1;0
;;11;Kuiper-Docter, A.H.;7;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
;;12;Schipper, F.;11;0;0;0;0;0;0;0;1;1;1;0;1;1;3;2;0;0;0;0;0;0;0;0;0;1;0
;;13;van Dijk-van der Graaf, P.;9;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1
;;14;Dollée, J.;7;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Eerden-Hein, P.;32;1;0;0;0;1;1;0;0;0;2;0;7;1;0;1;3;0;0;0;0;3;1;1;6;2;2
;;16;Zwaan, W.;54;4;0;2;4;1;1;3;1;3;1;1;2;3;2;0;0;1;2;1;1;2;6;0;4;7;2
7;D66;;;1168;66;34;45;28;51;16;86;45;92;82;30;35;43;65;10;12;51;19;52;75;26;41;28;37;31;68
;;1;Bos, J.A.;820;46;25;32;19;29;10;64;29;71;65;13;18;34;53;5;7;40;13;37;52;19;28;18;20;18;55
;;2;Klunder, C.R.;42;2;1;1;2;2;0;6;0;1;5;1;1;0;1;0;0;1;1;4;4;1;1;1;1;3;2
;;3;de Vos, A.P.;13;0;0;1;1;1;1;0;0;3;0;1;0;0;0;0;1;0;0;0;0;0;2;1;0;1;0
;;4;Knol, N.V.;166;10;8;1;4;6;3;9;9;7;9;10;12;2;11;4;0;6;4;8;13;2;5;3;13;3;4
;;5;Mulder, M.F.;31;4;0;4;1;1;0;2;2;0;0;0;2;2;0;1;3;0;0;1;1;2;2;1;0;0;2
;;6;Postma, A.C.;4;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;7;Kartal-De Leeuw, G.R.;10;1;0;0;0;3;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0
;;8;de Boer, J.A.;6;0;0;0;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;9;de Vries, K.A.;19;0;0;6;1;1;1;2;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;3;0
;;10;Weltevreden, F.;16;0;0;0;0;2;0;0;0;3;1;0;1;1;0;0;0;1;1;1;0;1;1;2;0;0;1
;;11;Schakel, M.J.A.G.;4;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Berkhout, A.C.;5;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;13;Sluiter, M.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1
;;14;Akimova, S.V.;21;1;0;0;0;3;0;0;2;1;0;3;1;0;0;0;0;2;0;1;2;1;0;1;1;1;1
;;15;Meij, S.A.;6;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0
8;GROENLINKS;;;939;57;35;51;22;56;36;34;64;45;64;37;20;41;46;8;8;47;36;24;33;30;21;22;31;28;43
;;1;de Vlieg, A.;597;36;22;30;16;40;25;21;40;32;38;23;10;29;32;6;6;30;28;16;23;17;17;10;10;17;23
;;2;Peeks, A.W.;38;1;2;3;0;1;0;2;3;2;2;0;0;2;3;0;0;4;1;1;1;0;0;2;1;2;5
;;3;Jacobs, C.E.J.;16;0;1;1;0;0;1;2;1;0;0;2;0;0;2;0;0;0;1;0;0;0;0;1;0;3;1
;;4;van Diepen, H.;62;9;2;2;3;4;2;1;4;3;8;5;1;1;2;0;1;2;1;2;1;2;1;1;2;0;2
;;5;Hartog, B.;38;1;0;1;1;1;2;0;3;1;4;0;4;0;1;1;0;2;1;0;1;5;1;0;4;1;3
;;6;Berendsen, H.;35;2;1;1;0;2;2;3;1;1;1;1;4;0;0;1;1;0;1;2;1;0;0;0;10;0;0
;;7;Dost, F.J.;14;2;0;2;0;0;1;0;1;0;2;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1
;;8;Visscher, J.L.;24;0;0;0;0;2;0;1;3;1;0;2;1;2;0;0;0;0;1;1;1;1;1;1;3;2;1
;;9;de Boer, J.H.;14;2;0;0;0;2;0;0;2;1;0;1;0;0;0;0;0;0;1;0;0;2;0;2;1;0;0
;;10;Peters, H.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;11;Platel, T.H.;11;0;0;4;0;0;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;12;Otter, R.;13;0;1;0;0;1;0;1;0;2;0;0;0;0;1;0;0;1;0;1;3;0;0;1;0;0;1
;;13;de Vlieg, L.;4;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Kouwenberg, A.M.C.;3;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Lugtmeier, E.J.;21;1;1;3;0;2;0;0;4;1;2;0;0;0;2;0;0;3;0;0;1;0;0;0;0;0;1
;;16;Platel, C.J.;12;1;0;2;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;1;0;1;0;0;1
;;17;Claas, R.;24;2;2;1;2;0;1;0;1;1;1;2;0;1;0;0;0;3;0;1;0;1;0;2;0;1;2
;;18;Oldengarm, W.;5;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
;;19;Kuipers, J.N.;5;0;0;0;0;0;0;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
