Verkiezing;;Gemeenteraad Emmen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Emmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Stadskerk;De Goede Herderkerk;Atlas Theater;Wijkcentrum Meerstede;Ichthus;Nationaal Archief;Buurthuis 't Bargermeertje;CBK De Fabriek;Dorpshuis 't Hoefijzer Zuidbarge;De Schanskuil;Dorpshuis Weerdinge;Wijkcentrum Angelslo;Kerkgebouw Het Baken;Kantine Sporthal Emmerhout;De Schepershof;De Wilker;Gymnastieklokaal O.b.s. De Brink;'t Brinkenhoes;Kerkgebouw De Bron;Mondenhal;Multifunctioneel Centrum De Badde;Dorpshuis 't Stadhoes;Protestantse kerk;Kantine sporthal De Klabbe;Dorpshuis De Stobbe;Buurtgebouw Ons Dorp;Buurtvereniging De Viersprong;Dorpshuis De Foxel;Veenkerk;De Collink;Kantine sporthal De Eendracht;Dorpshuis De Meerstal;Kruiskerk;Buurtvereniging Het Kruidenveld;Buurtschap Ons Belang;Wijk- en Dienstencentrum Noorderbreedte;Kantine sporthal De Zon;Buurthuis 't Hoekje;Dorpshuis De Klink;Parc Centrum Sandur;Dorphuis d'Aole Turfstee;S.K.W. Barnstee;'t Schienvat;Kantine S.C. Erica;Gymlokaal Jachthoorn;Zuiderkerk;Gymlokaal De Trans;Gymlokaal Valkenveld 1;Gymlokaal Valkenveld 2;Kantine DZOH;Zalencentrum d' Aol Meul;Kantine SVV'04;'t Aole Gemientehoes;De Dorpshoeve;De Webbe;Dorpshuis Trefpunt;Drenthe College, locatie Veldlaan;Dorpshuis De Veurkamer;Informatiecentrum Delftlanden;Gemeentehuis (ma);Gemeentehuis (di);Wijkcentrum Meerstede (ma);Wijkcentrum Meerstede (di);Wijkcentrum Angelslo (ma);Wijkcentrum Angelslo (di);De Schepershof (ma);De Schepershof (di);Kerkgebouw De Bron (ma);Kerkgebouw De Bron (di);Multifunctioneel Centrum De Badde (ma);Multifunctioneel Centrum De Badde (di);Protestantse kerk (ma);Protestantse kerk (di);De Collink (ma);De Collink (di);Kantine sporthal De Eendracht (ma);Kantine sporthal De Eendracht (di);Kruiskerk (ma);Kruiskerk (di);Dorpshuis De Klink (ma);Dorpshuis De Klink (di);S.K.W. Barnstee (ma);S.K.W. Barnstee (di);'t Schienvat (ma);'t Schienvat (di);Kantine DZOH (ma);Kantine DZOH (di);'t Aole Gemientehoes (ma);'t Aole Gemientehoes (di);De Dorpshoeve (ma);De Dorpshoeve (di);De Webbe (ma);De Webbe (di);Dorpshuis De Veurkamer (ma);Dorpshuis De Veurkamer (di);Mobiel stembureau 1 (ma);Mobiel stembureau 2 (ma);Mobiel stembureau 3 (di);Mobiel stembureau 4 (di);Mobiel stembureau 5 (wo);Mobiel stembureau 6 (wo)
Gebiednummer;;;;;1;2;3;4;5;6;8;9;10;11;12;13;14;15;19;21;22;24;27;28;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;49;50;51;53;54;55;56;57;59;60;63;64;65;66;67;68;69;72;73;74;75;76;77;79;81;101;201;105;205;114;214;121;221;128;228;133;233;135;235;142;242;143;243;145;245;154;254;157;257;159;259;168;268;173;273;174;274;175;275;179;279;301;302;303;304;305;306
;opgeroepenen;;;88359;1695;1568;967;1333;1901;1864;1983;1147;666;786;997;574;2089;2483;1761;1968;2227;2293;2560;2170;1338;1466;664;1012;1309;1184;1464;924;564;186;1439;1220;1262;2006;1702;1868;970;1340;1890;1342;1700;362;2509;1886;1959;1411;1248;1882;1711;1450;2040;1542;1694;1793;1088;1377;583;1436;1278;1228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;37006;964;396;479;442;791;552;226;276;361;430;428;341;684;546;485;808;252;324;1290;696;155;604;245;178;620;391;432;286;221;93;382;319;470;536;489;599;410;498;631;395;772;168;863;682;592;222;170;473;706;640;782;404;179;1093;405;400;221;423;963;510;374;602;206;325;198;353;272;400;312;391;60;119;83;137;35;66;49;94;228;295;39;89;87;139;154;212;247;444;172;311;55;96;28;84;227;330;53;80;55;17;76;19
;geldig volmachtbewijs;;;4446;127;52;46;42;76;62;29;39;44;46;48;47;74;65;46;107;20;49;139;56;19;82;30;27;88;52;65;37;39;18;50;47;72;70;68;76;54;79;90;55;104;24;119;98;72;26;18;46;77;62;113;54;25;124;53;75;20;44;120;57;24;65;14;22;14;32;20;39;27;40;11;19;15;11;10;8;4;14;38;40;4;9;12;23;21;30;34;48;12;10;9;7;0;7;20;47;4;10;3;3;2;1
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;41452;1091;448;525;484;867;614;255;315;405;476;476;388;758;611;531;915;272;373;1429;752;174;686;275;205;708;443;497;323;260;111;432;366;542;606;557;675;464;577;721;450;876;192;982;780;664;248;188;519;783;702;895;458;204;1217;458;475;241;467;1083;567;398;667;220;347;212;385;292;439;339;431;71;138;98;148;45;74;53;108;266;335;43;98;99;162;175;242;281;492;184;321;64;103;28;91;247;377;57;90;58;20;78;20
;geldige stembiljetten;;;41307;1086;447;521;482;863;614;254;314;405;476;476;388;756;608;529;912;270;373;1425;741;174;683;273;205;705;436;495;323;261;111;432;366;541;600;558;671;464;577;721;449;874;192;978;774;664;248;188;517;779;700;893;458;204;1212;458;473;241;458;1078;564;398;664;218;346;213;385;291;434;337;431;71;138;98;147;45;74;53;108;265;330;43;98;98;162;174;244;281;489;184;319;64;103;28;91;247;377;57;88;58;20;78;20
;blanco stembiljetten;;;73;3;0;3;2;4;0;2;0;0;0;0;0;1;1;1;3;0;0;4;6;0;0;2;0;1;3;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;1;2;0;0;0;2;3;1;0;0;0;2;0;0;0;2;2;3;0;3;1;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;ongeldige stembiljetten;;;71;2;1;0;0;0;0;0;1;0;0;0;0;0;2;1;0;2;0;0;4;1;2;0;0;2;4;2;0;0;0;0;0;1;3;1;3;0;0;0;1;2;0;2;4;0;0;0;0;1;1;0;0;0;1;1;2;0;7;1;0;0;0;1;0;0;0;1;2;1;0;0;1;0;1;0;0;0;0;1;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;aangetroffen stembiljetten;;;41451;1091;448;524;484;867;614;256;315;405;476;476;388;757;611;531;915;272;373;1429;751;175;685;275;205;708;443;497;323;261;111;432;366;543;606;559;675;464;577;721;450;876;192;981;780;664;248;188;519;783;702;893;458;204;1215;459;475;241;467;1081;567;398;667;220;347;213;385;292;439;339;431;71;139;98;148;45;74;53;108;266;335;43;98;99;162;175;244;281;492;184;320;64;103;28;91;247;377;57;90;58;20;78;20
