Verkiezing;;Gemeenteraad Noordenveld 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Noordenveld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kantine Korbalvereniging Noordenveld;Gemeentehuis;Fletcher Hotel Langewold;Bibliotheek Roden;De Open Hof;'t Dörpshuus NijRoon;Kantine VV Nieuw-Roden;cafe het Rode Hert;Cafe Dussel;'t RAShuys;Ontmoetingscentrum de Brinkhof;Het Verenigingsgebouw;"MFA ""de Schans""";Sporthal Peize;Dorpshuis Peize;Dorpshuis Altena;"Verzorgingscentrum ""de Hullen"" 10 uur tot 12 uur";Verzorgingscentrum De Hoprank 14 uur tot 16 uur;Woonzorgcentrum Noorderkroon 14 uur tot 17 uur;"Woonzorg ""de Garve""  9 uur tot 12 uur";Stemstraat Roden (Norgerweg);Gemeentehuis 14-03-2022;Gemeentehuis 15-03-2022;Ontmoetingscentrum de Brinkhof 14-03-2022;Ontmoetingscentrum de Brinkhof 15-03-2022;Dorpshuis Peize 14-03-2022;Dorpshuis Peize 15-03-2022
;;19;Schaap, J.;40;0;8;7;1;5;6;2;1;1;0;0;1;1;0;0;0;0;0;0;0;3;2;2;0;0;0;0
;;20;Wekema, S.C.;53;0;2;3;0;3;0;0;0;0;0;3;0;0;13;15;0;0;0;0;0;0;1;0;0;0;4;9
;;21;Drent, R.J.;25;2;2;2;0;6;7;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Oosterbeek, J.H.D.;13;0;0;0;0;1;1;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;den Boer, B.L.;11;0;0;1;2;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;24;Pheifer, C.S.G.;117;0;0;0;0;4;1;0;0;0;0;2;99;2;0;4;0;0;0;0;0;0;0;0;3;2;0;0
;;25;van Erp, M.;45;4;3;4;0;0;10;1;2;4;0;4;1;5;0;3;0;0;0;0;0;0;2;1;1;0;0;0
;;26;Schulten, J.H.M.;15;0;0;0;0;1;4;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0
;;27;Berghuis, P.R.;30;0;1;2;3;0;15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2
;;28;Nijnuis, Y.T.J.;54;2;2;2;4;2;7;1;1;0;7;2;0;6;1;8;1;0;0;0;0;5;0;0;1;0;1;1
;;29;Swart, R.J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Martens, J.A.;21;1;0;0;0;0;0;0;0;0;0;9;2;2;0;0;0;0;0;0;0;0;0;0;5;2;0;0
;;31;Coenen, J.A.F.;15;0;0;0;0;1;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;3;1
;;32;Kruims, J.;36;2;2;3;2;4;2;1;11;3;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;1
;;33;van Gastel- de Jager, A.A.;31;0;1;6;0;3;5;1;0;4;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;0;1
;;34;Posthumus, J.;16;0;2;0;1;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2
;;35;Akker, G.;28;1;2;3;4;1;7;4;0;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Koolen, J.A.;16;0;0;0;0;0;0;0;2;0;0;10;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;37;Jansen, A.;36;0;0;0;0;0;1;0;0;0;0;21;0;1;0;0;0;0;0;2;0;3;0;0;2;6;0;0
;;38;Holthuis, G.J.;8;0;1;0;1;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;39;Kemkers, J.;25;0;5;6;2;4;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0
;;40;Bron, A.G.;15;1;2;1;0;2;3;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Nijnuis, T.A.;32;0;0;1;2;1;0;0;0;1;0;0;0;0;8;10;1;0;1;0;0;1;0;0;0;0;5;1
;;42;Jansma, E.;29;0;2;1;5;3;0;2;7;0;0;1;0;1;1;0;3;0;0;0;0;0;0;3;0;0;0;0
;;43;Oolders, H.;23;0;1;6;1;2;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;44;Stroetinga, W.;11;0;0;0;1;1;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;1
;;45;Gelling, A.;30;2;2;0;1;1;11;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Hagenauw, H.;22;0;5;6;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;3;2;1;0;0;0;0
;;47;Woldman, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Bathoorn, D.J.;35;0;6;3;3;5;4;3;0;2;2;0;1;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0
;;49;Ensing, J.H.;10;0;2;0;1;2;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Kosters, H.;37;0;0;1;0;0;2;0;0;5;0;4;0;0;9;3;1;0;1;0;0;3;0;0;2;1;2;3
2;LGN;;;2364;83;126;150;75;185;251;62;46;63;112;221;68;54;114;132;57;1;1;11;4;46;93;120;88;75;67;59
;;1;Nieboer, T.;1161;54;75;67;43;118;157;44;25;34;70;50;31;33;42;39;32;1;1;10;1;19;64;63;20;8;32;28
;;2;Stille, C. L. A.;125;1;5;8;7;18;13;4;1;7;4;5;13;5;4;4;0;0;0;0;0;6;6;5;4;4;0;1
;;3;Wolthuis, F.A.E.G.;377;11;19;16;3;11;20;3;5;7;11;93;15;6;4;4;4;0;0;0;2;7;8;19;52;51;5;1
;;4;Perdok, H.;86;1;3;11;3;6;8;3;7;8;3;2;1;2;3;3;1;0;0;1;0;4;5;7;0;1;3;0
;;5;Nieuwenhuizen, N.;188;2;1;5;1;0;0;0;1;2;0;10;2;0;46;56;14;0;0;0;0;0;0;0;0;0;24;24
;;6;Wiggers, J. A.;16;0;0;5;0;2;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0
;;7;Nieuwenhuis, A.;42;0;0;0;0;1;0;0;0;0;1;17;0;0;2;1;2;0;0;0;1;1;0;1;8;7;0;0
;;8;de Weerd, S.;38;0;2;12;5;6;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;1;3;0;0;0;1
;;9;van der Tuin, J. S.;14;0;3;1;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
;;10;Marinus, G. H.;15;0;0;0;7;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
;;11;Auso, I.;41;1;4;6;1;2;11;0;0;0;0;0;2;4;0;3;1;0;0;0;0;0;1;4;0;0;0;1
;;12;Kind, T.;42;6;4;3;2;7;9;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;1;0;0;0
;;13;Helmus, D. H.;47;0;3;7;2;3;14;5;0;3;0;0;0;0;1;0;0;0;0;0;0;2;2;5;0;0;0;0
;;14;van Slooten, T. J.;10;2;0;1;0;3;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Kasper, J;18;2;0;0;0;0;0;0;0;0;6;3;0;3;0;0;0;0;0;0;0;1;1;2;0;0;0;0
;;16;Baas, P. W. D. M.;14;2;1;1;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;17;Aardema, H. A. T.;36;0;0;0;0;0;1;0;0;0;0;28;0;0;0;0;0;0;0;0;0;2;0;0;3;2;0;0
;;18;Mac Gillavry, D.L.;5;0;1;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Cazemier-de Jong, B;8;0;1;0;0;2;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;20;Nijhof, G. J.;5;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;21;Heerlien, G.;13;0;2;0;0;0;1;0;2;0;2;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1
;;22;Hesseling, J;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Ponsteen, W. H. G.;10;1;1;2;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;24;Attema, W. J.;4;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Labberton, F. H.;7;0;0;4;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Lolkema, D. R.;41;0;0;1;0;2;2;0;2;1;3;1;0;0;11;10;2;0;0;0;0;0;0;2;0;1;1;2
3;Partij van de Arbeid (P.v.d.A.);;;1731;48;92;95;97;115;212;45;40;85;29;164;28;87;87;72;16;3;0;3;18;23;73;107;43;49;46;54
;;1;Wekema, A.H.;771;27;45;53;63;67;100;24;13;17;9;54;11;11;37;25;5;1;0;3;9;14;48;59;14;22;18;22
;;2;Ensink, T.;104;0;5;3;2;4;3;0;1;0;2;0;0;2;20;23;4;0;0;0;1;0;1;2;0;0;16;15
;;3;Pijpker, C.A.J.;275;7;17;10;7;11;37;10;8;4;5;22;12;64;6;7;3;1;0;0;0;1;10;8;5;7;6;7
;;4;de Wind, W.;72;2;1;0;1;3;1;0;0;1;0;33;1;4;0;0;0;0;0;0;5;0;0;2;8;9;1;0
;;5;Jansen, E.;24;0;1;1;2;3;7;0;0;1;0;1;0;0;2;0;1;0;0;0;1;0;1;2;0;0;0;1
;;6;Keizer, E.C.;127;2;3;4;1;4;9;1;2;52;0;29;0;1;4;4;0;0;0;0;0;2;3;6;0;0;0;0
;;7;Been, K.;43;1;1;10;1;4;8;2;2;1;0;2;1;0;0;1;0;0;0;0;0;1;2;4;0;0;2;0
;;8;de Vries, P.N.;39;6;5;0;0;2;11;3;1;1;0;0;1;0;0;0;0;0;0;0;0;2;0;5;0;2;0;0
;;9;Cazemier, J.C.;15;0;0;2;0;3;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0
;;10;Visser, E.H.Q.;28;0;2;1;3;0;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;2;9;4;0;1
;;11;Wijnholds, R.;6;0;1;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Wemmenhove, A.J.;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kiemel, K.;24;0;3;1;2;3;11;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
;;14;Boelman, J.;13;1;0;0;0;4;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0
;;15;Pruntel, A.;23;0;0;0;0;0;0;0;0;0;0;1;0;0;8;7;2;0;0;0;0;0;0;0;0;0;2;3
;;16;Keizer, O.L.;24;1;1;0;0;0;1;1;12;0;1;1;0;0;1;1;1;0;0;0;0;1;0;2;0;0;0;0
;;17;van der Heijden, J.;5;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;18;Ulrich, J.;24;0;2;2;0;2;5;0;0;0;7;1;1;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
;;19;Euverman-Lindenbergh, A.E.;8;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;20;Oosterloo, J.;29;1;1;3;9;2;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;2;1;0;0;0;4
;;21;Brink-Rozema, J.R.;10;0;0;0;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;;22;Wolters, G.;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Guldenaar-Vos, J.;20;0;0;1;0;0;0;0;0;0;0;11;0;1;0;0;0;0;0;0;1;0;0;0;5;1;0;0
;;24;Koster-Smith, M.;14;0;0;0;0;0;0;1;0;3;0;1;0;0;6;1;0;0;0;0;0;0;0;0;0;0;1;1
;;25;Bak, J.G.H.;7;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;26;de Wind, F.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Wekema, M.;8;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Doornbos, A.H.;13;0;1;2;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;4;1;0;0;0
4;GROENLINKS;;;1383;35;93;59;30;98;148;31;69;56;23;89;54;33;115;104;33;0;0;4;1;23;56;96;19;26;33;55
;;1;Epema, B.J.;476;14;50;27;10;34;56;8;21;17;10;24;9;9;25;20;9;0;0;4;0;13;24;56;3;7;10;16
;;2;van der Noord, A.F.;412;9;28;17;10;30;47;10;12;16;7;27;16;18;32;30;9;0;0;0;1;6;17;20;9;14;11;16
;;3;de Vries, P.M.J.;25;0;2;1;0;1;4;0;3;0;0;1;0;3;0;0;2;0;0;0;0;1;2;2;0;0;2;1
;;4;Bruil, R.J.;41;2;1;4;0;0;10;8;0;0;0;2;4;0;2;1;1;0;0;0;0;0;1;4;0;0;1;0
;;5;Veldhuis, L.H.;88;5;2;5;2;3;11;2;22;1;2;6;0;1;3;9;3;0;0;0;0;1;3;3;1;1;0;2
;;6;van der Meer, B.A.;20;0;1;0;0;5;0;0;7;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1
;;7;van Welsem, M.M.;16;0;0;0;0;0;0;0;1;1;0;0;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;2
;;8;Buitenkamp, M.;95;0;0;0;0;1;3;0;0;3;0;0;1;0;33;30;3;0;0;0;0;1;0;4;1;0;6;9
;;9;Wiersma, J.;4;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Stoffers, N.E.;42;2;6;2;2;10;3;0;0;0;1;2;1;1;0;3;0;0;0;0;0;0;3;0;1;1;2;2
;;11;Penninga, M.;28;1;1;0;1;2;2;0;0;16;1;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0
;;12;Sierksma, G.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
;;13;Braspenning, C.G.;14;0;0;1;1;4;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;14;van der Hoek, R.;7;0;0;0;0;0;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;15;Sijens, L.;23;1;0;0;2;0;0;0;0;0;0;2;16;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Timmerman, H.;17;0;0;0;0;0;1;0;0;0;0;1;1;0;6;0;4;0;0;0;0;0;0;0;0;0;1;3
;;17;Ton, E.S.G.;14;0;2;0;0;0;0;0;0;0;0;3;4;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0
;;18;Niezen, J.;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;19;Joosten-Schipper, G.C.;28;0;0;0;0;2;1;0;0;0;0;19;1;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0
;;20;Huisman, O.;26;1;0;1;2;5;1;0;2;0;0;2;0;1;2;1;0;0;0;0;0;0;3;5;0;0;0;0
5;VVD;;;1333;20;99;61;39;49;103;25;17;56;32;237;47;54;57;52;21;0;0;7;4;32;52;81;51;64;28;45
;;1;Meijer, R.H.;598;11;50;50;27;32;52;6;11;27;17;57;14;22;16;25;8;0;0;7;1;20;30;53;13;19;14;16
;;2;Emmens, D.N.;349;5;10;7;6;6;16;10;3;7;7;116;14;16;12;9;6;0;0;0;1;6;11;14;33;31;2;1
;;3;Hoving, F.R.;70;0;2;2;0;1;0;2;0;0;0;2;0;1;13;11;3;0;0;0;0;0;3;0;0;0;9;21
;;4;de Vrieze, D.J.;43;1;7;0;0;0;2;1;1;2;4;9;5;0;2;3;4;0;0;0;0;0;0;1;0;0;0;1
;;5;van Wijk, H.;22;0;5;0;1;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0
;;6;Bannink, T.J.M.;21;0;0;0;2;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Wendel, H.;37;0;1;0;0;1;2;0;0;0;0;16;0;1;3;0;0;0;0;0;0;0;2;1;3;7;0;0
;;8;de Vries, R.;28;0;5;0;0;3;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0
;;9;Douwsma, A.;38;0;6;0;0;0;3;0;0;0;3;18;1;2;0;0;0;0;0;0;1;0;0;1;0;3;0;0
;;10;Renkema, H.T.;31;2;6;2;2;5;6;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;2
;;11;Emmens, H.E.;9;0;0;0;0;0;0;1;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;12;Platje, D.;23;0;1;0;0;0;0;0;0;0;0;3;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Stokhorst, H.J.;10;0;3;0;0;0;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;van der Werf, T.W.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Hiemstra, P.J.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Muntinga-Gosselaar, F.A.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;17;Hofstra, B.;8;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
;;18;Stel, J.L.;16;0;1;0;1;0;0;0;0;0;1;7;0;1;2;0;0;0;0;0;0;0;0;0;2;1;0;0
;;19;Rossing, A.G.H.;20;0;1;0;0;0;1;0;1;0;0;0;0;0;7;4;0;0;0;0;0;0;1;0;0;0;1;4
6;CDA;;;819;25;76;88;68;81;82;27;13;25;14;39;34;32;13;23;8;9;1;3;4;9;33;63;14;18;5;12
;;1;Westra -Wagena, A.;477;19;41;57;39;55;53;18;7;22;8;19;15;4;8;6;3;5;1;1;1;6;24;43;5;11;1;5
;;2;Mennen, J.;34;0;3;0;0;4;2;0;0;1;0;2;4;0;0;7;2;0;0;0;0;0;3;2;0;1;2;1
;;3;Willenborg, G.H.R.M.;33;0;0;1;3;0;0;1;0;0;1;0;0;2;5;5;0;0;0;1;1;0;0;0;3;2;2;6
;;4;Scheepstra, E. E.;43;2;1;2;2;0;3;0;0;0;0;5;7;17;0;2;0;0;0;0;0;1;1;0;0;0;0;0
;;5;Heijs, R.C.;46;3;5;8;3;8;4;5;0;0;1;0;0;1;0;0;0;2;0;0;0;0;1;4;1;0;0;0
;;6;Holman, H.;118;1;22;10;14;10;12;1;5;2;2;7;6;5;0;2;2;2;0;1;0;2;1;11;0;0;0;0
;;7;Schutte, A.J.H.;24;0;4;5;5;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
;;8;Janssen, B.;9;0;0;0;2;0;1;0;0;0;0;2;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;de Jong, S.;16;0;0;0;0;0;1;0;0;0;0;4;1;0;0;0;1;0;0;0;1;0;0;0;4;4;0;0
;;10;Westra, M.;19;0;0;5;0;3;4;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0
