Verkiezing;;Gemeenteraad Midden-Drenthe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Midden-Drenthe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1731;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Beilen;Wooncentrum 't Stroomdal;Buurtgebouw De Raat;Kerkgebouw De Ark;Zalencentrum De Valkenhof;Dorpshuis De Dorpshoeve;Dorpshuis 't Haolerhoes;Dorpshuis De Weidehoek;Kerkelijk Centrum De Voorhof;Buurthuis Annie Londo;MFA Groene Borg;Sporthal De Börkerkoel;Dorpshuis De Heugte;Dorpshuis De Tille;Kerkgebouw De Rank;Zalencentrum Het Kompas;MFA De Spil;Kerkgebouw Het Kruispunt;Dorpshuis De Olde Bieb;Stefanuskerk;Gemeentehuis - Vervroegd stemmen op 14 maart 2022;Gemeentehuis - Vervroegd stemmen op 15 maart 2022;Sporthal De Börkerkoel - Vervroegd stemmen op 14 maart 2022;Sporthal De Börkerkoel - Vervroegd stemmen op 15 maart 2022;Zalencentrum Het Kompas - Vervroegd stemmen op 14 maart 2022;Zalencentrum Het Kompas - Vervroegd stemmen op 15 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;9411 NB;9411 KD;9411 GV;9411 NX;9411 LG;9415 PJ;9414 AV;9418 PB;9431 AZ;9431 CW;9431 MK;9431 BZ;7938 PK;9439 PE;9422 EG;9422 AA;9421 NN;9421 PH;9423 PV;9411 KH;9411 NB;9411 NB;9431 BZ;9431 BZ;9422 AA;9422 AA
;;22;Kruize, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Klok-Kapma, T.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Kuik, J.C.J.M.;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;12;0;0;2;0;0;0;0;0;2;6
;;25;Smink, S.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0
;;26;Daalman, P.J.;39;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;13;0;3;9;0;0;0;0;0;3;4
;;27;Cheret, I.;37;3;6;8;1;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8;1;3;0;0;0;1
;;28;Hoogeveen, J.;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;2;0
;;29;Smink, K.J.H.;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Middelbos-Flinkert, F.;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0;0
;;31;Radix, J.;39;0;0;0;1;2;0;0;0;1;0;0;0;0;0;8;7;0;5;4;1;0;0;0;0;1;9
5;Gemeentebelangen - BBBondgenoot;;;3226;164;145;187;91;175;180;184;357;140;113;129;75;146;223;66;99;79;75;165;133;69;89;29;63;7;43
;;1;Kerssies, J.;1215;49;46;60;35;60;79;50;156;64;48;59;42;52;52;24;49;29;36;52;42;28;37;12;36;4;14
;;2;Jonker, J.F.;228;17;22;17;14;16;11;21;7;6;4;5;4;3;3;2;6;6;6;4;28;7;12;1;2;0;4
;;3;Meijering-Kerssies, H.E.;432;40;20;23;18;44;21;20;43;23;17;25;6;13;19;5;9;8;4;11;24;17;10;5;6;1;0
;;4;Frenken, J.R.;105;4;7;7;1;1;0;4;29;12;2;4;4;4;10;1;0;2;1;2;1;1;3;2;1;0;2
;;5;Wielink, R.;212;3;2;1;0;3;7;7;7;14;11;16;6;19;104;1;0;0;0;3;1;0;2;2;3;0;0
;;6;van der Heide-Hoogeveen, H.G.;115;3;4;8;0;0;17;42;2;2;2;0;0;0;4;3;5;2;1;4;2;3;3;2;1;0;5
;;7;Oosting, W.J.;19;1;1;2;1;0;0;1;3;1;0;1;0;0;0;0;1;0;0;0;2;2;2;0;1;0;0
;;8;Slagter-Kok, I.T.J.;100;0;1;2;1;2;8;0;0;0;1;1;0;0;1;12;7;2;2;50;0;0;1;0;2;0;7
;;9;Gils, G.M.;67;3;6;9;9;10;4;5;1;0;1;0;0;0;0;0;1;2;1;0;8;3;4;0;0;0;0
;;10;van Vliet, L.J.;62;1;3;6;1;1;2;0;22;0;3;2;6;4;1;1;0;0;0;0;3;0;0;1;4;0;1
;;11;Schans, R.;68;4;3;10;2;1;3;1;2;6;10;6;7;0;2;0;1;0;0;0;2;1;3;3;1;0;0
;;12;Boersma, L.W.;39;5;7;4;4;4;1;2;0;0;0;2;0;0;1;1;0;0;0;0;4;0;4;0;0;0;0
;;13;Koning-Jager, H.;76;2;0;2;2;0;0;2;0;0;0;0;0;1;0;9;1;23;24;2;0;0;0;0;0;2;6
;;14;Hospers, D.J.;91;1;2;3;0;3;2;0;72;0;3;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0
;;15;Hummel, C.;55;0;0;1;0;1;4;2;0;0;0;0;0;0;1;5;13;0;0;27;1;0;0;0;0;0;0
;;16;Oldenbeuving, R.;68;9;7;16;0;16;3;0;2;2;1;0;0;0;0;0;1;0;0;1;3;3;2;0;2;0;0
;;17;Strijker-Weststrate, J.A.;7;0;0;0;0;1;1;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Jongman, A.A.;108;3;2;2;1;0;2;4;1;8;3;3;0;48;17;1;2;3;0;4;1;0;1;1;1;0;0
;;19;Oosting, D.E.;20;2;3;1;0;0;5;0;0;0;1;0;0;0;1;0;0;0;0;0;4;1;0;0;0;0;2
;;20;Lanting, A.;48;0;1;5;1;0;5;22;2;0;1;0;0;1;4;0;1;0;0;2;0;0;1;0;0;0;2
;;21;Derks, E.J.;91;17;8;8;1;12;5;1;5;1;5;5;0;1;1;0;1;2;0;3;6;2;4;0;3;0;0
6;D66;;;842;68;33;37;24;39;16;35;23;22;21;101;25;13;20;21;30;30;25;27;72;40;53;10;29;14;14
;;1;Knoeff, A.A.;326;20;12;13;12;13;11;16;13;9;9;62;10;4;9;3;6;6;3;10;23;17;19;6;13;4;3
;;2;Klamer-Wardle, C.L.W.;285;24;14;10;7;14;5;17;4;7;9;32;11;6;8;3;14;7;9;8;21;14;15;4;14;4;4
;;3;Leistra, M.;55;12;3;5;2;4;0;0;2;0;0;1;0;0;0;0;0;0;1;1;16;5;3;0;0;0;0
;;4;Huisman, P.H.J.;35;2;1;3;2;7;0;0;0;2;0;0;0;0;0;2;1;0;0;1;2;4;8;0;0;0;0
;;5;van IJsselmuiden, G.K.P.;12;3;0;3;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;6;de Jong, W.J.;17;4;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;1;2;0;4;0;0;0;1
;;7;Boers, T.D.;43;2;1;1;0;0;0;0;1;1;1;1;0;0;0;4;9;2;2;5;2;0;2;0;0;4;5
;;8;Patberg, J.M.;24;0;0;0;0;0;0;0;2;2;2;4;4;3;3;0;0;2;0;1;0;0;0;0;1;0;0
;;9;Siertsema, H.R.;26;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;0;9;3;0;0;0;0;0;1;2;1
;;10;Westen, G.W.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0
;;11;Noorman, F.J.;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
;;12;Bosch, A.L.;6;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
7;ChristenUnie;;;912;53;55;46;31;76;27;80;33;25;5;18;11;42;11;57;55;40;41;27;57;27;35;7;7;15;31
;;1;van Dijken-te Velde, L.;566;19;31;27;15;54;15;54;25;22;4;11;6;29;9;24;40;26;28;23;35;15;16;5;5;10;18
;;2;Heideveld, H.;121;11;9;5;6;13;4;13;3;2;1;2;1;9;2;9;3;3;2;2;9;4;4;1;0;2;1
;;3;Pronk, G.F.;56;7;4;3;3;3;3;0;0;1;0;1;0;2;0;2;0;3;4;1;7;3;7;1;1;0;0
;;4;van Beelen, M.C.;18;1;3;3;3;1;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
;;5;Buffinga, C.;11;1;0;0;0;2;3;2;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
;;6;Havinga, T.J.;15;1;0;0;3;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;1;0;2;0;0;0;4
;;7;Smit, G.W.;14;1;2;4;1;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;8;Klapwijk, J.P.;9;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;9;van Harten, A.J.;48;0;0;0;0;0;0;0;2;0;0;2;0;0;0;18;6;5;5;1;0;0;0;0;0;3;6
;;10;Snippe-Pullen, Z.;13;4;1;1;0;0;0;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;2
;;11;Waalewijn, H.;8;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0
;;12;Sloots, S.M.;12;0;4;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;13;Post, H.;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
;;14;Pronk, G.;16;2;1;2;0;1;2;1;0;0;0;0;0;0;0;0;2;0;0;0;3;0;1;0;1;0;0
8;GROENLINKS;;;1143;55;53;42;17;38;48;62;59;64;70;66;25;33;73;32;46;61;43;21;47;30;49;27;35;15;32
