Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Raadhuis;Buurthuis het Oor (vh De Westerkim);vh J. v. d Sleedenhuis;MFC Het Knooppunt;MFC De Magneet (vh NNCZ Grote Beer);Boerderij (vh School Erflanden);MFC De Magneet;Oosterkerk;Sporthal Het Activum (vh Wolfbos);Buurthuis DES-gebouw;School Zuiderbreedte;De Goede Herderkerk;Maranatha kerk;De Vredehorst (vh WZC De Vecht);Gymzaal Curiestraat (vh Flt Weideheem I);Sporthal Trasselt (vh Basisschool 't Kienholt);Buurthuis De Weideblik;MFC De Cirkel;Dorpscentrum 't Anker;Sporthal De Marke (vh WZC Beatrix);Sporthal De Brug (vh De Open Deur/'t Vonder);Centrumkerk (vh Jul. van Stolbergschool);Gymzaal Booyenverlaat (vh De Schuthoek);Sporthal Trasselt;Dorpshuis 't Overschotje;De Wenning;MFC De Opsteker;Vereniging Ons Dorpshuis;Dorpshuis De Vuurkorf;MFC De Eiken;Het Raadhuis;Sporthal Het Activum;Sporthal Trasselt;Sporthal De Marke;De Wenning;Het Raadhuis;Sporthal Het Activum;Sporthal Trasselt;Sporthal De Marke;De Wenning
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
Postcode;;;;;7901 BP;7901 GK;7901 AV;7902 JG;7904 LW;7908 AC;7904 LW;7905 CA;7902 NX;7906 BG;7906 GA;7906 HB;7907 EG;7908 AD;7909 BT;7908 PB;7908 LL;7914 PM;7913 AE;7913 AG;7916 PW;7902 EP;7908 EE;7908 PB;7931 TL;7933 PW;7918 AX;7934 PE;7912 TH;7936 PB;7901 BP;7902 NX;7908 PB;7913 AG;7933 PW;7901 BP;7902 NX;7908 PB;7913 AG;7933 PW
;;3;Kramer, W.E.;177;5;0;2;0;2;4;1;1;1;1;6;3;0;4;0;1;3;1;1;1;3;2;2;2;8;76;0;5;0;1;0;0;0;0;6;1;2;3;1;28
;;4;Klok, R.;279;23;5;7;3;8;29;3;3;5;7;8;6;5;26;8;4;22;2;1;2;0;0;14;13;9;3;1;0;9;3;6;0;12;0;0;9;4;19;0;0
;;5;Oosterhof-Kok, J.N.M.;62;2;1;2;0;1;5;0;0;0;0;2;0;0;3;1;1;1;1;2;1;4;1;0;2;2;0;25;1;0;0;0;1;0;1;0;1;0;1;0;0
;;6;Strijker, R.A.;94;4;4;2;0;2;10;0;5;1;2;0;1;0;4;2;4;2;17;2;1;0;0;2;3;2;2;1;0;1;0;2;3;0;2;0;4;0;7;2;0
;;7;Paters-Metselaar, H.G.L.;39;3;0;0;1;1;2;0;2;0;0;0;1;0;2;0;1;0;2;1;1;0;0;4;2;2;0;1;0;8;1;0;0;0;0;0;2;0;2;0;0
;;8;Jager, R.T.;17;1;0;0;2;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;1;0;0;0;1;0;1;0;0
;;9;Otten, F.;92;5;0;0;1;0;1;1;1;2;2;0;0;0;4;0;2;1;0;22;31;2;1;1;1;1;0;2;3;1;1;3;0;0;2;0;0;0;0;1;0
;;10;Lichtendonk, M.;25;0;0;1;1;2;1;0;0;0;0;2;0;6;0;0;1;4;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;11;Schoonheim, M.J.V.P.W.;65;5;0;1;0;1;7;1;6;0;0;0;1;1;5;0;0;4;0;0;0;0;0;3;5;7;0;0;2;0;0;5;2;2;0;0;4;1;2;0;0
;;12;Takens-Abrahams, M.;52;1;2;0;1;0;0;0;0;0;1;0;3;0;1;0;0;1;1;0;1;1;1;1;0;6;19;1;6;1;0;0;0;0;0;0;1;0;0;0;3
;;13;van der Haar, A.;16;1;0;0;0;1;1;0;1;0;0;0;1;0;2;2;1;0;0;0;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Slot, H.H.;22;0;0;0;0;0;1;0;1;0;0;0;1;1;2;2;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0;4;0;1;0;0;0;0;4;0;0
;;15;Berkenbosch, R.A.;33;3;1;0;3;1;7;2;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;2;0;0;4;0;0;0;0
;;16;van der Wilt, D.;43;5;0;2;0;1;3;1;2;1;1;0;0;0;1;0;5;3;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;2;0;0;4;1;4;0;0
;;17;Nijmeijer-Joling, A.J.M.;7;0;1;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van Regteren, W.;23;6;0;0;4;1;2;1;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;1;0;0
;;19;Beijering, A.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;20;Bruijn- van den Berg, D.B.;15;0;0;1;0;0;3;0;1;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;21;Steenbergen, A.A.;49;0;0;0;1;0;0;1;3;0;0;0;4;1;0;1;1;0;1;2;0;1;0;0;0;1;9;3;3;6;1;0;0;0;0;1;0;2;0;0;7
4;ChristenUnie;;;2241;80;31;41;49;62;106;66;119;48;31;49;129;37;128;57;56;84;132;101;61;44;28;63;43;19;45;46;20;63;33;40;26;54;33;7;69;44;55;32;10
;;1;Pullen-Muis, H.;1175;47;21;24;32;27;58;33;60;22;14;21;71;26;76;34;29;47;42;42;28;14;18;38;21;8;22;29;12;21;17;26;18;40;11;7;39;20;33;23;4
;;2;van Dijk, M.;106;5;1;2;0;1;11;4;6;4;2;1;6;2;7;2;1;5;3;1;0;1;1;7;2;4;3;4;1;0;1;3;1;1;2;0;4;3;3;0;1
;;3;Meesters, K.M.;152;3;1;2;4;3;2;4;2;2;1;2;5;0;9;1;2;2;47;9;9;4;1;3;0;1;7;1;3;4;6;2;2;0;1;0;2;2;0;2;1
;;4;Verstegen, G.P.;87;1;0;1;3;5;6;3;9;4;3;4;3;1;5;1;2;5;1;0;0;1;1;5;1;0;0;1;2;0;0;1;2;2;0;0;4;6;3;0;1
;;5;Noordhuis, P.R.;103;5;0;0;0;10;5;3;3;1;1;4;4;3;9;4;5;7;8;0;4;1;1;1;3;2;1;1;1;5;0;0;0;4;0;0;6;1;0;0;0
;;6;van Beek, A.J.;24;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;7;de Leeuw, A.P.;28;0;2;0;0;1;1;2;0;1;0;1;7;0;1;1;2;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0
;;8;Kwant-Leeftink, N.K.;32;1;0;1;1;1;1;3;2;0;1;0;3;0;6;1;1;1;0;2;0;0;0;0;0;0;1;1;0;1;2;0;0;1;0;0;0;0;1;0;0
;;9;Drent, R.;56;2;0;0;2;1;5;0;2;0;1;1;6;3;0;1;5;1;1;1;1;2;3;3;2;2;1;0;1;0;0;1;0;1;0;0;2;0;5;0;0
;;10;Top-de Jong, J.I.;27;2;0;1;0;1;5;3;0;0;0;1;2;0;1;2;1;0;0;0;0;1;0;0;1;0;0;0;0;1;2;2;0;0;0;0;0;1;0;0;0
;;11;Warrink, W.;43;2;0;4;0;0;5;0;4;5;0;1;5;0;1;0;0;2;2;0;1;0;0;1;1;0;5;0;0;0;0;0;0;0;0;0;2;2;0;0;0
;;12;Baanvinger-Karssies, G.;50;1;0;0;0;2;0;1;5;3;0;1;5;0;0;0;2;1;2;11;4;0;0;4;2;0;0;3;0;0;1;0;0;1;1;0;0;0;0;0;0
;;13;Mulderij, A.E.;20;0;0;0;1;0;1;0;4;0;1;3;3;0;0;0;0;1;0;2;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;14;Lunenborg, J.;60;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;16;1;5;0;0;0;0;0;0;1;0;24;3;0;1;0;2;0;2;0;0;1;0
;;15;Klunder, N.;85;1;2;1;0;3;1;0;4;1;4;3;1;0;0;2;1;2;2;20;8;0;0;0;1;0;1;0;0;4;0;0;1;0;12;0;0;2;2;3;3
;;16;Vos-Strijker, P.T.;36;5;0;0;3;1;1;0;1;0;1;0;0;0;3;0;0;2;3;2;0;3;0;0;0;0;4;0;0;0;0;1;0;2;0;0;1;1;2;0;0
;;17;Snijder, W.;6;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van der Heide-Strockmeijer, B.;8;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;19;Mansens, J.;16;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;1;2;3;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0
;;20;Bekkering, J.;13;0;1;1;0;0;0;2;0;1;0;3;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Kats, B.;25;0;1;0;0;3;0;1;2;2;0;1;1;1;0;2;1;1;0;0;0;0;0;0;1;0;0;3;0;2;0;1;0;0;2;0;0;0;0;0;0
;;22;Cnossen, S.;13;0;0;0;0;0;1;0;0;1;0;0;2;0;3;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;23;Contermans, J.;42;2;1;3;1;0;1;4;7;1;0;1;3;0;6;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0
;;24;Eekhof-Binnenmars, B.J.B.;14;2;0;0;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0
;;25;Hofstee, K.;20;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;2;2;0
5;SP (Socialistische Partij);;;1542;61;28;27;47;88;40;74;72;33;78;46;63;41;59;50;33;68;42;55;39;54;6;70;17;12;34;30;15;16;14;23;16;16;16;7;52;23;27;30;20
;;1;van den Oord-van der Bie, J.K.;961;42;12;16;25;56;32;46;51;24;57;20;34;22;46;30;25;49;19;25;23;37;2;52;8;6;15;19;10;12;8;15;9;11;8;4;32;11;22;12;14
;;2;Pomper, J.M.;192;5;8;3;8;15;3;9;10;6;13;11;12;3;3;5;3;6;6;8;4;7;3;6;4;2;2;4;0;0;1;1;0;0;1;1;7;8;2;2;0
;;3;Oosterlaak, P.H.;52;0;1;0;2;1;0;3;3;1;0;4;0;1;1;1;3;4;9;1;3;3;0;0;0;0;1;0;0;4;3;1;0;1;0;0;1;0;0;0;0
;;4;Baalman, H.;22;1;0;1;1;0;0;2;1;0;1;3;3;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0
;;5;van Doorn-Reinders, H;86;6;3;1;2;6;3;5;1;2;2;3;4;3;2;4;2;3;4;1;1;0;0;4;1;3;2;0;3;0;0;0;4;1;0;0;5;2;1;2;0
;;6;Sturing, G.;17;1;0;0;0;1;0;1;1;0;0;0;1;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;1;1;0;0
;;7;Boertien, H.;71;2;0;1;1;0;0;0;1;0;0;0;2;2;0;0;0;1;0;18;8;7;0;0;1;0;0;4;0;0;0;0;0;0;5;0;2;0;0;14;2
;;8;de Vries-Kroezen, A.;27;1;1;0;1;1;0;1;2;0;1;0;3;2;2;3;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0
;;9;Ruijne, D.A.;20;0;0;0;0;4;0;6;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0
;;10;Winter, H.;35;1;1;1;6;3;0;1;2;0;2;2;0;1;2;3;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0
;;11;Boode, P.E.C.;35;1;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;1;0;0;0;1;0;1;0;14;0;2;0;0;1;0;0;0;2;0;0;0;0;4
;;12;Ludema, J.A.;24;1;2;4;1;1;0;0;0;0;0;3;0;0;1;2;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;0;2;1;0;0;0
6;Partij van de Arbeid (P.v.d.A.);;;3478;139;58;53;126;122;139;116;176;63;100;128;122;50;136;88;75;157;62;158;97;185;17;162;68;49;89;49;49;38;31;61;46;52;33;22;73;71;111;68;39
;;1;van Eck, S.M.;1295;55;21;26;56;34;36;48;68;20;34;44;41;18;45;33;29;73;17;35;29;27;4;44;31;29;75;19;33;26;22;26;14;27;6;16;22;30;39;10;33
;;2;Manusama, S.R.;731;27;12;11;27;29;46;27;46;21;21;26;28;20;45;26;18;33;14;13;7;11;6;56;17;6;9;8;8;4;4;20;7;16;3;2;13;11;26;5;2
;;3;Bauer, J.;110;3;1;1;1;3;4;1;7;1;7;2;4;0;5;3;4;8;3;20;7;1;0;1;0;0;0;4;0;0;0;0;1;0;6;0;1;3;0;8;0
;;4;Schonewille, L.C.;352;24;7;4;9;20;22;11;21;9;9;15;21;3;13;7;9;19;5;5;2;10;4;18;6;1;2;3;3;3;3;6;6;5;2;0;10;10;21;3;1
;;5;Dekker, W.;83;3;2;0;4;3;7;5;13;6;2;7;4;0;0;0;2;1;0;0;0;0;0;12;0;0;0;0;0;0;0;0;2;2;0;0;3;4;1;0;0
;;6;de Goede, J.;144;5;5;0;3;6;5;5;6;1;8;11;7;1;2;8;1;3;7;6;3;2;0;7;8;1;0;2;1;2;0;4;6;0;0;0;6;7;5;0;0
;;7;Tamminga, G.;22;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;10;0;1;0;0;0;0;2;0;0;0;1;1;0;1;0
;;8;Kleine, R.;23;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;2;10;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van der Haar-Donker, A.;52;1;2;0;1;3;3;2;4;1;0;1;2;1;1;3;1;6;0;1;0;1;0;5;1;0;1;1;3;0;0;2;0;0;0;3;0;0;0;1;1
;;10;Koops, R.;147;1;0;3;1;8;0;3;0;0;8;1;2;0;0;1;0;0;0;3;0;109;0;0;0;0;0;4;0;0;0;1;0;0;1;0;0;0;1;0;0
;;11;Karst, L.;16;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
;;12;Moeijes, J.;19;1;0;6;4;0;1;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
;;13;van ter Beek, M.;17;0;0;1;7;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;14;Smit, A.G.;25;1;0;0;1;0;0;0;2;0;3;1;0;2;3;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;3;0
;;15;Donker-Nijstad, R.J.;10;0;0;0;1;0;2;0;0;2;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Tuit, A.M.;201;6;0;0;0;1;3;3;3;1;2;2;4;1;8;0;2;3;10;44;37;4;0;2;1;1;0;6;0;3;2;0;2;1;10;0;7;1;6;25;0
;;17;Loof, H.;24;3;0;0;0;0;1;4;1;0;1;0;1;0;0;0;2;0;2;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0
;;18;Siers, M.A.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;19;van der Zwaag, W.;22;0;0;0;4;2;0;2;1;0;0;2;0;3;0;0;0;3;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Rumahloine, S.J.;11;0;0;0;0;0;1;0;0;0;0;1;1;1;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;21;Huijgen, G.E.J.;7;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Schuur, G.H.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Verschoor, A.C.;26;0;1;0;4;0;0;1;0;0;1;6;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0
;;24;Punt, W.W.;16;2;0;0;2;1;1;1;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0
;;25;Lip, H.;15;0;1;0;0;1;0;0;1;0;0;0;3;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0
;;26;Brink, L.F.;46;2;2;0;0;3;1;0;0;0;0;5;0;0;7;1;3;3;0;1;1;5;1;3;2;0;0;0;0;0;0;0;0;1;0;0;1;1;3;0;0
;;27;de Vries, J.;49;3;1;1;0;5;2;0;0;0;1;0;0;0;0;0;0;0;0;10;7;0;0;4;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;9;0
7;D66;;;1091;57;14;19;26;26;88;30;56;12;11;29;34;6;49;28;57;70;32;12;13;7;14;57;44;22;19;14;10;14;7;27;16;46;6;4;37;19;39;13;7
;;1;Rutgers, M.E.;683;33;8;17;14;14;68;17;34;6;8;18;13;2;30;13;35;45;23;8;7;5;9;33;27;14;15;11;7;10;4;18;10;31;2;3;22;10;28;5;6
;;2;de Laat, S.;96;8;0;0;4;2;5;0;9;2;0;2;2;0;4;2;8;7;2;2;4;0;1;11;4;2;0;1;0;0;2;1;0;2;0;1;5;0;2;1;0
;;3;Prakken, J.F.;26;0;0;1;1;2;1;0;0;0;0;0;5;0;0;1;0;1;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;1;2;2;0
;;4;Hoekstra, M.J.;31;1;0;0;4;1;0;0;0;1;0;2;0;0;1;1;3;1;1;0;0;0;0;4;1;1;0;1;2;0;0;0;2;3;0;0;1;0;0;0;0
;;5;Scheffers, E.;23;1;6;0;0;0;1;0;4;0;0;0;0;2;1;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
;;6;Bos, R.;181;11;0;1;2;5;12;11;9;1;2;3;12;2;13;7;9;12;4;0;0;2;3;7;8;4;3;1;1;3;1;7;2;7;2;0;3;6;4;1;0
;;7;Bottema, J.;8;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0
;;8;van der Graaf, B.T.;14;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;3;1
;;9;de Lange, D.;29;1;0;0;1;1;1;0;0;2;1;3;0;0;0;3;1;1;2;0;0;0;1;0;2;0;0;0;0;1;0;1;2;0;0;0;3;0;1;1;0
8;GROENLINKS;;;704;40;13;12;13;12;37;28;32;18;11;20;30;9;49;10;18;40;8;7;14;29;21;25;25;17;24;18;14;10;12;5;6;14;3;2;16;11;21;9;1
;;1;van der Meer, H.H.;230;13;4;5;5;7;9;9;13;8;3;5;8;3;17;5;6;18;4;4;4;6;4;7;7;3;4;4;8;3;3;3;0;3;1;0;4;4;11;5;0
;;2;van Hoorn, K.;36;6;3;0;3;1;3;0;2;1;0;0;0;0;1;0;1;1;0;0;0;0;0;2;2;0;0;1;0;0;0;1;1;2;0;0;3;2;0;0;0
;;3;de Jong, J.M.;219;11;5;5;2;0;17;10;9;6;3;8;10;4;14;0;4;7;1;1;6;14;8;11;6;5;17;7;1;4;4;1;2;4;1;2;1;2;3;3;0
;;4;Dijkstra, R.;32;1;0;1;0;0;0;0;0;2;0;2;0;0;3;4;3;1;1;0;1;4;2;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Berenpas, C.;42;1;1;1;1;0;2;2;0;0;2;1;3;1;2;0;0;5;0;0;3;1;1;2;1;1;1;2;0;0;0;0;1;2;1;0;1;2;0;0;1
;;6;Braker, A.N.;3;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van de Belt, R.;54;3;0;0;0;1;3;4;6;0;0;1;0;0;4;1;2;5;2;0;0;0;1;1;1;3;1;2;3;1;0;0;0;1;0;0;4;0;3;1;0
;;8;Stassen, J.M.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;9;Korvemaker, R.H.;34;1;0;0;1;0;2;1;1;0;1;1;2;1;4;0;1;2;0;1;0;2;3;0;4;0;1;0;0;0;0;0;1;0;0;0;1;1;2;0;0
;;10;Pijper, B.;52;4;0;0;1;2;1;2;0;1;1;2;7;0;4;0;1;1;0;1;0;2;2;0;4;1;0;2;1;0;5;0;1;2;0;0;2;0;2;0;0
9;Staatkundig Gereformeerde Partij (SGP);;;823;32;12;18;22;19;24;23;38;13;10;14;48;19;19;11;1;8;88;64;50;44;3;9;9;10;10;35;10;41;22;10;11;2;15;0;10;4;10;32;3
;;1;van Rijn, B.;483;24;10;11;12;15;12;15;28;10;6;8;32;15;11;5;1;5;33;23;27;38;3;4;7;5;8;20;7;11;8;8;10;2;11;0;7;2;5;21;3
;;2;Schipper, D.;145;3;0;2;3;0;1;2;3;3;0;1;5;2;2;2;0;2;38;18;10;4;0;3;0;3;0;4;1;16;8;1;0;0;3;0;1;0;0;4;0
;;3;van Hartskamp, W.;23;3;1;1;0;0;4;2;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0
;;4;Dekker, R.H.;30;0;0;0;0;1;2;0;0;0;1;2;5;2;0;0;0;0;0;4;0;0;0;1;0;1;1;5;0;1;1;0;1;0;0;0;0;2;0;0;0
;;5;den Admirant, M.;50;0;1;0;7;1;5;1;5;0;1;3;2;0;0;1;0;1;3;4;2;1;0;0;0;1;0;2;0;2;0;1;0;0;0;0;0;0;2;4;0
;;6;van Reenen, W.C.G.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Otten, B.;36;2;0;0;0;0;0;1;1;0;1;0;0;0;0;2;0;0;7;4;2;1;0;0;0;0;0;0;2;9;2;0;0;0;0;0;0;0;0;2;0
;;8;Engels, G.;37;0;0;2;0;1;0;0;0;0;1;0;3;0;3;0;0;0;4;7;8;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;2;0;2;1;0
;;9;Koekoek, A.R.;17;0;0;2;0;1;0;1;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0
10;Forum voor Democratie;;;1531;100;26;17;52;74;48;59;77;46;59;46;69;20;50;56;27;47;67;83;72;93;9;42;27;14;19;25;33;20;29;14;4;6;18;2;23;17;17;18;6
;;1;Vos, A.V.B.;731;51;13;4;29;42;20;34;40;30;36;20;41;11;28;20;15;20;38;19;16;45;2;25;12;3;7;9;13;11;19;7;3;2;0;2;17;8;10;6;3
;;2;Kleine, A.;297;33;8;8;10;17;16;11;15;7;5;13;4;2;12;6;4;17;10;16;8;8;1;11;8;6;9;0;10;2;6;2;0;2;1;0;1;0;3;3;2
;;3;El Masoudi, F.;89;9;2;0;1;3;4;3;5;1;5;1;5;0;0;14;2;3;3;3;0;1;5;4;0;0;1;0;0;1;1;4;0;0;0;0;1;4;3;0;0
;;4;Altena, F.;89;4;0;2;0;3;5;5;4;4;6;5;7;6;3;3;1;0;0;3;0;4;0;2;7;1;0;0;5;1;1;1;1;2;1;0;0;1;1;0;0
;;5;Knegt, H.;234;0;2;1;3;6;2;4;9;0;6;5;8;1;1;3;2;1;12;39;46;28;1;0;0;1;2;14;4;5;0;0;0;0;14;0;0;4;0;9;1
;;6;van Mourik, I.D.A.;59;3;0;2;8;3;0;1;2;1;0;2;3;0;5;8;3;6;1;3;2;1;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;7;Eggen, E.;13;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;1;1;0;1;0;0;0;0;0;2;0;0;0;0
;;8;de Jong, R.S.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Leeuwen, J.W.;5;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Vos, T.C.;10;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
