Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Raadhuis;Buurthuis het Oor (vh De Westerkim);vh J. v. d Sleedenhuis;MFC Het Knooppunt;MFC De Magneet (vh NNCZ Grote Beer);Boerderij (vh School Erflanden);MFC De Magneet;Oosterkerk;Sporthal Het Activum (vh Wolfbos);Buurthuis DES-gebouw;School Zuiderbreedte;De Goede Herderkerk;Maranatha kerk;De Vredehorst (vh WZC De Vecht);Gymzaal Curiestraat (vh Flt Weideheem I);Sporthal Trasselt (vh Basisschool 't Kienholt);Buurthuis De Weideblik;MFC De Cirkel;Dorpscentrum 't Anker;Sporthal De Marke (vh WZC Beatrix);Sporthal De Brug (vh De Open Deur/'t Vonder);Centrumkerk (vh Jul. van Stolbergschool);Gymzaal Booyenverlaat (vh De Schuthoek);Sporthal Trasselt;Dorpshuis 't Overschotje;De Wenning;MFC De Opsteker;Vereniging Ons Dorpshuis;Dorpshuis De Vuurkorf;MFC De Eiken;Het Raadhuis;Sporthal Het Activum;Sporthal Trasselt;Sporthal De Marke;De Wenning;Het Raadhuis;Sporthal Het Activum;Sporthal Trasselt;Sporthal De Marke;De Wenning
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
Postcode;;;;;7901 BP;7901 GK;7901 AV;7902 JG;7904 LW;7908 AC;7904 LW;7905 CA;7902 NX;7906 BG;7906 GA;7906 HB;7907 EG;7908 AD;7909 BT;7908 PB;7908 LL;7914 PM;7913 AE;7913 AG;7916 PW;7902 EP;7908 EE;7908 PB;7931 TL;7933 PW;7918 AX;7934 PE;7912 TH;7936 PB;7901 BP;7902 NX;7908 PB;7913 AG;7933 PW;7901 BP;7902 NX;7908 PB;7913 AG;7933 PW
;aangetroffen stembiljetten;;;21791;1032;390;353;599;738;924;687;1004;407;556;601;897;372;924;477;510;921;914;809;674;709;187;722;473;364;611;559;307;395;282;413;230;361;209;89;616;359;596;330;190
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeentebelangen Hoogeveen e.o.;;;4420;164;87;51;121;175;137;145;179;115;147;128;152;101;155;80;70;192;247;153;147;134;33;139;77;80;136;228;83;82;66;100;31;47;31;16;139;64;104;51;33
;;1;Hooijer-Everts, H.M.;1898;73;32;21;48;72;54;59;66;31;62;53;67;38;68;30;40;112;190;63;58;62;7;65;31;22;57;34;19;49;44;34;12;27;11;7;67;23;59;16;15
;;2;van der Sleen, J.;370;3;5;4;8;9;9;4;9;2;2;8;7;7;7;3;1;5;8;12;12;29;2;7;2;1;0;158;4;10;7;5;1;1;0;0;5;2;8;3;0
;;3;Sieders, A.A.;256;14;14;2;15;9;17;8;19;1;19;12;8;9;9;10;4;11;0;1;2;0;2;20;10;0;3;3;0;0;0;7;1;5;0;0;13;2;5;1;0
;;4;van der Heide, J.;165;6;0;4;5;8;14;5;14;11;0;0;8;2;9;4;3;8;2;1;5;3;0;8;8;3;2;1;0;1;0;13;1;3;0;0;5;2;5;0;1
;;5;Walda, G.G.J.;62;3;0;0;3;4;0;3;4;1;5;0;5;1;5;2;3;1;1;0;1;1;1;3;2;0;0;0;0;3;0;4;0;1;0;1;3;1;0;0;0
