Verkiezing;;Gemeenteraad Borger-Odoorn 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Borger-Odoorn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Exloo;De Paasbergen;Oringer Marke;Ons Dorpshuis Valthe;Dorpshuis Oes Hokkie Klijndijk;Dorpshuis Odoornerveen;Buurthuis De Badde;Cultuurcentrum Odeon;Hunsow-hal 2e Exloërmond;Akkervarken;Brughuus;Ontmoetingscentrum 't Anker;Sporthal De Koel;Borgerhof Borger;VanSlag;Dorpshuis Westdrp-Ellertshaar;H.R. Hartlief Buinen;Dorpshuis mr Hekmanhoes Drouwen;Eeserhof;De Viersprong;Verenigingsgebouw Nieuw-Buinen;Voetbalvereniging Nieuw-Buinen;Dorpshuis Assekolke Drouwenermond;Dorpshuis Drouwenerveen;Oringer Marke;Brughuus;Sporthal De Koel;Voetbalvereniging Nieuw-Buinen;Oringer Marke;Brughuus;Sporthal De Koel;Voetbalvereniging Nieuw-Buinen
;;21;Snapper, M.J.L.;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;1;2;1;0;0;0;0;0;0;0;2;0
;;22;Wind, A.L.;58;9;0;11;3;3;1;1;2;6;0;3;1;0;0;1;0;1;0;1;0;1;1;0;0;3;0;0;0;6;1;1;2
;;23;Muskee, D.;13;0;0;0;0;0;0;0;0;0;0;0;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
;;24;Hooiveld, W.L.;14;1;1;1;1;0;1;0;0;1;0;0;3;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0
2;VVD;;;1385;111;8;106;63;28;46;15;32;27;21;41;83;125;6;63;30;73;74;42;37;19;45;15;24;39;10;43;11;40;20;73;15
;;1;Hofsteenge, J.B.;750;78;7;81;37;17;26;8;19;9;13;26;34;34;3;12;12;28;28;21;22;12;31;6;17;37;6;26;8;33;18;33;8
;;2;Joling, A.;111;4;1;3;1;0;2;0;3;4;0;1;13;29;1;13;2;4;1;0;2;0;2;1;3;0;0;7;0;0;0;10;4
;;3;Steenbergen, A.;73;8;0;2;1;0;1;0;0;0;0;4;6;4;1;3;1;3;29;0;0;1;1;1;2;0;0;1;0;0;0;4;0
;;4;Ringers, D.F.;53;3;0;1;0;0;0;0;0;0;0;0;7;17;0;12;1;2;1;0;2;3;0;1;0;0;0;1;0;0;0;1;1
;;5;Kamps, T.A.;32;2;0;0;1;2;2;2;5;6;1;1;0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;0;2;1;0;1;1
;;6;Arends-Hassing, L.W.C.;22;2;0;0;0;2;0;2;2;0;0;0;0;1;0;2;0;1;6;0;1;1;0;0;0;0;0;0;0;0;2;0;0
;;7;Uineken, A.G.;35;2;0;2;1;1;0;3;1;2;0;0;1;6;0;3;0;1;1;1;5;0;2;0;0;1;0;0;0;0;0;2;0
;;8;Hiddink, F.;104;7;0;10;2;1;1;0;0;3;0;0;9;18;0;9;4;12;2;2;0;1;1;0;0;0;0;2;0;0;0;19;1
;;9;Lubbers, R.;12;0;0;0;0;0;0;0;0;1;0;0;2;1;1;0;0;4;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0
;;10;Jalvingh, J.H.J.;12;0;0;0;0;1;0;0;0;2;0;1;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;1;0
;;11;van Vliet, M.A.;13;0;0;2;0;0;2;0;0;0;0;0;1;4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Boxen, B.;72;0;0;3;1;3;12;0;0;0;0;0;2;7;0;2;8;3;5;10;1;1;0;6;0;0;2;3;0;3;0;0;0
;;13;Vedder, M.;45;0;0;1;0;0;0;0;0;0;0;0;7;3;0;6;1;14;1;0;3;0;5;0;2;0;0;2;0;0;0;0;0
;;14;Bakker, C.J.;14;1;0;0;0;0;0;0;1;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;Kuipers, A.;37;4;0;1;19;1;0;0;1;0;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;0;1;0
3;Partij van de Arbeid (P.v.d.A.);;;1733;146;14;69;118;45;22;23;56;88;42;77;82;121;13;86;8;46;27;29;45;43;149;29;17;20;13;70;40;38;18;93;46
;;1;Zwiers, P.A.;847;85;9;30;54;26;14;5;28;58;16;37;37;48;9;24;2;26;15;13;24;17;87;6;9;12;9;40;31;11;9;39;17
;;2;Olij, Y.H.;61;5;0;3;4;1;0;1;7;8;0;1;2;6;0;3;0;2;0;1;3;0;0;4;0;0;0;0;1;1;0;4;4
;;3;Poppen-Ensing, T.L.;191;20;0;7;13;6;1;2;0;3;3;5;22;27;0;9;2;6;5;6;4;6;5;1;0;1;1;6;1;5;1;18;5
;;4;Scholte Aalbes, S.M.;68;6;0;2;0;0;0;7;16;7;11;6;1;1;0;1;0;0;0;0;0;0;1;0;0;0;2;2;0;0;3;0;2
;;5;van Dijk, S.G.M.;70;1;0;1;2;1;0;1;0;2;1;3;6;7;0;8;0;8;3;3;3;0;0;0;0;0;0;10;0;2;0;8;0
;;6;Kuipers, B.;68;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3;10;37;1;0;0;0;0;6;0;0;0;7
;;7;Kamps, A.;38;0;0;2;0;0;0;0;1;0;0;2;3;10;1;8;0;1;0;0;0;0;0;0;0;0;0;6;0;1;0;3;0
;;8;Leeuwerke-Luiten, J.;22;0;0;2;2;0;0;0;0;1;0;1;1;5;1;3;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;2;0
;;9;Agterberg, J.A.M.;13;0;0;0;0;0;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0
;;10;Zondag, T.T.;41;0;3;16;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;14;0;0;0
;;11;Cornelis-Laagwater, T.R.;16;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;12;Gaastra, S.J.C.;13;3;0;0;0;1;0;7;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Warrink, G.;37;1;0;2;20;3;0;0;0;0;0;3;1;0;0;0;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;2;0
;;14;de Bruin, F.;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;5;16;0;0;0;0;0;0;0;0;0;8
;;15;van der Vlag-Pak, F.;16;1;0;0;0;0;0;0;0;0;7;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;16;Garvelink-Vermeeren, A.M.;9;0;1;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;17;Stalman, J.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;1;0
;;18;Kamstra, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;19;Bruintjes-Veenstra, J.;15;0;0;0;1;0;0;0;0;0;0;1;3;1;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0
;;20;Zwiep, M.H.F.;16;0;0;0;3;0;0;0;0;0;2;0;0;0;0;3;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;3;0
;;21;Klok, A.;9;1;0;0;2;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;22;Hoogerdijk-Neurink, B.H.;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;23;Mensing-Westerink, J.;10;0;0;1;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Nijhuis, G.;5;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;25;Kuipers, J.W.;6;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;26;Op 't Eijnde, D.G.;5;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Eggens, H.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Servaas-Wischmann, M.;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Feiken, J.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;30;Klok-Cremers, A.G.;7;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
;;31;Kuik, H.;9;0;0;0;0;0;0;0;0;5;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;32;van Delden, G.J.;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Arling, A.H.E.;8;1;0;0;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Meedendorp, T.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;35;Heeringa, R.;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0
;;36;Bijker, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Windt, W.B.;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Willemse, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Hazenberg, M.J.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0
;;40;Bruintjes, J.J.;11;0;0;0;0;0;0;0;0;0;0;1;2;0;0;4;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0
;;41;Bijker, J.L.;13;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
;;42;Zwiep, H.J.;21;1;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0;2;0;1;0;3;1;2;4;0;0;0;0;0;0;0;2
4;CDA;;;1316;84;8;51;48;22;23;36;30;43;41;55;89;128;4;48;46;37;28;29;41;63;77;23;17;21;17;64;10;16;22;58;37
;;1;Huijing-van Tongeren, A.T.J.;722;45;4;25;18;14;19;18;17;18;19;25;59;75;2;25;29;19;17;13;21;27;33;14;15;12;10;42;5;8;12;39;23
;;2;Wegman-Post, M.H.;129;3;0;3;4;0;1;0;3;1;1;1;17;29;2;8;5;7;3;4;4;2;7;2;1;1;1;10;1;2;1;4;1
;;3;Krans, P.F.;96;1;0;3;2;1;0;0;0;1;1;0;6;13;0;5;6;3;2;3;2;10;8;1;0;4;1;9;0;0;0;12;2
;;4;Boven, U.H.;37;3;0;1;1;0;1;0;5;5;3;5;0;2;0;0;0;0;0;1;0;1;2;1;1;0;2;0;0;0;2;1;0
;;5;Kuipers, T.D.;35;1;1;0;3;0;0;0;0;13;0;3;0;1;0;1;0;0;1;0;3;2;2;0;0;0;0;0;0;2;1;0;1
;;6;de Jong, R.S.;34;20;0;1;0;0;0;0;0;1;0;2;1;1;0;0;1;5;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;7;van Teffelen, W.H.M.;24;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;13;2;0;0;0;0;0;0;0;0;2
;;8;Roseboom, L.;20;0;0;1;0;0;0;0;1;1;0;1;0;2;0;2;0;0;2;3;2;1;0;0;0;0;0;2;0;0;0;2;0
;;9;Top, J.;13;2;0;0;1;0;0;0;0;0;0;0;2;0;0;2;2;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0
;;10;Tuin, R.;53;1;2;4;1;0;0;0;1;0;15;15;0;0;0;1;0;0;0;0;1;1;1;1;0;0;3;0;0;0;6;0;0
;;11;Trip, A.;34;0;0;2;1;0;0;12;1;1;2;0;0;0;0;1;0;0;0;0;4;5;3;0;0;1;0;0;0;0;0;0;1
;;12;Ketelaar, J.;15;1;0;7;0;2;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Jansen, Z.A.W.;30;1;0;0;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;3;9;4;2;0;0;0;0;2;0;0;0;4
;;14;Huijing, J.A.;19;0;0;0;2;0;0;0;0;0;0;0;3;3;0;1;3;2;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Kremers, L.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Hazelaar, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Dost, J.;10;1;0;0;1;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
;;18;Smith, T.;9;2;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Maanen, A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0
;;20;Meulendijks, C.W.;5;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Schippers, H.J.;8;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0
;;22;Alberts, J.F.A.;19;0;0;0;14;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
5;Leefbaar Borger-Odoorn;;;1408;74;11;56;66;74;13;19;61;117;80;118;30;56;2;28;8;39;36;20;60;57;99;52;18;15;25;17;25;17;57;21;37
;;1;de Groot, A.;748;50;6;37;30;21;8;8;20;43;56;92;20;43;1;17;4;24;27;15;21;20;28;13;6;8;20;11;11;11;41;16;20
;;2;Haan, B.;117;6;2;0;3;1;0;0;23;41;3;4;1;3;0;1;2;5;1;1;4;4;4;1;1;0;2;0;0;1;2;1;0
;;3;Jansen, J.B.;83;12;0;6;2;37;1;0;0;0;3;1;0;2;0;1;1;3;1;0;1;2;0;0;3;4;0;0;0;2;0;0;1
;;4;Middel, J.R.;62;0;0;1;1;1;1;1;0;0;1;1;1;0;0;1;0;0;2;0;0;1;5;35;6;0;0;1;0;0;0;0;3
;;5;Kamps, H.;46;3;1;3;25;1;0;0;1;0;0;0;0;3;0;2;0;0;1;0;1;0;2;0;0;1;0;1;0;1;0;0;0
;;6;Peters, G.V.;49;0;0;0;0;0;0;1;5;25;0;5;1;0;0;0;0;0;1;1;4;0;1;0;0;0;0;1;0;1;3;0;0
;;7;Niemeijer, J.F.H.;22;0;2;0;0;0;0;0;2;6;0;0;1;1;1;0;0;0;0;0;1;2;2;0;0;1;3;0;0;0;0;0;0
;;8;Vos-Geerdink, M.J.E.;31;0;0;0;1;1;0;0;0;0;1;8;1;1;0;1;1;1;2;0;2;1;1;0;2;1;0;0;0;0;5;1;0
;;9;Töben, A.M.B;22;0;0;1;0;0;0;0;0;1;8;3;0;0;0;0;0;2;0;0;2;2;1;0;0;0;0;0;1;0;1;0;0
;;10;de Jong, E.J.;10;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0
;;11;Doornkamp, T.E.;50;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;11;8;14;0;0;0;0;0;5;0;0;0;7
;;12;Niemeijer-Keur, A.A.;9;1;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
;;13;Mulder, J.M.;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0
;;14;Potgieter, A.J.;80;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;13;40;2;0;0;0;0;7;0;0;2;6
;;15;Moll, F.C.;22;0;0;0;1;0;0;9;5;0;0;0;1;1;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
;;16;de Roo, A.R.;52;2;0;7;3;12;3;0;1;0;1;1;4;2;0;4;0;2;1;3;0;1;0;0;0;0;0;2;0;1;1;1;0
6;GROENLINKS;;;738;81;4;23;51;39;26;11;6;11;9;18;39;72;4;24;4;37;69;29;17;6;17;18;20;10;11;17;4;11;8;27;15
;;1;de Groot, P.J.;312;33;2;7;13;4;12;3;3;4;2;8;21;26;3;13;4;25;45;6;4;5;8;4;5;4;6;6;4;5;0;19;8
;;2;Geertsma, M.;29;0;0;0;1;0;4;0;0;0;0;0;3;4;0;1;0;0;2;2;0;0;0;8;1;1;1;0;0;1;0;0;0
;;3;Zoeteman, P.J.;49;4;1;4;4;27;1;2;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1
;;4;Meijerink, I.F.;262;28;0;6;16;8;7;6;2;6;5;2;13;33;0;9;0;12;19;17;10;0;6;6;14;4;4;11;0;2;3;7;6
;;5;Scheffers, P.R.;9;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;6;Hanssen, B.J.H.H.;18;2;1;1;1;0;0;0;0;0;1;6;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0
;;7;Voskuil, C.M.;50;12;0;4;4;0;2;0;1;1;0;2;1;8;1;0;0;0;3;3;2;0;0;0;0;0;0;0;0;3;2;1;0
;;8;Zwittink, O.S.;9;1;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
7;ChristenUnie;;;473;13;3;11;22;11;3;12;35;47;35;23;13;7;2;4;3;4;4;4;9;34;71;13;9;3;14;11;11;0;9;8;25
;;1;Braam, F.;285;6;2;9;15;4;3;7;15;24;14;7;9;3;0;3;3;2;3;1;6;30;52;4;4;2;8;10;9;0;5;5;20
;;2;Veldkamp, E.E.H.;51;2;0;0;2;1;0;0;12;17;4;2;0;1;0;0;0;1;0;0;2;0;2;0;0;0;3;0;0;0;0;0;2
