Verkiezing;;Gemeenteraad Stein 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Stein;;;;;;;;;;;;;;;;;;;;;
Nummer;;0971;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;MFC de Grous;Gemeentehuis;Pintelierke;Café-Brasserie Merode;Zaal Meers;Buurthuis Urmond;Fanfarezaal Oud Urmond;Multifunctioneel Centrum Berg a/d M;Gymzaal Joannes Riviusstaat;Tennisvereniging LTV Elsloo;Maaslandcentrum;MFC de Grous (maandag);MFC de Grous (dinsdag);Café-Brasserie Merode (maandag);Café-Brasserie Merode (dinsdag);Multifunctioneel Centrum Berg a/d M (maandag);Multifunctioneel Centrum Berg a/d M (dinsdag);Maaslandcentrum (maandag);Maaslandcentrum (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;206;207;208;209;210;211;212;213
Postcode;;;;;6171 HW;6171 KP;6171 AM;6171 XM;6181 NX;6129 PB;6129 CR;6129 PG;6181 BT;6181 JG;6181 EA;6171 HW;6171 HW;6171 XM;6171 XM;6129 PG;6129 PG;6181 EA;6181 EA
;opgeroepenen;;;20953;2301;2309;2258;2027;1042;2175;846;1751;1417;2378;2449;0;0;0;0;0;0;0;0
;geldige stempas;;;9685;885;487;753;524;457;796;356;463;833;566;779;441;654;183;237;191;232;332;516
;geldig volmachtbewijs;;;1319;133;83;96;87;70;95;40;80;93;84;112;48;95;15;25;24;33;45;61
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;11004;1018;570;849;611;527;891;396;543;926;650;891;489;749;198;262;215;265;377;577
;geldige stembiljetten;;;10928;1007;568;838;609;519;887;394;538;919;647;886;488;745;195;262;213;263;377;573
;blanco stembiljetten;;;38;8;0;4;0;7;2;2;5;1;2;2;0;2;1;0;0;0;0;2
;ongeldige stembiljetten;;;42;5;2;7;2;1;2;0;0;7;1;3;1;2;2;0;2;2;0;3
;aangetroffen stembiljetten;;;11008;1020;570;849;611;527;891;396;543;927;650;891;489;749;198;262;215;265;377;578
;meer stembiljetten dan toegelaten kiezers;;;4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;DOS (Democratisch Onafhankelijken Stein);;;4100;246;122;198;122;259;498;232;264;387;375;350;121;175;56;71;117;133;133;241
;;1;Hendrix, D.M.M.;708;46;22;26;19;18;252;96;29;28;13;23;23;30;7;7;30;24;5;10
;;2;Wingelaar, N.T.P.;367;44;32;65;23;9;15;9;26;7;6;8;25;36;13;9;6;14;6;14
;;3;Ummels, J.A.G.;686;18;9;23;18;16;10;4;3;148;106;155;13;15;6;11;1;0;55;75
;;4;Meijers, J.J.M.;408;13;5;7;8;2;49;26;13;38;135;32;5;9;0;2;3;10;27;24
;;5;Janssen, S.J.T.N.;336;35;7;18;9;181;0;5;1;14;3;13;10;22;3;5;0;0;3;7
;;6;Alberti, P.H.M.;247;3;2;1;1;1;33;7;104;2;7;1;4;1;0;3;35;41;1;0
;;7;Smeets, D.L.T.;110;22;16;14;4;3;4;1;4;5;0;0;15;14;3;4;0;0;0;1
;;8;Thomassen, P.P.J.;141;10;4;2;1;2;3;0;0;31;37;22;0;2;3;1;1;1;8;13
;;9;Gransier, M.M.P.;130;0;3;1;1;2;42;46;3;4;4;1;2;3;0;1;3;5;0;9
;;10;Goossens, M.M.A;155;10;6;8;7;2;1;3;2;27;21;28;0;12;1;0;2;3;7;15
;;11;Wenmekers, M.J.E.;167;1;0;2;0;2;9;9;74;1;1;3;3;0;0;0;31;31;0;0
;;12;Peters, A.C.J.;216;6;0;5;4;12;0;0;1;57;35;32;2;1;0;4;0;2;12;43
;;13;Slangen, B.M.A.;50;2;1;2;1;0;2;0;0;13;4;16;0;0;0;1;0;0;2;6
;;14;Suleman, S.I.;30;8;4;2;0;1;1;2;1;0;0;0;3;6;0;0;0;0;0;2
;;15;Kengen, E.A.M.;22;0;0;0;0;0;0;0;0;3;1;7;0;0;0;0;0;0;4;7
;;16;Op den Camp, L.H.M.;39;12;2;6;1;0;0;0;0;1;0;1;3;5;1;2;0;0;0;5
;;17;Peerboom, Q.C.M. Peerboom;20;0;0;0;1;1;0;0;0;5;2;5;0;0;0;0;0;0;2;4
;;18;Jansen, M.C.;130;14;7;13;24;1;3;2;1;3;0;1;7;14;19;17;0;0;0;4
;;19;Van de Wauw, K.R.M;138;2;2;3;0;6;74;22;2;0;0;2;6;5;0;4;5;2;1;2
2;Communiceren Met Burgers (CMB);;;3470;368;201;259;275;176;149;44;132;316;149;317;202;286;72;105;52;80;117;170
;;1;Thewissen, W.J.G.;707;109;68;78;119;8;20;3;4;13;5;22;77;87;30;49;2;5;1;7
;;2;Meijers, C.J.J.;958;76;42;50;63;78;23;7;6;170;60;136;41;49;15;21;0;3;46;72
;;3;Römers, J.A.M.;313;4;4;5;3;1;49;8;109;1;2;2;3;8;4;4;45;58;0;3
;;4;van Es, I.M.H.;240;14;2;5;14;5;0;4;1;53;22;52;3;7;2;3;0;0;29;24
;;5;Hoeveler, K.;259;8;5;2;12;4;11;6;0;44;36;67;4;7;1;2;3;1;20;26
;;6;Goossens, M.M.L.;95;14;5;12;13;5;0;2;1;0;5;0;10;16;6;5;0;0;0;1
;;7;de Vries, J.C.B.;145;41;11;12;14;2;5;0;2;1;0;2;12;28;7;5;0;0;1;2
;;8;Fredrix, L.M.M.;82;5;1;0;4;1;7;2;0;8;9;12;7;3;0;3;0;1;7;12
;;9;Ostendorf, J.W.T.M.;38;10;1;5;1;0;0;0;0;3;1;3;0;7;0;0;0;0;2;5
;;10;Ubbink, E.D.M.;131;20;16;26;4;7;6;0;1;1;3;5;15;20;0;3;1;0;0;3
;;11;Loonen, J.;63;5;3;9;2;1;0;2;0;12;1;7;2;2;1;2;0;2;7;5
;;12;Thewissen, R.G.J.;34;7;2;0;4;1;3;4;2;0;0;0;2;0;0;1;1;7;0;0
;;13;van Ommen, D.M.L.M.;76;8;11;22;6;2;1;1;1;2;0;0;7;8;1;2;0;1;0;3
;;14;Janssen, J.L.M.;55;1;1;3;1;36;2;0;0;2;0;2;0;3;1;0;0;0;2;1
;;15;Martens, J.I.J.;58;12;11;12;6;0;0;0;0;1;2;1;3;8;1;0;0;0;0;1
;;16;Brandts, J.L.M.;16;3;0;1;1;1;0;1;0;3;2;2;1;0;0;0;0;0;0;1
;;17;Van Mulken, H.T.;64;14;6;6;0;0;2;0;1;0;0;0;5;24;1;1;0;1;2;1
;;18;de Beer, M.C.J.;14;2;0;0;0;0;6;1;2;0;0;0;0;3;0;0;0;0;0;0
;;19;Smeets-Houben, M.L.W.;54;3;2;2;4;23;11;2;1;2;0;0;2;0;0;1;0;0;0;1
;;20;Driessen, H.M.H.;68;12;10;9;4;1;3;1;1;0;1;4;8;6;2;3;0;1;0;2
3;CDA;;;854;76;52;57;36;18;50;40;63;81;43;59;45;74;12;8;24;29;40;47
;;1;Bours, E.H.G.M.;248;47;22;20;14;13;6;3;16;2;4;12;26;41;6;4;7;2;0;3
;;2;Jennekens-Cramers, C.S.F.;311;10;11;20;10;2;9;4;2;69;36;39;7;8;3;4;1;2;35;39
;;3;Janssen, F.M.J.;104;11;15;12;9;0;1;1;3;4;3;8;9;20;2;0;0;0;3;3
;;4;Daemen, K.H.J.;30;3;0;0;0;1;10;4;3;2;0;0;0;3;0;0;4;0;0;0
;;5;Penders-Bolton, M.J.B.;59;1;0;0;2;2;7;23;9;1;0;0;2;2;1;0;1;6;1;1
;;6;Schröeder-Bendada, S.;38;0;3;1;0;0;0;0;17;1;0;0;0;0;0;0;7;9;0;0
;;7;Aarts, L.H.G.M.;21;0;0;1;0;0;15;2;1;1;0;0;0;0;0;0;0;0;1;0
;;8;Janssen, T.P.J.W;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Tummers, H.L.;8;3;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1
;;10;Horrichs, M.H.A.;32;1;0;0;1;0;2;1;12;0;0;0;1;0;0;0;4;10;0;0
4;Politieke vereniging Steins Belang;;;1055;167;121;193;108;22;63;19;20;16;10;32;62;121;26;49;4;3;9;10
;;1;Claessens, N;378;64;55;75;39;7;34;9;8;3;2;9;10;44;3;6;0;0;5;5
;;2;Cleuters, JCJ;28;4;2;3;4;0;2;0;0;1;4;1;3;1;2;1;0;0;0;0
;;3;Stijns, J;101;25;16;17;5;2;0;1;0;1;0;1;11;17;0;3;0;0;1;1
;;4;Conjour-Meijers, RJFM;67;9;5;17;10;3;3;0;0;1;1;0;5;4;3;3;1;1;1;0
;;5;Knoops, J;57;10;4;19;6;1;1;0;0;0;0;2;3;9;0;2;0;0;0;0
;;6;Boemen, QMWZ;41;5;1;3;2;1;1;0;2;8;1;12;1;0;0;2;0;0;0;2
;;7;Pepels, DMJ;62;10;7;14;14;1;0;0;0;0;0;2;2;1;0;10;1;0;0;0
;;8;Coumans, GM;56;5;5;7;6;1;3;2;0;0;0;1;8;12;3;3;0;0;0;0
;;9;Demandt, RHM;48;9;4;8;1;2;4;0;0;0;0;1;2;13;3;0;0;0;0;1
;;10;Lardenoije, PPJ;54;7;3;7;2;2;2;1;0;1;0;1;10;13;4;0;0;0;1;0
;;11;Driessen-Frederix, MCC;33;2;3;3;3;0;8;2;6;0;1;0;0;0;1;2;2;0;0;0
;;12;Keulen, TH;15;1;3;1;2;1;0;0;1;0;1;0;0;2;2;0;0;0;0;1
;;13;van Mulken- Van Lingen, RCM;115;16;13;19;14;1;5;4;3;1;0;2;7;5;5;17;0;2;1;0
5;VVD;;;705;79;29;59;28;25;65;22;27;58;28;78;20;47;14;12;10;10;38;56
