Verkiezing;;Gemeenteraad Maasgouw 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Maasgouw;;;;;;;;;;;;;;;;;;
Nummer;;1641;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Voormalige Bibliotheek;Kantine Voetbalvereniging MBC'13;Gemeenschapshuis Baekerhoes;Kloosterhof;Trefcentrum Stevensweert;Verenigingszaak Lakerhoes;Kantine BMV Sporthal Reutsdael;Gasterie De Knip;Gemeenschapshuis 't Leuke;Aod Thoear;Cultureel Centrum Don Bosco;Kantine TC Linne;Voormalige Bibliotheek (maandag);Cultureel Centrum Don Bosco (maandag);Voormalige Bibliotheek (dinsdag);Cultureel Centrum Don Bosco (dinsdag)
;;8;Maassen, R.J.J.H.;106;1;0;0;0;14;81;0;0;0;3;4;1;0;0;2;0
;;9;Stoks, B.C.T.;84;1;1;2;0;0;0;0;10;1;56;2;2;4;2;1;2
;;10;Aalders, M.H.L.;57;0;0;0;32;0;2;0;0;0;0;0;16;0;0;7;0
;;11;Hilbrink, G.;173;44;24;12;13;2;0;0;5;0;2;2;9;24;2;33;1
;;12;Drenth, S.;66;1;1;0;1;0;1;0;57;0;0;1;0;1;0;2;1
;;13;van den Bergh, A.M.C.;142;19;30;12;4;5;2;7;8;8;1;7;4;16;2;17;0
;;14;Vrinzen, H.J.M.;93;0;0;1;32;0;0;0;2;0;0;0;54;0;0;4;0
;;15;van den Berg, B.D.A.M.;38;0;2;2;0;0;0;2;0;25;0;1;0;0;0;1;5
;;16;Bartelink, K.P.M.;27;6;7;0;2;0;0;0;0;0;0;0;0;7;0;5;0
;;17;van Basten Batenburg, J.P.E.M.;9;0;0;0;0;0;0;2;2;2;0;2;0;0;1;0;0
;;18;Hilkens, M.J.;36;1;6;0;9;0;0;0;4;0;1;0;11;1;0;1;2
2;CDA;;;1527;100;105;97;33;299;272;63;43;51;179;36;17;63;30;102;37
;;1;Snijckers, T.J.C.M.;722;63;49;37;24;280;7;34;32;16;16;29;11;32;17;55;20
;;2;Palmen, A.C.H.;160;31;31;16;6;2;1;7;1;3;5;2;3;21;4;23;4
;;3;Dehing, E.A.M.;188;0;0;1;0;1;0;7;9;1;154;2;1;1;5;2;4
;;4;Hawinkels, K.J.P.;53;3;0;39;0;0;0;0;0;0;0;0;0;2;0;8;1
;;5;van Kempen, J.J.G.;292;0;5;1;0;12;263;2;0;2;0;1;0;4;0;2;0
;;6;Dirks, A.M.M.;40;2;18;1;2;4;1;0;1;0;1;0;1;1;0;4;4
;;7;Evers, C.A.M.;30;1;2;2;0;0;0;6;0;12;0;0;0;0;3;0;4
;;8;van der Meyden, C.A.M.;5;0;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0
;;9;Pollaert, P.H.P.;21;0;0;0;0;0;0;3;0;17;0;1;0;0;0;0;0
;;10;van Lin, P.M.H.M.;16;0;0;0;1;0;0;2;0;0;1;1;1;2;0;8;0
3;VVD;;;1441;60;62;125;173;171;28;89;56;32;263;72;147;28;32;51;52
;;1;Peters, C.M.W.;458;16;24;16;141;9;3;25;15;15;16;13;113;12;6;20;14
;;2;Zeegers, L.P.M.;224;4;1;3;3;2;5;3;4;0;169;9;4;2;8;2;5
;;3;Thijssen, A.P.J.A.M.;193;21;8;7;0;132;6;3;2;1;0;0;3;4;0;4;2
;;4;van der Zeijden, E.C.;35;1;1;0;1;0;0;11;1;1;0;17;0;0;1;0;1
;;5;Knoben, P.H.J.;185;10;21;88;7;3;1;3;4;3;6;3;7;7;0;22;0
;;6;Hendriks, M.J.H.;55;1;2;4;3;1;1;15;1;3;1;13;1;1;3;0;5
;;7;Munnecom, R.C.M.;30;0;0;0;0;0;0;0;1;0;29;0;0;0;0;0;0
;;8;Lukman, D.;10;0;0;0;0;0;0;1;0;0;0;3;0;0;1;0;5
;;9;van Lierop, M.P.S.;61;0;0;1;4;0;0;2;4;1;40;1;3;1;1;0;3
;;10;Mohammadi, S.;9;1;1;2;2;0;0;0;0;2;0;0;0;0;0;1;0
;;11;Joris-Kessels, D.;77;3;0;1;1;0;0;25;2;6;2;12;0;0;10;0;15
;;12;Boumans, T.;15;0;0;0;0;0;0;1;11;0;0;0;0;0;2;0;1
;;13;Niessen, L.H.H.;22;0;0;0;10;0;0;0;0;0;0;0;10;0;0;1;1
;;14;Janssen, M.H.A.;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;van Santvoort Vorst, S.L.G.J.;9;0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;0
;;16;Creemers, I.G.L.;40;3;4;0;0;23;2;0;2;0;0;0;6;0;0;0;0
;;17;Peeters, G.J.J.;3;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
;;18;van Hoof, H.A.L.;11;0;0;0;1;1;8;0;0;0;0;0;0;1;0;0;0
4;Nieuw Links Maasgouw;;;908;93;85;123;63;34;28;59;41;45;46;61;48;66;22;61;33
;;1;Bours, C.C.A.H.;427;48;35;100;38;17;13;12;20;9;24;8;25;33;5;29;11
;;2;Vullings-Welles, J.F.M.;111;0;4;1;7;0;6;6;12;26;16;9;9;3;5;3;4
;;3;van der Vorst, B.P.J.;92;11;25;13;0;2;0;2;1;2;0;1;7;21;0;7;0
;;4;Vullings, P.;5;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0
;;5;Alleleijn, L.M.H.;61;9;8;1;6;4;7;1;1;1;4;8;3;0;0;8;0
;;6;van den Berg, O.W.;106;1;0;0;2;1;0;34;3;5;0;31;0;1;11;0;17
;;7;van der Zee, A.H.A.J;57;19;11;4;3;2;0;0;1;0;0;0;1;7;0;9;0
;;8;Bours-Vogels, J.H.;49;5;2;4;7;5;2;4;3;0;2;4;3;1;1;5;1
5;LVM;;;1660;76;76;44;128;151;18;158;82;290;91;96;213;53;51;67;66
;;1;Meerts, C.M.J.E.P.;825;39;33;19;19;22;5;126;44;215;59;65;41;25;39;24;50
;;2;Beckers, R.J.M.M.;136;0;2;3;39;0;0;0;17;1;4;5;57;1;1;5;1
;;3;Richter, M.M.G.M.;191;10;19;4;49;7;2;1;4;3;4;1;71;8;0;4;4
;;4;Claessens, M.S.D.;99;2;5;0;1;2;0;16;2;38;8;11;1;2;5;2;4
;;5;van Dorth, J.G.;62;11;9;7;0;1;1;0;3;0;3;0;1;7;0;19;0
;;6;Jacobs, L.A.H.;87;1;2;1;1;44;7;3;6;1;11;1;4;1;2;1;1
;;7;Dirks, A.H.J.;93;2;2;0;0;75;2;0;1;3;0;0;1;1;0;6;0
;;8;van der Beek, E.S.W.;43;4;0;2;9;0;0;1;0;0;0;0;23;4;0;0;0
;;9;Kleukers, H.H.W.;22;0;0;0;0;0;0;2;1;14;2;0;1;0;0;0;2
;;10;Heemels, B.P.;13;0;0;0;5;0;0;0;0;0;0;1;5;0;2;0;0
;;11;Hebben, D.J.A.;16;0;0;0;0;0;0;1;0;11;0;4;0;0;0;0;0
;;12;Eurlings, M.L.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Kleukers, R.W.F.C.;8;0;2;1;0;0;1;0;0;0;0;0;0;0;0;2;2
;;14;de Vries, P.J.M.;10;0;0;0;2;0;0;0;0;0;0;0;6;0;0;2;0
;;15;van Dijk, M.J.H.;3;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Sniekers, J.H.W.M.;5;0;0;1;1;0;0;0;0;0;0;0;0;2;0;1;0
;;17;Boumans, J.E.S.;4;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0
;;18;Verhoeven, D.C.F.;6;0;0;0;0;0;0;0;1;2;0;2;0;0;1;0;0
;;19;Rulkens, M.E.H.;11;4;0;4;0;0;0;0;2;0;0;0;0;1;0;0;0
;;20;Coenen, H.H.;25;3;0;2;0;0;0;8;1;2;0;6;0;0;1;0;2
6;D66;;;623;38;11;17;21;31;8;97;25;101;79;68;26;8;32;15;46
;;1;van Velzen, C.M.;296;23;6;11;10;20;6;33;11;67;26;30;10;4;13;11;15
;;2;Burgers, J. J. W.;53;4;0;0;3;1;0;11;2;22;2;4;1;0;3;0;0
;;3;Buschman, R. F. A. T.;16;1;0;1;0;2;0;0;8;1;0;0;0;1;2;0;0
;;4;Ramaker, J. P.;10;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0
;;5;Bosman, S. G.;33;0;2;0;0;0;0;7;1;3;0;10;2;0;2;1;5
;;6;Suntjens, B. J. C. S.;126;0;1;0;3;2;0;44;2;4;8;23;0;0;12;1;26
;;7;Geerlings, E. H.;21;1;0;1;3;0;0;1;0;0;0;0;13;0;0;2;0
;;8;van Bommel, M. J. E.;17;6;2;3;0;3;0;0;0;0;0;1;0;2;0;0;0
;;9;van Wijk, H. C.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;10;Eurlings-Tonnaer, F. M. C. L.;48;3;0;1;2;0;2;1;1;4;34;0;0;0;0;0;0
