Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Burgerhoes;Cultuurhuis Landgraaf;Ontmoetingsruimte A gen Bruk;Parochiezaal Kerkplein;Ontmoetingsruimte A gen Maar;Unit Calshof  (ipv zorgcentrum Calshof);Gymzaal Leenhof;Wijkcentrum An de Koel  (ipv Harlekijn);Unit 't Eikske;Buurthuis de Molt;Harmoniezaal SUN-plein;Scouting St. Tarcisius;Ontmoetingscentrum Oude Heide;Sporthal Hoefveld (ipv school 't Valder);Gemeenschapshuis 't Ströatje;Theater Landgraaf (ipv zorgcentrum Heereveld);Gymzaal Olympia  Landgraaf (ipv school De Wegwijzer);MFC An d'r Put;Café d'r Sjtee Uul;Café 't Steenen Kruis (ipv school de Speurneus);Gemeenschapshuis De Residentie;Gemeenschapshuis D'r Eck;EV  Burgerhoes 14 maart 2022;EV MFC An d'r Put 14 maart 2022;EV gymzaal Olympia 14 maart 2022;EV wijkcentrum An de Koel 14 maart 2022;EV Burgerhoes 15 maart 2022;EV MFC An d'r Put 15 maart 2022;EV gymzaal Olympia 15 maart 2022;EV wijkcentrum An de Koel 15 maart 2022;EV Gemeenschapshuis D'r Eck 15 maart 2022
Gebiednummer;;;;;1;2;3;11;12;22;23;30;32;42;101;111;112;121;201;202;203;204;211;212;221;231;300;302;303;304;400;402;403;404;405
Postcode;;;;;6371 LB;6371 AW;6371 HW;6372 EZ;6372 EP;6372 RH;6371 HX;6372 AC;6372 VW;6371 EC;6373 LG;6373 CW;6373 GJ;6373 TT;6374 KC;6374 ES;6374 AE;6374 HR;6374 GS;6374 VR;6374 BK;6374 LV;6371 LB;6374 HR;6374 AE;6372 AC;6371 LB;6374 HR;6374 AE;6372 AC;6374 LV
;aangetroffen stembiljetten;;;15037;936;345;535;769;894;485;201;518;614;551;637;594;663;741;616;337;178;567;670;354;1076;328;536;265;86;227;614;260;104;270;66
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GBBL Ubach over Worms;;;2511;81;16;26;23;24;10;8;24;19;16;41;49;74;58;218;117;70;212;237;126;492;178;41;93;29;4;57;90;32;11;35
;;1;Mevissen, P.J.C.;807;27;7;9;6;10;0;2;10;4;5;19;16;32;22;55;40;28;65;74;60;156;8;15;33;13;0;25;45;10;4;7
;;2;Logister, J.W.;352;6;0;1;7;1;1;2;2;1;0;6;0;8;3;29;7;2;25;21;9;14;154;8;6;0;0;5;10;0;1;23
;;3;Wilbach, C.P.G.;199;7;1;3;1;3;2;0;1;4;1;6;4;7;6;20;8;5;23;17;13;34;3;5;13;2;0;2;6;0;1;1
;;4;Embregts, T.;276;5;2;4;3;2;2;3;2;0;2;1;4;8;10;15;9;14;13;26;17;108;2;2;3;3;1;6;2;5;2;0
;;5;Gubbels, E.;85;3;0;3;0;0;0;0;0;0;0;2;3;1;0;4;4;0;1;6;6;37;0;3;3;3;0;0;3;3;0;0
;;6;Caenen, J.G.;204;5;0;2;1;2;0;1;0;0;1;5;1;4;7;26;14;9;32;22;7;29;4;5;6;3;1;6;8;1;0;2
;;7;van den Berg, M.G.G.;107;9;2;0;1;1;1;0;0;1;0;1;11;8;0;3;2;5;7;8;5;23;0;0;2;4;0;2;2;9;0;0
;;8;van Beusekom, R.H.T.;27;1;1;0;0;0;0;0;1;3;0;0;0;0;0;2;2;0;1;1;0;12;2;0;0;0;0;0;0;1;0;0
;;9;Erkens, H.E.J.;94;2;2;1;1;0;0;0;4;0;1;0;0;0;4;9;14;3;19;3;2;4;0;1;12;0;2;1;8;0;1;0
;;10;Janssen-Haenen, S.P.H.;101;4;0;0;1;2;0;0;1;1;0;0;3;3;2;10;3;0;2;40;7;8;0;2;6;0;0;4;2;0;0;0
;;11;Dörenberg, R.L.G.;20;0;0;0;0;2;2;0;0;0;0;0;0;0;0;9;0;0;4;0;0;0;0;0;1;0;0;2;0;0;0;0
;;12;Beelen, C.;71;6;1;0;0;1;2;0;2;1;1;1;6;1;2;11;1;0;4;10;0;14;2;0;0;0;0;3;0;0;2;0
;;13;Wetzels, T.M.H.;21;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;16;0;0;0;0;0;0;0;0;0;0
;;14;Schormans, F.X.H.M.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;2;0;0;5;0;0;0;0;1;0;0
;;15;Stevens, L.;39;2;0;0;0;0;0;0;1;1;0;0;1;2;0;6;4;2;8;1;0;7;1;0;2;0;0;0;0;1;0;0
;;16;Robbertz, E.P.;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;Embregts, V.M.A.;11;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;5;0;0;0;0;0;0;1;0;0;0
;;18;Steens, J.M.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;19;Geuskens, R.W.J.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;3;0;2;0;0;0;0;0;1;1;0;0;0
;;20;Goverde, D.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;21;Peters, W.R.A.M.;16;0;0;3;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
