Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Burgerhoes;Cultuurhuis Landgraaf;Ontmoetingsruimte A gen Bruk;Parochiezaal Kerkplein;Ontmoetingsruimte A gen Maar;Unit Calshof  (ipv zorgcentrum Calshof);Gymzaal Leenhof;Wijkcentrum An de Koel  (ipv Harlekijn);Unit 't Eikske;Buurthuis de Molt;Harmoniezaal SUN-plein;Scouting St. Tarcisius;Ontmoetingscentrum Oude Heide;Sporthal Hoefveld (ipv school 't Valder);Gemeenschapshuis 't Ströatje;Theater Landgraaf (ipv zorgcentrum Heereveld);Gymzaal Olympia  Landgraaf (ipv school De Wegwijzer);MFC An d'r Put;Café d'r Sjtee Uul;Café 't Steenen Kruis (ipv school de Speurneus);Gemeenschapshuis De Residentie;Gemeenschapshuis D'r Eck;EV  Burgerhoes 14 maart 2022;EV MFC An d'r Put 14 maart 2022;EV gymzaal Olympia 14 maart 2022;EV wijkcentrum An de Koel 14 maart 2022;EV Burgerhoes 15 maart 2022;EV MFC An d'r Put 15 maart 2022;EV gymzaal Olympia 15 maart 2022;EV wijkcentrum An de Koel 15 maart 2022;EV Gemeenschapshuis D'r Eck 15 maart 2022
Gebiednummer;;;;;1;2;3;11;12;22;23;30;32;42;101;111;112;121;201;202;203;204;211;212;221;231;300;302;303;304;400;402;403;404;405
Postcode;;;;;6371 LB;6371 AW;6371 HW;6372 EZ;6372 EP;6372 RH;6371 HX;6372 AC;6372 VW;6371 EC;6373 LG;6373 CW;6373 GJ;6373 TT;6374 KC;6374 ES;6374 AE;6374 HR;6374 GS;6374 VR;6374 BK;6374 LV;6371 LB;6374 HR;6374 AE;6372 AC;6371 LB;6374 HR;6374 AE;6372 AC;6374 LV
;;8;Molag, C.H.;14;5;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
;;9;van Bijsterveld, J.P.M.;8;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Wanders, I.M.C.;37;4;0;0;1;1;0;1;2;4;1;3;2;0;1;2;0;1;2;0;4;3;0;2;2;0;0;0;1;0;0;0
;;11;Buijsen, A.J.J.;9;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0
;;12;Hendriks, M.F.L.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Motz, R.C.J.;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Groven, H.G.B.;20;0;0;1;0;0;2;1;5;0;0;1;0;0;3;2;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0
6;Ouderen Partij Landgraaf;;;1400;71;43;70;90;107;41;17;64;54;51;38;32;62;46;40;40;9;64;67;25;123;18;65;25;5;20;53;23;11;21;5
;;1;Van Oosteroom, W.J.;422;30;11;19;20;23;8;8;14;27;10;12;10;19;18;14;11;2;12;14;8;61;7;21;9;2;5;17;5;2;2;1
;;2;Cordewener, L.M.F.;93;3;0;2;5;2;3;2;2;2;5;0;5;4;10;2;2;0;3;3;0;17;0;6;0;1;1;4;2;4;3;0
;;3;Van De Wetering, T.;215;3;5;12;40;54;20;2;12;6;6;0;2;3;3;3;3;1;5;6;0;0;1;6;0;0;5;11;0;0;6;0
;;4;Römkens, J.N.;77;3;1;0;2;0;0;1;4;1;0;11;3;5;2;3;3;0;7;3;3;15;0;2;2;0;1;1;1;1;2;0
;;5;Verwoert-Wolters, I.M.;97;6;3;7;7;10;2;2;8;1;20;0;1;4;1;0;0;0;1;3;0;2;2;5;0;0;5;5;2;0;0;0
;;6;Esser, M.E.S.P.;54;3;1;0;4;2;1;2;4;1;2;1;1;3;1;2;5;0;2;1;1;2;1;2;5;0;1;2;1;0;3;0
;;7;van Elburg, R.W.;62;2;0;0;0;1;0;0;4;0;0;3;1;6;1;5;2;1;9;10;4;5;1;2;2;0;0;0;1;0;2;0
;;8;Kreutz, J.M.P.;23;0;1;0;3;0;0;0;3;3;0;0;0;1;2;1;0;2;1;2;2;0;0;0;0;0;0;0;1;0;1;0
;;9;Douven, J.M.M.;29;2;0;0;0;0;0;0;0;0;0;0;2;0;1;0;8;1;2;2;0;1;1;2;1;0;0;1;2;2;1;0
;;10;Zautsen, J.H.A.;168;10;19;25;8;7;4;0;7;3;1;8;0;6;4;1;4;0;14;10;2;3;0;16;3;0;0;8;3;1;1;0
;;11;Gerards, J.J.;20;2;0;0;0;1;0;0;0;0;0;2;0;1;0;3;2;0;0;8;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Direcks - Van Oosteroom, J.H.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;13;Gossen-Holweg, A.F.;7;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0
;;14;Theunissen, C.J.;7;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
;;15;Van Dijk-van Hattum, M.F.A.;7;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;16;Beckers, I.A.J.;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;5;2;1;0;0;0;1;0;0;1;0;0;0;0
;;17;Szablewski - Speth, J.H.J.;4;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;18;Dingelstad, J.J.;5;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Wroniak, M.E.J.;6;2;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Zibret, A.J.A.;9;0;0;2;0;1;2;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Van Der Kwast - Toussaint, I;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Van Haaren, L.B.E.;12;0;0;0;0;3;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;23;Wingen, C.H.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0
;;24;Toussaint - Haarbosch, H.A.M.;15;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;1;3;1;0;0;0;0;2;0;0;3
;;25;Haarbosch, C.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;26;Münstermann, R.F.A.;44;0;0;0;0;3;1;0;3;3;2;1;5;2;0;3;0;2;1;1;3;9;0;1;1;2;0;0;1;0;0;0
7;VVD;;;896;56;36;31;38;30;28;7;26;46;74;24;67;27;54;52;11;13;30;19;21;51;17;35;12;4;7;45;12;4;18;1
;;1;Baggerman, L.F.A.;373;20;18;11;16;19;11;5;7;14;40;14;41;12;24;5;1;5;4;11;6;24;2;24;3;3;2;23;1;1;6;0
;;2;Franssen, W.C.J.;192;14;7;12;6;2;7;1;9;5;10;5;6;5;11;8;9;7;12;6;6;18;3;4;1;0;1;6;7;2;2;0
;;3;Verboeket, P.R.M.;55;1;0;0;1;1;2;0;1;1;3;1;1;0;2;20;0;0;9;1;0;1;1;0;3;0;0;1;2;0;3;0
;;4;Lambie, B.W.H.;44;6;5;5;3;2;3;0;0;0;2;2;0;0;4;1;0;0;0;0;2;0;0;2;3;0;2;0;1;1;0;0
;;5;Paulissen, T.A.G.J.;46;1;0;0;3;1;1;1;0;20;3;0;3;2;1;2;0;0;3;0;1;0;0;0;0;0;2;0;0;0;2;0
;;6;Raets, L.R.P.;42;4;2;1;1;0;1;0;1;0;3;0;6;6;6;3;0;0;0;0;2;0;0;2;2;0;0;0;1;0;1;0
;;7;de Haas, D.G.A.H.;18;1;0;0;1;0;1;0;0;0;3;0;0;0;1;0;0;0;0;1;0;1;0;2;0;0;0;6;0;0;1;0
;;8;Quaedackers, B.W.J.;17;0;0;0;0;2;0;0;4;3;3;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;9;Evers, L.B.J.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;10;van Kempen, S.A.;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Schols, B.W.V.M.;6;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0
;;12;Regterschot, K.;100;9;2;2;7;3;2;0;4;3;6;2;5;2;5;13;1;0;2;0;3;5;10;1;0;0;0;9;0;0;3;1
8;GROENLINKS;;;634;46;12;31;32;30;14;20;20;40;23;28;26;20;39;27;22;5;15;15;12;24;38;23;8;2;9;29;8;2;9;5
;;1;Haex-Hulscher, M.A.;304;15;7;17;14;12;11;11;10;20;13;15;15;12;24;10;12;1;6;7;8;7;10;10;4;0;8;16;3;0;6;0
;;2;Stijns, M.M.C.;31;4;0;1;2;4;0;2;0;1;2;1;1;0;3;1;0;0;1;0;0;0;1;1;1;0;0;3;2;0;0;0
;;3;Hendrikx, M.E.P;31;4;0;0;2;2;0;3;1;1;2;0;0;1;2;1;1;0;0;2;2;5;0;0;1;0;0;1;0;0;0;0
;;4;Gubbels-Korver, H.C.M.;71;3;0;3;1;3;1;1;1;1;3;4;3;4;8;7;0;3;2;5;0;8;3;2;0;0;0;1;1;2;1;0
;;5;Linssen, J.J.G.;59;3;0;2;5;1;0;0;1;0;1;0;1;0;1;3;4;0;1;1;0;1;22;3;0;0;0;3;2;0;0;4
;;6;de Haan, A.A.W;15;0;0;1;0;2;0;0;3;4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;7;Janssen, R.W.M.;8;1;1;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;8;Alali, M;49;9;1;4;3;1;1;1;0;5;0;3;2;0;1;2;0;0;1;0;0;0;2;5;0;2;0;4;0;0;2;0
;;9;Haex, C;23;0;1;2;1;0;1;1;0;5;0;3;0;1;0;1;2;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0
;;10;van Dijk, J.L.;21;2;1;1;1;1;0;0;3;0;1;0;4;1;0;0;1;1;2;0;0;0;0;1;0;0;0;1;0;0;0;0
;;11;Beckers, M.T.A.;7;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;12;Daliry, A.A.;15;4;1;0;2;3;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;GBBL Nieuwenhagen;;;2003;249;43;28;53;29;31;11;19;20;37;212;197;244;237;25;15;25;40;38;32;60;4;132;15;18;4;129;31;15;8;2
;;1;Janssen, G.G.J.;779;87;20;11;17;13;9;5;5;6;15;76;94;126;87;7;5;10;10;8;8;25;1;63;5;3;0;47;4;9;1;2
;;2;Hoesen, I.;284;41;4;3;2;5;5;2;3;2;1;24;42;40;40;2;1;2;2;5;0;1;0;20;2;1;2;23;4;3;2;0
;;3;Heinrichs, J.W.;156;14;3;4;0;0;2;0;4;3;1;22;7;11;35;1;3;3;1;0;5;12;0;10;0;0;0;7;7;0;1;0
;;4;Smeets, J.G.M.;111;19;2;1;2;0;2;1;1;0;0;1;21;25;11;0;1;2;0;0;1;3;0;7;0;0;0;10;1;0;0;0
;;5;Glenz, P.J.H.C.;105;18;3;0;4;0;1;2;0;0;4;15;7;6;7;2;1;2;2;1;0;3;0;7;0;1;0;15;2;0;2;0
;;6;Burhenne, F.P.J.;65;13;1;4;4;0;0;0;3;1;3;0;4;4;2;1;1;2;8;1;0;4;1;5;0;0;0;0;2;1;0;0
;;7;Baur, F.J.P.;44;9;1;0;1;3;2;0;1;1;0;3;4;3;0;2;2;0;0;1;4;3;0;0;1;3;0;0;0;0;0;0
;;8;Reumkens, J.M.J.;131;11;4;4;15;5;2;0;0;0;6;29;3;6;8;2;0;2;2;2;2;3;2;2;4;3;2;11;1;0;0;0
;;9;Ampts, P.H.M.;29;5;0;0;1;0;5;0;0;0;0;0;1;1;0;2;0;0;2;0;3;0;0;3;0;0;0;3;3;0;0;0
;;10;Smeets, P.H.J.;106;19;2;0;2;0;3;0;0;5;3;20;2;4;3;3;0;2;6;5;4;0;0;6;3;3;0;5;6;0;0;0
;;11;Hoekstra, J.H.G.M.;11;1;0;0;0;0;0;0;0;0;1;1;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;12;Schiffelers, M.N.J.;18;2;1;0;1;2;0;0;2;0;1;2;2;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;13;Raats, J.E.;9;1;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Kessels, I.;9;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0
;;15;Wolff, K.M.;10;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0
;;16;Nooyen, L.J.;8;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
;;17;Reining, P.;7;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;Frings, J.H.M.G.;7;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Haenraets, P.J.;9;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0
;;20;Everhartz, M.M.P.;10;0;0;0;2;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;21;Palmen, A.M.;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Lankhorst, D.M.E.;10;2;0;0;0;0;0;1;0;0;0;2;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;23;Snippe-Schleipfenbauer, E.J.;83;6;1;0;2;0;0;0;0;2;2;5;2;7;26;1;0;0;4;12;2;4;0;1;0;0;0;3;1;0;2;0
10;PVV (Partij voor de Vrijheid);;;1539;108;29;42;84;100;47;28;47;90;67;113;67;74;64;61;13;15;38;102;47;108;17;47;19;7;18;37;10;11;25;4
;;1;Claassen, R.A.B.;831;60;15;19;45;66;23;17;17;46;44;45;29;48;27;30;10;11;13;52;30;65;12;30;9;7;12;22;3;7;14;3
;;2;Ernst, R.A.M.M.;133;5;3;8;7;6;2;5;4;4;6;5;1;2;6;16;1;1;8;15;3;11;0;3;4;0;1;3;1;0;2;0
;;3;Crijns, P.P.;371;20;5;8;24;22;16;4;25;35;14;42;11;14;20;8;1;2;8;27;7;23;2;5;4;0;4;6;6;0;8;0
;;4;Vankan, M.H.L.;71;13;5;4;5;3;2;0;0;0;3;12;4;3;5;1;1;0;1;1;3;2;0;1;0;0;1;0;0;1;0;0
;;5;Nak, D.H.H.;23;1;1;1;1;2;0;0;0;0;0;1;9;2;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0
;;6;Smeijsters, J.G.W.;110;9;0;2;2;1;4;2;1;5;0;8;13;5;6;5;0;1;7;7;4;7;3;7;1;0;0;5;0;3;1;1
