Verkiezing;;Gemeenteraad Beek 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beek;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0888;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;ASTA;de Dagbeeker;Duivenlokaal;Woon-/Zorgcentrum;Verenigingslokaal L'Union;Muziekschool;Gemeenschapshuis;Verenigingslokaal Willem Tell;Gasterie Genhout Treft;BMV Spaubeek;Bejaardensociëteit;De Haamen;BMV Spaubeek;ASTA;ASTA;ASTA;Gemeenschapshuis;Gemeenschapshuis;Gasterie Genhout Treft;Gasterie Genhout Treft;BMV Spaubeek;BMV Spaubeek
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
Postcode;;;;;6191 JG;6191 TX;6191 TK;6191 KZ;6191 BN;6191 VP;6191 GN;6191 RP;6191 NZ;6176 BD;6176 AS;6191 HV;6176 BD;6191 JG;6191 JG;6191 JG;6191 GN;6191 GN;6191 NZ;6191 NZ;6176 BD;6176 BD
;opgeroepenen;;;13339;1123;1113;1135;145;1261;1038;1014;486;991;955;968;1030;956;1124;0;0;0;0;0;0;0;0
;geldige stempas;;;6680;427;441;400;59;453;329;405;247;372;262;285;246;282;250;506;504;198;226;101;133;239;315
;geldig volmachtbewijs;;;817;62;49;74;2;36;32;43;34;47;29;38;41;33;23;57;77;32;30;11;16;14;37
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7497;489;490;474;61;489;361;448;281;419;291;323;287;315;273;563;581;230;256;112;149;253;352
;geldige stembiljetten;;;7453;484;482;472;61;488;358;446;281;413;290;319;285;314;273;556;579;230;256;112;149;253;352
;blanco stembiljetten;;;27;3;4;1;0;1;2;1;0;2;1;4;0;0;0;4;2;0;0;0;0;0;2
;ongeldige stembiljetten;;;19;1;4;2;0;0;1;1;0;4;0;0;2;1;0;3;0;0;0;0;0;0;0
;aangetroffen stembiljetten;;;7499;488;490;475;61;489;361;448;281;419;291;323;287;315;273;563;581;230;256;112;149;253;354
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
