Verkiezing;;Gemeenteraad Gennep 2022;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;
Gebied;;Gemeente Gennep;;;;;;;;;;;;;;
Nummer;;0907;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Goede Herder (maandag);Buurthuis VanOns (maandag);De Goede Herder (dinsdag);Buurthuis VanOns (dinsdag);De Goede Herder;Buurthuis VanOns;Zaal Buurman;Trefpunt;'t Hökske;Zaal Pica Mare;D'n Toomp, Heijen;De Uitkomst
Gebiednummer;;;;;1;2;3;4;7;8;9;10;11;13;14;15
Postcode;;;;;6591 AV;6591 XA;6591 AV;6591 XA;6591 AV;6591 XA;6595 AD;6596 AK;6591 GD;6591 JE;6598 AW;6599 AA
;;13;van der Windt, K.;17;2;0;0;1;0;3;0;1;0;0;10;0
;;14;Heinrichs, M.M.;6;0;0;0;1;1;3;0;0;0;1;0;0
;;15;Logcher, C.A.J.;1;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Snellen, S.A.G.;13;0;0;0;1;1;3;0;0;1;0;6;1
;;17;ten Broek, C.J.;12;0;0;0;0;2;1;1;0;2;6;0;0
;;18;Willemsen, N.B.;4;0;0;0;1;0;3;0;0;0;0;0;0
;;19;Hofmans, H.G.J.;4;0;0;0;0;0;0;3;0;0;0;1;0
;;20;van Eck, F.L.;7;1;0;0;0;0;1;0;0;0;0;5;0
;;21;Otten, B.A.;5;0;0;0;0;0;0;5;0;0;0;0;0
;;22;van Lent, F.;6;0;0;0;0;1;0;1;3;1;0;0;0
;;23;Mayrhofer, J.V.P.;5;0;0;1;0;0;1;3;0;0;0;0;0
;;24;Nagtzaam, C.P.J.;3;0;0;2;0;0;0;0;0;0;1;0;0
;;25;van Duijnhoven, S.P.J.;2;0;0;0;0;1;0;0;1;0;0;0;0
;;26;van de Geijn, P.T.;6;0;1;1;2;0;2;0;0;0;0;0;0
;;27;Burgman, J.C.A.;6;3;0;0;0;0;0;0;0;0;0;3;0
;;28;Teunissen, H.J.L.M.;4;0;0;0;0;1;0;3;0;0;0;0;0
;;29;Smedema, J.;5;0;0;0;1;0;2;0;1;0;0;1;0
4;D66;;;1537;85;38;102;58;119;148;163;308;90;57;339;30
;;1;Mehlkop, A;286;16;11;21;14;23;29;73;35;18;12;27;7
;;2;van den Hoogen, M.G.;444;34;15;43;23;56;69;43;46;36;29;41;9
;;3;Sonnemans, A.M.H.;327;22;1;17;4;9;16;19;177;15;7;32;8
;;4;Hoetink, L.G.;24;0;2;1;5;3;2;2;3;1;1;2;2
;;5;de Jager, D.A.;23;0;1;2;2;1;8;1;2;2;1;3;0
;;6;Mulder, N.T.;29;1;2;3;2;0;0;3;15;0;1;0;2
;;7;Blom, P.J.;115;4;0;3;0;2;0;6;2;0;2;96;0
;;8;ter Laak, J.W.F.;142;0;0;2;0;4;1;0;0;0;0;135;0
;;9;Vandermeulen, E.H.C.;24;1;1;1;0;5;3;3;0;9;0;0;1
;;10;Roeberding, J.A.B.W.;30;0;1;0;3;1;2;0;23;0;0;0;0
;;11;Lamers, H.J.P.;5;1;2;1;0;0;0;0;1;0;0;0;0
;;12;Knapen, M.H.J.M.;6;2;0;1;1;0;0;2;0;0;0;0;0
;;13;van de Sand, A.B;2;0;0;0;0;1;0;0;0;1;0;0;0
;;14;Goossens, W.J.M.;4;0;0;0;0;1;0;1;0;0;0;1;1
;;15;Schellekens, B.W.M.;30;1;2;1;3;6;10;2;1;2;2;0;0
;;16;Lamé, J.;3;0;0;2;0;0;1;0;0;0;0;0;0
;;17;Jongejan, E.;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van Est, A.A.;16;1;0;2;0;5;1;4;0;3;0;0;0
;;19;Wessels, P.H.B.;27;2;0;2;1;2;6;4;3;3;2;2;0
;;20;Ottervanger, R.G.;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Partij van de Arbeid (P.v.d.A.);;;769;56;22;46;43;83;72;67;118;74;27;127;34
;;1;Brouwers, L.W.L.;340;29;10;20;18;33;27;36;65;32;3;57;10
;;2;Hillebrand, J.J.;112;4;1;9;6;17;15;7;7;23;16;6;1
;;3;Gijsbers-Pluim, E.G.;111;8;1;5;3;4;8;7;13;11;3;46;2
;;4;Bögels, T.J.;30;0;0;5;1;3;4;0;0;5;0;12;0
;;5;van Lieshout, E.J.T.;62;6;1;4;7;17;10;5;3;2;3;3;1
;;6;Wuestenenk, N.M.;35;3;9;0;4;6;4;1;5;0;1;1;1
;;7;van den Bos, R.J.;17;1;0;0;1;0;0;1;14;0;0;0;0
;;8;Vernooij, J.G.W.M.;15;5;0;1;1;0;1;3;1;1;0;0;2
;;9;Fransman, P.M.;26;0;0;0;1;1;1;4;1;0;0;1;17
;;10;Wesseldijk, J.W.;6;0;0;0;0;1;1;2;0;0;1;1;0
;;11;Koomen-Coppes, C.M.J.L.;15;0;0;2;1;1;1;1;9;0;0;0;0
6;EERLIJK LOKAAL sociaal samen sterk (ELsss);;;942;52;33;80;53;88;109;133;162;90;39;56;47
;;1;Pubben, F.P.M.;524;25;23;48;38;57;69;64;53;57;25;40;25
;;2;Artz, D.H.J.;119;4;3;6;6;9;7;17;48;6;3;2;8
;;3;Meerwaldt, A.J.M.;46;8;0;11;1;2;13;0;5;0;3;1;2
;;4;Hoenselaar, P.P.C.;52;5;2;1;0;6;3;16;8;5;2;0;4
;;5;Rijnen, P.H.A.;18;1;2;0;1;0;2;3;0;7;1;1;0
;;6;Artz, A.G.T.;114;8;2;9;7;12;11;32;9;7;3;8;6
;;7;van Daalen de Jel, L.A.J.L.D.J.;4;0;0;0;0;0;1;0;0;3;0;0;0
;;8;van Slooten, M.E.;21;0;0;0;0;1;1;1;12;1;2;1;2
;;9;Ehren, G.T.M.;44;1;1;5;0;1;2;0;27;4;0;3;0
