Verkiezing;;Gemeenteraad Bergen (L) 2022;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;
Gebied;;Gemeente Bergen (L);;;;;;;;;;;;;;
Nummer;;0893;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Recreatiecentrum Den  Asseldonk;Stembureau Ontmoetingscentrum Bergen;Stembureau Voorportaal Sint Petruskerk;Stembureau Kerk Cosmas en Damianus;Stembureau MFC De Klaproos;Stembureau MFC De Buun;Stembureau Gemeenschapshuis 't Luukske;Stembureau Ontmoetingscentrum Bergen (maandag);Stembureau MFC De Buun (maandag);Stembureau Ontmoetingscentrum Bergen (dinsdag);Stembureau MFC De Buun (dinsdag);Stembureau Servicecomplex Maasduinen Staete
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;13
Postcode;;;;;5854 CC;5854 CW;5854 AK;5851 AM;5853 AX;5855 AD;5856 AS;5854 CW;5855 AD;5854 CW;5855 AD;5854 DA
;;19;Borkent, J.H.;16;0;0;0;0;15;0;1;0;0;0;0;0
;;20;Welbers, T.G.J.;11;2;3;0;0;1;1;0;3;0;0;0;1
;;21;van Ekeren, E.J.;3;1;0;0;0;0;0;0;1;0;1;0;0
;;22;Dilweg, E.J.;2;1;0;0;0;0;0;0;0;0;1;0;0
;;23;van Eupen, T.A.G.;2;1;0;0;0;0;0;0;1;0;0;0;0
;;24;Kersten, J.J.J.;8;0;0;0;0;5;0;1;0;0;2;0;0
;;25;Ponjee, L.T.A.M.;1;0;0;1;0;0;0;0;0;0;0;0;0
;;26;van Eekeren, J.H.G.M.;16;8;1;2;2;0;0;1;1;0;1;0;0
;;27;Roefs, C.W.J.M.;10;2;1;1;2;1;0;0;1;0;2;0;0
3;KERN;;;1206;151;110;56;209;115;177;157;52;44;72;58;5
;;1;Raijmakers - van der Stap, M.H.M.;453;59;49;13;132;52;52;22;17;8;26;20;3
;;2;Camps, F.P.M.;237;5;7;4;1;0;46;126;3;21;4;18;2
;;3;Cuijpers, J.M.M.;68;15;9;2;19;4;4;1;2;0;10;2;0
;;4;Hesen, B.C.M.;68;15;10;24;1;1;5;1;5;0;6;0;0
;;5;van den Hurk, N.J.P.;116;21;17;6;4;3;21;3;21;1;15;4;0
;;6;Stolk, W.;21;1;0;0;20;0;0;0;0;0;0;0;0
;;7;Bindels, J.P.T.;53;6;2;0;0;40;0;0;1;1;2;1;0
;;8;van den Woldenberg, H.S.T.;26;15;1;0;1;4;0;0;0;1;3;1;0
;;9;Roersch, G.P.A.;39;0;1;1;27;4;2;1;0;0;3;0;0
;;10;Anderegg, J.W.M.;74;0;0;0;1;3;47;2;2;8;0;11;0
;;11;Jaspers, A.M.R.;19;6;6;0;2;0;0;1;1;2;0;1;0
;;12;Custers, H.H.A.M.;11;3;1;6;0;1;0;0;0;0;0;0;0
;;13;van Helden, J.P.;13;0;6;0;0;3;0;0;0;2;2;0;0
;;14;Taal, R.;2;1;1;0;0;0;0;0;0;0;0;0;0
;;15;Lamers, H.J.;6;4;0;0;1;0;0;0;0;0;1;0;0
4;VVD;;;502;80;53;51;38;51;42;90;21;12;50;12;2
;;1;van Rijen, P.J.P.;245;48;41;27;12;12;16;32;13;6;35;3;0
;;2;Hettinga, J.P.;19;1;2;4;4;1;3;1;1;0;2;0;0
;;3;Ripkens, M.;26;13;1;4;3;0;1;1;0;0;3;0;0
;;4;van der Kwast, W.R.;5;1;0;1;0;0;1;0;0;0;2;0;0
;;5;van Dijck, G.F.M.;35;13;5;8;0;0;0;0;5;0;4;0;0
;;6;van Vegchel, L.L.G.;31;0;2;0;3;5;9;3;0;2;1;6;0
;;7;Steegh, R.P.W.;55;0;0;1;0;1;1;52;0;0;0;0;0
;;8;Stolk, H.;25;1;0;4;15;0;1;0;2;0;2;0;0
;;9;Smals, M.M.S.D.;15;0;0;1;0;0;7;1;0;2;0;3;1
;;10;van Aerssen, M.F.L.;3;1;0;0;1;0;0;0;0;0;1;0;0
;;11;van der Schans, A.;8;1;0;1;0;1;3;0;0;2;0;0;0
;;12;Huizinga, O.M.M.;35;1;2;0;0;31;0;0;0;0;0;0;1
5;Dorpsbelangen Bergen (Limburg);;;916;131;89;37;200;108;88;86;55;29;57;34;2
;;1;Robben, P.C.M.;371;46;38;20;114;35;23;32;23;8;20;11;1
;;2;Megens, B.J.M.H.;80;22;9;5;9;10;2;4;4;4;7;3;1
;;3;Fledderman, K.A.T.;24;2;5;1;2;0;2;2;1;0;7;2;0
;;4;Aengenend, I.A.A.M.;69;13;4;2;22;13;2;4;3;1;5;0;0
;;5;Loermans, P.J.A.M.;19;4;0;1;4;0;1;1;3;2;2;1;0
;;6;Aengenend, R.G.J.;42;5;7;1;20;6;0;0;1;0;0;2;0
;;7;Verrijdt, H.J.M.;39;7;12;2;3;0;3;2;4;1;2;3;0
;;8;Heijkoop, J.C.;5;4;0;0;1;0;0;0;0;0;0;0;0
;;9;Kepser, L.J.E.;22;1;0;0;11;2;1;1;2;0;4;0;0
;;10;Jansen, E.J.H.;18;3;1;3;5;2;0;2;0;0;0;2;0
;;11;Beumers, T.H.J.;39;13;5;1;2;0;5;5;2;1;5;0;0
;;12;Holtermans-Messmer, M.C.M.;51;5;0;0;3;40;0;0;3;0;0;0;0
;;13;Poels, T.J.;19;0;0;0;0;0;0;18;0;1;0;0;0
;;14;Loermans-Verbeeten, E.W.C.M.;3;1;0;1;0;0;0;0;1;0;0;0;0
;;15;Theunissen, H.H.M.;16;0;0;0;1;0;4;7;0;0;1;3;0
;;16;Reijners, C.;1;0;0;0;0;0;0;0;1;0;0;0;0
;;17;van Lin, F.H.M.;10;2;0;0;2;0;2;2;2;0;0;0;0
;;18;Theunissen, M.G.M.;60;0;1;0;0;0;38;2;1;11;0;7;0
;;19;Theeuwen, T.G.M.;21;2;6;0;0;0;5;4;3;0;1;0;0
;;20;van der Meer, M.A.;7;1;1;0;1;0;0;0;1;0;3;0;0
