Verkiezing;;Gemeenteraad Kerkrade 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Kerkrade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;HuB;Café E Jen Bouwerwei;Catharinahoes;Centrum op de Bies;Gebouw Scouting;Basisschool De Schatkist;Kling Nullet;Clublokaal V.V. R.K.T.S.V.;'t Westhoes;Verenigingsgebouw Heidsjer Tref;Tijdelijk stembureau Gracht;Tijdelijk stembureau Kapellaan;Clublokaal KVC Oranje;'t Patronaat;Theaterzaal De Buun;Kerk Nassaustraat;Clublokaal V.V. Chevremont;P3 't Sjevemethoes;Autobedrijf Arsen;SocioProject;Clublokaal LHC;Gymzaal Singelweg;'t Sjaater Hoes;TCK54;Spireahof;FlexiForum;GaiaZOO;Roda J.C.;HuB;'t Westhoes;'t Patronaat;SocioProject;HuB;'t Westhoes;'t Patronaat;SocioProject
;;21;Geuskens, P.M.A.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;22;Rumpen, M.F.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Deckers, R.J.M.S.;29;9;1;1;0;0;0;0;1;0;0;0;1;1;0;2;0;3;2;0;0;0;1;2;0;0;0;0;0;1;0;1;0;3;0;0;0
4;SP (Socialistische Partij);;;1474;75;41;85;50;53;24;45;33;82;90;48;19;14;20;34;49;10;64;25;67;3;53;97;22;16;42;45;7;39;42;11;42;40;54;7;26
;;1;Laumann, M.A.K.J.;980;54;28;56;35;31;19;30;25;57;60;33;16;10;18;19;33;8;44;18;40;2;38;62;13;10;29;23;6;30;27;8;25;29;24;6;14
;;2;Piefer, J.A.;141;4;6;14;6;7;0;5;2;5;8;2;2;1;0;1;5;1;5;2;8;1;3;8;5;2;7;2;0;3;3;2;5;1;8;1;6
;;3;ter Horst, E.;61;3;0;0;0;0;1;1;2;2;5;2;0;0;0;2;2;0;4;0;5;0;1;12;0;2;4;1;0;2;3;0;0;3;4;0;0
;;4;Wevers, A.C.;97;3;3;5;2;1;2;2;2;4;7;2;0;0;0;4;1;0;1;3;5;0;9;9;2;1;1;6;0;1;3;1;5;3;8;0;1
;;5;van Beek, A.M.H.;38;2;0;0;2;6;1;0;0;2;0;0;0;0;0;2;0;0;3;0;4;0;0;1;0;0;1;3;0;1;0;0;3;3;4;0;0
;;6;Krewinkel, J.H.J.;28;1;1;0;1;0;0;1;1;5;2;2;0;0;1;0;3;0;2;2;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;3
;;7;Vasik, C.P.A.;7;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
;;8;Appels, J.P.J.;6;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;9;Aŭst, A.H.M.;22;0;0;2;0;2;0;1;1;0;0;1;1;0;1;2;1;0;2;0;1;0;1;1;0;0;0;3;0;0;0;0;0;0;2;0;0
;;10;Peters, E.L.B.;33;3;0;0;0;1;0;0;0;4;2;2;0;0;0;3;1;0;1;0;1;0;0;1;2;0;0;0;0;1;4;0;2;1;4;0;0
;;11;Doveren, M.;14;2;0;1;1;0;0;3;0;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;12;Wetzelaer-Delang, E.M.P.;16;1;2;1;2;0;0;0;0;0;1;3;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0
;;13;Krewinkel-Aŭst, W.G.;14;1;1;2;1;2;0;0;0;0;0;0;0;1;0;1;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Wijnants, W.G.N.;17;0;0;2;0;3;0;1;0;1;5;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1
5;Lokaal Alternatief;;;1559;166;57;125;32;30;14;69;35;72;62;40;49;36;27;42;47;21;40;13;39;2;30;50;14;2;42;65;22;71;27;37;5;85;34;43;14
;;1;Charlier, MHA;287;43;13;37;10;2;1;10;1;7;8;11;10;3;3;17;12;4;6;4;3;0;4;5;2;0;5;12;1;14;2;3;2;23;5;2;2
;;2;Szalata-Thomas, CJA;201;24;0;15;6;9;9;5;6;6;7;3;6;0;4;5;8;0;3;4;11;0;12;8;0;1;5;9;3;7;6;3;1;7;5;2;1
;;3;Noël, JPJ;85;9;0;8;1;1;0;4;2;3;1;0;5;1;1;5;1;0;2;1;7;0;4;2;1;0;1;1;1;13;0;1;0;6;0;3;0
;;4;Bremen-Munsters, ECCJ;119;15;2;5;0;2;0;10;3;0;4;4;3;2;6;4;2;0;4;0;6;0;5;5;0;0;7;6;2;4;0;6;0;7;1;2;2
;;5;Bok, JG;103;7;0;5;0;1;0;5;5;21;5;6;0;3;0;1;0;1;4;0;1;0;0;9;0;1;0;6;1;1;7;1;0;1;9;2;0
;;6;Fischer-Brouns, RMH;30;6;0;3;0;1;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;0;0;0;4;2;1;2
;;7;Luurssen, MAA;56;5;10;0;2;1;0;3;1;4;0;0;0;1;1;1;1;0;3;0;2;0;0;4;0;0;0;0;0;2;2;3;0;0;3;7;0
;;8;Paffen, CKHPA;35;1;3;4;1;1;0;4;1;0;0;2;0;1;2;0;2;0;0;0;0;0;1;2;0;0;1;2;0;0;1;3;0;1;0;1;1
;;9;Starmans, KPP;96;4;15;2;0;0;0;2;3;0;7;1;0;11;2;3;1;0;3;0;2;0;0;1;0;0;3;0;2;10;0;3;0;8;0;11;2
;;10;Fanchamps, R;49;3;2;9;2;4;0;3;0;2;0;0;3;2;2;0;1;2;0;0;0;0;0;1;2;0;0;6;0;4;0;0;0;0;0;1;0
;;11;Jansch, MDJ;76;8;3;3;0;0;2;1;4;4;8;5;1;3;0;0;2;3;0;1;1;0;0;1;0;0;2;6;11;1;0;5;1;0;0;0;0
;;12;Mommertz, NA;17;2;0;0;0;0;0;0;0;3;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;1;0
;;13;Stevens, RTJ;27;1;2;3;2;0;0;2;0;0;0;0;0;0;0;0;3;1;4;1;0;1;1;0;2;0;0;0;0;0;1;0;0;3;0;0;0
;;14;Graus, F;23;1;0;2;0;0;0;0;0;2;0;1;0;3;0;0;1;0;0;0;0;1;0;0;0;0;3;0;0;1;0;2;0;0;0;4;2
;;15;van Lieshout, LM;11;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
;;16;Handels-Lambrichs, M;27;3;1;0;1;0;0;2;0;0;2;0;3;0;0;0;5;4;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;1;0;0
;;17;Bok, JDJ;69;6;0;11;0;1;1;2;1;13;4;3;2;1;0;0;1;0;0;0;3;0;1;2;0;0;3;4;0;0;2;1;0;2;5;0;0
;;18;Knops, AJM;7;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Ploum, RJM;21;1;0;5;0;0;0;3;0;0;3;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1
;;20;Lammers-Hoekstra, MLHG;14;0;0;5;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0
;;21;Brauers, JPJ;23;1;2;1;0;1;0;3;0;2;2;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;0
;;22;Plummen- Prevoo, IMAA;16;0;0;0;0;1;0;1;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;3;0;0;0
;;23;Vandeberg, JJM;12;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;2;0;0;0;0;0;0
;;24;Knauf-Weling, MAN;8;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Hanssen, TJA;25;1;0;1;0;2;0;0;0;2;1;0;0;1;3;3;0;4;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;26;Mücher-Schumacher, PCH;11;2;0;1;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;27;Persoon, AJ;15;0;0;0;2;1;0;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;2;0;0;0
;;28;Savelsbergh, NMJ;16;2;0;0;2;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;2;0;0;3;2;0;0;0;0;0;0;0;0;0
;;29;Hanssen, JHM;18;1;2;0;0;0;0;3;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;3;0;2;0
;;30;Jakobs-Hübben, EGJM;4;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;31;Krings, AWH;10;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;1;0;0;0;0;0;0;2;0;0
;;32;Bladt, AH;5;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;33;Bremen, HMJ;5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Meijers, SJM;38;9;1;3;1;1;0;2;0;0;0;1;2;0;0;1;3;0;2;1;0;0;0;0;0;0;0;3;0;1;2;0;0;2;0;2;1
6;CDA;;;1166;118;29;95;28;24;9;34;13;27;44;26;42;12;20;29;26;11;32;10;98;16;41;59;6;9;15;33;24;51;19;11;26;51;33;12;33
;;1;Meijer, M.;352;38;11;21;5;9;2;9;4;4;10;14;20;4;6;7;9;5;12;4;22;6;18;19;2;2;5;12;9;15;6;3;2;14;8;5;10
;;2;Hoofs, R.T.A.L.;94;2;2;3;0;3;1;0;2;0;5;1;1;0;7;0;5;0;3;1;14;3;2;3;0;0;0;2;1;6;1;1;4;4;5;0;12
;;3;Lataster, V.E.C.;197;28;3;37;7;2;0;3;0;1;5;4;8;3;2;6;4;1;3;1;0;0;7;11;3;1;6;6;3;12;1;3;4;12;7;3;0
;;4;Hölsgens, P.P.J.;32;5;0;5;0;2;0;0;0;0;2;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;3;0;1;0
;;5;van den Camp, J.J.;126;3;0;4;2;0;4;2;0;1;2;3;3;0;0;5;1;0;1;1;51;6;1;0;0;4;0;2;0;2;2;0;13;3;2;0;8
;;6;Kallen, J.N.M.;44;9;1;3;5;2;0;2;2;2;0;1;1;0;1;0;0;0;3;1;4;0;0;1;0;0;0;0;1;1;0;1;0;2;0;0;1
;;7;Essers-Gielkens, M.W.M.G.;28;2;4;3;1;0;0;0;1;0;0;1;0;1;0;2;1;0;0;2;5;1;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0
;;8;van Leeuwenstein, H.O.M.;11;2;1;0;0;0;0;2;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;9;Schijven, N.M.N.;84;4;0;3;3;0;0;2;2;4;2;0;1;2;0;2;1;2;4;0;0;0;8;19;0;0;2;2;9;2;1;0;1;2;6;0;0
;;10;Schurer-Stevens, C.W.;23;3;0;0;0;0;0;1;0;8;6;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;11;Vreuls, D.M.T.;31;4;4;1;0;0;0;8;0;0;0;0;2;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;3;0;0;0;3;0
;;12;Werrij, L.M.J.;24;1;0;0;0;0;0;0;1;3;9;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;1;4;0;0
;;13;Klawitter, J.;15;3;1;2;0;2;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;14;Smeets, J.M.W.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;15;Wolters, L.;12;2;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Bellen, J.J.A.;13;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;3;0;0;0;1;0;0
;;17;Wijman-Loots, P.J.M.;9;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;2
;;18;Iedema, C.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;19;Caumon, P.J.;20;0;1;6;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;3;1;0;1;0;1;0;1;0;0;0;0;0;0;0
;;20;Heijnen, M.A.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;Schurer, H.A.J.M.;5;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Ballas, J.;7;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van den Broek, H.A.R.;9;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;24;Kannekens, H.H.T.;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Schroeder, H.J.G.;8;1;0;2;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;26;van Leeuwenstein, B.C.A.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Wiertz, N.I.W.;9;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
7;VVD;;;666;69;5;39;46;32;9;12;6;20;28;16;18;8;9;28;13;32;18;24;32;3;22;25;18;1;20;25;10;22;3;2;3;23;13;6;6
;;1;Creusen, R.F.A.C.;312;36;1;20;28;24;5;9;1;10;9;4;15;3;4;6;2;13;8;12;12;0;11;12;4;0;13;5;4;11;0;1;1;13;6;4;5
;;2;Driessen, H.G.J.;37;2;1;1;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;1;6;4;0;2;1;1;5;0;1;0;3;4;0;0
;;3;Scheeren, R.F.C.;58;13;2;8;3;2;0;3;0;0;4;0;0;1;0;3;2;3;0;1;3;0;0;0;2;0;1;2;1;1;0;0;0;2;0;1;0
;;4;Koch, S.S.W.;49;8;0;3;1;1;2;0;1;1;0;1;0;0;2;10;1;1;1;1;1;1;2;0;2;0;2;2;0;2;0;0;0;1;2;0;0
;;5;van Putten, B.G.H.;67;7;1;5;6;0;0;0;0;0;0;2;0;2;2;4;3;5;8;2;1;0;0;0;2;0;0;9;3;0;0;0;2;1;1;0;1
;;6;Kannapin, M.;14;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;3;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
;;7;Pötgens, R.P.F.;23;0;0;0;0;1;0;0;0;2;0;0;1;1;0;0;1;8;1;2;1;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0
;;8;Glenz, T.E.E.;34;1;0;0;2;2;1;0;2;5;10;3;0;0;0;0;0;1;0;0;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;1;0
;;9;van Geijn, K.R.D.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;2;0;0;0;2;1;0;0;0;0;1;0;0;0
;;10;Handels, M.J.A.M.;12;0;0;0;4;2;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Riemens, K.L.M.;9;1;0;0;0;0;0;0;0;0;2;1;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Fiori, N.A.M.H.;26;0;0;0;2;0;0;0;2;0;3;0;0;0;0;0;0;0;0;6;1;0;6;2;2;0;0;2;0;0;0;0;0;0;0;0;0
;;13;Overtoom, Y.J.C.;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Mommertz, A.J.M.;7;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0
8;Ouderenpartij Kerkrade;;;1205;83;37;41;40;43;34;54;31;32;42;34;23;16;17;14;23;14;53;36;83;3;35;59;15;11;24;31;9;46;27;15;23;54;39;13;51
;;1;Paas, JPM;491;26;13;24;24;27;5;26;10;15;17;19;11;4;8;6;6;11;24;19;29;0;6;23;2;8;7;8;4;17;9;10;12;20;14;9;18
;;2;Fischer-Otten, AMJN;214;30;5;7;4;3;0;13;11;6;8;4;2;1;3;4;3;1;8;2;3;0;1;11;4;2;3;4;2;18;9;2;1;21;14;1;3
;;3;Schlenter, LHJF;27;1;2;2;0;0;0;4;0;1;2;0;1;0;0;0;1;0;3;1;0;0;3;0;0;0;1;0;0;0;1;1;0;1;1;0;1
;;4;Souren, LMJ;58;3;0;0;1;0;0;0;0;1;4;0;2;2;0;0;2;0;0;0;0;0;13;10;0;0;3;2;0;4;1;0;0;1;7;1;1
;;5;van der Sleen, AG;13;1;0;1;0;0;0;3;0;0;1;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;6;Hamers, MKAW;58;5;4;3;0;2;2;3;1;1;0;0;2;2;0;1;0;0;1;0;11;0;0;1;2;0;1;2;1;0;0;0;3;2;0;0;8
;;7;Knippenberg, PJ;58;2;1;3;4;0;2;1;1;0;0;1;0;2;1;0;1;0;5;2;11;1;0;4;0;0;4;2;0;1;0;1;1;1;0;0;6
;;8;van Waardenburg-Poupová, JM;20;1;0;0;2;1;4;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;4;1;0;0;0;0;0;0
;;9;Bremmers, WJ;49;2;3;0;0;0;0;0;2;0;1;2;2;0;0;0;1;2;7;2;7;0;1;4;6;0;0;3;0;0;0;0;3;0;1;0;0
;;10;Jägers, WH;15;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;1;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
;;11;Schlangen, PGJ;27;5;0;0;0;1;1;0;0;0;5;0;0;0;0;0;1;0;0;0;1;0;4;0;0;1;3;0;0;0;0;0;0;4;0;1;0
;;12;Meijers-Gouders, RIJ;11;0;1;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;13;van der Sleen, MJH;12;0;1;0;0;0;0;1;1;1;1;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;14;Knippenberg, TJM;19;1;0;0;0;1;3;2;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;1;2;0;0;0;0;0;1;0;0;2
;;15;Blättler, WAJ;9;1;4;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Wijnen, PJW;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Scheilen, JWM;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;18;Paas, VRS;19;0;0;0;0;2;0;1;1;0;0;0;2;0;4;0;1;0;0;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;van Wersch, HMA;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Giroldi, JWT;10;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;1;0;0;1;0;0;0;1;0;0
;;21;van Prehn, AW;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bremen, JMJ;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;23;Fischer, JHM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Geurts, W;4;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Kaczmarek, AJ;26;1;0;0;1;2;10;0;0;0;0;1;0;0;0;1;0;0;0;0;4;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1
;;26;Knobbe, JN;11;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;5;0;0;0;0;0;0
;;27;Meijer, H;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;28;Janssen, HJ;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Kühnel, AM;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;30;Erkens, H;28;2;0;0;0;3;1;0;0;1;0;1;0;0;0;0;1;0;0;1;6;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;9
9;Hart voor Vrijheid;;;559;43;24;25;25;14;9;17;13;30;25;33;6;12;28;8;27;8;14;10;31;9;18;17;4;4;13;43;5;10;2;8;4;1;4;8;7
;;1;Otten, A.R.J.;281;23;15;14;13;6;5;7;6;12;15;16;3;8;9;3;16;4;7;7;17;4;9;10;2;2;1;20;1;5;2;7;4;0;3;5;0
;;2;Bacher, L.;38;1;2;0;1;1;0;2;3;3;4;3;0;0;2;1;0;0;1;1;3;0;3;3;0;0;0;2;1;0;0;0;0;0;1;0;0
;;3;van der Grinten, J;16;1;0;1;0;0;0;2;0;0;0;0;0;0;4;0;1;0;0;1;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
;;4;Ottenhoff, R.S.A.;12;4;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;5;Strüver, H.J.W.;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0
;;6;Lechner-van Elteren, W.C.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Pütz, W.M.C.;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Schaaik, W.D.C.;93;7;0;1;4;1;3;2;1;7;4;9;3;1;4;0;2;0;1;0;4;3;5;2;1;2;6;12;1;1;0;0;0;0;0;1;5
;;9;Otermanns, E.T.;30;1;3;1;1;2;0;0;1;4;1;4;0;1;1;0;0;2;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;10;Otermanns-Beijer, A.A.M.;11;1;0;0;1;0;0;1;0;2;0;1;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Thonon, A.H.M.;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Meloni, P.M.;61;5;3;4;3;3;1;1;2;2;1;0;0;2;5;3;7;0;1;0;2;0;0;1;0;0;0;8;0;3;0;1;0;0;0;1;2
