Verkiezing;;Gemeenteraad Nederweert 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nederweert;;;;;;;;;;;;;;;;
Nummer;;0946;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeenschapshuis Pestoeërskoel;Stembureau Thomashuis Ospeldijk;Stembureau Gemeenschapshuis Reigershorst;Stembureau Zaal Centraal;Stembureau Gymzaal Ospel;Stembureau Sportcentrum De Bengele 1;Stembureau Sportcentrum De Bengele 2;Stembureau Stichting M.F.A. Haaze-hoof 1;Stembureau Stichting M.F.A. Haaze-hoof 2;Stembureau Stichting M.F.A. Haaze-hoof 3;Stembureau Gemeenschapshuis De Pinnenhof 1;Stembureau Gemeenschapshuis De Pinnenhof 2;Stembureau Gemeenschapshuis De Pinnenhof 3;Stembureau Gemeentewerf (voormalige brandweerkazerne)
;;1;Hekers, A.M.J.;1097;12;89;34;47;253;22;22;57;107;226;56;54;57;61
;;2;Verheijen, R.J.M.;239;1;0;7;40;7;18;24;1;3;2;18;42;56;20
;;3;Koppen, C.A.M.;183;2;9;4;15;28;9;4;6;15;28;14;19;16;14
;;4;Hoeben, M.L.M.;51;0;0;4;7;3;3;3;0;4;4;9;8;2;4
;;5;Kurstjens, F.W.M.;213;200;0;1;3;1;0;1;0;1;0;3;0;2;1
;;6;ten Kate, R.;77;0;9;9;5;9;2;7;4;1;7;0;6;8;10
;;7;Brinkmans, M.G.C.;42;0;0;3;1;0;8;3;0;2;0;9;4;10;2
;;8;van der Putten, H.M.M.;253;4;13;53;27;11;33;21;2;3;17;12;19;18;20
;;9;Willekens, J.A.;35;0;0;1;3;2;0;0;1;1;2;2;9;1;13
;;10;Raemakers, L.W.P.;201;0;4;74;16;5;8;4;2;5;14;1;8;17;43
;;11;Verheijen, R.G.J.A.;39;0;0;23;4;1;3;0;0;0;0;1;7;0;0
;;12;Verheijen, J.M.;54;0;0;8;11;2;0;10;0;0;3;4;3;8;5
;;13;Pellemans, E.M.M.;35;35;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Heugten, J.;35;1;7;0;1;0;2;0;0;1;2;2;8;9;2
;;15;van Roij-Derikx, J.L.M.;20;17;0;0;0;0;0;0;0;0;0;0;2;1;0
;;16;Geraats, H.W.M.;36;1;0;1;5;1;2;0;0;0;1;5;6;4;10
;;17;van Meel, R.W.A.;71;1;4;12;2;7;7;9;1;1;3;2;7;8;7
2;Jongeren Akkoord Nederweert (J.A.N.);;;2001;32;28;157;208;98;171;167;29;55;94;174;253;302;233
;;1;Vossen, M.J.A.;428;18;5;12;38;16;60;51;5;10;14;37;51;59;52
;;2;Dieteren, C.P.W.M.;428;9;6;66;40;25;24;25;9;14;21;39;49;63;38
;;3;Bax, K.;142;0;2;8;22;3;18;18;0;2;3;3;20;28;15
;;4;Sieben-van den Boogaert, C.C.F.;153;0;6;3;11;34;2;5;12;22;32;4;7;8;7
;;5;van Lierop, P.W.M.;82;1;0;9;8;1;2;1;1;0;1;8;10;6;34
;;6;de Rooij-Kanters, P.H.C.;76;0;0;2;18;2;4;5;1;1;2;8;13;16;4
;;7;Jonkers, R.M.J.;96;0;0;5;4;4;6;12;0;0;1;14;16;25;9
;;8;Loonen, P.J.;69;0;2;2;5;1;5;10;0;0;3;5;12;18;6
;;9;Veltrop, R.L.M.;56;1;0;1;11;2;5;7;0;2;1;4;8;11;3
;;10;Sengers, M.J.C.;89;0;1;0;27;1;13;2;0;0;0;12;11;12;10
;;11;Vossen, J.M.I.;55;1;2;2;3;0;6;6;0;2;2;6;8;13;4
;;12;van Otterdijk, J.A.M.;59;0;1;2;4;0;0;0;0;0;6;2;5;8;31
;;13;Baerveldt, L.M.;10;0;0;0;1;0;2;2;0;0;0;1;2;2;0
;;14;de Rooij, D.;17;0;1;1;1;0;1;2;0;0;1;1;3;4;2
;;15;Knapen, W.A.M.;44;0;0;3;3;0;5;5;0;0;0;5;11;8;4
;;16;van Horik-Cuijpers, M.H.P.;138;2;1;38;9;6;12;11;1;2;4;15;18;14;5
;;17;Knapen, M.J.H.;59;0;1;3;3;3;6;5;0;0;3;10;9;7;9
3;Nederweert Anders;;;709;53;37;46;70;27;49;55;10;18;26;78;107;90;43
;;1;Stienen, M.G.L.;186;7;18;21;22;7;7;11;1;8;7;18;25;21;13
;;2;van Nierop, J.A.;60;1;0;2;6;2;7;4;0;0;3;12;13;7;3
;;3;Vaes-Jacobs, E.J.M.;97;4;0;7;10;0;10;10;2;1;0;8;18;21;6
;;4;Vaes-Schroën, M.J.G.;159;0;11;5;17;8;13;16;2;1;6;24;24;22;10
;;5;Derksen, G.A.C.;11;0;0;0;2;0;2;1;0;2;1;0;0;3;0
;;6;Jonkers-Haasen, M.P.D.;24;0;4;0;0;6;0;0;4;2;6;1;1;0;0
;;7;de Nijs, C.J.G.;58;41;1;3;0;0;5;1;1;1;0;2;2;0;1
;;8;van Nierop, S.J.;7;0;0;1;0;0;1;0;0;0;0;1;2;0;2
;;9;Vaes, K.;11;0;0;0;3;1;1;1;0;0;0;1;1;3;0
;;10;Vaas, E.M.A.;17;0;1;1;1;2;1;4;0;0;0;1;2;3;1
;;11;Heemstra, E.;73;0;2;5;9;1;2;7;0;3;3;8;17;9;7
;;12;Voss, F.D.J.;6;0;0;1;0;0;0;0;0;0;0;2;2;1;0
4;D66;;;1015;37;28;210;95;39;65;47;6;20;39;70;116;150;93
;;1;van Montfort, M.W.A.;173;4;9;10;23;9;15;8;4;2;9;14;13;43;10
;;2;Bruijnaers, K.J.H.;105;2;0;2;17;1;7;7;0;2;1;12;13;21;20
;;3;Gijsen, F.;199;6;10;10;20;3;17;20;1;6;11;11;38;27;19
;;4;Koolen, P.C.G.;328;4;5;176;16;12;14;3;0;5;4;19;29;26;15
;;5;Emans, P.J.M.;31;0;2;0;9;0;3;1;0;1;2;2;5;4;2
;;6;Dur, J.W.;18;0;0;3;2;1;3;0;0;0;0;0;2;3;4
;;7;Breukers, S.R.;22;21;0;0;0;0;0;0;0;0;0;1;0;0;0
;;8;Marouan, N.;26;0;0;0;0;0;3;3;0;0;1;1;5;8;5
;;9;Kaan, M.G.;29;0;0;3;2;1;0;0;0;0;2;3;4;7;7
;;10;Roos, P.A.J.;22;0;0;0;3;0;2;2;0;0;0;3;3;3;6
;;11;Maas-Bergh, M.M.A.;9;0;0;6;1;0;0;1;0;0;0;0;0;0;1
;;12;Stienen, H.M.J.;26;0;1;0;0;6;0;0;0;3;9;0;2;5;0
;;13;Smeets, J.M.T.;5;0;0;0;0;0;0;0;0;0;0;0;2;3;0
;;14;Bekx, R.F.H.;3;0;0;0;0;0;0;1;0;0;0;2;0;0;0
;;15;Bastian, T.H.C.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;4
;;16;Hermans, H.M.H.;12;0;1;0;2;6;0;1;1;1;0;0;0;0;0
;;17;Roos, L.G.A.;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0
5;VVD;;;712;29;28;93;50;41;58;48;8;24;42;37;89;84;81
;;1;Franssen, J.W.;299;6;13;20;28;12;32;21;5;9;18;24;42;39;30
;;2;Teunissen, M.A.G.;55;0;0;0;7;5;5;1;0;3;4;2;11;10;7
;;3;van Lierop, P.J.J.M.;91;7;0;62;0;1;1;2;0;3;0;1;3;2;9
;;4;Schelfhout, R.L.E.M.;45;0;4;0;4;3;1;4;0;2;1;0;3;12;11
;;5;Coumans, M.T.J.;55;10;3;4;5;4;1;1;1;3;10;3;2;1;7
;;6;Scheepers, J.M.E.;48;4;6;4;3;0;3;5;0;1;1;0;9;7;5
;;7;de Meij, M.;8;0;0;0;1;1;0;3;0;0;0;0;1;2;0
;;8;Zwartjens, D.;17;0;1;0;0;2;1;0;0;1;2;0;4;2;4
;;9;Scheepers-Dings, E.W.;28;0;1;1;1;1;4;3;0;0;0;4;7;4;2
;;10;Ogier-Dings, W.M.A.;21;0;0;0;0;12;0;0;1;2;6;0;0;0;0
;;11;Cox, O.;19;1;0;0;0;0;3;1;0;0;0;1;6;2;5
;;12;Wijnker, T.C.;5;1;0;2;0;0;0;1;0;0;0;0;0;0;1
;;13;Kok-Verheijden, J.G.;5;0;0;0;0;0;0;1;0;0;0;0;1;3;0
;;14;Timmermans, L.M.;16;0;0;0;1;0;7;5;1;0;0;2;0;0;0
6;Hart voor Vrijheid;;;238;28;26;28;9;12;11;22;5;3;22;10;23;17;22
;;1;van Dort, C.M.;168;5;23;22;6;10;8;16;1;3;19;9;17;13;16
;;2;van Bommel, M.T.E.M.;23;10;1;0;1;0;1;2;3;0;1;0;1;3;0
;;3;Mertens, J.P.M.;23;1;1;5;1;2;2;3;1;0;0;0;3;1;3
;;4;de Jong, G.;24;12;1;1;1;0;0;1;0;0;2;1;2;0;3
7;GROENLINKS;;;422;45;15;21;36;44;20;21;20;21;34;24;44;36;41
;;1;Manders, M.A.M.;210;12;13;13;15;23;9;11;8;14;13;15;20;17;27
;;2;Bongers, J.P.T.M.;17;3;0;1;0;0;1;3;0;0;1;2;4;2;0
;;3;van den Boom-Ulyashyna, M.A.;29;3;0;2;1;6;0;1;3;1;6;1;1;2;2
;;4;Pahlplatz, R.A.J.;27;1;0;4;3;1;1;0;0;1;3;1;3;7;2
;;5;Jacobs, F.J.C.;46;0;2;1;4;7;0;0;9;4;7;1;5;2;4
;;6;Claessens, M.S.C.C.;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Batenburg, P.J.;17;0;0;0;2;7;4;2;0;0;0;1;1;0;0
;;8;Kuipers, S.A.L.;18;0;0;0;3;0;1;2;0;0;0;0;5;4;3
;;9;Ramaekers, A.M.P.H.;6;0;0;0;0;0;0;0;0;0;4;1;0;0;1
;;10;Boes, N.R.E.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;11;Ras, C.;19;0;0;0;8;0;3;2;0;0;0;0;3;2;1
;;12;Berben, J.;5;0;0;0;0;0;1;0;0;0;0;2;2;0;0
