Verkiezing;;Gemeenteraad Leudal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Leudal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau De Bombardon;Stembureau St Ursula Heythuysen;Stembureau Vml school hoek Gr v Loonlaan/Oude Trambaan;Stembureau Gemeenschapshuis Baexheimerhof;Stembureau Meeting Point De Nassaurie;Stembureau Trefcentrum Kelpen-Oler;Stembureau Hotel - Restaurant De Beukelaer;Stembureau Gemeenschapshuis Kloeästerhoaf;Stembureau Gemeenschapshuis de Klokkestoel;Stembureau Handbooglokaal Vriendschap & Strijd;Stembureau Gemeenschapshuis De Haammaeker;Stembureau Parochiecentrum Haelen;Stembureau Trefcentrum Aldenghoor;Stembureau Sg.St. Ursula Horn;Stembureau Hotel-Restaurant De Abdij;Stembureau Gemeenschapshuis De Roffert;Stembureau Gemeenschapshuis St. Servaas;Stembureau Parochiehuis Hunsel;Stembureau BMV Ell;Stembureau Het Glas Atelier;Stembureau Cultureel Centrum de Mortel;Stembureau Ons Dorpshuis;Stembureau Bijzonder mobiel stembureau;Stembureau De Bombardon maandag;Stembureau Gemeenschapshuis De Haammaeker maandag;Stembureau Parochiehuis Hunsel maandag;Stembureau De Bombardon dinsdag;Stembureau Gemeenschapshuis De Haammaeker dinsdag;Stembureau Parochiehuis Hunsel dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;101;111;118;201;211;218
Postcode;;;;;6093 GA;6093 EN;6093 BV;6095 BD;6096 DZ;6037 RX;6088 EG;6088 BC;6089 NG;6086 NR;6086 BH;6081 BA;6081 AN;6085 AS;6085 BA;6082 AM;6083 AK;6013 RK;6011 PC;6015 AD;6014 AN;6012 RJ;;6093 GA;6086 BH;6013 RK;6093 GA;6086 BH;6013 RK
;opgeroepenen;;;30057;1641;2036;1721;2032;1383;976;1721;1836;601;1316;1490;1763;1772;1556;1578;763;566;808;1247;1070;1414;412;355;0;0;0;0;0;0
;geldige stempas;;;13080;704;357;338;852;629;415;670;754;298;348;522;652;687;511;799;361;324;234;627;357;461;142;146;515;235;109;611;285;137
;geldig volmachtbewijs;;;1654;91;62;33;109;96;58;72;108;36;58;65;86;51;86;105;48;40;36;72;36;60;29;1;60;19;14;87;23;13
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;14734;795;419;371;961;725;473;742;862;334;406;587;738;738;597;904;409;364;270;699;393;521;171;147;575;254;123;698;308;150
;geldige stembiljetten;;;14606;784;410;366;953;719;468;737;857;332;404;583;731;735;591;898;408;364;261;695;385;515;169;147;572;252;122;691;307;150
;blanco stembiljetten;;;102;9;4;4;4;4;3;5;5;2;2;3;4;5;4;3;1;0;8;4;7;5;2;0;3;2;1;7;1;0
;ongeldige stembiljetten;;;30;2;5;1;4;2;2;1;0;1;0;1;3;0;2;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0
