Verkiezing;;Gemeenteraad Maastricht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Maastricht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis, Merretkamer;Stembureau Centre Céramique;Stembureau Theater aan het Vrijthof;Stembureau Muziekschool Kumulus;Stembureau Showroom Garage Bollen;Stembureau Verenigingszaal Circolo Sardegna;Stembureau Kumulus West;Stembureau NS Centraal Station;Stembureau Universiteit Maastricht, Kruithuis;Stembureau Centre Céramique;Stembureau Regionaal Historisch Centrum Limburg;Stembureau Wijkcombinatiegebouw La Bellettsa;Stembureau Buurtcentrum Sint Pieter;Stembureau Provincie Limburg (het LAB ingang parkeerdek);Stembureau Scoutinggebouw Sint Gerlach;Stembureau Stichting Moetiara Maloekoe;Stembureau Sportcafé Jekerdal;Stembureau Gemeenschapshuis Aen de Wan;Stembureau Athos;Stembureau Hotel van der Valk;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Zaal Aajd Vroenhoven, Harmonie Wilhelmina Wolder;Stembureau Basisschool Anne Frank;Stembureau Sporthal Daalhof 1;Stembureau Gemeenschapshuis De Klaekeburg;Stembureau Buurtcentrum Atrium;Stembureau Buurtcentrum De Boeckel;Stembureau Bejaardensociëteit Belfort;Stembureau vm. Basisschool de Kring;Stembureau Sporthal Daalhof 2;Stembureau Harmoniezaal Kon. Harmonie Heer;Stembureau Buurtcentrum Mariaberg;Stembureau Kantine RKSV Heer;Stembureau Flat Elisabeth Gruytersstraat;Stembureau Restobar Mama;Stembureau Gebouw LEF-team;Stembureau Trefcentrum Wittevrouwenveld;Stembureau Maris Stella;Stembureau St. Annakerk;Stembureau Scouting Amby;Stembureau Buurtcentrum De Romein;Stembureau Café-zaal De Kardinaal;Stembureau Bibliotheeksteunpunt Malpertuis;Stembureau Amyerhoof;Stembureau De Wiemerink;Stembureau Buurtcentrum Nazareth;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis;Stembureau Centre Manjefiek Malberg 1;Stembureau Gymzaal Borgharen;Stembureau Centre Manjefiek Malberg 2;Stembureau  Dorpscentrum De Aw Sjaol;Stembureau Wijkcentrum De Luibe;Stembureau Restaurant Manjefiek;Stembureau Buurtcentrum Boschpoort;Stembureau Winkelcentrum Brusselse Poort;Stembureau Gymzaal OBS de Regenboog;Stembureau Basisschool El Habib;Stembureau Pathé bioscoop, Cine café;Stembureau Stadhuis Merretkamer;Stembureau Centre Ceramique;Stembureau Buurtcentrum Sint Pieter;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Sporthal Daalhof;Stembureau vm Basisschool de Kring;Stembureau Amyerhoof;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis;Stembureau Stadhuis Merretkamer;Stembureau Centre Ceramique;Stembureau Buurtcentrum Sint Pieter;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Sporthal Daalhof;Stembureau vm Basisschool de kring;Stembureau Amyerhoof;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis
;;20;Timmers, L.H.M.;21;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Frijns, A.M.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;22;Sauer, M.R.;30;1;0;0;1;4;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;1;0;1;0;6;0;1;0;0;0;0;0;0;0
;;23;Frambach, R.W.M.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;Blanken, V.P.A.J.;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;25;Groutars, M.P.P.F.;18;0;1;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;26;Van der Heijden-Schaaf, F.A.E.;13;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Knubben, R.H.A.M.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;28;Spreeuwenberg, C.;14;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0
;;29;Ottenheijm, J.H.M.E.;22;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;2;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0
;;30;van der Loo, M.J.A.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Langeweg, J.A.A.;32;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;2;0;2;0;1;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;8;0;0;0;0;3
;;32;Rossen, J.F.M.;7;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;33;Janssen, R.J.J.C.;24;5;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;2;2;0;0;0;0;0
;;34;Cox, H.H.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
