Verkiezing;;Gemeenteraad Echt-Susteren 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Echt-Susteren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Cultuurhuis Edith Stein;Zorgcentrum De Egthe;Buurthuis St. Joris;Zwembad In de Bandert;Fanfarezaal 'Lei van Naer';Sportzaal Hubertusstraat;Clubgebouw Slekker Boys;Gemeenschapshuis 't Patronaat;Gemeenschapshuis Oos Heem;Gemeenschapshuis de Annendaal;D'n Hermeniezaal;'t Stift;Sporthal Reinoudhal;Café de Tunnelbar;Gemeenschapshuis De Koppel;Gemeenschapshuis Roosteren;Sporthal De Sjirp;Gemeenschapshuis Nieuwstadt;Stadhuis (maandag);Fanfarezaal 'Lei van Naer' (maandag);Gemeenschapshuis 't Patronaat (maandag);Gemeenschapshuis Oos Heem (maandag);Gemeenschapshuis De Annendaal (maandag);'t Stift (maandag);Gemeenschapshuis De Koppel (maandag);Gemeenschapshuis Roosteren (maandag);Gemeenschapshuis Nieuwstadt (maandag);Stadhuis (dinsdag);Fanfarezaal 'Lei van Naer' (dinsdag);Gemeenschapshuis 't Patronaat (dinsdag);Gemeenschapshuis Oos Heem (dinsdag);Gemeenschapshuis De Annendaal (dinsdag);'t Stift (dinsdag);Gemeenschapshuis De Koppel (dinsdag);Gemeenschapshuis Roosteren (dinsdag);Gemeenschapshuis Nieuwstadt (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;101;106;109;110;111;113;117;118;120;201;206;209;210;211;213;217;218;220
;opgeroepenen;;;26657;1824;1807;1455;1460;1371;2149;1372;834;1241;1390;1102;1521;1620;1820;1046;784;1161;1282;1418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;12880;774;477;416;582;368;571;469;393;424;497;473;486;565;669;397;273;385;566;446;500;200;106;75;63;289;97;82;143;590;266;188;93;90;419;100;124;224
;geldig volmachtbewijs;;;2200;136;69;67;111;61;97;67;63;73;98;79;79;90;96;110;38;70;71;66;125;37;13;28;9;49;17;21;19;104;48;33;13;11;70;11;16;35
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;15080;910;546;483;693;429;668;536;456;497;595;552;565;655;765;507;311;455;637;512;625;237;119;103;72;338;114;103;162;694;314;221;106;101;489;111;140;259
;geldige stembiljetten;;;15007;906;545;481;691;427;666;532;454;497;590;548;565;655;759;500;310;454;635;510;619;236;119;103;72;334;113;103;162;688;314;220;102;101;488;109;140;259
;blanco stembiljetten;;;42;4;0;1;1;1;2;2;0;0;3;2;0;0;2;6;1;0;1;0;4;1;0;0;0;3;1;0;0;4;0;1;0;0;1;1;0;0
;ongeldige stembiljetten;;;32;0;1;1;1;1;0;2;2;0;2;2;0;1;4;1;0;1;1;2;2;0;0;0;0;1;0;0;0;2;0;0;4;0;0;1;0;0
;aangetroffen stembiljetten;;;15081;910;546;483;693;429;668;536;456;497;595;552;565;656;765;507;311;455;637;512;625;237;119;103;72;338;114;103;162;694;314;221;106;101;489;111;140;259
