Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Brede school Markeent;Stembureau Wijkgebouw Keenter Hart;Stembureau Sportpark Graswinkel;Stembureau MFA Kimpe veld;Stembureau Sportpark Op den Das;Stembureau Trefcentrum Willem Litjenshof;Stembureau Kantine SV Laar;Stembureau Wijkgebouw Groenewoud;Stembureau Scouting St. Job Leuken-Weert;Stembureau Mobiel Stembureau;Stembureau Gemeenschapscentrum De Zaal;Stembureau Buurthuis Fatima;Stembureau Café Zaal Bee-j Bertje;Stembureau MFA Swartbroek;Stembureau Kantine VV DESM;Stembureau Buurtcentrum Moesel;Stembureau Scouting Keent-Moesel;Stembureau Sporthal Boshoven;Stembureau Sporthal De Grenslibel;Stembureau Franciscus huis Weert;Stembureau Drive-In Gemeentewerf;Stembureau Drive-In Sportstraat;Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Wijkgebouw Keenter Hart;Stembureau Gemeenschapscentrum De Zaal;Stembureau Sporthal Boshoven;Stembureau Mobiel stembureau (bus);Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Wijkgebouw Keenter Hart;Stembureau Gemeenschapscentrum De Zaal;Stembureau Sporthal Boshoven;Stembureau Drive-In Gemeentewerf;Stembureau Mobiel stembureau (bus)
Gebiednummer;;;;;1;6;8;9;10;11;12;13;14;26;27;31;34;37;38;39;41;42;43;45;46;47;50;51;401;402;403;404;405;406;501;502;503;504;505;506;508
Postcode;;;;;6000 AZ;6004 GC;6006 JN;6006 ZH;6005 JZ;6005 SR;6006 TL;6002 CW;6003 BD;6004 TX;6004 DG;;6039 AW;6001 TV;6003 PM;6005 NP;6004 RT;6006 CJ;6006 FB;6002 AZ;6039 HB;6001 AP;6004 HN;6004 EX;6000 AZ;6004 GC;6006 ZH;6039 AW;6002 AZ;6004 CA;6000 AZ;6004 GC;6006 ZH;6039 AW;6002 AZ;6001 AC;6003 NW
;;33;Roevros, S.N.M.;44;6;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;4;2;3;0;3;0;0;11;0;2;0;0;0;8;0;0;0;0;0;0
;;34;Verstappen, J.C.P.G.;30;0;0;0;1;2;0;7;0;0;0;2;0;0;0;0;1;1;0;2;1;0;1;1;0;0;1;1;0;0;5;0;2;0;1;0;0;1
;;35;Baudewijns - Rats, K.;13;0;0;0;0;0;0;3;1;0;0;0;0;0;2;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0
;;36;Idahmanen, A.;46;3;1;8;14;0;0;1;0;1;1;2;0;1;6;0;0;0;1;0;1;0;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;37;Jankoski, M.;13;1;0;1;3;0;0;0;0;3;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;38;van Ekerschot, T.J.M.;41;8;2;1;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;3;2;9;0;4;0;0
;;39;Lempens, P.P.E.;92;7;8;7;1;3;0;0;3;1;0;1;1;1;2;1;0;1;7;2;4;0;2;0;1;7;4;2;0;6;3;7;3;0;0;7;0;0
;;40;Ras - van der Putten, E.M.C.;58;0;11;3;0;0;0;0;0;3;2;1;0;1;3;3;0;0;0;0;2;0;3;0;0;4;7;1;0;0;2;5;4;1;0;1;0;1
;;41;Aspers, G.F.H.A.;29;1;0;1;3;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;1;0;5;2;0;0;2;0;2;0;0;0;1;0;0
;;42;Engelen, M.A.;100;8;10;0;3;5;1;1;2;4;5;12;0;1;6;0;1;0;0;1;6;0;4;0;2;5;1;1;1;1;0;12;2;2;0;2;0;1
;;43;Slingerland, A.L.;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;44;Verheggen, P.J.R.L.;70;1;5;0;3;1;1;2;1;4;6;3;0;0;0;2;0;2;2;2;0;0;0;0;2;3;11;3;0;0;0;2;7;6;0;1;0;0
2;CDA;;;2567;98;73;23;64;76;182;156;72;123;20;53;2;235;11;97;100;20;75;46;55;58;55;9;21;93;42;57;107;39;61;85;40;84;138;47;3;47
;;1;Mols, P.H.H.G.;542;23;16;6;9;9;24;128;22;14;3;12;0;17;3;20;13;8;17;12;11;5;11;2;5;15;12;22;6;8;15;14;7;16;9;8;0;20
;;2;Grijmans, C.G.E.;271;18;10;2;4;7;9;2;6;69;5;6;0;5;1;7;1;1;10;8;7;2;10;3;3;13;4;5;3;6;2;15;8;6;4;6;1;2
;;3;Stals, H.;433;2;2;0;1;1;13;1;2;0;1;3;0;155;1;1;2;0;6;2;3;39;2;0;1;4;6;1;75;1;2;0;0;4;98;4;0;0
;;4;Weekers, J.;86;3;5;0;1;9;2;0;2;0;2;0;1;7;0;1;0;3;3;5;1;0;2;3;7;3;2;0;5;3;3;4;3;3;2;0;0;1
;;5;Sijben, P.J.H.;320;9;7;4;12;7;3;9;14;9;1;3;0;11;2;52;2;1;10;12;7;2;9;1;0;14;6;10;8;4;12;22;11;27;5;7;2;5
;;6;Stroek, J.E.H.M.;125;5;3;3;15;6;0;3;2;8;1;6;0;3;0;2;0;2;4;1;2;1;2;0;0;17;8;4;0;3;4;6;2;6;0;4;0;2
;;7;Rosbergen, C.M.;110;7;5;2;10;5;2;0;6;0;1;6;0;0;2;3;0;1;2;4;11;0;4;0;0;10;2;3;0;5;0;5;4;2;0;8;0;0
