Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Brede school Markeent;Stembureau Wijkgebouw Keenter Hart;Stembureau Sportpark Graswinkel;Stembureau MFA Kimpe veld;Stembureau Sportpark Op den Das;Stembureau Trefcentrum Willem Litjenshof;Stembureau Kantine SV Laar;Stembureau Wijkgebouw Groenewoud;Stembureau Scouting St. Job Leuken-Weert;Stembureau Mobiel Stembureau;Stembureau Gemeenschapscentrum De Zaal;Stembureau Buurthuis Fatima;Stembureau Café Zaal Bee-j Bertje;Stembureau MFA Swartbroek;Stembureau Kantine VV DESM;Stembureau Buurtcentrum Moesel;Stembureau Scouting Keent-Moesel;Stembureau Sporthal Boshoven;Stembureau Sporthal De Grenslibel;Stembureau Franciscus huis Weert;Stembureau Drive-In Gemeentewerf;Stembureau Drive-In Sportstraat;Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Wijkgebouw Keenter Hart;Stembureau Gemeenschapscentrum De Zaal;Stembureau Sporthal Boshoven;Stembureau Mobiel stembureau (bus);Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Wijkgebouw Keenter Hart;Stembureau Gemeenschapscentrum De Zaal;Stembureau Sporthal Boshoven;Stembureau Drive-In Gemeentewerf;Stembureau Mobiel stembureau (bus)
Gebiednummer;;;;;1;6;8;9;10;11;12;13;14;26;27;31;34;37;38;39;41;42;43;45;46;47;50;51;401;402;403;404;405;406;501;502;503;504;505;506;508
Postcode;;;;;6000 AZ;6004 GC;6006 JN;6006 ZH;6005 JZ;6005 SR;6006 TL;6002 CW;6003 BD;6004 TX;6004 DG;;6039 AW;6001 TV;6003 PM;6005 NP;6004 RT;6006 CJ;6006 FB;6002 AZ;6039 HB;6001 AP;6004 HN;6004 EX;6000 AZ;6004 GC;6006 ZH;6039 AW;6002 AZ;6004 CA;6000 AZ;6004 GC;6006 ZH;6039 AW;6002 AZ;6001 AC;6003 NW
;;21;Vereijken, G.;21;7;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;2;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Engelen, J.J.F.;8;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
;;23;van Eersel, A.F.;41;11;1;0;3;0;0;0;0;2;0;0;0;0;0;2;0;0;4;3;5;0;2;0;0;6;0;0;0;0;0;0;1;0;0;1;0;0
4;DUS Weert;;;3282;204;141;61;88;121;40;36;112;154;81;74;3;129;57;187;30;24;151;78;146;20;90;9;38;220;85;75;62;98;38;210;132;111;82;75;4;16
;;1;Beenders- van Dooren, I.F.A.J.;1164;75;48;27;38;22;12;8;25;57;39;33;1;64;22;26;9;9;51;26;43;3;31;4;11;88;49;28;36;33;10;86;30;48;45;24;0;3
;;2;Weekers, P.H.H.;247;17;5;4;12;29;0;0;9;7;7;2;1;2;3;5;0;1;36;11;6;0;4;2;1;19;9;12;0;1;2;9;6;15;8;2;0;0
;;3;Duijsters, H.C.M.;283;14;18;6;6;4;3;9;15;21;9;7;0;9;5;12;1;3;7;9;18;0;10;1;6;11;3;6;3;11;2;16;12;8;8;7;2;1
;;4;Scholten, P.R.J.;48;2;1;2;2;0;0;0;2;6;2;0;0;1;0;3;0;0;2;0;4;0;1;0;3;1;1;0;0;1;0;4;3;3;1;2;1;0
;;5;van de Kruijs, A.C.;234;6;6;1;3;1;1;2;10;14;0;0;0;0;0;112;3;0;1;0;14;0;1;0;2;6;1;0;0;18;10;7;2;3;0;8;0;2
;;6;Wip, A.P.P.;54;0;4;0;0;0;17;0;1;0;0;1;0;3;1;1;0;1;0;3;0;4;1;0;1;4;0;0;2;0;2;0;0;0;3;1;1;3
;;7;van Akkerveken, P.L.H.;183;16;11;4;5;6;2;0;2;7;9;4;0;2;1;3;0;0;2;2;4;1;11;0;2;30;3;6;1;6;0;27;10;4;0;2;0;0
;;8;Mertens, F.H.G.M.;293;21;14;5;3;8;0;1;33;9;4;13;1;5;4;8;3;1;9;8;10;6;11;1;2;19;7;10;1;15;4;23;14;5;4;8;0;3
;;9;Scholten, X.;13;1;1;0;0;0;0;0;2;0;0;0;0;0;1;2;1;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;10;Stultiens, K.C.M.;135;17;7;5;2;8;2;1;3;7;2;4;0;8;1;4;0;2;6;7;7;4;4;0;0;2;4;1;1;1;0;5;13;3;2;2;0;0
;;11;Meertens, E.H.M.;57;6;1;1;1;3;0;0;2;2;0;1;0;0;0;2;1;1;6;0;4;0;0;0;0;7;1;0;0;1;0;6;6;0;2;2;0;1
;;12;Smolenaers, S.A.G.M.;30;0;0;0;2;0;0;0;2;2;2;1;0;0;1;0;2;2;3;0;2;0;3;0;0;1;0;0;0;1;0;0;0;6;0;0;0;0
;;13;Kiggen, J.G.W.;24;0;2;0;3;0;0;0;0;1;1;0;0;3;0;2;5;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;1
;;14;Hulsbosch, S.F.H.M.;18;3;1;0;0;3;0;1;0;0;1;0;0;1;0;0;0;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0
;;15;Koudijs, R.G.J.M.;70;3;3;1;4;3;1;1;0;2;2;1;0;1;1;4;0;2;2;0;5;0;1;0;0;8;0;1;3;0;4;7;7;1;0;2;0;0
;;16;Geboers, M.E.H.;21;1;1;1;1;2;0;0;0;0;1;1;0;2;2;0;0;0;0;0;3;0;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;1
;;17;van Meegen, S.W.R.J.;46;6;3;0;0;0;0;0;0;3;1;1;0;4;2;1;0;1;0;1;6;0;1;0;0;5;0;2;0;1;2;2;2;2;0;0;0;0
;;18;Cherkaoui, I.C.P.;59;2;3;0;1;0;0;0;3;7;1;0;0;1;0;1;0;0;1;0;15;0;1;0;0;0;1;0;0;4;0;4;5;0;0;9;0;0
;;19;van Dongen, A.P.G.C.;41;2;5;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;5;1;1;0;5;0;0;0;5;0;0;0;0;0;10;1;0;1;0;0
;;20;Heinze, N.H.C.;26;2;1;3;2;1;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;0;1;0;2;1;2;1;0;0;0
;;21;Huijsmans, J.L.P.;19;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;3;0;0;0;0;1;0;0;1;1;3;0;0
;;22;van den Berk-de Jong, M.C.;48;2;3;0;2;19;0;0;0;0;0;0;0;1;1;0;2;0;4;0;0;0;2;0;1;3;0;0;1;0;0;4;3;0;0;0;0;0
;;23;Vleeshouwers-Balogh, M.A.R.L.;70;0;3;0;1;0;0;12;0;2;0;0;0;20;0;0;0;0;1;0;1;2;2;0;2;0;1;1;12;0;0;0;1;2;5;1;0;1
;;24;van Asch, R.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;25;Broods, L.M.L.;47;1;0;0;0;4;1;0;3;1;0;3;0;0;0;1;3;0;7;3;0;0;0;0;2;5;0;2;2;1;1;1;0;3;2;1;0;0
;;26;Marechal - Wolter, M.J.;50;6;0;1;0;4;1;0;0;4;0;0;0;0;12;0;0;0;1;0;1;0;0;0;2;4;0;1;0;0;0;7;3;3;0;0;0;0
5;D66;;;1123;100;33;32;30;30;34;17;52;72;14;38;3;50;8;28;15;13;48;73;43;16;31;3;17;68;20;22;15;24;9;51;28;26;12;37;0;11
;;1;Steinbach, L.A.W.;572;51;12;18;15;20;23;8;34;38;4;13;1;24;4;17;9;8;20;39;22;11;16;0;8;30;14;10;6;18;5;16;10;14;7;19;0;8
;;2;van der Vegt, P.C.I.;110;7;3;4;4;2;3;3;10;7;2;5;0;2;2;1;0;0;4;7;1;1;2;0;3;3;0;2;4;4;1;8;6;4;1;3;0;1
;;3;Knoop, G.D.;36;2;0;1;0;1;2;1;4;2;0;0;0;3;1;1;0;0;2;0;2;0;0;0;0;1;0;1;0;0;0;5;0;0;2;5;0;0
;;4;Kupers, W.H.;39;4;2;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0;2;1;0;0;1;0;1;9;1;1;0;0;3;3;0;1;0;4;0;1
;;5;Korten, E.P.M.;125;15;7;3;1;0;2;3;2;8;0;5;1;8;0;2;6;0;3;4;7;2;5;0;3;11;1;5;0;1;0;7;7;4;1;1;0;0
;;6;Lenders, M.F.A.;30;5;1;0;2;1;0;0;0;5;0;1;0;1;1;0;0;0;0;3;0;0;0;2;0;2;0;0;0;0;0;2;3;1;0;0;0;0
;;7;Gielis, R.P.C.L.;39;1;1;0;1;2;1;2;0;4;2;3;1;2;0;0;0;1;4;3;1;0;0;1;1;1;0;0;2;0;0;3;0;1;0;0;0;1
;;8;Jacobs, L.J.M.;20;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;1;3;3;0;1;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0
;;9;Fontijn, R.J.M.;15;0;1;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;2;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
;;10;Gerits, G.R.P.M.;15;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;2;1;5;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0
;;11;de Vreeze, M.A.R.;5;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Wieringa, N.M.;30;2;1;2;1;1;0;0;0;3;0;6;0;1;0;0;0;1;1;0;2;1;3;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0
;;13;Kupers, M.H.H.;27;5;0;1;0;0;0;0;1;0;1;2;0;1;0;2;0;0;4;3;0;0;0;0;0;5;1;0;0;0;0;0;0;0;1;0;0;0
;;14;Fuchs, J.W.H.;4;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Alvarez Op de Broek Van de Winkel, R.;28;2;1;1;1;2;0;0;1;0;3;1;0;0;0;0;0;0;6;0;2;0;0;0;1;1;2;1;0;1;0;0;0;0;0;2;0;0
;;16;Stribos, K.;11;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;17;Vaessen, A.H.M.;8;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0
;;18;van Wijk, A.H.;9;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Partij van de Arbeid (P.v.d.A.);;;1057;64;52;36;59;38;13;10;29;44;22;23;5;21;30;11;41;8;67;24;40;7;31;4;19;53;34;46;13;26;10;47;28;44;21;23;3;11
;;1;Heuvelmans, L.F.A.;437;30;18;11;27;9;8;5;19;23;9;11;3;3;11;5;6;3;24;8;13;3;17;3;7;26;19;20;7;14;5;21;9;18;3;11;3;5
;;2;Schoenmaker, B.;87;8;2;2;2;2;1;0;2;8;0;1;1;2;1;3;24;0;1;1;6;1;0;0;4;1;0;1;0;0;5;2;3;1;0;0;0;2
;;3;Zaâboul, M.;253;8;23;13;25;14;0;1;1;5;3;4;0;6;8;1;1;4;27;6;14;0;4;1;7;1;10;14;2;7;0;10;5;14;5;6;0;3
;;4;Renet, R.M.G.J.G.;38;3;2;3;0;0;0;0;0;0;1;0;0;5;1;0;0;0;0;0;0;2;0;0;0;5;1;2;2;0;0;0;1;1;9;0;0;0
;;5;van Mierlo, A.J.G.;32;1;0;2;0;2;0;0;0;1;2;0;0;0;2;0;0;0;1;0;4;0;0;0;0;5;1;1;1;1;0;0;3;3;0;2;0;0
;;6;Meijer, J.;37;3;0;1;0;0;2;3;1;4;0;1;0;0;0;0;6;1;2;1;0;1;2;0;0;4;1;1;0;0;0;1;1;0;0;1;0;0
;;7;Crouwel, E.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Coenen, P.H.E.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Heesakkers, S.J.J.;11;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;10;Janssen, W.M.M.;14;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;0;2;0;0;0
;;11;Huisman, A.J.;23;1;1;0;3;1;0;0;1;0;0;0;0;0;0;1;0;0;2;2;2;0;1;0;0;0;0;1;0;3;0;1;0;1;1;1;0;0
;;12;Janssen, P.J.;7;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Meuwissen, E.G.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
;;14;Peters, H.M.M.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;15;Leenders, J.G.M.;70;6;3;1;1;3;1;1;2;2;2;6;0;0;0;1;1;0;7;2;1;0;6;0;0;5;1;3;0;1;0;9;1;2;0;2;0;0
;;16;Heijmans, A.J.L.;38;4;0;2;0;4;0;0;2;1;3;0;0;1;2;0;0;0;1;2;0;0;1;0;0;2;1;2;0;0;0;2;3;4;0;0;0;1
7;GROENLINKS;;;1058;95;49;34;76;38;13;28;17;55;27;34;5;32;32;23;9;10;39;29;55;5;20;4;34;40;18;23;14;20;6;55;19;58;14;19;1;8
;;1;Karg, T.L.H.;319;27;19;9;17;13;7;6;12;18;11;14;3;6;6;7;3;3;13;4;18;0;4;3;10;15;5;8;3;8;2;14;5;9;7;5;0;5
;;2;Creemers, H.J.F.;73;8;4;1;1;1;1;4;2;0;4;2;0;0;5;2;1;0;5;0;8;1;3;0;1;1;3;1;0;2;0;5;1;3;2;0;0;1
;;3;Wielders, J.;199;19;6;5;10;11;4;9;2;11;1;5;1;17;3;3;2;1;1;7;7;2;3;1;10;3;4;3;6;5;3;15;6;8;2;2;0;1
;;4;Toonders, J.M.J.;18;1;0;0;0;0;1;1;0;1;0;1;0;0;0;2;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;4;0;1;0;0
;;5;Routheut, V.M.A.;35;3;2;2;0;1;0;2;0;3;0;1;0;1;0;0;1;2;1;0;2;1;1;0;1;2;0;1;0;1;0;3;3;1;0;0;0;0
;;6;von Scheibler, W.H.T.M.;16;0;1;0;3;0;0;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;3;0;0;0;2;0;1;0;0;0;1;0;0
;;7;Adriaens, A.K.;45;10;1;0;3;2;0;0;0;3;0;1;0;1;2;0;0;0;2;0;3;1;3;0;1;2;3;0;0;0;1;2;1;2;0;1;0;0
;;8;van Garderen, J.S.;16;1;0;0;0;4;0;0;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1;2;0;1;0;0
;;9;Smeets, M.J.;50;11;3;2;5;1;0;2;0;3;0;2;1;0;0;2;0;3;0;1;1;0;0;0;2;0;0;3;0;0;0;3;1;1;1;2;0;0
;;10;van Gennip, G.A.C.;18;0;1;0;1;1;0;1;1;2;0;2;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;1
;;11;Beuvens, H.J.H.;23;0;1;1;2;0;0;2;0;1;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;4;0;0;1;0;0;2;0;3;0;2;0;0
;;12;van Kessel, M.P.H.G.;12;2;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Suilen, H.W.M.;13;0;1;0;0;0;0;0;0;2;0;1;0;0;1;1;0;0;1;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Neijgh van Lier, N.;14;1;0;1;2;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
;;15;Boes, J.H.;6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0
;;16;Latrache, S.;111;5;7;11;26;3;0;0;0;2;2;0;0;2;12;3;1;0;6;3;3;0;3;0;5;4;0;4;1;1;0;3;1;0;0;3;0;0
;;17;Savelberg, H.H.C.M.;26;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0
;;18;Baetsen, M.;7;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Jacobs, F.J.C.;24;4;1;1;4;0;0;0;0;0;0;1;0;0;1;0;1;0;4;0;0;0;1;0;1;1;0;0;1;0;0;2;0;0;1;0;0;0
;;20;Verstappen, W.H.J.M.;12;0;0;0;0;0;0;0;0;4;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Hoedjes, W.A.M.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;22;Heuvelmans, D.J.P.;6;0;2;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Manders, M.A.M.;12;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;2;1;0;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0
