Verkiezing;;Gemeenteraad Eijsden-Margraten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Eijsden-Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeenschapshuis Bemelen;Harmoniezaal Banholt;Harmoniezaal Mheer;Paviljoen Berggalm;Fanfarezaal;Harmoniezaal Eckelrade;Gemeenschapshuis Scheulder;Zaal-café Riékelt;Feesthoeve De Laethof;Gemeentehuis;'t Keerhoes (nummer 1);Restaurant de Grenedeer;Kantine S.V.M.E.;Buitengoed de Moosjtum;Cultureel Centrum;Zaal K.O.H.;Café 't Flaterke;'t Keerhoes (nummer 2);Gemeentehuis;'t Keerhoes (nummer 1);Restaurant de Grenedeer;Zaal K.O.H.;Harmoniezaal Mheer;Gemeentehuis;'t Keerhoes (nummer 1);Restaurant de Grenedeer;Zaal K.O.H.;Harmoniezaal Mheer
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;23;24;60;61;62;63;64;70;71;72;73;74
Postcode;;;;;6268 NE;6262 NX;6261 NH;6255 AH;6265 AK;6251 NB;6307 PC;6247 AN;6245 KK;6269 DA;6267 CG;6247 AA;6245 SK;6245 LB;6245 EG;6245 BH;6269 AN;6267 CG;6269 DA;6267 CG;6247 AA;6245 BH;6261 NH;6269 DA;6267 CG;6247 AA;6245 BH;6261 NH
;;2;Eerlingen, C.A.M.;298;0;1;4;0;10;7;0;39;1;8;7;92;18;7;23;14;0;2;1;1;13;3;0;2;1;34;10;0
;;3;Nelissen, J.A.M.;166;1;3;2;6;97;19;1;1;0;4;1;2;1;1;1;3;5;0;3;3;1;0;0;0;0;0;6;5
;;4;Janssen, R.V.J.;265;4;4;0;2;10;4;13;1;2;94;3;1;2;0;2;0;48;1;22;0;0;3;0;45;1;0;1;2
;;5;Hermans, R.J.M.;175;2;119;5;4;1;0;0;0;0;3;1;0;2;0;1;1;0;0;5;2;0;2;10;4;3;2;2;6
;;6;Coninx, S.;252;1;0;0;4;2;0;0;1;5;0;0;3;35;10;44;60;1;0;1;1;0;34;0;4;0;4;42;0
;;7;Vaessens, S.N.P.;118;0;9;30;2;6;5;1;0;1;14;0;4;3;0;5;1;8;4;3;0;0;0;4;0;1;0;0;17
;;8;Geelen, R.J.M.;222;0;0;0;0;0;0;0;0;2;2;69;5;0;1;0;1;0;73;0;22;0;0;0;1;46;0;0;0
;;9;Bongaerts, E.J.M.;72;1;2;0;2;2;3;0;8;2;0;0;19;6;1;1;1;0;0;0;1;6;2;0;0;1;12;2;0
;;10;Meertens, R.J.B.;116;0;0;2;1;2;1;0;1;11;0;0;3;13;1;32;21;1;0;0;0;0;12;0;0;0;0;14;1
;;11;Deliège - Steijns, M.M.W.;90;0;2;0;1;1;0;1;1;0;25;3;1;3;0;1;0;11;2;16;0;1;0;0;19;0;1;1;0
;;12;Leenders, A.J.M.M.;35;0;0;0;0;0;0;0;0;27;1;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0
;;13;Erkamp, F.H.A.M.;79;0;0;0;0;1;0;0;2;0;0;0;0;7;0;17;20;0;0;0;0;1;12;0;0;0;1;18;0
;;14;Defesche, M.C.J.E.;116;94;2;0;2;0;0;0;2;0;2;3;0;0;0;1;0;2;2;0;3;0;0;0;0;2;1;0;0
;;15;Pachen, C.H.M.;24;0;0;0;0;0;0;1;0;0;6;0;0;2;0;4;0;0;2;1;1;0;0;0;2;0;0;5;0
;;16;Gerritsen, M.J.G.;47;0;0;0;0;1;1;0;2;0;0;0;3;16;1;8;4;0;0;0;0;2;0;0;0;0;4;5;0
;;17;Rostamzada, F.;128;2;0;3;1;0;5;0;1;0;2;35;1;1;0;4;4;1;30;0;12;0;0;0;0;25;0;1;0
;;18;Gubbels, M.M.G.;63;0;0;0;0;2;1;0;2;0;3;2;0;8;15;6;9;0;2;1;0;2;5;0;0;0;1;4;0
;;19;Paquaij, G.J.P.M.;34;0;0;0;0;0;0;0;0;3;0;0;1;2;3;11;5;0;0;1;0;0;2;0;1;0;0;5;0
;;20;Lahou, J.M.M.;52;0;0;0;1;0;0;0;0;2;0;0;1;15;5;8;7;0;0;0;0;0;1;0;1;0;1;10;0
;;21;Nelissen, M.G.R.;30;0;0;0;0;15;3;0;0;0;3;0;2;2;0;1;0;0;2;0;1;0;1;0;0;0;0;0;0
;;22;Janssen, M.C.F.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;4;0;0;0;0;0;0
;;23;Mosselman - Rousch, R.E.P.G.M.;15;0;0;0;0;0;0;1;0;0;1;0;0;0;2;6;3;0;0;0;0;0;2;0;0;0;0;0;0
;;24;Baars, L.G.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Damzo, W.W.L.;37;0;0;0;0;0;0;0;2;0;0;0;16;2;1;0;1;0;1;0;1;2;2;1;0;0;7;1;0
3;PRO / P.v.d.A. / GROENLINKS;;;2574;87;40;80;95;120;77;35;60;21;282;140;145;107;70;133;106;111;146;73;78;38;60;24;137;120;63;97;29
;;1;Quellhorst, S.;1095;47;25;25;35;71;37;17;41;11;71;47;86;62;51;61;65;15;52;17;35;23;32;7;23;43;34;53;9
