Verkiezing;;Gemeenteraad Peel en Maas 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Peel en Maas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de Gemeente;De Houbereij;Gemeenschapshuis in Kepèl;Dorpscentrum Kerkeböske;Dorpscentrum Kerkeböske;De Wieksjlaag;Gemeenschapshuis De Ankerplaats;Gemeenschapshuis De Sprunk;Gemeenschapshuis 't Erf;Alles Paletti Opleidingscentrum;Sporthal D'n Adelaer;Hoës van Bree;Zaal Unitas;Sjiwa Baarlo;Sporthal de Kazing;ôs Knip;Sporthal Achter de Häöf;Gemeenschapshuis Kessel-Eik;Gemeenschapshuis d'n Binger;Gemeenschapshuis d'n Binger;Sint-Nicolaaskerk;Feestzaal Thoes;Sint Lambertuskerk;De Houbereij;Sjiwa Baarlo;ôs Knip;Gemeenschapshuis d'n Binger;De Houbereij;Sjiwa Baarlo;ôs Knip;Gemeenschapshuis d'n Binger
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;101;102;103;104;201;202;203;204
Postcode;;;;;5981 CC;5981 CH;5981 CD;5988 NE;5988 NE;5986 AH;5985 PG;5984 PJ;5987 AR;5993 AV;5993 CR;5993 BT;5991 AX;5991 XC;5991 PX;5995 BG;5995 BK;5995 NM;5768 BE;5768 BE;5768 AR;5981 VW;5988 CJ;5981 CH;5991 XC;5995 BG;5768 BE;5981 CH;5991 XC;5995 BG;5768 BE
;opgeroepenen;;;36614;1649;1661;1958;1653;1603;1751;1393;1062;1230;1634;1961;2012;1925;1507;1888;1367;1422;650;1826;1939;1439;1728;1356;0;0;0;0;0;0;0;0
;geldige stempas;;;15754;855;464;232;589;416;742;558;481;515;455;850;995;476;493;708;507;338;302;421;518;566;262;807;481;284;222;298;711;507;272;429
;geldig volmachtbewijs;;;2135;137;68;27;97;50;91;69;62;93;80;85;136;61;68;79;80;49;41;62;75;87;40;109;88;31;22;22;94;51;30;51
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;17889;992;532;259;686;466;833;627;543;608;535;935;1131;537;561;787;587;387;343;483;593;653;302;916;569;315;244;320;805;558;302;480
;geldige stembiljetten;;;17759;980;531;254;680;464;824;625;543;608;529;932;1126;536;560;785;576;381;336;477;587;647;300;910;568;315;240;319;794;554;299;479
;blanco stembiljetten;;;101;9;3;4;5;2;7;2;0;0;6;3;4;1;1;0;4;3;5;4;5;5;2;5;1;0;4;1;9;3;2;1
;ongeldige stembiljetten;;;29;3;0;1;0;0;2;0;0;0;0;0;2;0;0;1;6;3;2;2;1;1;0;1;0;0;0;0;2;1;1;0
