Verkiezing;;Gemeenteraad Valkenburg aan de Geul 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Valkenburg aan de Geul;;;;;;;;;;;;;;;;;;;;
Nummer;;0994;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Park Dersaborg;Shimano Experience Center;Grand Hotel Voncken;Hockeyvereniging Sjinborn;Gemeenschapshuis De Blokhut;Gemeenschapshuis De Holle Eik;Gemeenschapshuis 't Geboew;Gemeenschapshuis 't Voske;Sporthal De Bosdries;Gemeenschapshuis Cascade;Zorgcentra Sevagram;Mobiele Stembus;Stadhuis Park Dersaborg;Stadhuis Park Dersaborg;Gemeenschapshuis 't Geboew;Gemeenschapshuis 't Geboew;Gemeenschapshuis 't Voske;Gemeenschapshuis 't Voske
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;101;102;701;702;801;802
Postcode;;;;;6301 HC;6301 KZ;6301 DC;6301 XH;6301 AT;6301 JZ;6305 AX;6325 EC;6325 BM;6325 AX;6301 ZZ;6301 EK;6301 HC;6301 HC;6305 AX;6305 AX;6325 EC;6325 EC
;;6;Geelen, J.M.M.;16;0;9;0;0;1;0;0;0;0;0;0;1;1;3;0;0;0;1
;;7;Limpens, R.P.H.J.M.;66;7;1;3;0;2;45;0;0;1;0;0;0;5;1;0;0;1;0
;;8;Vinckers, R.;55;12;2;12;8;0;3;0;2;1;0;0;2;6;4;2;0;0;1
;;9;Wester, P.W.M.;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Heijdra, F.;7;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;van den Berg, J.J.C.;5;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
;;12;Hendriks, S.W.J.;57;8;1;17;1;6;1;0;2;5;0;1;4;5;4;0;1;0;1
;;13;Bongarts, L.T.J.M.;28;3;0;4;0;0;3;2;0;0;5;0;0;5;5;0;0;0;1
;;14;Bisschops, C.M.J.;88;14;2;9;2;10;9;5;4;3;3;1;2;4;8;3;1;6;2
;;15;Knubben, M.M.N.;45;6;1;6;4;1;1;4;0;1;1;1;2;7;7;1;2;0;0
3;Valkenburgse Senioren Partij (VSP);;;1576;148;158;209;100;108;93;79;63;51;52;13;99;121;140;28;35;38;41
;;1;Kleijnen, J.I.M.;1042;84;101;135;47;91;61;47;52;42;39;12;57;74;91;17;21;35;36
;;2;Wagemans, L.L.H.M.M.;106;7;17;12;27;4;6;3;2;4;4;0;2;5;12;0;0;0;1
;;3;Silverentand-Nelissen, G.G.J.M.;73;10;6;6;0;2;17;2;4;1;1;0;2;7;10;0;1;3;1
;;4;Jamin, C.E.G.M.;53;5;7;9;3;2;0;8;1;0;1;0;3;4;4;2;4;0;0
;;5;Habets, J.A.E.;72;7;7;3;13;0;0;0;0;2;0;0;20;8;9;0;3;0;0
;;6;Majolein, P.W.F.M.;24;3;0;13;1;0;1;0;0;1;0;0;1;3;0;0;0;0;1
;;7;Pachen, W.J.J.;85;11;3;8;5;3;7;16;3;0;2;0;6;6;4;6;4;0;1
;;8;Römling, H.M.G.;17;7;1;0;0;2;0;1;1;0;2;0;2;1;0;0;0;0;0
;;9;van de Worp-Krijger, J.;15;3;5;1;0;1;1;0;0;0;0;0;0;1;3;0;0;0;0
;;10;Soumang, J.C.S.W.;8;2;1;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0
;;11;van Knippenberg, C.M.C.;17;2;2;2;2;0;0;0;0;0;1;0;2;2;1;1;2;0;0
;;12;Strijbosch, C.M.W.J.;64;7;8;20;2;3;0;2;0;1;2;1;4;9;2;2;0;0;1
4;PGP (Progressieve Groene Partij);;;1477;165;88;93;49;163;142;140;92;28;90;1;43;89;95;41;57;52;49
;;1;Baaij, H.J.;678;63;34;35;32;59;58;116;39;10;11;1;26;39;43;36;48;16;12
;;2;Fulmer-Bouwens, C.M.J.;118;7;8;7;0;5;56;2;3;0;5;0;2;10;5;3;1;3;1
;;3;Huisman, P.J.;218;11;5;6;1;9;1;2;34;13;67;0;1;4;7;0;6;23;28
;;4;Baggermans-Kieboom, M.C.;97;6;3;5;2;69;2;2;0;0;3;0;1;3;1;0;0;0;0
;;5;Kornegoor, H.J.;19;2;1;0;0;3;2;1;2;3;0;0;0;1;0;0;0;0;4
;;6;Engels, R.M.J.B.;53;7;9;9;0;0;3;2;1;0;0;0;3;3;15;0;0;1;0
;;7;van der Linden, A.J.;38;24;0;1;2;1;2;0;2;0;1;0;0;4;1;0;0;0;0
;;8;Stolk, B.M.;36;2;2;14;3;4;1;2;1;0;0;0;1;0;3;0;1;2;0
;;9;Pluijmaekers, J.L.;43;11;3;4;3;0;5;0;0;0;0;0;1;7;8;1;0;0;0
;;10;Ruijter, G.;9;0;0;1;2;1;0;0;0;0;0;0;2;1;1;0;0;1;0
;;11;Baars, J.M.W.T.;15;1;5;1;0;0;2;1;0;0;0;0;1;3;0;1;0;0;0
;;12;Jansen, F.E.H.;21;5;1;2;0;2;1;4;0;0;0;0;2;1;1;0;0;2;0
;;13;Roggeband, J.M.D.;9;4;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0
;;14;Spoelstra, K.;9;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;3;1
;;15;Grit, S.;7;1;2;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
;;16;de Jong, P.J.;9;0;3;0;0;0;1;2;0;0;0;0;0;2;1;0;0;0;0
