Verkiezing;;Gemeenteraad Beesel 2022;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;
Gebied;;Gemeente Beesel;;;;;;;;;;;;;
Nummer;;0889;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Sporthal De Schans;Nester;Zalencentrum De Schakel;De Paersstjal (zaal);Eetcafé De Troubadour;Basisschool De Triolier;Grescollege;De Schakel;De Schakel;Eetcafé De Troubadour;Eetcafé De Troubadour
Gebiednummer;;;;;1;2;3;4;5;6;8;31;32;51;52
Postcode;;;;;5953 BW;5953 CP;5953 NB;5953 HG;5954 BH;5953 LR;5953 HL;5953 NB;5953 NB;5954 BH;5954 BH
;;25;van Tegelen, J.E.F.;3;0;0;1;0;0;0;0;0;2;0;0
;;26;Timmermans - Heijman, M.J.H.;7;0;0;0;0;3;0;0;0;0;0;4
;;27;Heijmans, L.J.W.;12;4;1;3;0;0;0;0;2;2;0;0
;;28;Mulder, J.W.;4;1;0;0;1;0;0;0;0;1;0;1
;;29;Heijnen, J.J.A.;31;3;2;4;4;3;0;3;4;5;3;0
;;30;Martijn, F.G.M.;9;0;0;1;7;0;1;0;0;0;0;0
;;31;Rongen, J.A.L.;14;1;1;0;0;3;4;1;1;1;0;2
;;32;Piek, L.A.F.;18;5;3;2;1;0;0;1;0;6;0;0
;;33;Dorssers, P.W.;9;0;1;0;3;0;0;1;2;2;0;0
;;34;Teeuwen, J.M.C.;3;0;0;0;0;0;0;0;0;3;0;0
;;35;Moors, R.;3;2;0;0;0;0;1;0;0;0;0;0
;;36;de Graaf, J.J.C.M.;11;1;1;0;4;0;3;2;0;0;0;0
;;37;Ummels, H.J.M.H.;2;0;0;0;0;0;2;0;0;0;0;0
;;38;Smolenaars, J.J.L.;114;11;3;23;34;5;7;6;8;15;0;2
3;Beeselse Lijst;;;862;28;28;42;47;376;20;14;30;40;95;142
;;1;Roelofs, M.H.J.;341;11;17;20;28;134;11;10;14;19;33;44
;;2;Nijssen, J.H.P.;194;3;1;4;3;105;3;1;0;10;19;45
;;3;Jacobs, P.J.I.M.;66;5;1;5;3;24;3;0;1;1;12;11
;;4;Ambaum, R.A.M;47;3;2;1;0;18;0;1;9;1;6;6
;;5;Van der Zalm, M.M.L.;14;0;2;3;2;2;2;0;1;0;2;0
;;6;Lutgens, H.H.;10;0;0;5;2;0;0;1;2;0;0;0
;;7;Geraets, T.J.M;26;0;1;0;3;15;0;0;0;0;2;5
;;8;Crins, M.B.H.;43;4;1;2;0;17;0;0;1;6;3;9
;;9;Kersten, A.C.M.;7;0;1;0;0;4;0;0;0;0;1;1
;;10;Levels, H.W.A.M.;35;0;0;1;0;23;1;0;0;0;7;3
;;11;Strous, P.C.E.;25;0;1;0;0;10;0;0;0;2;4;8
;;12;Joosten, M.T.A.M.;15;0;0;0;1;8;0;1;0;0;1;4
;;13;Crins-Smeets, W.C.A.;3;0;0;0;0;2;0;0;0;1;0;0
;;14;graaf von Villers, M.L.W.M.;12;1;0;0;5;5;0;0;1;0;0;0
;;15;Mullenders, J.;24;1;1;1;0;9;0;0;1;0;5;6
4;Samen Verder Beesel;;;1130;143;112;147;189;115;78;48;86;156;21;35
;;1;Janssen, A.I.L.;503;61;62;58;77;47;30;22;45;75;5;21
;;2;Urru, M.A.S.;111;14;3;10;30;8;16;3;8;19;0;0
;;3;Stevens, G.J.M.;74;6;5;7;5;24;1;2;5;8;6;5
;;4;Willemsen, J.H.H.;51;5;7;9;4;4;1;7;6;7;1;0
;;5;van den Hadelkamp- van Zanten, B.C.;13;2;0;5;2;0;3;0;1;0;0;0
;;6;Boonen, C.H.A.;20;0;2;2;12;1;1;0;2;0;0;0
;;7;Gijzen, I.M.J.E.;27;7;4;2;1;0;2;2;2;7;0;0
;;8;Burggraaf, J.;22;0;3;0;0;11;0;0;0;2;2;4
;;9;Moors, M.;56;13;9;12;5;1;8;1;2;5;0;0
;;10;Lazrag, S.;8;0;3;1;1;0;0;0;0;3;0;0
;;11;Litjens, L.A.M.;15;2;3;4;1;1;1;0;1;2;0;0
;;12;Franssen, L.;39;4;1;6;11;2;2;5;0;7;0;1
;;13;Martens, M.;28;5;1;2;11;3;2;0;1;3;0;0
;;14;El-Hassan, I.;16;1;1;5;4;0;2;1;0;2;0;0
;;15;van Rens, J.G.M.;3;1;0;1;0;0;0;1;0;0;0;0
;;16;van der Velden, A.H.M.;9;0;0;3;1;1;1;0;0;2;0;1
;;17;Simons, L.J.A.;11;0;1;3;0;0;0;0;3;2;2;0
;;18;de Rijck- Delissen, H.W.M.;12;4;0;0;3;2;1;0;0;2;0;0
;;19;Vullers, J.J.H.;11;3;1;1;1;0;0;0;4;0;1;0
;;20;Michels, C.H.J.M.;6;2;0;0;1;0;0;1;1;1;0;0
;;21;Niesen, J.H.M.;6;0;1;0;3;0;0;0;0;2;0;0
;;22;Martens, G.F.F.;20;3;1;3;5;0;2;2;1;3;0;0
;;23;van der Helm, H.H.G.;7;0;2;1;2;0;0;0;1;0;0;1
;;24;Verstappen, A.M.P.;18;1;1;7;6;2;1;0;0;0;0;0
;;25;Verdonck, A.M.G.;17;3;0;0;0;6;0;0;1;2;4;1
;;26;Derksen, G.M.P.J.;27;6;1;5;3;2;4;1;2;2;0;1
