Verkiezing;;Gemeenteraad Roerdalen 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Roerdalen;;;;;;;;;;;;;;;;;;
Nummer;;1669;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;C.C. De Beuk;Vurenhof Boerengolf;Harmonie Zaal;De Roerparel;Dorpshuis Montfort;Zaal onder de Kerk;'t Aad Raodhoes;Feel Fit Center Roerdalen;Brede School De Berensprong;De Harch;Zaal Roerzicht;De Blokhut;De Roerparel;De Roerparel;Feel Fit Center Roerdalen;Feel Fit Center Roerdalen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Postcode;;;;;6061 EG;6061 EJ;6077 AJ;6077 CG;6065 AW;6065 AS;6074 GA;6074 EH;6075 CW;6075 HB;6063 AL;6063 AS;6077 CG;6077 CG;6074 EH;6074 EH
;opgeroepenen;;;17273;1641;1716;1387;1455;1328;1294;1563;1362;1783;1754;1116;874;0;0;0;0
;geldige stempas;;;7211;974;279;164;581;689;494;341;503;649;708;376;328;260;373;208;284
;geldig volmachtbewijs;;;1061;132;47;36;81;117;72;52;58;101;96;65;60;40;50;19;35
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8272;1106;326;200;662;806;566;393;561;750;804;441;388;300;423;227;319
;geldige stembiljetten;;;8205;1102;321;199;657;801;562;388;555;745;791;437;387;299;417;227;317
;blanco stembiljetten;;;43;2;3;1;3;2;4;2;6;3;7;4;0;1;4;0;1
;ongeldige stembiljetten;;;24;2;2;0;2;3;0;3;0;2;6;0;1;0;2;0;1
;aangetroffen stembiljetten;;;8272;1106;326;200;662;806;566;393;561;750;804;441;388;300;423;227;319
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Roerstreek Lokaal!;;;2519;323;90;75;248;296;185;136;242;187;176;55;67;117;140;77;105
;;1;Van Pol, W.L.C.;571;22;1;6;37;254;149;6;14;6;19;5;6;18;12;9;7
;;2;Vestjens, L.;490;201;43;14;62;9;4;8;28;14;6;10;17;28;38;3;5
;;3;Hermans, K.;233;2;1;0;7;1;2;2;5;108;73;5;3;5;5;5;9
;;4;Wolters, A.G.M.;106;55;22;2;6;0;0;0;5;0;1;1;0;4;5;0;5
;;5;Slangen, R.H.G.;321;3;3;4;10;2;1;79;119;6;4;3;2;6;1;33;45
;;6;van den Waardenberg, R.P.T.;89;1;0;1;5;2;0;0;2;27;35;2;0;2;1;7;4
;;7;Eichholtz, A.;115;2;2;23;43;1;1;0;3;2;1;0;0;18;15;0;4
;;8;Willems, E.M.J.;88;2;0;2;1;1;0;25;19;1;9;0;1;1;2;9;15
;;9;Feder, V.M.D.;71;1;0;1;0;0;2;0;0;1;0;24;29;4;4;5;0
;;10;Dijke, R.;24;1;0;0;1;7;11;1;0;1;0;0;0;0;2;0;0
;;11;Bommer-Tissen, M.M.G.;21;8;5;0;0;1;0;0;2;0;0;3;2;0;0;0;0
;;12;Roubroeks, L.W.P.;20;10;5;2;0;1;0;0;0;0;0;1;0;1;0;0;0
;;13;Heusschen, K.C.J.;49;1;0;0;2;0;0;7;31;1;0;0;0;0;0;2;5
;;14;Maessen, R.F.M.;48;0;0;9;18;1;1;0;0;0;1;0;2;5;10;0;1
;;15;Schuren, J.M.;22;9;7;0;1;0;0;0;0;2;0;0;0;0;2;0;1
;;16;Hawinkels, P.H.A.;23;0;0;0;0;0;0;0;0;5;16;0;1;0;0;1;0
;;17;Simons, A.V.M.;9;2;0;2;2;0;0;0;1;0;0;0;0;2;0;0;0
;;18;Beckers, R.H.C.J.;30;0;0;1;0;14;14;0;0;0;0;0;0;0;0;1;0
;;19;Konings, F.J.G.P.;35;0;1;2;21;2;0;0;0;1;0;0;1;2;5;0;0
;;20;Thissen, P.H.;25;0;0;1;0;0;0;5;0;9;10;0;0;0;0;0;0
;;21;Ermers, W.J.M.;46;0;0;1;1;0;0;3;11;3;0;0;2;21;0;1;3
;;22;van der Vorst, P.H.A.;83;3;0;4;31;0;0;0;2;0;1;1;1;0;38;1;1
2;CDA;;;1825;367;100;38;154;234;121;64;81;68;81;145;112;82;113;24;41
;;1;Demarteau, F.C.J.;476;185;51;8;43;5;2;20;14;18;14;24;10;31;30;10;11
;;2;Cremers, J.G.G.;96;0;0;1;1;28;26;1;5;0;2;25;1;0;2;2;2
;;3;Vrinzen, R.J.H.;198;10;5;15;38;3;2;13;20;12;16;1;5;17;32;1;8
;;4;Joris, A.J.T.;104;63;20;0;4;0;1;0;1;0;2;1;4;4;4;0;0
;;5;Vogels, J.;221;2;5;0;3;130;60;0;3;2;2;4;0;3;4;0;3
;;6;Wolters, L.M.E.G.M.;259;37;11;8;17;24;18;14;4;8;32;22;29;17;13;2;3
;;7;Mighorst, J.M.J.;65;4;0;3;14;0;1;3;10;5;3;3;0;4;7;3;5
;;8;Roubroeks, J.J.G.;144;7;2;0;3;2;1;2;4;5;1;60;57;0;0;0;0
;;9;Kuypers, N.W.J.;8;0;0;2;3;0;1;0;0;0;0;0;0;1;1;0;0
;;10;Timmermans, W.M.E.;27;0;0;0;0;0;0;0;1;14;4;2;0;0;1;4;1
;;11;Frenken, C.H.J.;8;0;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0
;;12;Taken, B.J.J.;15;0;0;0;0;0;0;3;8;0;0;0;0;1;0;0;3
;;13;Welters, J.L.M.;5;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0
;;14;Jeurissen, P.H.J.;21;12;1;1;1;1;0;0;0;1;1;1;0;0;1;0;1
;;15;Bours-Verstappen, P.S.E.;43;1;0;0;19;0;0;2;9;2;0;0;0;4;4;1;1
;;16;Ramakers, R.H.G.M.;65;37;5;0;7;0;0;4;0;0;3;2;4;0;2;1;0
;;17;Wolters, A.G.M.;70;9;0;0;1;33;7;1;1;1;1;0;1;0;12;0;3
3;Democraten Roerdalen;;;1742;152;56;22;98;138;158;101;113;189;194;153;137;32;47;62;90
;;1;Smits, A.C.A.G.;444;8;2;4;24;7;4;10;15;141;145;17;16;10;13;13;15
;;2;Peeters, F.C.;273;11;0;4;6;98;128;1;2;3;4;1;1;3;4;2;5
;;3;van Elmpt Huts, G.J.C.M.;262;8;2;3;0;0;4;75;67;10;9;0;1;1;4;31;47
;;4;van Kruchten, J.H.;86;49;25;0;6;0;0;0;0;1;3;0;0;0;2;0;0
;;5;Thoolen, C.P.E.;201;12;1;0;4;1;0;0;1;2;7;90;76;1;5;0;1
;;6;Hintzen, E.;88;40;21;0;4;5;0;1;2;0;0;1;3;4;0;6;1
;;7;Joosten, R.A.L.J.;72;1;0;7;41;1;1;0;0;1;0;1;0;8;11;0;0
;;8;Meuwissen, M.J.E.;14;2;0;0;1;9;0;1;1;0;0;0;0;0;0;0;0
;;9;Jeurissen, B.;31;0;0;0;0;0;0;0;0;16;15;0;0;0;0;0;0
;;10;Maessen, J.J.M.;40;0;0;0;2;0;1;4;16;4;1;0;0;3;0;0;9
;;11;Corstjens, L.J.M.E.;25;0;0;2;1;2;9;0;2;3;0;0;0;0;3;1;2
;;12;Teeuwen, S.J.D.;6;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4
;;13;Moens, P.C.J.E.H.;3;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0
;;14;Heemels, J.H.F.;14;7;0;0;0;0;0;1;0;1;0;1;1;0;1;2;0
;;15;Pisters, M.L.J.;13;0;0;0;3;0;0;0;0;3;7;0;0;0;0;0;0
;;16;Ramakers, I.N.M.;17;0;0;0;0;8;8;0;0;0;0;0;0;0;0;1;0
;;17;Peeters, H.J.C.;9;0;0;0;0;2;3;2;0;0;0;0;0;2;0;0;0
;;18;Hansen, J.H.M.;14;2;0;2;0;0;0;3;2;0;0;0;0;0;0;3;2
;;19;Bekkers, M.P.M.;6;0;0;0;4;0;0;1;1;0;0;0;0;0;0;0;0
;;20;Janssen, R.W.T.T.;5;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
;;21;Loenders, B.J.M.;10;4;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Eijkelenbergh, W.M.;10;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4
;;23;Tegels, W.H.M.;99;7;0;0;1;0;0;0;0;2;3;42;39;0;4;1;0
4;Ons Roerdalen;;;996;47;16;21;71;58;63;28;37;188;247;39;27;28;61;26;39
;;1;Thevissen, M.J.A.;415;20;2;0;18;4;2;10;15;118;136;21;11;2;15;14;27
