Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Voormalige locatie Bibliotheek (Horst);Voormalige locatie Action;'t Gasthoes (Horst);De Lèste Geulde (Horst);Kantine Sporthal Dendron (Horst);Gemeenschapshuis Aan de Brug (America);Gemeenschapshuis de Zaal (Griendtsveen);Zaal Debije (Hegelsom);MFC de Zwingel (Melderslo);"MFC ""De Meulewiek"" (Meterik)";"BMV ""De Schakel"" (Broekhuizenvorst)";Het Brouwershuis (Broekhuizen);De Smetenhof (Lottum);MFC 't Haeren (Grubbenvorst);Beej Toën (Grubbenvorst);Sporthal De Kruisweide (Sevenum);Zalencentrum De Wingerd (Sevenum);De Torrekoel (Kronenberg);'t Brugeind (Meerlo);Café-Zaal Wilhelmina (Swolgen);Dienstencentrum Zonnehof (Tienray);"Kapel ""de Schuilplaats"" (Horst)";De Gaper (Sevenum);Voormalige locatie Bibliotheek (Horst);Voormalige locatie Bibliotheek (Horst);Kantine Sporthal Dendron (Horst);Kantine Sporthal Dendron (Horst);MFC 't Haeren (Grubbenvorst);MFC 't Haeren (Grubbenvorst);Zalencentrum De Wingerd (Sevenum);Zalencentrum De Wingerd (Sevenum)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Postcode;;;;;5961 VG;5961 EZ;5961 GA;5961 XW;5961 BE;5966 NM;5766 PP;5963 AG;5962 AT;5964 AC;5871 AW;5872 AE;5973 PL;5971 BS;5971 CG;5975 AN;5975 BN;5976 NS;5864 BZ;5866 BH;5865 BL;5961 JX;5975 AM;5961 VG;5961 VG;5961 BE;5961 BE;5971 BS;5971 BS;5975 BN;5975 BN
;;9;Peeters, F.P.H.;152;1;0;4;2;0;127;0;1;1;6;0;0;0;0;1;0;1;2;0;0;0;3;0;2;0;1;0;0;0;0;0
;;10;Disveld - de Mulder, H.H.M.M.;202;0;2;1;4;3;1;0;1;1;0;1;0;0;1;0;1;3;0;159;2;12;3;1;0;5;0;1;0;0;0;0
;;11;Cox, J.W.F.;80;2;3;21;4;7;3;0;3;3;0;0;2;1;1;1;6;3;2;0;2;1;2;0;2;2;3;5;0;0;0;1
;;12;Jenniskens, J.W.G.;348;11;4;14;10;5;10;0;4;5;222;0;0;7;3;0;7;0;12;2;1;2;2;0;3;14;0;1;2;0;1;6
;;13;Maas, E.J.M.;325;0;0;2;2;1;2;3;0;3;1;8;0;5;0;0;0;0;1;31;244;16;1;0;0;2;1;2;0;0;0;0
;;14;Hoeijmakers, G.C.;40;0;0;8;0;5;5;0;1;0;1;0;0;0;0;0;2;0;5;1;0;0;2;0;0;1;4;5;0;0;0;0
;;15;Bierens, P.H.C.E.;47;8;1;8;4;0;1;0;1;0;1;0;0;3;0;1;0;0;0;0;2;0;2;0;6;8;0;0;0;0;0;1
;;16;Siebers, M.J.J.;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;2;0;0;0;0;0;2;0;0;0;0;0;0;3;7
;;17;Vullings, P.M.G.;104;1;0;4;4;0;2;0;0;88;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;18;Gubbels - van den Munckhof, M.A.L.;99;0;1;1;1;1;3;0;0;83;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0
;;19;Besouw, A.J.;17;0;0;0;2;0;0;0;0;0;0;0;0;2;8;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0
;;20;Coenders, L.M.F.;26;0;0;1;0;0;0;1;0;1;3;0;0;10;2;1;0;0;2;1;1;0;0;0;1;0;0;0;1;0;0;1
;;21;de Kleijne, H.J.;48;0;0;1;1;0;35;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1;0;0;0;0;0;1
;;22;Wijnhoven - Dirckx, L.;49;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;11;11;4;1;0;0;0;3;0;0;0;0;0;1;3;11
;;23;Emonts, H.W.J.;39;3;0;7;4;3;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;4;0;3;9;1;1;0;0;0;0
2;Essentie;;;3581;137;41;205;156;89;192;103;119;130;102;55;104;184;92;68;220;201;141;88;132;141;96;166;61;114;30;44;58;62;82;168
;;1;Hendrix, B.W.H.;928;27;5;49;34;20;20;1;46;23;22;6;3;19;12;7;115;112;59;22;1;17;23;102;5;27;4;13;5;8;41;80
;;2;van den Berg, B.C.P.L.;457;15;11;23;14;12;6;0;19;16;11;6;4;106;7;8;28;25;11;7;5;9;11;19;10;27;4;8;5;6;9;15
;;3;Brouns, J.P.G.;218;39;4;32;26;11;3;1;12;1;13;1;0;1;1;0;5;0;5;0;0;3;21;1;11;15;2;5;0;0;1;4
;;4;Peijs-Hendrix, I.A.J.;238;1;1;3;5;5;3;2;2;2;1;1;1;12;65;43;5;1;1;1;0;1;2;0;0;3;1;0;40;36;0;0
;;5;Thijssen, K.J.P.;263;4;4;14;6;8;2;0;8;7;10;1;0;4;1;1;31;30;51;5;0;0;4;21;5;3;2;0;0;1;15;25
;;6;van Loo, M.T.P.S.;236;4;0;3;1;2;1;0;6;8;0;35;95;36;4;5;0;1;0;5;9;0;0;1;3;2;0;3;5;5;0;2
;;7;Kerstjens, F.J.;201;3;2;5;4;0;1;0;0;3;0;2;1;1;0;0;0;0;0;34;115;15;2;0;2;1;5;2;0;2;1;0
;;8;Ramaekers, F.;111;0;0;0;0;0;3;99;2;1;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Hollard, X.R.;23;5;1;4;4;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;2;0;1;0;0;0;0
;;10;Rijs, M.M.J.K.M;82;2;0;0;0;0;1;0;1;1;0;0;0;0;1;0;13;16;4;1;0;0;0;14;0;1;0;0;0;0;9;18
;;11;Beurskens, H.J.A.C.;163;15;6;39;26;12;3;0;5;1;1;1;0;3;0;0;2;4;1;0;1;0;5;1;15;12;2;3;0;1;2;2
;;12;Perry, J.M.S.;63;1;0;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;44;1;0;0;1;1;2;0;0;0;0
;;13;Janssen, M.M.J.;80;10;4;13;10;8;0;0;4;1;0;0;0;0;1;2;3;0;1;1;0;0;7;0;3;7;3;0;0;0;0;2
;;14;Speksnijder, R.;44;0;0;0;3;0;0;0;0;0;1;0;0;0;0;1;13;5;1;0;0;0;2;3;0;1;0;0;0;0;2;12
;;15;Jacobs, E.M.M.;174;1;0;6;1;1;144;0;2;0;2;0;0;0;0;0;0;0;4;1;0;0;4;2;1;1;1;0;0;0;1;2
;;16;Versleijen, G.H.G.;39;4;2;2;5;2;3;0;6;1;3;0;0;0;0;1;0;0;0;0;0;2;4;0;0;3;0;0;0;1;0;0
;;17;Hovens, M.G.H.;56;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;48;1;0;2;1;0;1;0;0;0;0
;;18;Neggers, R.W.;46;3;0;2;1;1;0;0;0;0;33;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2;1;0;0;0
;;19;Verstegen, A.J.J.;90;0;0;3;8;0;0;0;0;61;1;1;0;0;0;0;0;0;0;0;0;1;0;0;3;4;4;3;1;0;0;0
;;20;de Swart, G.P.M.J.;21;2;1;5;1;2;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;1;1;0;0;0;0
;;21;Riupassa, M.J.;15;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;1;0;0;2
;;22;Driessen, P.E.M.;33;1;0;1;2;2;0;0;3;0;3;1;0;2;0;0;3;1;0;0;0;1;3;1;1;1;0;0;0;2;1;4
3;D66 / GROENLINKS;;;2860;184;76;254;141;86;131;67;103;81;53;72;60;97;149;93;90;116;88;140;59;67;95;54;82;139;24;29;43;81;39;67
;;1;Voesten, M.P.;646;33;20;72;37;23;21;8;21;21;14;10;14;32;30;6;15;26;18;26;13;15;33;8;28;44;5;9;8;12;10;14
;;2;Baas, E.;449;19;9;34;17;12;10;11;8;14;7;41;34;14;16;7;8;14;12;74;10;10;11;12;6;13;3;3;4;2;6;8
;;3;Spreeuwenberg, D.K.W.A.;585;62;29;74;35;23;17;2;43;34;20;11;5;18;15;11;11;13;7;8;6;3;21;7;25;43;8;14;3;6;3;8
;;4;Gubbels, J.H.M.;204;13;1;5;3;2;1;1;0;0;0;2;4;10;46;42;1;0;2;3;2;1;2;0;3;8;1;0;12;37;2;0
;;5;Aerts, C.;161;18;7;21;15;5;5;2;5;7;2;1;2;2;3;3;5;11;2;1;0;3;9;3;6;12;2;0;2;0;3;4
;;6;Vrieling, G.A.;67;0;0;0;0;0;0;0;0;0;1;0;0;5;22;14;0;0;0;0;1;1;0;1;0;0;0;0;11;11;0;0
;;7;Tijssen, M.O.E.;42;0;1;3;1;2;0;0;0;1;2;1;0;0;2;0;2;0;1;17;0;1;1;1;1;3;1;0;0;0;1;0
;;8;Kemperman, H.G.M.;11;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;0;0;0;0;0
;;9;Walter, H.M.A.;31;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;3;3;16;0;0;0;0;1;0;0;0;0;0;0;1;2
;;10;Vissers, N.C.J.;54;2;0;12;1;2;6;0;5;0;0;1;0;1;3;0;3;3;2;1;1;0;6;1;2;0;0;0;0;1;1;0
;;11;Haegens, L.W.L.;83;4;0;1;1;1;59;0;3;1;3;0;0;0;0;0;0;1;0;1;3;0;0;2;0;1;1;0;0;0;0;1
;;12;van den Munckhof, S.M.;37;10;1;5;1;1;0;2;1;2;0;1;0;0;0;1;0;0;0;2;0;0;1;0;1;5;0;1;0;1;1;0
;;13;Verbeek, N.J.H.;40;1;1;3;1;2;0;0;0;0;1;0;0;3;10;5;0;3;0;0;0;0;1;0;0;0;0;0;2;7;0;0
;;14;Cox, M.C.H.;51;3;4;2;1;1;1;0;0;0;0;0;0;2;1;2;0;0;1;1;0;29;1;0;0;0;0;0;0;0;0;2
;;15;Spreeuwenberg, S.A.M.;39;3;0;2;2;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;14;0;1;1;0;0;0;1;0;0;11;0
;;16;van Enckevort, E.A.W.;147;2;1;3;0;2;1;0;6;0;0;0;0;1;1;0;42;34;5;4;0;2;2;15;0;3;0;0;0;1;0;22
;;17;Pel, M.J.C.;10;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
;;18;Cortenbach, M.G.W.P.;47;6;1;4;8;2;0;0;6;1;2;0;0;0;0;0;0;1;0;0;2;0;0;0;5;1;0;1;0;2;0;5
;;19;Peters, D.H.M.;44;0;0;0;0;0;3;39;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Sterren-van den Broek, G.C.H.C.;7;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;21;Thielen-Tonnaer, F.M.W.;15;0;0;2;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0
;;22;Duijf, J.T.L.;6;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;;23;Timmers, B.P.;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14;0;0;0;0;1;0;0;0;0;0;0;0;0
;;24;Sommers, P.J.A.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
