Verkiezing;;Gemeenteraad Roermond 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Roermond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;'t Paradies;Theaterhotel De Oranjerie;ECI;Basisschool Hubertus;De Voedselbank;Wijkhuis De Terp;Zalencentrum De Velderie;Jongerencentrum Gotcha;Gymzaal Hoogvonderen;Sporthal Donderberg;Waterschap Limburg;Gemeenschapshuis 't Sjoolpaad;Roer College Schöndeln;Wijkaccommodatie Het Trefpunt;SV EMS;Café-zaal De Ster;Tennisclub Maasniel;Wijkgebouw Tegelarijveld;'t Brikkenhoes;Café Zaal Aad Leeuwe;Gemeenschapshuis De Duup;Wijkaccommodatie De Vlonder;Wijkaccommodatie Herteheym;Café Zaal 'de Schuur';Basisschool de Kasteeltuin;Lambertuskerk;Basisschool Lambertus;Gemeenschapshuis De Robijn;Restaurant Maaszicht;Gemeenschapshuis de Kamp;Zorgcentrum St. Jan Baptist;Eetcafé  Aod Maerum;Zalencentrum De Donderie;Het Witte Kerkje;JSP+;Sportcentrum Swalmen;Stadskantoor;Oolderhof;Mobiel Stembureau;Stadhuis vervroegd stemmen;Stadhuis vervroegd stemmen;Wijkgebouw Tegelarijveld vervroegd stemmen;Wijkgebouw Tegelarijveld vervroegd stemmen;Gemeenschapshuis 'De Robijn' vervroegd stemmen;Gemeenschapshuis 'De Robijn' vervroegd stemmen;Eetcafé  'Aod Maerum' vervroegd stemmen;Eetcafé  'Aod Maerum' vervroegd stemmen
;er zijn te veel stembiljetten uitgereikt;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;geen verklaring;;;16;0;0;0;5;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Liberale Volkspartij Roermond;;;7190;163;124;196;272;201;150;151;276;172;183;284;127;190;89;291;118;295;68;125;159;197;250;242;217;282;112;70;77;88;35;84;59;162;204;184;72;48;83;207;41;138;189;79;123;36;42;111;124
;;1;Peters, A.C.P.;1461;20;35;41;30;33;37;41;73;45;47;49;36;46;25;111;41;58;5;30;41;69;67;57;28;21;20;7;9;24;7;15;25;25;34;18;11;16;23;21;6;16;21;17;30;2;6;10;12
;;2;Franssen, D.W.H.;611;28;13;26;37;30;20;1;16;6;13;3;14;26;4;6;2;32;2;3;13;18;14;19;32;33;3;6;4;1;5;3;0;15;14;31;12;0;8;22;2;14;23;8;4;0;0;15;10
;;3;Achten, H.J.M.;486;9;6;6;13;30;0;4;3;2;0;1;0;3;3;2;0;6;3;0;5;1;2;5;43;123;0;1;0;0;1;0;1;43;0;6;0;0;1;80;0;4;13;3;0;1;0;26;36
;;4;Maas, S.M.L.;200;5;5;5;13;10;1;0;2;3;3;1;7;6;1;3;2;14;0;1;3;4;4;7;15;15;2;4;0;0;0;2;0;6;3;7;1;0;5;5;3;2;5;4;3;0;2;12;4
;;5;Pasaribu, B.R.L.;116;3;4;8;7;2;5;0;0;1;1;5;2;5;1;3;1;5;0;5;0;2;3;7;5;3;2;1;1;3;0;0;1;2;5;6;1;0;0;2;0;1;2;3;5;0;2;1;0
;;6;Loganathan, A.;339;5;8;9;5;1;11;3;23;23;5;42;4;6;4;31;4;19;2;12;6;2;6;17;5;2;10;6;6;3;0;2;3;0;17;1;8;2;2;1;4;4;3;1;5;0;5;1;0
;;7;Çelebi, T.;402;3;0;9;0;9;11;31;45;33;6;103;4;0;8;13;9;8;5;9;2;0;2;4;2;1;23;3;2;0;1;0;0;0;28;0;1;0;1;0;1;3;9;3;5;0;0;0;5
;;8;Peters, B.E.;770;5;7;8;19;20;26;24;45;17;24;24;15;14;10;56;24;52;10;31;21;26;34;47;20;12;13;4;18;5;1;6;2;14;25;6;1;1;4;5;7;4;7;13;23;3;3;9;5
;;9;Shaában, S.;170;0;0;1;5;0;3;14;7;3;38;10;7;1;1;10;4;5;4;5;0;0;0;24;1;1;4;0;0;0;0;0;0;0;8;0;0;2;1;0;0;2;4;2;3;0;0;0;0
;;10;Thomassen, I.M.A.;56;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;3;2;13;0;1;9;0;3;0;0;2;3;0;1;0;1;1;0;5;3;0;0
;;11;Schlicher, M.H.C.;138;2;0;1;8;5;4;3;2;0;2;3;1;27;4;4;0;4;0;2;1;0;2;3;0;9;4;0;2;4;1;1;0;7;6;3;2;0;0;1;1;6;2;1;2;0;1;4;3
;;12;Strous, L.H.E.;78;2;1;2;0;2;1;1;2;1;0;0;0;0;0;0;0;6;0;0;4;19;3;0;1;2;1;1;2;3;0;2;0;2;3;1;0;0;1;3;1;0;0;2;2;5;2;0;0
;;13;Blom, M.J.W.;51;3;0;6;6;2;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;11;0;0;0;0;0;0;0;0;3;1;4;2;0;0;0;0;0;2;0;0;0;0;0;7
;;14;Schreurs, J.M.T.;42;0;0;0;1;0;0;0;0;1;2;1;1;1;0;2;1;2;0;1;0;0;1;0;0;0;0;2;4;0;0;13;2;1;2;0;0;0;1;1;0;0;1;0;1;0;0;0;0
;;15;Schuman, P.S.F.;22;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;2;0;0;1;0;0;6;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;16;Esser, R.G.N.;21;0;0;2;1;2;0;0;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;17;Menten, M.J.W.A.;44;0;0;2;0;0;0;0;2;1;0;3;0;3;0;0;1;7;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;10;0;0;0;0
;;18;Gerets, P.J.J.L.;26;4;1;0;0;0;1;0;2;0;2;0;1;0;0;3;0;0;0;1;0;1;0;2;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1
;;19;Geraedts, P.P.A.F.M.;6;1;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;20;Tobben, D.J.D.;163;1;2;0;2;4;2;9;9;6;5;9;2;11;1;17;13;2;0;7;2;3;4;6;3;0;6;1;2;2;1;0;0;3;7;1;1;2;0;0;1;1;2;5;2;1;1;1;3
;;21;Balendonck, A.M.H.;32;0;1;0;0;1;2;0;1;1;0;4;0;2;0;2;0;0;1;0;0;0;4;0;1;2;2;0;1;0;0;1;0;1;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;22;van den Bergh, J.H.J.M.;20;0;0;0;0;0;0;1;1;2;0;0;7;0;0;0;0;0;0;0;0;0;1;0;2;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;23;Masolijn, P.;30;1;0;4;0;0;0;1;7;0;0;2;1;3;0;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Strijbos, M.M.P.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;25;Jennekens, R.L.M.;11;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;26;Einig, W.J.E.;8;0;0;1;0;0;0;0;1;0;1;0;0;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Timmermans, B.G.R.M.;16;0;0;0;0;0;0;0;0;2;0;1;1;0;1;1;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Rutten, V.A.M.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;3;2;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Puper, J.;87;1;3;1;2;1;3;0;0;3;1;1;0;0;0;0;0;0;2;0;1;3;3;0;1;0;0;6;5;10;4;2;4;3;1;3;0;0;0;4;3;1;2;0;0;8;4;1;0
;;30;van Rey, J.F.B.;1756;68;37;64;123;49;21;16;32;15;32;21;24;33;19;23;11;66;32;17;50;47;91;38;39;55;14;22;17;19;8;26;12;35;37;96;27;23;33;60;11;78;89;12;27;9;11;30;37
2;GROENLINKS;;;3606;113;108;112;189;154;108;33;67;47;78;35;111;176;75;51;44;159;38;46;116;78;49;98;130;101;59;34;43;25;21;58;32;77;96;103;56;25;42;50;32;109;126;53;57;20;26;70;76
;;1;Smitsmans-Burhenne, M.A.J.;2538;73;78;71;136;103;71;23;52;38;62;21;78;123;49;36;37;113;22;31;84;67;36;63;75;68;48;22;29;16;13;43;22;62;63;73;39;18;25;26;21;84;91;42;46;12;21;50;62
;;2;Evers, L.R.;128;6;7;4;13;5;2;2;1;1;2;1;0;7;6;1;2;2;0;1;2;1;1;2;6;3;1;0;5;1;3;1;0;0;3;6;1;0;4;4;2;6;5;2;1;1;0;2;2
;;3;Dolmans, A.F.M.;211;5;2;9;15;19;2;0;1;3;4;3;7;11;6;4;1;4;6;4;7;1;3;10;14;9;0;2;2;2;0;5;2;5;7;9;4;0;2;1;0;3;4;3;2;0;1;5;2
;;4;Vaessen, P.M.M.;142;1;6;6;7;6;9;0;2;0;1;1;6;3;1;1;0;21;5;0;10;4;3;4;1;5;0;0;1;0;0;2;0;0;4;5;1;1;0;5;2;1;10;2;3;0;0;2;0
;;5;Cochet, B.G.H.;20;0;2;2;1;0;0;2;3;0;0;1;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0
;;6;de Groot, C.N.;99;0;0;9;5;2;2;1;0;2;0;2;2;5;2;0;0;1;0;0;0;1;0;0;16;10;1;2;0;1;0;1;0;3;1;1;4;2;2;9;0;1;0;0;1;0;0;5;5
;;7;Danker, M.M.J.;51;5;1;0;2;3;0;0;0;0;0;0;1;7;1;3;0;0;0;0;2;1;0;0;2;1;0;0;2;0;1;1;0;0;2;1;1;0;1;1;2;0;3;1;0;2;1;2;1
;;8;Arends, M.W.J.;27;3;0;2;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;3;0;3;1;1;0;0;2;1;0;0;0;0;1;0
;;9;de Jager, B.A.;26;0;0;1;0;1;0;1;0;0;3;0;2;3;0;0;0;1;1;0;1;0;1;3;1;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0
;;10;Wassenberg, N.;40;0;2;1;3;0;0;0;2;0;0;0;0;1;0;1;0;1;0;0;1;0;0;11;3;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;1;2
;;11;Oppermann, A.;79;1;1;4;1;1;10;4;3;1;2;0;10;3;2;1;0;6;1;3;2;0;0;2;4;0;4;1;0;0;0;0;1;2;4;0;1;0;0;0;1;1;0;0;1;0;1;0;0
;;12;Meijers, P.A.C.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1
;;13;Jenniskens, K.W.J.;8;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;de Kunder, J.M.W.;18;3;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;2;2;0;0;0;0;0;0
;;15;van Dijk-Janssen, T.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Wuts, A.M.J.G.;43;2;1;1;0;0;0;0;0;0;1;0;0;1;2;0;1;2;0;2;0;1;1;0;1;0;0;5;3;4;3;1;3;0;0;0;0;1;0;1;0;0;0;0;0;4;2;0;0
;;17;Hommelberg, J.J.R.;25;0;1;0;0;4;1;0;0;0;1;1;0;1;1;1;0;2;2;0;2;0;1;0;3;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;18;Trines, C.J.H.;11;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;19;de Groot, R.;6;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Maassen, W.J.F.;7;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
;;21;Thissen, J.H.L.;10;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;22;van der Heijden, L.J.A.;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Rennings, F.P.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
;;24;Rutten, W.J.M.;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Janssen-van Dijk, A.;6;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;26;de Wal, J.;7;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;;27;Knapen, M.J.E.W.;9;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;28;de Boer, P.J.;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Kunder-van de Weijer, M.E.H.;10;3;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;30;Smitsmans, J.R.M.;8;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Suilen, M.J.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
;;32;Lamboo, J.F.M.;15;3;1;0;0;1;2;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0
;;33;de Wit, H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Cuijpers, C.F.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Feyen, H.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Linders, G.J.E.;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Thissen, C.P.;22;3;1;0;0;1;2;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0
3;CDA;;;2327;46;60;65;105;102;46;34;35;51;29;51;38;79;31;50;18;149;45;49;90;76;58;48;105;92;26;31;9;20;18;29;25;57;58;53;14;16;17;72;8;48;66;30;57;16;19;45;41
;;1;Waajen-Crins, A.P.H.;676;20;26;21;27;17;15;8;1;10;8;2;16;24;7;4;8;50;16;10;45;22;17;12;18;28;8;7;7;8;4;16;6;26;16;17;3;4;6;15;3;14;31;13;13;7;7;6;7
;;2;Breugelmans, M.A.M.;514;11;19;15;30;16;12;2;0;8;8;2;8;16;6;22;3;56;12;12;24;32;16;11;19;16;6;4;1;2;5;6;4;4;4;14;7;1;0;3;0;17;20;5;8;3;5;11;8
;;3;van der Broek, J.J.E.M.;110;6;0;7;11;17;2;0;0;0;0;0;2;3;3;0;0;2;3;1;5;7;3;1;3;3;0;0;0;1;0;4;0;5;1;6;0;2;0;1;2;0;0;1;3;0;0;4;1
;;4;Beek, K.G.M.;54;1;0;0;2;4;1;0;0;0;0;0;0;3;0;1;0;2;0;0;1;0;1;0;4;3;0;3;0;2;0;0;8;1;0;2;0;3;0;0;0;1;0;1;1;5;2;1;1
;;5;Guffens, T.M.E.;175;0;1;1;3;16;1;0;1;0;2;0;2;0;4;0;0;3;0;0;0;0;1;4;33;20;0;1;0;0;0;1;0;13;0;5;1;0;0;45;0;0;0;0;0;0;1;7;9
;;6;Housmans, R.J.G.;21;1;0;1;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;3;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;2;0;0;0;0
;;7;Wijnbeld, M.L.F.;31;0;1;1;2;1;0;1;0;1;1;0;2;9;0;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;1;0;0;0;0;1
;;8;Aslankurt, Ö.F.;239;1;0;0;0;10;3;15;30;24;5;42;2;4;3;12;0;3;0;13;1;0;0;5;3;3;6;0;0;0;0;0;0;2;20;2;0;0;0;0;2;2;5;2;17;0;0;2;0
;;9;Breugelmans, I.W.H.M.;51;1;2;1;3;2;2;0;0;1;1;0;0;2;1;3;0;3;1;0;1;1;3;0;2;0;0;0;0;0;0;1;0;1;1;2;1;0;6;0;0;3;0;4;0;0;1;0;1
;;10;Niessen, J.W.R.;29;0;1;2;3;1;5;1;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;3;2
;;11;van Melick, P.P.H.;37;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;4;1;0;0;5;0;0;0;0;7;0;3;3;0;3;0;2;0;0;0;0;0;0;1;2;0;0;1;1;0;0
;;12;Waajen, E.H.P.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;10;3;2;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Hagenaars, D.W.A.H.J.;6;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;14;Tonnaer, A.I.H.J.;44;2;6;5;10;4;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;1
