Verkiezing;;Gemeenteraad Voerendaal 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Voerendaal;;;;;;;;;;;;
Nummer;;0986;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Cultureel Centrum de Borenburg;Trefcentrum Kunderhoes;Gemeenschapshuis Op d'r Plats;Gemeenschapshuis 't Wouves Ransdaal;"MFC ""De Auw Sjoeël"" Ubachsberg";Gemeentehuis maandag;Gemeentehuis dinsdag;Gemeenschapshuis Op d'r Plats maandag;Gemeenschapshuis Op d'r Plats dinsdag
;;6;Weerts, C.A.J.G.;16;5;4;3;1;2;0;0;1;0;0
;;7;Lalieu, L.C.J.;67;14;37;4;0;2;4;3;1;2;0
;;8;Griens, P.J.R.;21;6;3;1;2;2;2;1;3;0;1
;;9;Ramaekers, E.E.M.M.;34;2;2;4;14;0;3;1;3;3;2
;;10;Franssen, F.E.M.;76;10;3;6;23;12;6;6;5;2;3
;;11;Zinzen, J.H.G.;9;0;0;0;0;0;9;0;0;0;0
;;12;Schoenmaekers, J.P.M.;21;0;1;11;2;1;2;2;2;0;0
;;13;Sporck, L.A.J.;14;0;2;3;0;0;0;1;6;2;0
;;14;Haenraets, R.A.;11;4;1;6;0;0;0;0;0;0;0
;;15;Nijssen, M.H.;8;1;1;0;2;0;2;0;0;2;0
;;16;Moonen, D.F.U.;25;3;8;2;4;0;0;0;5;0;3
;;17;Dassen, F.G.M.;4;0;3;0;0;0;1;0;0;0;0
;;18;Zinzen, J.A.P.;27;0;2;4;2;1;14;0;4;0;0
3;CDA;;;758;64;60;51;191;102;54;37;72;47;80
;;1;Delsing, G.A.H.;271;26;36;24;57;22;28;11;28;14;25
;;2;Van Oppen, T.J.;88;3;2;2;9;56;0;3;3;1;9
;;3;Keulen, W.M.H.;106;0;1;2;62;2;0;2;0;16;21
;;4;Verhoeven, F.J.M.;90;11;2;1;29;8;6;2;8;10;13
;;5;Wetzels-Aben, M.B.P.;23;2;0;11;1;0;3;4;1;0;1
;;6;Crombag-Röben, P.A.M.E.;9;1;0;1;2;0;1;3;1;0;0
;;7;Habets, J.H.J.M.;52;0;4;2;21;14;0;1;5;3;2
;;8;Gulikers, R.J.H.;50;13;5;5;0;0;2;6;19;0;0
;;9;Blank, F.G.P.;5;0;0;0;0;0;3;0;2;0;0
;;10;Heijmans, A.J.W.J.;9;2;0;0;4;0;0;1;0;0;2
;;11;Verhoeven, H.L.M.;10;0;0;0;3;0;0;0;0;3;4
;;12;Huijts, H.H.M.;13;1;6;0;0;0;0;2;3;0;1
;;13;Franssen-Muijtjens, E.L.M.;32;5;4;3;3;0;11;2;2;0;2
4;Partij van de Arbeid (P.v.d.A.);;;626;64;114;62;72;79;69;42;64;25;35
;;1;Verbraak, P.J.J.;262;26;40;23;46;39;18;9;22;14;25
;;2;Stoffels, R.G.L.;59;7;17;5;10;4;3;3;10;0;0
;;3;Beckers, C.J.H.;51;2;2;2;0;4;29;8;3;0;1
;;4;Stoffels, R.F.D.;102;15;21;16;0;13;8;13;9;5;2
;;5;de Haas, D.I.J.M.;66;5;25;9;6;3;3;7;6;0;2
;;6;Vliegen, L.J.G.;18;0;1;0;5;3;0;0;0;5;4
;;7;Op den Camp, R.L.G.;14;3;3;1;3;0;2;0;2;0;0
;;8;Schwerzel, V.L.;7;0;0;3;2;1;0;0;0;1;0
;;9;van Hout, F.J.P.;14;0;5;0;0;6;0;0;3;0;0
;;10;Tolsma, M.A.;5;1;0;1;0;2;1;0;0;0;0
;;11;Vermeer, J.;2;0;0;0;0;2;0;0;0;0;0
;;12;Degens, J.A.L.;9;3;0;0;0;1;0;0;5;0;0
;;13;Clever, M.R.;5;1;0;1;0;0;0;2;1;0;0
;;14;van Dam, J.S.;5;0;0;1;0;0;3;0;1;0;0
;;15;Jaeqx, S.H.M.;1;0;0;0;0;0;0;0;1;0;0
;;16;Hoogveld, A.W.M.;1;0;0;0;0;1;0;0;0;0;0
;;17;Uitterhoeve, W.L.;5;1;0;0;0;0;2;0;1;0;1
5;VVD;;;698;94;50;66;131;149;61;35;53;11;48
;;1;Vliegen, S.M.J.A.J.;251;29;25;20;31;64;40;17;11;4;10
;;2;Faessen, C.H.M.;117;6;8;2;40;29;2;2;3;6;19
;;3;Florie, R.J.M.;41;16;8;8;0;0;1;1;7;0;0
;;4;Alberts-Savelsbergh, N.M.L.H.;56;13;4;10;5;7;4;6;7;0;0
;;5;Scheffer, W.J.;7;0;0;1;0;1;4;0;0;0;1
;;6;Widdershoven-Hellwig, J.H.M.;31;1;0;1;3;24;0;0;1;0;1
;;7;Jussen, B.;10;1;0;6;2;1;0;0;0;0;0
;;8;Scholtz, G.H.J.;26;1;1;0;9;9;0;0;0;1;5
;;9;Coumans, A.D.;42;3;0;4;28;2;0;0;1;0;4
;;10;Donders, J.I.B.S.;16;1;0;0;8;2;0;0;2;0;3
;;11;Jongen, M.W.L.;16;1;0;3;0;1;2;2;7;0;0
;;12;Huijsen-Leendertse, E.W.;6;0;0;0;4;0;0;0;0;0;2
;;13;den Hollander, J.M.M.;9;1;0;0;0;6;0;0;2;0;0
;;14;Jongen-Didden, M.C.A.;5;1;0;1;0;0;0;0;3;0;0
;;15;Vliegen, A.M.J.;7;0;0;0;0;0;5;1;0;0;1
;;16;van Kempen, R.;1;0;1;0;0;0;0;0;0;0;0
;;17;Fleuren, W.L.G.M.;6;3;1;0;1;0;0;0;1;0;0
;;18;Vliegen-Vissers, K.A.S.M.;6;3;1;0;0;1;0;0;1;0;0
;;19;van Dinther, P.J.W.M.;34;14;1;7;0;2;1;3;6;0;0
;;20;Voogt, G.;11;0;0;3;0;0;2;3;1;0;2
6;D66;;;547;82;41;51;77;133;27;33;52;17;34
;;1;Keijbets, R.C.H.;298;44;20;36;48;42;18;15;38;11;26
;;2;Frijns, B.P.M.;31;10;3;7;2;0;1;5;2;1;0
;;3;Goossens, M.P.M.;12;2;5;1;0;1;0;3;0;0;0
;;4;Winthagen, R.H.J.;97;5;2;4;2;78;1;1;1;0;3
;;5;Veldman-Mertens, M.C.G.;72;19;10;2;8;6;7;8;9;2;1
;;6;Hollands, H.J.;9;0;1;0;3;0;0;1;2;2;0
;;7;Gielkens, H.W.M.;12;1;0;1;5;2;0;0;0;0;3
;;8;Spijkers, E.G.H.;16;1;0;0;9;4;0;0;0;1;1
