Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Venlo;Kunstencentrum;Gemeentearchief Venlo;Lokaal Veestraat;Basisschool de Meule;Stichting de Witte Kerk;Gilde Opleidingen;De Bantuin;wijkgebouw d'n Dörpel;Sporthal Rijnbeek;School aan de Vijver;Gemeenschapshuis Maagdenberg;Huis van de Wijk op den Berg;Scheidsrechtersvereniging Venlo eo;Café Feestzaal Ut Tref;Huis van de Wijk Venlo-Zuid;Basisschool de Zuidstroom;Sporthal Gilde Opleidingen;'t Raodhoes;Wijkgebouw de Vijfsprong;Zorggroep Ruysdonck;Basisschool Mikado;Kentalis;Stichting Het Muspelheim;Wijkgebouw Het Zonneveld;Zaal de Egelantier;MFC Op Expeditie;Stichting de Ark;Zalzershaof;Cafe Feestzaal de Boostenhof;Wijkgebouw Tevhit Moskee;Stadskantoor;Woonzorgcomplex De Bongerd;Sportzaal Hoogstraat;Basisschool PassePartout;Café Schillings;Bijbelgemeente;Stichting Marokkaanse Moskee Elfath;Cultureel Centrum De Haandert;Ontmoetingscentrum De Glazenap;de Toermalijn p.a. de Glazenap;'t Zaelke;'t Prônk-Eppelke Belfeld;Basisschool  KOM Mijn;Gemeenschapscentrum De Hamar;MFA De Schans Arcen;Pastoorshof Lomm;Woonzorgcomplex Rozenhof;BMV de Vilgaard;Bijzonder Stembureau Station;Mobiel Bijzonder stembureau 1;Mobiel Bijzonder stembureau 2;Stadskantoor (maandag);Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel;Stadskantoor;Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;33;34;35;101;102;103;104;105;106;107;108;109;110;201;202;203;301;302;303;304;305;310;311;400;401;402;403;404;405;406;407;408;409;500;501;502;503;504;505;506;507;508;509
Postcode;;;;;5911 HD;5911 AS;5914 PV;5914 RN;5914 XS;5914 PE;5913 ES;5916 SW;5913 CZ;5913 GB;5913 TV;5915 CP;5915 ES;5915 CM;5912 BW;5912 XN;5912 BT;5913 SB;5921 GV;5922 VV;5921 VJ;5922 BL;5921 AZ;5922 AT;5923 CZ;5925 AV;5924 AC;5923 AJ;5926 PL;5927 NP;5912 PN;5912 AT;5931 NB;5931 GC;5931 KS;5931 BW;5935 AX;5931 PC;5932 CN;5932 VK;5932 VK;5931 HM;5951 CW;5951 BR;5951 DV;5944 BN;5943 AE;5941 EX;5941 CP;5913 AA;;;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ
;aangetroffen stembiljetten;;;37662;932;722;814;465;672;498;702;928;948;637;952;757;382;740;578;709;553;505;792;598;412;405;316;538;504;601;1063;458;970;389;745;491;423;631;623;896;997;495;484;470;440;489;372;593;672;745;305;619;1114;156;26;55;319;166;239;268;187;60;241;188;330;428;460;254;351;479;309;158;455;306;466;617
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;EENLokaal;;;7292;99;76;100;63;116;64;100;98;110;91;105;90;35;98;82;110;83;76;132;123;80;61;51;106;99;92;278;96;126;91;108;73;103;164;182;243;309;124;134;136;126;150;194;363;375;67;22;48;76;16;4;9;52;25;49;72;130;6;21;22;84;46;72;48;51;176;194;8;34;33;112;100
;;1;Schatorjé, F.P.M.;2387;36;20;38;21;41;9;51;41;54;50;41;31;17;42;21;24;25;27;32;39;28;9;10;36;23;12;75;24;47;20;31;30;63;75;85;140;148;67;54;53;61;66;16;22;22;11;2;13;40;7;1;6;19;7;11;35;13;2;12;3;27;26;36;12;14;93;11;4;18;6;27;54
