Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Venlo;Kunstencentrum;Gemeentearchief Venlo;Lokaal Veestraat;Basisschool de Meule;Stichting de Witte Kerk;Gilde Opleidingen;De Bantuin;wijkgebouw d'n Dörpel;Sporthal Rijnbeek;School aan de Vijver;Gemeenschapshuis Maagdenberg;Huis van de Wijk op den Berg;Scheidsrechtersvereniging Venlo eo;Café Feestzaal Ut Tref;Huis van de Wijk Venlo-Zuid;Basisschool de Zuidstroom;Sporthal Gilde Opleidingen;'t Raodhoes;Wijkgebouw de Vijfsprong;Zorggroep Ruysdonck;Basisschool Mikado;Kentalis;Stichting Het Muspelheim;Wijkgebouw Het Zonneveld;Zaal de Egelantier;MFC Op Expeditie;Stichting de Ark;Zalzershaof;Cafe Feestzaal de Boostenhof;Wijkgebouw Tevhit Moskee;Stadskantoor;Woonzorgcomplex De Bongerd;Sportzaal Hoogstraat;Basisschool PassePartout;Café Schillings;Bijbelgemeente;Stichting Marokkaanse Moskee Elfath;Cultureel Centrum De Haandert;Ontmoetingscentrum De Glazenap;de Toermalijn p.a. de Glazenap;'t Zaelke;'t Prônk-Eppelke Belfeld;Basisschool  KOM Mijn;Gemeenschapscentrum De Hamar;MFA De Schans Arcen;Pastoorshof Lomm;Woonzorgcomplex Rozenhof;BMV de Vilgaard;Bijzonder Stembureau Station;Mobiel Bijzonder stembureau 1;Mobiel Bijzonder stembureau 2;Stadskantoor (maandag);Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel;Stadskantoor;Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;33;34;35;101;102;103;104;105;106;107;108;109;110;201;202;203;301;302;303;304;305;310;311;400;401;402;403;404;405;406;407;408;409;500;501;502;503;504;505;506;507;508;509
Postcode;;;;;5911 HD;5911 AS;5914 PV;5914 RN;5914 XS;5914 PE;5913 ES;5916 SW;5913 CZ;5913 GB;5913 TV;5915 CP;5915 ES;5915 CM;5912 BW;5912 XN;5912 BT;5913 SB;5921 GV;5922 VV;5921 VJ;5922 BL;5921 AZ;5922 AT;5923 CZ;5925 AV;5924 AC;5923 AJ;5926 PL;5927 NP;5912 PN;5912 AT;5931 NB;5931 GC;5931 KS;5931 BW;5935 AX;5931 PC;5932 CN;5932 VK;5932 VK;5931 HM;5951 CW;5951 BR;5951 DV;5944 BN;5943 AE;5941 EX;5941 CP;5913 AA;;;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ
;;22;Winter, L.J.W.M.;9;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;Melskens, A.M.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;Donders, F.J.;26;0;1;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;2;2;2;0;0;0;0;1;2;1;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0
;;25;Meeuwsen-Beliën, J.G.M.M.;28;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;5;0;6;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;26;Jacobs, L.M.A.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;8;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;27;Hecker, M.G.A.G.M.;14;0;1;0;1;2;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Donders-Heijnen, C.J.H.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;29;Cremers, M.T.S.;21;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;30;Goosen - Bosch, H.J.W.;35;3;1;0;0;1;1;3;0;4;4;1;1;0;3;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6
;;31;Cremers, M.H.A.;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;6;12;8;8;8;2;5;5;7;7;0;0;1;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;;32;Wetzels, K.E.A.;35;2;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;3;0;0;0;1;1;0;0;2;0;0;0;0;0;0;1;2;1;1;0;2;2;0;0;3;2;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
;;33;Janssen, H.J.H.;35;0;0;0;0;1;0;0;3;2;0;0;0;0;1;2;0;1;0;2;5;1;2;0;0;1;1;3;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;34;Hoeben, G.H.M.;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;3;0;0;2;0;0;0;0;0;4;5;1;1;6;5;0;9;6;0;1;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;35;Driessen, D.M.J.;22;1;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;2;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;2
;;36;Klerken, J.F.M.;31;0;0;0;0;2;0;0;1;0;1;6;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;1;0;2;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;37;Kuijpers, L.C.P.;45;0;2;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;5;3;8;9;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;1
;;38;Hendrickx, P.G.M.;40;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;1;1;2;2;14;0;1;0;1;0;0;1;0;0;0;2;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
;;39;Huberts, G.E.M.;29;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;40;Brauer, H.H.M.;70;1;1;1;0;2;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2;0;1;0;0;4;0;3;1;2;0;2;0;2;3;7;13;1;0;0;3;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;4;5;0;0;0;0;1
;;41;Overbeeke, D.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Verhezen, J.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Krämer-van de Kerkhof, W.G.T.;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Schouwenberg, W.J.P.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Wetzels, J.W.;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;2;0;0;0;0;1;0;4;1;0;0;0;0;1;1;0;6;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0
;;46;Spruytenburg, R.W.L.M.;15;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;3;1;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Simons- van Deurssen, H.J.G.M.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;7;3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;48;Cox, H.A.M.;26;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
;;49;Ambroz-Coenen, A.M.G.;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;1;0;1;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Adams, J.M.;52;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;2;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;2;2;0;2;6;2;1;0;4;6;6;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0
2;CDA;;;6403;101;91;113;56;70;40;90;159;122;102;125;75;28;119;55;90;60;58;124;105;52;25;26;56;49;49;101;44;117;62;70;61;74;83;91;205;165;43;76;66;60;62;58;87;115;208;195;357;614;28;8;22;35;14;36;45;18;40;132;37;34;23;57;20;55;69;62;114;276;74;66;84
;;1;Verhaegh, T.W.G.;2433;38;35;46;25;43;23;52;81;58;58;61;33;18;51;15;25;40;25;35;34;8;6;11;19;13;26;45;11;45;23;28;32;21;19;13;31;38;6;21;11;6;18;3;10;10;16;11;240;387;9;3;15;11;5;12;11;4;0;88;6;9;11;26;4;23;24;3;3;171;10;16;45
;;2;van de Put, R.A.E.;444;18;28;31;8;6;5;23;36;24;20;26;12;1;22;12;5;2;7;9;5;1;2;0;0;3;2;5;4;9;6;8;8;4;7;5;3;6;1;3;0;1;2;0;2;1;4;0;3;9;5;0;0;1;0;0;2;0;0;0;1;3;8;5;0;1;5;0;1;1;0;2;10
;;3;van den Hombergh, J.W.J.;469;2;2;1;3;2;0;2;10;4;2;2;0;0;0;0;4;0;1;3;2;0;0;2;0;1;0;2;0;0;0;3;1;2;0;1;3;2;0;2;0;0;0;0;0;0;19;176;14;24;0;1;0;1;0;0;1;0;40;3;1;0;0;2;1;0;0;0;109;14;3;0;1
;;4;Duckers, M.A.H.J.;612;12;5;10;6;5;1;4;7;10;4;4;7;1;10;4;6;4;2;53;53;29;11;4;27;24;13;22;21;40;20;2;3;3;6;5;6;5;3;3;1;5;2;0;2;0;1;0;3;6;0;1;1;1;7;20;1;0;0;2;0;20;1;5;9;21;5;0;0;2;0;32;9
;;5;Hoezen, J.G.U.G.;314;0;1;1;0;1;1;1;0;4;2;2;0;0;0;0;0;0;4;0;1;0;0;0;1;0;0;3;0;0;0;1;1;5;3;1;6;6;2;3;4;3;4;44;55;83;0;0;0;0;0;0;0;1;0;0;1;13;0;1;0;1;1;1;0;0;2;48;0;0;2;0;0
;;6;Geurts-de Pree, H.;100;3;6;2;6;1;0;2;2;5;3;4;1;1;1;3;0;5;6;2;1;0;1;0;0;0;0;3;0;1;0;1;1;2;2;0;3;1;0;0;0;0;2;1;6;7;0;0;1;3;1;0;0;2;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;1;0;0;3
;;7;Drissen, A.J.M.;258;1;0;2;0;1;0;0;1;2;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;163;0;2;0;0;2;0;0;0;0;0;0;0;1;27;1;0;0;0;0;0;0;0;1;48;0;0
;;8;Peulen, T.J.M.;493;4;2;4;0;0;0;1;0;1;1;2;2;3;2;6;0;0;3;6;0;0;0;1;0;0;0;2;0;8;1;2;1;33;38;46;61;55;23;32;37;31;24;1;1;2;0;0;0;2;1;0;4;3;0;0;22;0;0;0;0;0;0;1;0;3;15;2;0;0;0;1;3
;;9;Koetsenruijter, T.;173;2;4;2;0;0;0;0;0;0;2;4;2;0;2;0;1;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;1;2;0;0;0;0;0;1;0;0;1;0;2;25;59;0;0;0;2;0;0;0;0;0;15;0;0;0;1;0;0;0;0;1;34;1;0;1
;;10;Meidanwal, A.W.;45;1;0;0;1;0;0;1;0;0;0;0;1;0;6;1;2;2;0;2;0;0;0;0;0;4;0;4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;0;3;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;3;1
;;11;Hafmans, H.M.M.;303;3;0;1;2;5;1;0;4;1;0;3;2;0;2;1;3;0;0;0;1;1;1;0;0;0;0;0;0;2;2;1;0;0;0;0;1;2;1;1;1;1;0;0;0;1;0;5;61;114;1;0;0;1;0;1;2;0;0;21;0;0;1;0;0;0;0;1;0;47;0;4;0
;;12;Meziani, A.;114;3;2;1;2;0;6;0;0;1;0;0;6;0;2;7;17;1;0;2;1;6;2;5;4;0;1;1;2;0;0;4;3;0;0;0;0;3;4;6;3;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;7;2;0;3;0;0;0;0;2;0
;;13;Peeters, J.C.M.;47;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;1;0;2;0;2;0;0;0;1;0;6;10;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0
;;14;Bosch, J.F.J.P.;62;2;0;2;2;2;2;1;3;2;5;5;5;2;8;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;2;0;0;0;1;0;0;0;0;2;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;15;Alkan, D.;55;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;25;2;0;2;2;0;0;0;0;0;0;4;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0
;;16;Buil, R.;37;1;0;0;0;0;1;2;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;5;3;1;0;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;17;Setz, R.B.W.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;18;Janssen, G.G.W.;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;19;Cuppen, J.P.H.M.;18;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;3;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Op de Laak, H.M.E.;21;0;0;0;1;0;0;0;0;0;0;2;0;1;0;1;0;0;0;1;2;2;0;0;0;0;1;2;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Verberk, W.M.A.;18;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;7;0;0
;;22;Franssen, G.D.G.M.;14;0;1;0;0;0;0;0;1;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1
;;23;Doornenbal, J.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;24;Kuijer, Th.J.M.;24;0;1;0;0;0;0;0;3;2;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0;1;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1
;;25;van de Loo, H.P.W.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;26;Hermans, R.J.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;27;Hanegraaff, M.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Zwamen, C.J.M.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
;;29;van Fessem, H.P.F.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Wienhoven, J.F.W.;15;3;0;0;0;0;0;0;5;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;31;van Berkum, H.;9;3;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;32;Schreurs, L.P.H.;9;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Waterborg, H.J.;9;1;1;0;0;1;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Teeuwen, J.H.G.M.;24;2;0;4;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;3
;;35;Lamers, J.C.W.A.;224;0;1;2;0;1;0;0;1;3;1;2;2;1;2;0;0;0;1;3;1;1;1;1;0;0;1;0;1;2;4;5;3;3;2;6;84;41;1;4;3;7;3;2;0;1;0;1;0;0;2;0;0;3;0;0;1;0;0;0;0;0;0;2;0;2;10;3;0;0;1;0;2
3;VVD;;;3844;131;105;91;16;46;20;134;189;152;111;126;54;25;136;37;24;42;41;82;48;31;23;18;29;44;38;66;38;383;64;37;58;34;87;52;73;77;38;25;17;21;21;18;39;35;90;12;36;85;17;3;4;23;6;58;33;9;2;19;16;12;52;40;13;129;25;11;8;23;22;44;76
;;1;Bastiaans, L.H.;1204;41;31;32;8;17;4;50;74;62;31;42;23;7;61;14;11;20;22;21;9;8;8;6;16;13;10;21;11;29;15;18;25;13;27;29;29;30;14;12;9;9;8;1;10;6;27;4;8;39;6;1;4;12;3;2;11;0;1;4;1;3;21;17;7;15;3;3;2;10;6;6;31
;;2;Simons, I.A.W.;400;15;5;10;0;8;5;8;22;15;18;12;4;7;21;4;2;3;4;4;8;1;3;0;2;7;3;3;4;7;1;1;5;4;20;3;7;13;3;1;0;1;5;12;24;21;6;0;0;4;3;0;0;4;1;2;3;9;0;3;1;0;8;3;2;1;4;5;0;1;2;4;8
;;3;Bastiaens, P.T.J.;110;7;6;2;1;4;3;9;9;5;4;4;2;0;5;0;2;1;1;1;1;0;1;0;0;0;1;3;4;6;4;1;5;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;3
;;4;Rutten, J.M.R.;599;2;0;3;0;2;0;7;2;3;3;10;0;0;0;2;1;2;1;18;6;10;7;6;4;9;12;25;6;259;13;3;4;0;4;2;1;3;0;0;0;0;1;0;0;2;1;1;2;2;1;2;0;0;2;43;0;0;0;2;0;2;3;4;1;88;2;1;0;1;1;7;0
;;5;den Biesen, M.H.A.M.;107;6;8;1;0;0;0;13;6;8;10;10;0;1;6;0;0;1;0;1;0;0;0;0;1;1;0;0;0;3;0;0;0;0;3;0;0;1;0;0;0;0;0;2;0;1;1;0;0;0;1;0;0;2;0;0;2;0;1;1;1;0;1;1;0;1;1;0;4;0;0;2;5
;;6;Walda, M.B.J.;235;26;25;4;1;1;1;16;10;5;5;4;8;2;11;2;1;2;0;18;8;3;0;2;4;0;4;4;4;10;0;1;1;3;1;0;0;3;3;0;0;0;2;0;2;2;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;2;4;5;1;4;0;1;0;2;0;11;2
;;7;Groot, N;38;1;0;0;0;1;0;1;3;4;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;4;0
;;8;Keunen, F.L.J.M.;144;2;2;4;0;2;0;2;3;1;1;3;0;0;2;0;0;0;1;2;2;2;0;1;0;1;1;2;0;51;26;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;13;0;0;0;2;0;0;1
;;9;Bongarts, O.J.C.D.;106;5;3;0;0;2;0;5;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;4;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;40;1;0;0;0;0;0;2;0;0;0;0;0;1;13;0;1;0;0;0;0;0;2;1;13;0;3
;;10;Thenu, C.E.H.;120;9;8;2;1;2;0;7;1;15;9;13;4;0;4;3;1;3;1;1;0;0;0;0;0;0;0;0;1;0;0;2;6;0;1;0;0;1;1;0;0;0;0;0;0;2;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;1;0;0;0;0;0;7
