Verkiezing;;Gemeenteraad Gulpen-Wittem 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gulpen-Wittem;;;;;;;;;;;;;;;;;
Nummer;;1729;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeenschapshuis 't Gulper Hoes;Gemeenschapshuis Reijmerstok;Gemeenschapshuis Wielderhoes;Gemeenschapshuis A gen Sjoeel;Gemeenschapshuis 't Patronaat;Voormalig Sophiarum;Gemeenschapshuis A ge Wienhoes;Gymzaal basisschool Klavertje Vier;Gemeenschapshuis Wilder Tref;Fanfarezaal Berg en Dl;Gemeentehuis Gulpen-Wittem;Gemeenschapshuis 't Gulper Hoes (maandag);Gemeenschapshuis 't Patronaat (maandag);Gemeenschapshuis 't Gulper Hoes (dinsdag);Gemeenschapshuis 't Patronaat (dinsdag)
;;9;Bessems, R.M.J.M.;48;2;0;2;1;22;1;2;0;0;2;0;2;6;1;7
;;10;Frijns-Stassen, E.M.H.C.;31;3;0;3;3;0;2;1;12;0;0;0;5;0;2;0
;;11;Hendriks, J.M.G.H.;57;8;16;4;0;6;1;1;11;1;2;4;0;0;2;1
;;12;Laheij, P.M.;30;3;0;2;14;5;0;0;0;0;2;0;2;1;0;1
;;13;Bormans, J.R.M.;23;1;0;19;1;0;0;0;0;0;0;0;0;0;2;0
;;14;Hochs, E.P.J.;31;1;0;0;16;4;0;3;2;0;2;1;0;0;0;2
3;Fractie Franssen;;;1986;392;62;203;284;74;70;92;120;170;54;97;144;12;197;15
;;1;Franssen, P.H.J.;600;160;31;66;21;25;21;30;16;10;29;43;61;4;82;1
;;2;Nix, J.J.M.;298;118;1;11;15;11;3;6;4;1;1;19;42;3;63;0
;;3;Magermans, E.J.M.;72;5;13;40;0;3;0;0;0;1;3;2;4;0;1;0
;;4;Ramakers, J.J.A.;90;4;0;1;77;1;1;0;1;0;3;1;1;0;0;0
;;5;Vluggen, D.R.J.;450;20;1;16;126;8;41;29;11;156;6;4;16;1;11;4
;;6;Quadvlieg, Q.R.J.;109;38;4;11;8;2;1;2;3;0;2;12;10;0;16;0
;;7;Bakker, B.B.;16;2;0;2;4;0;0;6;0;0;0;2;0;0;0;0
;;8;Speetjens - van Deurse, D.H.;67;8;0;44;0;0;1;1;0;2;0;3;5;0;2;1
;;9;Brouwers, J.C.L.;25;11;2;2;0;0;0;0;2;0;2;0;1;0;5;0
;;10;Kessels, V.;94;3;0;5;0;0;0;1;82;0;0;0;0;0;3;0
;;11;Alleleijn, I.A.A.;38;1;0;0;2;20;0;1;0;0;0;0;1;4;0;9
;;12;Cremer, J.G.B.;16;2;0;0;0;0;0;13;0;0;0;1;0;0;0;0
;;13;Gerards, R.A.J.;23;6;9;1;0;2;0;0;0;0;1;4;0;0;0;0
;;14;Wenders, M.H.A.;47;14;0;2;0;2;0;3;1;0;5;6;2;0;12;0
;;15;Dautzenberg, R.H.E.;41;0;1;2;31;0;2;0;0;0;2;0;1;0;2;0
4;Balans Gulpen Wittem;;;1439;67;26;296;116;172;171;65;221;19;81;33;31;24;48;69
;;1;Derksen, F.J.E.;232;10;1;2;5;2;4;10;179;1;4;3;3;0;5;3
;;2;van Breemen, F.R.A.;297;2;0;267;3;0;3;1;5;0;0;4;2;0;10;0
;;3;Hendriks, W.H.W.;175;3;2;8;4;1;144;1;5;5;0;1;1;0;0;0
;;4;Duijzings, W.H.A.;306;5;1;3;25;161;4;6;1;2;0;3;1;24;5;65
;;5;Last, J.E.L.M.;48;8;7;1;5;2;3;1;3;7;2;2;2;0;4;1
;;6;Jongen, M.A.M.M,;55;17;1;1;0;0;1;2;3;1;3;7;7;0;12;0
;;7;Jacobs, B.W.G.;103;3;1;7;0;3;4;9;8;0;66;0;0;0;2;0
;;8;Cools, M.C.M.O.;45;3;3;2;7;1;0;13;3;1;2;3;1;0;6;0
;;9;Veldhuis, H.;22;7;0;0;2;0;0;0;2;0;1;4;5;0;1;0
;;10;Schwanen, J.S.H.;26;0;1;0;0;0;4;16;2;1;0;2;0;0;0;0
