Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskantoor Sittard;Stembureau Toon Hermans Theater;Stembureau Multifuntioneel Centrum Sanderbout;Stembureau Gemeenschapshuis de Landjwaer;Stembureau Fanfarezaal St. Jan;Stembureau Voormalig DaCapo College;Stembureau Tafeltennis Vereniging Sittard;Stembureau Gemeenschapshuis Broeksittard;Stembureau Zuyd Hogeschool;Stembureau Xonar;Stembureau Sportzaal De Kemper;Stembureau Zalencentrum De Oase;Stembureau Oos Zittesj Hoes;Stembureau DVO Sportpark Overhoven;Stembureau Gemeenschapshuis Oos Kaar;Stembureau Kleesjhal sportzaal;Stembureau Buurtcentrum Limbrichterveld;Stembureau Theehuis Hof van Onthaasting;Stembureau Gymzaal Limbricht;Stembureau Gemeenschapshuis Limbricht;Stembureau Gemeenschapshuis 't Tuurhoes;Stembureau Gymzaal B.S. de Leeuwerik;Stembureau Jeugdhuis Scouting Munstergeleen;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Stadswinkel Sittard-Geleen;Stembureau Multifunctioneel Centrum De Reunie;Stembureau Nieuw-Apostolische kerk;Stembureau Zalencentrum Hanenhof;Stembureau Speelgoedbank De Grabbelton;Stembureau Gemeenschapshuis 't Volkshoes;Stembureau RKFC Lindenheuvel-Heidebloem Comb.;Stembureau Pastoor van Arskerk;Stembureau 't Honk Glana;Stembureau Zalencentrum 't Plenkhoes;Stembureau Ollie's Here we Meet;Stembureau Drive-Through Tom Dumoulin Bike Parking;Stembureau Hubertushuis;Stembureau Sportzaal Brouwersstraat;Stembureau Zuyderland Medisch Centrum;Stembureau Gemeenschapshuis Buchten;Stembureau Gemeenschapshuis Holtum;Stembureau Voormalig Gemeentehuis Born;Stembureau Gemeenschapshuis Born;Stembureau Jong Nederland Buchten;Stembureau Harmoniezaal Obbicht;Stembureau Zalencentrum Oos Hoes;Stembureau Zaal Aurora Grevenbicht;Stembureau Fanfarezaal St. Jan;Stembureau Zuyd Hogeschool;Stembureau Zalencentrum De Oase;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Zalencentrum Hanenhof;Stembureau Zalencentrum 't Plenkhoes;Stembureau Hubertushuis;Stembureau Voormalig Gemeentehuis Born;Stembureau Drive-Through Tom Dumoulin Bike Parking;Stembureau Fanfarezaal St. Jan;Stembureau Zuyd Hogeschool;Stembureau Zalencentrum De Oase;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Zalencentrum Hanenhof;Stembureau Zalencentrum 't Plenkhoes;Stembureau Hubertushuis;Stembureau Voormalig Gemeentehuis Born;Stembureau Drive-Through Tom Dumoulin Bike Parking
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;141;142;143;144;145;146;147;148;149;151;152;153;154;155;156;157;158;159
Postcode;;;;;6131 LB;6131 AJ;6134 TZ;6133 AJ;6132 CD;6137 AC;6137 PE;6137 SR;6131 MT;6132 EL;6132 GN;6137 RX;6131 GS;6136 XX;6136 AS;6135 CV;6135 BN;6135 ;6141 BL;6141 AG;6143 BC;6142 AD;6151 BX;6151 CD;6161 GE;6161 SX;6162 GA;6162 EB;6163 XW;6163 BW;6163 CP;6164 GL;6164 GH;6164 BZ;6165 EN;6135 LD;6166 AX;6166 CM;6162 BG;6122 CK;6123 AL;6121 XK;6121 JE;6122 AL;6125 BE;6127 BG;6127 BL;6132 CD;6131 MT;6137 RX;6151 CD;6162 EB;6164 BZ;6166 AX;6121 XK;6135 LD;6132 CD;6131 MT;6137 RX;6151 CD;6162 EB;6164 BZ;6166 AX;6121 XK;6135 LD
;;23;Wijnen-Verbruggen, M.J.E.;158;0;0;0;1;0;0;0;1;1;0;0;1;2;0;1;0;1;0;0;0;0;0;1;4;15;4;2;9;0;2;0;4;0;11;33;1;8;11;0;0;0;0;1;0;1;0;0;2;0;1;2;2;1;3;1;0;0;0;0;3;10;9;7;0;2
;;24;Zandkuijl-de Jong, M.A.B.;81;1;3;0;8;1;0;2;0;0;0;0;0;1;5;1;0;1;0;4;0;1;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;0;9;1;1;1;5;2;2;0;0;2;1;0;0;0;0;1;2;0;7;4;1;0;0;0;4;0
;;25;Vaasen, H.G.;47;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;11;0;1;0;0;0;0;0;3;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;1;0;0;3;2;0;1;0;1;1;0;1;7;2;2;2;0;1
;;26;Smeets-Thevissen, A.J.;17;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Dekkers, H.P.M.;27;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;0;2;0;1;0;5;3;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
;;28;Bokken, M.W.H.M.;76;0;0;2;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;3;0;0;24;28;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;29;Kentgens, R.M.W.;109;0;0;0;0;0;1;0;2;0;0;0;1;0;1;0;0;0;4;0;3;2;28;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;2;1;1;0;5;2;0;35;3;6;0;0;0;0;0;0;0;1;0;0;0;2;2;0;2;0;1;0
;;30;Kurvers, T.W.C.;58;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;2;1;0;34;7;2;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0
;;31;Janssen, E.J.C.;181;2;3;0;6;2;0;1;0;5;0;4;5;1;1;1;1;4;3;1;1;0;4;13;14;7;1;1;3;2;5;0;2;1;2;32;0;3;5;1;1;3;1;1;0;1;1;2;0;0;0;7;0;3;3;0;0;5;4;0;3;3;1;3;0;2
;;32;L' Ortije, T.C.;32;0;1;0;0;0;0;4;0;0;1;2;1;3;0;0;0;1;3;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;7;0;0;0;0;0;1
;;33;Wijnen, J.A.J.;34;3;0;0;0;3;0;0;4;6;0;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;0;0;0;0;2;0;0;0
;;34;Vossen, C.J.C.P.M.;63;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;24;21;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0
;;35;Mares, P.J.M.;29;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;0;9;3;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;36;Kraa, J.F.F.;14;1;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Peereboom, P.G.;15;0;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Widdershoven, K.T.H.M.;45;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;2;1;1;1;1;0;0;1;0;0;0;0;0;2;0;0;0;3;2;10;6;3;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;2;0
;;39;Verberkt, M.F.P.;108;2;2;5;23;1;0;0;0;1;0;0;2;0;0;2;0;0;1;0;0;0;0;1;0;2;3;1;3;4;12;0;0;2;1;6;0;1;4;3;1;0;0;0;2;0;0;1;1;0;0;2;1;1;2;0;0;0;1;2;0;3;7;2;0;0
;;40;de Pree, R.A.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;41;Janssen, J.G.M.;38;1;0;0;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;22;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Vola-Stoffels, M.A.W.M.;69;0;2;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;2;24;23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
;;43;Stans, J.J.N.;20;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;4;2;5;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0
;;44;Meulenberg, R.M.;15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Berkholst, R.E.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;1;2;0;0;0;0
;;46;van Mierlo, H.J.M.;13;0;0;0;0;0;0;0;2;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0
;;47;Reinaerdts, R.F.E.M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;1;0;1;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0
;;48;Klooster, H.;10;1;0;0;0;0;0;1;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;49;Smeets, J.H.M.;16;0;0;2;2;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;50;Chen, H.;93;0;1;0;2;0;0;8;2;4;2;4;0;8;0;2;1;6;3;0;0;0;0;0;0;3;0;0;2;1;2;0;0;0;0;0;4;4;0;2;0;0;1;0;0;0;0;1;0;1;5;0;2;0;2;2;0;2;7;4;1;1;0;0;0;3
2;CDA;;;6588;205;141;72;156;224;88;75;133;120;30;125;163;148;75;172;32;63;162;85;110;108;347;75;99;168;45;36;85;78;274;75;100;21;131;242;34;75;108;65;66;62;51;82;29;158;64;60;105;99;85;28;97;90;46;51;17;127;130;128;78;102;116;65;72;35
;;1;Buhler, J.G.L.M.;1076;23;7;4;26;41;3;6;1;8;3;18;13;8;3;12;3;10;34;12;5;4;2;20;36;53;9;9;31;7;24;3;20;4;36;138;7;37;39;20;7;0;10;14;5;4;7;8;14;14;18;11;24;25;16;8;3;7;9;14;18;35;27;25;8;6
;;2;Brouwers, P.J.;764;18;21;3;18;21;17;11;4;13;5;20;17;21;15;45;8;13;23;3;7;8;2;7;5;5;2;3;8;0;6;1;2;2;5;5;1;5;4;5;26;4;6;17;2;131;36;34;10;9;11;1;0;0;1;12;2;14;14;19;8;6;2;2;16;2
;;3;Houtakkers, A.L.W.G.;680;77;35;10;20;65;12;9;5;29;0;9;12;17;9;22;4;5;18;12;14;2;4;6;6;7;2;1;1;0;0;0;8;1;1;5;3;3;9;5;4;2;3;3;0;5;7;2;35;33;7;4;5;1;1;2;9;34;31;12;14;2;2;4;8;2
;;4;Fredrix-Pilon, A.J.C.;318;0;2;0;0;1;0;1;0;1;0;2;2;0;2;0;1;1;2;0;0;1;0;4;1;13;4;6;12;1;1;1;23;6;41;47;0;5;18;5;1;0;4;1;0;0;0;2;1;0;0;1;15;21;7;0;0;2;0;0;2;15;34;8;0;0
;;5;Henssen, P.T.H.M.;618;1;0;3;7;2;0;1;2;0;0;5;0;0;1;2;0;0;4;0;1;7;3;2;5;22;16;5;15;59;217;68;6;3;12;16;0;9;11;7;0;1;0;2;0;0;0;6;2;1;1;1;19;7;13;0;0;0;1;1;5;14;16;14;2;0
;;6;Janssen, M.H.J.;82;0;1;0;2;0;0;0;0;0;2;0;2;0;0;0;4;2;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;38;5;2;5;2;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0
;;7;Kamps, H.L.J.;102;3;0;0;2;2;0;0;0;2;0;0;0;3;2;1;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;10;20;3;0;1;1;5;1;1;1;1;0;0;10;0;8;1;4;0;1;0;0;8;0
;;8;Schlössels, J.E.E.A.;578;3;2;3;0;5;2;2;2;3;0;2;1;1;0;4;0;3;14;19;22;71;324;0;3;1;0;0;0;0;4;1;1;0;0;0;2;0;0;7;4;2;4;9;0;4;5;5;1;2;2;0;2;1;0;10;0;0;2;1;1;4;1;0;12;4
;;9;Essing-Demandt, G.J.M.C.;280;22;35;4;11;17;2;0;2;8;1;4;11;10;4;9;2;4;9;2;3;0;3;6;6;0;0;0;2;0;2;1;0;0;1;6;1;3;5;2;9;0;0;5;4;0;3;0;5;9;0;2;3;1;0;0;0;15;12;5;2;1;0;3;1;2
;;10;Spätgens, J.M.;198;13;8;12;8;8;2;9;4;6;2;17;20;4;1;8;2;5;3;5;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;2;0;7;0;1;0;0;0;0;0;6;10;0;0;0;1;0;1;2;9;6;3;0;0;0;4;2
;;11;Smeets, J.H.;430;17;11;2;3;10;4;11;90;18;14;11;29;31;15;28;3;2;8;5;3;3;1;4;3;0;0;1;3;0;0;0;4;0;0;1;0;1;3;0;0;0;1;2;0;4;1;1;7;8;15;0;0;0;0;0;0;8;19;19;6;0;0;0;0;0
;;12;Tummers, E.W.M.;106;0;0;0;0;2;0;0;5;0;0;0;1;5;0;1;1;2;11;16;35;2;4;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;3;2;0;2;0;1;0;1;0;0;0;0;0;0;1;0;0;0;3;2;0;0;0;1;0
;;13;Vranken, T.E.L.;201;1;1;2;1;5;37;13;5;5;1;5;15;8;2;12;0;4;4;0;2;0;0;1;1;1;0;0;0;3;2;0;0;0;3;1;0;5;2;0;2;0;0;1;3;2;1;0;2;5;7;0;2;2;0;2;0;1;6;17;0;2;2;1;1;0
;;14;Bonten, P.H.;29;1;1;1;8;0;0;0;0;1;1;4;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;0
;;15;de Lannoy, D.G.J.;24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;4;0;0;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;1;1;2;0;0;0
;;16;Duijzings-Gorissen, G.M.R.;22;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;1;0;0;0;1;0;0;0;0;0;1
;;17;Dieters, H.G.M.;134;5;2;2;2;16;3;2;0;0;1;1;5;4;3;2;0;0;4;0;2;3;1;0;1;3;4;1;2;2;0;0;1;2;1;0;0;1;4;0;0;3;0;1;0;0;1;1;8;0;0;0;1;2;0;0;0;10;3;5;6;3;3;3;1;3
;;18;Johnmary, J.;169;0;0;7;0;0;0;2;1;0;0;0;0;1;0;3;0;7;5;0;0;0;0;6;0;16;5;2;3;2;3;0;26;1;21;6;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;1;7;14;6;0;0;0;0;0;0;2;15;0;0;0
;;19;Banens, M.A.E.;21;2;0;0;1;0;0;0;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Smith, A.W.;35;0;0;0;2;0;0;0;0;0;0;1;1;2;1;1;0;0;0;0;0;0;0;1;2;3;0;0;0;0;1;0;0;0;1;1;0;4;0;2;0;0;1;1;0;1;0;0;1;0;0;0;0;5;0;0;0;0;0;0;1;0;2;0;0;0
;;21;IJpelaar, W.A.J.;41;2;0;0;5;7;1;0;0;3;0;1;1;2;0;0;0;0;1;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0
;;22;Brinkhuizen, J.T.;30;0;0;0;0;11;1;0;0;0;0;0;2;2;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0
;;23;Ochse, S.R.;37;4;1;2;11;0;1;1;0;2;0;0;2;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;1;0;1;0;1;0
;;24;Salvino, T.A.;298;8;6;14;7;0;2;5;6;8;0;17;18;19;16;15;3;2;14;5;5;4;3;8;10;3;0;2;0;3;3;0;0;0;0;0;18;1;3;0;4;1;0;2;5;3;0;0;4;4;8;0;0;2;0;0;0;2;9;10;1;0;1;0;4;10
;;25;Groenendal, R.;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Hodenius, G.W.P.M.;29;0;2;0;1;0;0;0;6;0;0;6;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0
;;27;Dekkers, W.J.M.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Tempelman, G.J.;33;0;0;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;7;3;1;0;0;1;0;0;0
;;29;Graus, D.P.L.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Bouten, T.G.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Jacobs, H.G.W.;44;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;2;0;3;0;0;0;3;0;3;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;1;5;0;0;1;0;0;0;0;0;7;4;0;0;0
;;32;Hendriks, F.V.;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Keulers, R.A.J.M.;76;0;1;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;2;0;28;1;1;1;0;0;0;0;0;2;8;0;1;3;2;0;0;2;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;2;0;0;8;1;2;0;0
;;34;Faarts, J.M.M.P.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;35;Hage, J.J.J.;5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Veugen, F.H.L.M.;28;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;3;0;0;3;0;0;0;0;0
;;37;Kop, M.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;38;Evers-Nijsten, C.J.H.M.;12;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;1;1;0;0;0;1
;;39;Meulmeester, E.H.G.;15;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
;;40;Meijers, M.J.M.;41;3;1;0;1;4;0;0;0;1;0;1;3;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;1;0;0;0;0;3;1;5;0;4;0;0;0;2;2;0
3;GROENLINKS;;;4847;137;115;51;227;113;50;79;125;165;46;188;196;122;111;185;35;92;151;55;106;26;41;73;92;92;49;39;58;21;61;3;50;11;73;143;36;78;81;64;30;7;61;79;9;50;55;52;50;103;120;36;40;32;39;34;31;67;130;142;49;47;32;50;47;15
;;1;Schmitz, K.;3442;97;90;30;150;90;37;59;84;109;35;155;149;91;87;146;27;69;122;38;86;15;25;50;58;55;30;26;45;13;40;3;37;9;43;90;23;51;59;44;16;4;40;56;7;34;43;38;45;75;99;14;29;21;22;20;19;54;83;106;28;34;19;35;23;11
;;2;Janssen, J.E.;90;1;2;0;3;1;2;0;1;3;2;0;6;0;2;2;0;0;0;2;2;2;0;5;7;3;1;1;0;1;3;0;0;0;0;2;0;2;0;3;0;0;0;2;0;0;1;1;0;0;1;9;1;0;1;0;0;2;2;1;6;1;0;2;1;0
;;3;Schipper, M.H.;59;1;0;0;2;0;1;0;11;0;1;1;3;3;2;6;0;1;2;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;4;0;1;0;0;0;0;6;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0
;;4;Crutzen, F.M.M.;109;2;0;0;4;1;0;2;0;1;1;4;0;2;1;3;0;4;2;2;3;1;0;9;11;3;0;1;1;0;1;0;1;0;1;3;1;2;2;1;0;0;0;3;0;0;0;0;2;0;4;5;1;2;1;0;1;3;2;3;6;0;1;3;2;0
;;5;De Loo, M.J.M.;68;0;0;0;1;1;0;1;0;1;0;1;3;0;0;1;0;0;1;3;1;0;1;0;2;4;1;0;2;0;1;0;0;0;2;5;0;0;0;0;0;0;9;6;1;1;0;2;0;0;0;2;0;2;0;5;0;0;1;0;0;0;2;0;5;0
;;6;Wertz, D.J.G.;25;2;2;0;0;0;1;5;1;0;0;0;1;0;1;0;0;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
;;7;Jaf, Z.;249;6;9;15;16;9;1;2;7;25;0;9;8;6;7;11;2;3;6;1;2;5;2;1;4;3;2;0;3;1;0;0;6;0;4;3;3;3;3;3;2;0;0;3;1;0;2;1;0;8;3;2;0;0;4;3;5;6;13;3;1;1;0;0;0;0
;;8;Boukhrissi, A.;193;10;7;1;16;0;2;4;6;7;2;9;9;5;6;4;1;2;6;0;1;1;3;2;1;7;6;0;2;1;3;0;0;0;5;6;1;2;2;0;6;0;0;1;0;1;0;1;0;5;3;1;5;2;0;2;1;1;4;11;3;0;1;2;3;0
;;9;Slippens, J.G.H.;23;0;0;0;2;2;0;2;1;1;0;1;1;2;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;Hamgham, A.F.;29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;1;0;1;0;0;0;1;2;0;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;3;1;2;0;0
;;11;Feijen, B.J.;33;2;1;0;0;3;0;0;0;3;0;1;1;0;0;3;0;0;2;1;1;0;1;2;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2
