Verkiezing;;Gemeenteraad Heerlen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heerlen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis ingang Geleenstraat;Stembureau Brightlands;Stembureau Trefcentrum 't Loon;Stembureau Poppodium Nieuw Nor;Stembureau De Twee Gezusters;Stembureau Grotius College;Stembureau MEE Zuid-Limburg;Stembureau Gemeenschapshuis Welten;Stembureau Wijkpunt Peter Schunck;Stembureau Café Admiraal;Stembureau Gemeenschapshuis Caumerbron;Stembureau Vitalis Parc Imstenrade;Stembureau A gene Bek;Stembureau BMV Molenberg;Stembureau Zalencentrum 't Leiehoes;Stembureau Scouting St. Jan Baptist;Stembureau Sporthal Palemig;Stembureau Gemeenschapshuis het Juphuis;Stembureau Dienstencentrum Schandelen;Stembureau Cultuurhuis Heerlen;Stembureau Buurthuis Beersdal;Stembureau Ouderencentrum Hooghendael;Stembureau Corneliushuis;Stembureau Basisschool Windekind;Stembureau Sporthal Varenbeuk;Stembureau Buurtcentrum 't Heitje;Stembureau Gemeenschapshuis Heksenberg;Stembureau Ouderencentrum Vogelsanck;Stembureau Sportcafé 't Volkshuis;Stembureau Basisschool Mijn Spoor;Stembureau Sporthal Vullingsweg;Stembureau SamSam;Stembureau Sporthal In de Biessen;Stembureau Drive-in stemstraat;Stembureau Amicitia;Stembureau Buurtcentrum de Koffiepot;Stembureau Ons Trefcentrum;Stembureau BMV Maria-Gewanden;Stembureau Ouderencentrum Weijenberg;Stembureau Gemeenschapshuis Mariarade;Stembureau BMV Aldenhof;Stembureau Ouderencentrum Butting Inn;Stembureau Mobiel stembureau 1;Stembureau Mobiel stembureau 2;Stembureau Touringcar;Stembureau Stadhuis ingang Geleenstraat (14/3);Stembureau A gene Bek;Stembureau Gemeenschapshuis Caumerbron;Stembureau Sporthal Palemig;Stembureau Corneliushuis;Stembureau Sporthal Varenbeuk;Stembureau SamSam;Stembureau Sporthal In de Biessen;Stembureau Stadhuis ingang Geleenstraat (15/3);Stembureau A gene Bek;Stembureau Gemeenschapshuis Caumerbron;Stembureau Sporthal Palemig;Stembureau Corneliushuis;Stembureau Sporthal Varenbeuk;Stembureau SamSam;Stembureau Sporthal In de Biessen
Gebiednummer;;;;;1;3;4;5;6;7;11;12;15;16;17;18;19;22;26;27;29;30;31;32;33;34;35;36;37;39;42;43;44;46;47;48;91;100;101;104;106;109;112;114;115;116;200;201;202;1401;1419;1423;1429;1435;1437;1448;1491;1501;1519;1523;1529;1535;1537;1548;1591
Postcode;;;;;6411 HP;6411 CR;6411 TR;6411 KC;6411 GT;6417 BM;6419 BT;6419 CV;6418 XL;6418 CB;6418 CV;6418 PP;6417 TZ;6416 CC;6415 VT;6415 JN;6415 SB;6412 XM;6412 WG;6412 CD;6412 PP;6413 ER;6413 GN;6417 ES;6414 NL;6414 EW;6414 BT;6413 HV;6413 PV;6413 LZ;6418 HS;6412 EN;6433 AZ;;6431 LG;6433 AJ;6433 CZ;6432 CP;6431 AZ;6431 GB;6431 JL;6431 JK;6419 PJ;6411 NZ;6416 SG;6411 HP;6417 TZ;6418 CV;6415 SB;6413 GN;6414 NL;6412 EN;6433 AZ;6411 HP;6417 TZ;6418 CV;6415 SB;6413 GN;6414 NL;6412 EN;6433 AZ
;opgeroepenen;;;72459;1380;1532;2127;647;1227;1750;943;2218;1020;1082;1900;1979;3393;3361;3125;1160;954;1505;937;1839;1478;1120;2301;2070;1795;2323;2204;1208;1123;1994;1880;2875;0;0;1697;1366;4089;1995;1840;2056;1466;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;26854;831;147;586;452;581;616;699;888;420;418;1016;541;985;923;824;300;206;307;226;611;345;225;718;709;315;512;779;279;171;394;226;584;225;119;559;584;641;481;472;689;426;408;74;196;169;398;441;329;114;282;133;125;245;563;600;502;170;428;153;164;330
;geldig volmachtbewijs;;;3737;88;17;89;46;50;75;90;122;51;67;157;69;120;135;127;51;32;41;22;84;73;33;120;107;47;60;152;36;25;58;44;106;36;10;65;77;96;97;66;106;65;46;13;22;20;50;47;41;7;33;19;20;42;73;61;52;20;60;20;34;45
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;30590;919;164;675;498;631;691;789;1010;471;485;1173;610;1105;1058;951;351;237;348;248;695;418;258;838;816;362;572;931;315;196;452;270;690;261;129;624;661;737;578;538;795;491;454;87;218;189;448;488;370;121;315;152;145;287;636;661;554;190;488;173;198;375
;geldige stembiljetten;;;30410;915;164;671;498;623;689;787;1004;467;483;1169;610;1097;1048;941;347;235;343;247;691;417;258;837;807;362;567;921;311;196;452;269;686;259;129;621;661;730;576;537;789;485;448;87;217;189;445;488;370;121;309;152;145;284;634;657;550;188;482;173;198;374
;blanco stembiljetten;;;83;1;0;1;1;3;1;1;4;1;2;3;0;3;5;7;0;3;1;0;0;1;0;0;8;0;3;2;2;0;0;1;2;1;0;3;0;1;0;1;3;1;5;0;0;0;1;0;0;0;1;0;0;3;0;3;2;1;1;0;0;0
;ongeldige stembiljetten;;;83;3;0;2;0;5;1;1;2;2;0;0;0;2;6;3;4;0;3;1;3;0;0;2;1;0;2;8;2;0;0;0;2;1;0;1;1;4;0;2;2;0;1;0;1;0;2;0;0;0;2;0;0;0;1;0;3;1;5;0;0;1
