Verkiezing;;Gemeenteraad Venray 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Venray;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Vincent van Gogh / Kapel;De Springplank;Wijkcentrum Den Hoender;Op 't Nipperke;Schouwburg Venray;De Perdstal;WOC ’t Schöpke;MFC Brukske Wijkcentrum A;MFC Brukske Wijkcentrum B;Wijkcentrum ’t Stekske A;Wijkcentrum ’t Stekske B;Gemeenschapshuis Blitterswijck;De Hoge Beek;De Zandhoek Wanssum;D'n Oesterham Oostrum;'t Pelgrimshuis Smakt;De Smelehof Ysselsteyn;Partycentrum 't Anker Merselo;De Loef  Vredepeel;De Linde Oirlo;De Wis Castenray;De Hoefslag Veulen;MFC De Baank Leunen;MFC Heide;De Alde Schol Geijsteren;Mobiel stembureau;Maandag 14 maart Vroegstembureau Gemeente;Dinsdag 15 maart Vroegstembureau Gemeente;Maandag 14 maart Vroegstembureau Schöpke;Dinsdag 15 maart Vroegstembureau  Schöpke;Maandag 14 maart Vroegstembureau Stekske;Dinsdag 15 maart Vroegstembureau Stekske;Maandag 14 maart Vroegstembureau MFC Brukske;Dinsdag 15 maart Vroegstembureau MFC Brukske
;;6;Buzała, A.A.;168;4;1;0;3;0;2;1;2;4;3;0;2;0;0;1;1;0;7;121;3;6;1;0;1;0;0;0;0;3;0;1;0;0;1;0
;;7;Direks, M.M.P.;332;2;1;0;1;0;1;6;0;0;1;1;0;2;0;0;14;0;17;15;3;27;170;28;30;2;1;0;4;1;2;0;0;1;1;1
;;8;Hubers, W.L.;423;2;0;2;3;1;1;2;2;2;0;0;0;0;1;2;1;0;357;1;0;5;2;10;8;4;0;0;6;6;0;1;0;4;0;0
;;9;Weijers, M.G.D.;165;1;0;0;0;2;0;0;0;0;0;2;1;2;0;123;0;0;4;1;0;2;3;1;1;0;11;0;2;2;0;0;0;0;2;5
;;10;Nijsen e.v. Jenniskens, F.J.;120;1;0;2;0;0;1;4;3;0;0;0;0;0;0;0;1;0;20;10;1;0;0;6;7;52;0;0;1;3;2;0;4;1;1;0
;;11;Scherders, E.G.E.;53;2;4;0;4;0;0;5;0;2;1;7;1;2;0;0;9;0;0;0;0;1;0;0;1;0;1;0;0;3;0;0;5;1;2;2
;;12;Sluijter, G.C.T.M.;33;2;0;0;2;0;1;2;2;1;2;1;0;0;2;0;1;0;0;0;0;0;0;0;3;1;0;0;1;8;0;2;1;1;0;0
;;13;Maas e.v. Voesten, M.C.T.;16;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;3
;;14;van Heek, T.D.;16;3;0;1;1;0;3;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
;;15;Hermsen, J.M.;16;2;0;0;4;0;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0
;;16;Vermeulen, T.J.W.;43;3;1;0;2;1;3;3;1;0;0;0;0;0;3;0;4;0;0;0;0;5;0;0;4;1;0;0;2;4;1;2;0;1;0;2
;;17;Boateng, R.;74;11;4;0;1;1;2;1;2;4;9;6;4;0;1;1;2;0;0;0;0;0;0;0;6;0;0;0;1;1;0;0;3;1;1;12
;;18;Jacobs, A.W.G.M.;54;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;6;0;0;3;0;37;2;0;0;0;1;1;0;0;0;0;0;0
;;19;Steeghs, W.H.M.;73;1;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;6;0;0;56;2;2;1;0;0;0;0;0;0;0;0;1;0;0
;;20;Sysock, M.C.;10;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;4;0;0
;;21;Kooter, H.T.H.;20;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;14;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Duijnhoven, P.A.M.;17;1;0;1;1;0;3;0;1;0;1;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2
;;23;Vullings, H.P.M.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Derikx, J.J.M.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;11;0;0;0;1;0;0;0;0;0
;;25;Aerts, M.H.B.;6;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;26;van Hoof, A.J.M.;45;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;2;30;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1
;;27;Welschen, F.L.M.;17;1;0;1;1;0;2;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;4;0;3;0;0;0;0;0
2;VENRAY Lokaal;;;4147;205;189;95;190;59;228;170;164;99;104;192;173;107;108;328;207;9;58;77;4;73;34;29;232;53;44;3;120;156;79;132;96;146;71;113
;;1;Stevens, H.M.H.A.;1395;85;73;34;82;21;79;65;53;25;37;71;76;30;57;35;99;4;19;34;1;23;16;15;40;10;15;3;39;45;28;36;43;59;21;22
;;2;Wisgerhof, L.W.M.;561;40;43;12;24;10;36;35;14;12;14;37;28;12;14;12;25;0;3;17;1;19;1;3;21;3;9;0;15;20;12;15;13;23;6;12
;;3;Hillenbrink, M.;351;20;19;8;18;9;25;27;8;12;8;18;15;4;6;6;14;3;5;10;1;7;3;4;11;29;3;0;7;16;1;13;5;8;3;5
;;4;Francken, T.J.E.;413;5;3;4;5;3;8;2;7;1;4;5;0;34;1;259;4;0;1;0;0;4;6;0;4;0;9;0;4;5;8;6;6;4;9;2
;;5;Luydens-Dabian, A.M.;194;11;7;6;7;3;11;3;17;3;7;13;12;3;10;4;7;0;0;0;0;0;0;1;9;2;1;0;6;11;6;12;5;3;4;10
;;6;Daud, O.;94;2;1;1;2;1;2;4;4;4;5;7;8;1;2;0;4;0;0;0;0;2;0;0;21;0;0;0;1;3;0;0;6;6;4;3
;;7;Rutten, N.;54;2;9;0;1;0;8;4;0;0;1;3;4;1;0;4;1;0;0;1;0;1;1;0;0;0;4;0;2;2;0;0;3;2;0;0
;;8;Craenmehr, G.T.J.M.;58;5;4;0;5;0;1;0;0;4;1;0;1;0;0;0;2;0;22;2;0;0;1;0;2;2;0;0;0;0;0;1;1;0;0;4
;;9;Flinsenberg, F.H.P.T.;53;2;5;0;0;0;2;0;3;2;0;5;3;0;3;0;2;2;0;4;1;1;2;2;2;0;0;0;0;2;2;0;2;5;0;1
;;10;De la Roij, R.J.M.;206;15;10;4;10;3;10;8;22;3;6;7;3;1;1;7;6;0;0;0;0;7;2;0;6;0;1;0;12;25;4;15;4;9;3;2
;;11;Koçyigit, T.T.H.;27;0;4;0;1;0;0;0;3;3;3;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;2;3;3
;;12;Hellegers, A.J.G.;128;2;2;1;1;1;0;0;0;2;0;2;1;2;5;0;2;0;0;1;0;3;1;0;88;4;0;0;3;3;1;1;1;0;0;1
;;13;Koçyigit, A.;211;5;1;6;10;0;21;3;13;21;10;7;10;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;11;4;11;17;0;10;10;38
;;14;Custers, P.J.M.;15;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;1;0;3;1;0;1;0;0;0;0
;;15;Valckx, H.J.M.;6;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
;;16;Gardeniers, J.J.J.M.;15;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Olde Daalhuis, T.G.J.;22;0;1;2;2;0;2;0;2;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;4;0;1;0
;;18;van den Hoek, A.C.L.M.;35;0;1;1;4;0;5;1;2;0;1;1;0;0;1;0;2;0;3;0;0;1;0;1;0;0;0;0;3;1;0;2;0;2;3;0
;;19;Reintjes, L.J.M.;26;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;2;0;4;1;0;1;0;0;12;0;0;0;0;1;0;0;0;0;0;0
;;20;Brouwer, H.S.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Vervoort, C.M.;52;4;3;0;2;4;1;1;0;0;0;4;0;2;2;0;3;0;0;3;0;0;0;0;4;0;0;0;2;1;2;3;1;5;0;5
;;22;Manders, A.E.;53;1;3;0;2;0;1;0;2;0;0;0;2;0;1;0;28;0;0;1;0;1;0;1;2;2;1;0;1;0;0;1;0;2;1;0
;;23;Hurkmans, J.M.W.;14;0;0;0;2;1;0;2;1;0;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;24;Clarke, M.H.;23;1;0;3;1;0;3;1;1;0;2;1;1;0;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;3;0;0
;;25;Gottenbos, M.H.;4;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;26;Puts-Koopman, L.;17;0;0;0;1;0;2;1;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;1
;;27;Weijs, V.F.J.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
;;28;Francken, H.J.B.;30;0;0;6;4;1;3;2;2;0;0;6;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0
;;29;Beerkens-Heldens, M.H.S.;31;0;0;2;2;1;3;3;3;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;3;3;0;0;0;2;1;1
;;30;Zandbergen, M.J.A.;54;3;0;2;4;1;1;8;4;0;1;1;1;0;1;0;0;0;1;0;0;2;0;0;1;1;0;0;6;5;3;6;1;0;0;1
3;SP (Socialistische Partij);;;1183;43;33;35;63;22;73;35;47;43;31;77;44;21;29;39;30;7;57;14;4;22;8;8;48;10;2;2;37;40;35;33;64;56;34;37
;;1;Hendriks, J.C.M.;665;27;16;25;38;7;42;20;24;29;14;46;21;10;18;19;17;5;22;6;2;11;6;5;33;4;1;0;22;27;16;18;37;32;26;19
;;2;Hermsen, W.B.A.;36;0;1;0;2;0;1;2;4;2;0;1;2;0;3;3;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;3;3;1;2;2
;;3;van Hal, R.W.J.G.;45;3;2;2;6;3;3;0;3;0;2;0;2;0;0;1;4;1;0;1;0;0;0;0;1;0;0;2;1;1;2;0;0;0;0;5
;;4;Rogowski, D.;17;0;0;0;0;0;0;0;0;0;0;4;1;0;0;8;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Sweelssen, E.A.K.N.;172;10;11;2;9;6;10;7;4;6;6;8;2;4;3;4;1;1;2;5;2;4;0;0;5;3;1;0;6;7;12;6;16;5;2;2
;;6;van de Kerkhof, R.J.M.P.G.;22;0;0;0;0;0;2;0;0;0;1;1;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;6;0;1
;;7;Beelen, H.G.J.M.;41;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;32;0;0;0;0;2;1;1;0;0;0;0;0;1;1;1;0;0
;;8;Selten, M.C.;42;1;0;2;3;0;6;0;2;0;2;4;4;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;3;0;2;0;5;3;0;0
;;9;Pepermans, M.E.M.;18;1;0;0;0;0;1;0;2;2;1;0;0;0;3;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;1
;;10;Faessen, J.P.L.;9;0;0;0;1;0;1;1;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Franssen, W.M.;16;0;0;0;0;0;2;1;0;1;0;2;0;3;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0
;;12;Krouwel, T.A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1
;;13;Vermeulen, A.J.;19;0;0;0;0;2;2;1;0;2;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;2;0;1
;;14;Vermeulen-Faessen, M.E.J.;14;0;1;0;2;0;1;0;2;0;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1
;;15;Evers, J.H.M.;5;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;16;Raaijmakers, G.H.M.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Pelzer, M.J.M.;11;1;0;1;0;1;0;0;2;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;18;Brands, J.A.G.;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;19;de Wolde, H.C.G.;6;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;20;van Gameren, A.F.J.;7;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Aalst, J.B.P.M.;4;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Haegens, A.J.M.;24;0;0;2;0;1;1;2;0;0;0;5;2;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;0;3;1;0;0;0;1;0
4;D66;;;2134;137;105;45;83;32;129;121;104;42;36;69;62;27;76;37;139;8;158;108;1;49;15;5;95;14;9;3;80;109;53;38;37;59;19;30
;;1;Zegers, T.J.M.;746;45;32;14;32;16;37;47;36;8;5;14;17;15;24;14;63;2;9;97;1;24;9;2;23;7;2;2;33;45;22;17;6;15;4;7
;;2;Claessens, E.M.F;412;15;7;8;13;2;20;25;14;0;4;8;10;6;8;4;15;3;140;7;0;9;3;1;29;1;3;1;7;15;7;7;0;10;5;5
;;3;Pijls-Arts, A.A.A.M.;179;8;7;4;5;2;16;13;6;5;1;14;5;1;10;3;12;1;2;0;0;0;1;0;5;1;2;0;6;10;6;4;8;16;1;4
;;4;Smits, S.J.P.;95;9;7;4;8;0;10;3;5;2;0;4;3;0;4;5;3;0;0;2;0;2;0;0;4;0;0;0;7;7;2;0;1;2;0;1
;;5;Jilesen, B.J.M.;72;4;5;1;5;1;3;2;3;1;0;1;1;1;3;1;23;0;2;0;0;1;0;1;8;0;1;0;2;2;0;0;0;0;0;0
;;6;Sanders-Peeters, E.H.M.;67;0;1;1;2;2;0;3;3;13;13;3;1;0;2;0;1;0;0;0;0;1;0;0;0;2;0;0;2;1;2;1;2;0;5;6
;;7;Joosten-Bešlagić, E.;30;1;1;0;0;0;0;3;3;2;0;1;0;1;1;0;1;0;1;1;0;5;0;0;1;0;0;0;0;1;3;0;1;1;1;1
;;8;de Keijzer, B.J.J.;53;3;4;1;1;4;8;0;1;0;0;4;3;0;0;1;2;0;3;0;0;1;0;0;3;0;0;0;2;7;1;0;0;3;0;1
;;9;Keijzer, R.A.;31;1;1;1;3;0;2;7;1;0;0;0;1;0;1;0;1;2;0;0;0;0;0;0;2;1;0;0;2;1;3;0;0;0;1;0
;;10;van Kessel, S.B.W.;65;10;7;3;2;1;6;1;1;1;3;0;1;0;5;0;3;0;0;0;0;0;0;1;5;0;0;0;1;1;1;3;4;3;1;1
;;11;Kupers, A.H.P.J.;18;3;2;0;1;0;1;0;0;2;0;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;12;Muller-Boekelman, M.L.;14;2;1;1;1;0;2;0;2;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Rippe, F.I.P.;13;3;2;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0
;;14;Schaeffers, J.F.A.;13;1;1;0;1;0;1;0;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
;;15;Schmeitz-Willemsen, A.M.C.;14;0;3;0;0;0;0;0;3;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4
;;16;Tummers, P.P.F;18;3;2;0;0;0;0;0;3;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0
;;17;Vaneker, H.L.J.M.;6;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;18;Voermans, T.C.A.;18;1;1;1;0;0;1;2;2;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;2;0;0
;;19;de Visser, H.A.F.P.;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Clevers, B.G.A.R.;5;0;0;0;0;0;1;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Najja, B.;32;2;7;0;1;1;1;3;2;6;1;4;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
;;22;Hikspoors, A.F.G.M.;12;0;4;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0
;;23;Aarts, R.A.M.;17;0;0;0;1;0;0;11;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;24;Janssen, D.;173;23;8;0;3;1;16;0;16;1;2;6;11;1;12;2;6;0;1;1;0;4;1;0;7;2;0;0;11;14;4;2;11;6;1;0
;;25;van de Ven, J.;29;3;2;5;3;1;2;0;0;0;0;1;3;0;0;0;5;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0
5;Samenwerking Venray;;;1997;57;64;93;104;29;111;51;70;39;48;88;80;53;37;41;68;35;53;39;5;46;27;72;180;20;88;1;61;75;44;55;58;54;34;17
;;1;Leenders, M.P.H.M.;651;19;23;56;37;15;40;26;29;18;11;23;19;17;13;11;37;0;9;18;2;24;10;1;28;4;1;1;34;31;18;12;20;21;18;5
;;2;Mulders, M.H.T.G.;209;0;6;4;7;1;15;0;6;0;1;0;6;1;2;0;5;5;25;7;2;7;9;65;16;6;0;0;0;4;4;1;4;0;0;0
;;3;van Lierop, B.E.;378;13;9;16;18;9;17;12;15;5;16;36;24;22;12;3;6;2;2;7;0;3;1;1;13;2;2;0;16;18;9;15;26;19;6;3
;;4;van den Akker, E.I.;78;1;3;2;0;2;5;2;3;1;2;5;4;4;1;8;2;2;1;3;1;1;2;2;2;2;0;0;1;4;1;3;3;1;4;0
;;5;van de Leur, J.P.;178;8;2;9;8;0;3;2;4;3;0;1;2;1;0;0;0;0;0;0;0;3;0;2;112;3;0;0;0;4;3;0;4;2;1;1
;;6;Boks, D.G.A.;154;3;0;0;4;0;6;1;4;4;4;3;8;1;1;4;5;0;0;1;0;4;2;0;2;1;81;0;2;3;1;4;0;3;1;1
;;7;van Oers, J.J.J.;53;3;12;3;0;1;3;1;0;0;1;5;5;0;2;0;1;0;0;1;0;3;0;1;1;0;3;0;1;1;0;3;0;2;0;0
;;8;Meijer, M.A.E.;12;0;1;0;3;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
;;9;Westheim, R.J.W.P.;18;0;1;1;0;0;2;0;1;1;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;1;0;0
;;10;Bötzel, A.M.;15;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
