Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Drunen;Stembureau KC Wereldwijs, gymzaal;Stembureau De Remise;Stembureau Dillenburcht Sporthal 2;Stembureau D'n Elshof;Stembureau De Stulp (2);Stembureau Dillenburcht Sporthal 1;Stembureau De Stulp 1;Stembureau De Brug Gymzaal 1;Stembureau De Brug gymzaal 2;Stembureau De Schakel;Stembureau Seniorensociëteit;Stembureau Theater De Nieuwe schuur;Stembureau Wijkwinkel Oudheusden;Stembureau Gemeentehuis Vlijmen;Stembureau De Korf;Stembureau Sporthal Die Heygrave 1;Stembureau Sporthal Die Heygrave 2;Stembureau De Korf 2;Stembureau Het Patronaat;Stembureau De Steeg 1;Stembureau TTV Hooghei;Stembureau Sporthal Die Heygrave 3;Stembureau De Vennen gymzaal;Stembureau Het Water ontmoetingsruimte;Stembureau M.F.A. Caleidoscoop;Stembureau D'n Bork;Stembureau De Zandley;Stembureau Sint Janshof;Stembureau De Steeg 2;Stembureau Gemeentehuis Drunen (maandag);Stembureau Seniorensociëteit (maandag);Stembureau Gemeentehuis Vlijmen (maandag);Stembureau Het Patronaat (maandag);Stembureau D'n Elshof;Stembureau De Schakel;Stembureau De Steeg;Stembureau TTV Hooghei
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;28;29;30;32;101;112;115;120;205;211;221;222
Postcode;;;;;5151 JH;5151 ZK;5151 BM;5151 VW;5154 AK;5151 MR;5151 VW;5151 MR;5152 JB;5152 JB;5156 AH;5256 AD;5255 AB;5156 CJ;5251 ED;5251 AW;5251 CJ;5251 CJ;5251 AW;5253 AJ;5254 JD;5251 LB;5251 CJ;5151 CA;5152 GE;5251 NG;5253 AG;5151 HK;5251 BL;5254 JD;5151 JH;5256 AD;5251 ED;5253 AJ;5154 AK;5156 AH;5254 JD;5251 LB
;;13;van Zon, N.J.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;14;van der Ven, W.M.J.;53;4;0;3;0;2;0;0;0;0;0;0;0;1;0;5;0;0;0;0;18;0;0;1;0;0;4;5;0;0;0;2;0;0;6;0;0;0;2
;;15;Bouman, J.C.E.;8;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;16;van Drunen, G.C.A.;24;0;0;0;0;13;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0
;;17;Wibbelink, M.H.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;18;Hilwig, F.W.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Joosten, J.S.L.;30;1;1;0;0;1;0;0;1;0;2;0;1;1;0;6;1;0;1;0;0;0;3;0;0;0;5;1;0;0;1;0;0;1;1;0;0;1;1
;;20;Aardoom, J.Y.;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Taşkin, N.;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Peels, R.E.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0
;;23;Zoon, I.R.T.J. Zoon;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van den Bos, R.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Karaaslan, T.;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Heusden één;;;2107;130;81;94;19;42;79;40;77;63;62;14;23;40;17;244;53;96;81;45;60;49;45;67;35;48;118;15;1;1;48;70;1;109;12;26;9;36;57
;;1;van Weert, A.A.M.;546;27;14;22;2;10;15;6;12;10;5;4;12;15;8;94;20;27;24;12;18;6;16;17;2;6;52;7;0;0;8;9;0;27;4;3;6;7;19
;;2;van den Dungen, J.M.C.J.M.;290;8;7;7;0;0;7;5;4;10;7;2;1;5;0;42;19;20;16;15;9;5;4;11;0;5;27;2;0;1;3;5;0;17;2;3;1;7;13
;;3;Klerks, R.A.J.M.;194;22;20;7;4;1;15;6;16;10;15;3;1;3;0;0;0;0;1;0;5;3;1;1;8;17;2;0;0;0;3;16;0;3;1;9;0;0;1
;;4;van Helvoort, L.N.;230;7;3;6;0;6;3;2;13;3;4;3;2;7;1;41;5;16;6;8;9;7;11;5;1;1;13;0;0;0;12;7;0;10;2;0;0;9;7
;;5;van Gessel-Rechters, C.L.M.;72;7;7;8;2;15;3;0;1;3;1;0;1;0;2;1;0;0;0;1;2;1;1;1;1;0;2;1;1;0;0;5;0;2;0;2;0;0;1
;;6;van Aart, A.W.J.;104;1;0;3;0;0;1;1;1;2;1;0;0;0;0;18;2;17;19;1;0;1;2;14;0;0;0;0;0;0;0;0;0;13;1;0;0;2;4
;;7;Cantineau, A.M.E.;131;5;1;0;0;0;3;0;0;1;0;0;1;0;2;21;1;11;9;3;7;3;8;7;1;8;11;2;0;0;1;0;0;19;1;0;0;0;5
;;8;Moezel, R.H.H.;52;3;3;1;0;0;0;1;2;1;6;0;1;1;1;6;0;3;1;1;1;0;0;0;1;2;6;0;0;0;1;1;0;4;1;0;1;0;3
;;9;Sikkers, A.;151;17;16;13;7;0;14;13;15;11;9;0;0;0;0;0;0;0;0;0;0;2;0;0;12;5;1;0;0;0;2;8;0;1;0;4;1;0;0
;;10;de Bruijn, F.A.J.;42;2;1;0;0;0;1;1;0;3;2;0;0;0;0;12;1;0;3;2;0;0;1;3;0;0;1;0;0;0;0;1;0;5;0;0;0;0;3
;;11;Muskens, A.T.E.;102;8;5;17;3;5;13;1;6;4;6;0;0;0;0;1;2;0;0;0;4;1;0;0;6;1;1;1;0;0;0;10;0;2;0;5;0;0;0
;;12;Buisman, X.B.;24;0;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;8;0;2;2;0;0;0;0;0;5;0;0;0;0;0;0;2;0
;;13;Merkx, J.A.;29;4;0;5;0;0;1;0;2;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;2;1;1;0;0;0;6;0;0;0;0;0;0;0
;;14;Dusée, J.A.M.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;15;Merkx, E.A.M.;18;4;1;2;1;1;1;0;2;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Engelen, J.L.M.;36;12;1;1;0;0;2;3;2;2;3;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;0
;;17;van der Poel, M.G.M.;79;3;0;2;0;4;0;1;1;1;1;0;2;7;0;5;1;2;0;1;4;11;0;6;0;1;1;0;0;0;12;0;0;5;0;0;0;7;1
6;GROENLINKS / Partij van de Arbeid (P.v.d.A.);;;1546;122;39;66;22;27;44;31;64;59;56;22;57;46;14;164;20;42;31;21;50;20;23;35;44;50;91;14;1;1;18;79;14;70;17;11;13;21;27
;;1;Heesbeen, R.;487;27;11;20;10;10;11;10;22;18;14;7;15;11;5;75;4;12;10;5;17;4;10;12;15;10;31;3;0;0;1;30;0;31;3;3;8;3;9
;;2;Stevens, M.J.H.;510;26;10;20;6;7;9;8;14;19;14;5;24;15;6;63;12;18;15;13;20;6;8;10;9;14;36;5;1;1;8;21;12;27;2;2;2;10;12
;;3;Danse, H.M.J.M.;32;1;1;0;0;0;1;0;0;2;0;1;0;0;0;0;1;0;0;0;8;0;0;0;0;0;6;2;0;0;0;1;0;0;8;0;0;0;0
;;4;Kerrar, S.;43;0;1;3;0;1;3;0;1;0;2;4;3;0;0;3;0;3;2;1;0;0;1;6;1;0;4;0;0;0;1;1;0;2;0;0;0;0;0
;;5;ten Cate, F.;94;17;3;6;0;2;4;3;11;4;10;0;2;1;0;2;0;1;0;0;0;0;0;1;8;12;2;0;0;0;0;5;0;0;0;0;0;0;0
;;6;Timmermans, R.L.P.J.;58;7;1;4;1;0;3;4;1;2;2;1;4;1;0;3;0;1;1;0;1;0;1;1;3;3;3;0;0;0;0;4;0;0;0;1;1;2;2
;;7;van Leur, H.;99;6;2;4;2;0;1;0;5;0;0;4;8;16;1;6;2;3;2;1;3;4;2;5;2;0;2;1;0;0;0;3;2;4;1;2;2;1;2
;;8;Duives-Cahuzak, S.D.;31;1;0;0;1;0;2;0;1;0;1;0;0;0;2;4;1;2;0;0;0;5;0;0;0;0;1;0;0;0;5;0;0;2;0;0;0;3;0
;;9;van der Heijden, E.M.;53;13;4;2;0;2;3;3;3;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;5;0;0;0;1;0;0;0
;;10;van Nimmerdor, G.J.;6;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Dijk, A.M.;33;9;0;3;1;1;1;1;1;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;3;0;2;0;1;0
;;12;Dekker, E.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;2;0;0;1;0
;;13;van Himbergen, F.F.;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Jongmans, T.M.J.C.;5;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Dijk, R.;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;Peters-van Dijk, E.M.M.;52;10;2;1;1;4;1;1;2;3;2;0;0;1;0;1;0;1;0;0;0;0;1;0;3;4;2;3;0;0;0;5;0;1;1;0;0;0;2
;;17;de Wild, M.;25;0;4;1;0;0;4;1;0;4;2;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0
7;CDA;;;1340;112;37;49;18;19;52;19;62;49;45;26;167;32;24;115;13;16;13;19;29;9;15;21;18;56;30;10;9;5;12;63;42;50;16;14;17;18;19
;;1;Bol, C.M.A.;622;51;17;24;7;10;27;7;16;15;9;12;97;17;18;47;6;9;9;12;6;6;10;12;11;18;19;3;6;3;4;25;22;28;4;4;10;8;13
;;2;Schmiermann, M.J.;261;42;15;13;6;5;15;3;21;20;23;1;5;0;2;3;1;2;1;1;4;0;0;1;3;23;4;3;1;0;3;27;0;3;4;2;2;1;1
;;3;Tewes, R.D.W.;78;0;0;0;1;0;0;1;1;0;1;4;47;0;3;1;0;1;0;0;0;0;2;0;0;0;1;0;0;0;1;0;9;2;0;0;3;0;0
;;4;Verhoeven, S.A.M.;32;0;0;0;1;0;0;1;1;1;0;2;4;10;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;3;5;0;0;1;0;0;0
;;5;van Eeten, M.J.J.C.;47;4;1;9;1;2;2;3;7;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;4;0;0;2;0;0;4;0;0;0;2;0;0;1
;;6;Adu Opoku, I.O.K.;30;3;0;0;0;0;1;0;0;0;0;7;5;0;0;2;1;0;1;1;0;0;0;3;1;1;0;0;0;0;0;0;1;0;1;0;2;0;0
;;7;Luijben, J.P.;27;1;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;1;0;1;0;1;2;1;0;0;1;0;0;1;0;0;0;2;2;0;0;1;0
;;8;de Jong, J.C.;35;2;1;1;1;0;2;2;5;1;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;2;0;1;0;4;0;2;0
;;9;Kooyman, E.J.J.A.;34;0;0;0;0;2;0;0;0;1;3;0;0;0;0;2;0;0;0;0;16;0;0;3;0;0;1;3;0;0;0;0;0;0;3;0;0;0;0
;;10;de Bruijne, F.H.;55;0;0;0;0;0;0;0;0;0;0;0;2;0;0;36;4;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;6;0;0;0;0;1
;;11;van den Berge, W.G.J.;34;2;0;0;0;0;1;0;1;0;0;0;0;1;0;7;0;1;1;0;0;0;0;0;0;0;3;0;0;1;4;0;1;7;0;0;0;2;2
;;12;Berger, R.;21;1;2;1;0;0;0;0;2;3;1;0;0;0;0;0;1;0;0;1;0;0;0;0;3;2;0;0;0;0;0;1;0;0;2;0;0;0;1
;;13;Pijnenborg, J.J.A.M.;26;3;1;1;0;0;3;1;8;3;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Janson, C.A.;8;1;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0
;;15;de Jongh, C.F.J.;15;0;0;0;1;0;0;0;0;3;2;0;3;0;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Nieuwkerk, J.;15;2;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0
8;D66;;;784;78;21;30;9;21;32;15;36;25;29;6;24;40;7;72;7;17;22;3;18;11;12;14;13;24;34;7;0;0;10;30;7;51;5;14;8;12;20
;;1;van de Beek, H.P.J.;308;41;11;14;4;0;20;5;17;9;17;2;8;15;1;25;2;4;10;1;10;3;1;4;7;9;12;2;0;0;2;15;4;17;1;4;3;2;6
;;2;Kolmans, I.G.C.;274;19;8;14;5;21;8;8;14;9;9;3;6;6;4;20;4;4;6;2;6;4;4;4;4;10;10;3;0;0;7;10;2;12;2;7;2;7;10
;;3;Gorter, A.J.;45;7;1;1;0;0;1;0;1;1;1;0;4;2;2;8;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;1;0;4;0;3;0;1;1
;;4;van Oyen, J.A.L.;41;0;0;0;0;0;0;0;0;1;0;0;0;1;0;7;1;4;3;0;0;2;4;4;0;0;5;0;0;0;0;0;0;8;0;0;0;0;1
;;5;Palinckx, S.M.H.;47;1;0;1;0;0;0;1;1;2;2;1;4;16;0;2;0;1;1;0;1;0;1;1;0;0;2;1;0;0;0;1;1;1;0;0;3;2;0
;;6;Habraken, N.W.M.;12;2;0;0;0;0;1;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
;;7;Nabben, J.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;8;Vergroesen, T.A.;9;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;9;Linssen, S.W.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Vonk, J.W.;17;4;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0
;;11;van Gorp, B.J.M.;9;2;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;12;Lanser, P.A.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;13;Bekke, J.A.;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;1
9;Heusden Verbindt;;;917;54;16;30;10;18;21;7;7;12;30;10;9;25;1;131;14;33;36;21;31;13;33;41;11;25;94;8;1;0;20;16;3;52;5;8;13;13;45
;;1;Aarts, A.H.;522;21;7;9;5;5;11;3;1;4;7;6;4;7;1;115;11;26;32;18;22;7;12;34;4;6;30;5;0;0;13;4;2;45;4;2;2;8;29
;;2;Verhoeven, J.A.M.;164;18;6;10;1;9;5;2;3;3;14;1;5;18;0;5;0;1;1;1;3;2;0;0;4;16;2;3;1;0;3;8;1;0;0;4;9;5;0
;;3;van der Ven, A.M.M.;41;8;1;5;2;3;3;2;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;1;0;2;0;0;1
;;4;Mudde, I.A.;164;6;2;6;2;0;0;0;0;1;2;2;0;0;0;10;2;5;3;2;6;3;19;2;2;1;56;0;0;0;4;4;0;6;1;0;2;0;15
;;5;Shoul, A.;26;1;0;0;0;1;2;0;1;1;4;1;0;0;0;1;1;1;0;0;0;1;2;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
