Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Drunen;Stembureau KC Wereldwijs, gymzaal;Stembureau De Remise;Stembureau Dillenburcht Sporthal 2;Stembureau D'n Elshof;Stembureau De Stulp (2);Stembureau Dillenburcht Sporthal 1;Stembureau De Stulp 1;Stembureau De Brug Gymzaal 1;Stembureau De Brug gymzaal 2;Stembureau De Schakel;Stembureau Seniorensociëteit;Stembureau Theater De Nieuwe schuur;Stembureau Wijkwinkel Oudheusden;Stembureau Gemeentehuis Vlijmen;Stembureau De Korf;Stembureau Sporthal Die Heygrave 1;Stembureau Sporthal Die Heygrave 2;Stembureau De Korf 2;Stembureau Het Patronaat;Stembureau De Steeg 1;Stembureau TTV Hooghei;Stembureau Sporthal Die Heygrave 3;Stembureau De Vennen gymzaal;Stembureau Het Water ontmoetingsruimte;Stembureau M.F.A. Caleidoscoop;Stembureau D'n Bork;Stembureau De Zandley;Stembureau Sint Janshof;Stembureau De Steeg 2;Stembureau Gemeentehuis Drunen (maandag);Stembureau Seniorensociëteit (maandag);Stembureau Gemeentehuis Vlijmen (maandag);Stembureau Het Patronaat (maandag);Stembureau D'n Elshof;Stembureau De Schakel;Stembureau De Steeg;Stembureau TTV Hooghei
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;28;29;30;32;101;112;115;120;205;211;221;222
Postcode;;;;;5151 JH;5151 ZK;5151 BM;5151 VW;5154 AK;5151 MR;5151 VW;5151 MR;5152 JB;5152 JB;5156 AH;5256 AD;5255 AB;5156 CJ;5251 ED;5251 AW;5251 CJ;5251 CJ;5251 AW;5253 AJ;5254 JD;5251 LB;5251 CJ;5151 CA;5152 GE;5251 NG;5253 AG;5151 HK;5251 BL;5254 JD;5151 JH;5256 AD;5251 ED;5253 AJ;5154 AK;5156 AH;5254 JD;5251 LB
;;5;van Baardwijk, R.W.J.;174;3;0;1;0;3;2;0;0;0;1;0;0;1;0;8;1;2;2;6;57;2;7;2;0;1;11;27;0;0;3;2;0;0;14;1;0;3;14
;;6;van Ruremonde, E.A.J.;202;13;3;3;0;6;4;2;0;2;0;1;0;1;1;37;4;17;10;1;8;6;5;13;0;1;16;2;0;0;2;4;1;21;2;1;1;7;7
;;7;van den Bosch, H.W.A.M.;149;5;3;5;0;0;2;0;2;0;1;1;2;1;1;25;10;5;6;6;4;5;3;9;3;2;11;1;0;0;4;1;0;14;1;2;1;6;7
;;8;de Hart, B.F.M.;27;0;2;1;6;1;1;1;0;2;0;0;4;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0
;;9;van Delft, A.L.J;360;88;21;37;4;8;23;8;32;14;15;1;7;2;2;2;1;3;2;0;3;0;0;0;19;12;2;1;0;0;2;48;0;2;0;1;0;0;0
;;10;van Os, T.A.A.;189;7;2;1;0;1;0;0;1;0;0;0;4;4;0;38;7;10;10;2;11;10;7;11;0;0;16;4;0;0;6;0;0;17;3;0;1;7;9
;;11;Esser, R.F.J.M.;33;1;0;1;0;0;1;2;1;0;0;0;0;0;0;4;1;3;4;2;1;0;0;1;0;0;2;1;0;0;0;3;0;1;2;0;0;0;2
;;12;Melissen, T.H.;31;0;1;2;1;0;8;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;0;2
;;13;de Folter-Sebregts, M.F.J.;116;19;13;16;2;4;0;0;2;4;10;0;1;0;2;1;1;1;1;1;1;0;1;0;0;5;1;0;2;0;0;18;0;2;1;7;0;0;0
;;14;Fitters, T.;37;2;0;0;0;0;0;0;0;0;0;7;4;9;5;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;3;0;0;0;4;0;0
;;15;van Gestel, A.Q.M.;45;0;1;0;0;2;0;0;0;1;1;6;15;3;5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;1;0;0;4;0;0
;;16;Fitters, B.;65;1;1;0;0;0;0;0;0;0;0;20;7;3;12;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;8;0;0;0;9;0;0
;;17;van den Hoven, A.C.M.;55;8;2;0;5;14;4;0;4;0;4;0;0;0;0;0;0;0;0;0;3;1;0;0;2;1;1;1;0;0;1;1;0;0;0;1;1;1;0
;;18;van Wijck, D.Q.;17;0;0;0;0;0;0;0;2;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;5;0;0
;;19;Herman, W.T.T.M.;93;0;0;2;1;1;0;0;0;0;1;0;0;0;1;6;0;4;2;0;3;1;5;2;2;0;38;0;0;0;3;3;0;16;0;0;0;0;2
3;Heusden Transparant;;;1869;158;116;148;28;128;68;35;72;72;63;62;27;28;51;125;14;14;21;17;41;21;15;33;44;91;43;22;6;2;14;111;6;43;12;42;36;21;19
;;1;van der Heijden, L.A.J.;462;21;15;23;3;10;13;10;19;4;14;6;7;16;8;74;11;7;16;11;7;8;7;13;11;16;22;9;3;0;2;16;2;26;6;7;3;7;9
;;2;van der Lee, F.A.;275;22;21;32;6;32;11;5;11;11;11;0;7;1;0;6;0;4;0;0;6;4;0;4;6;11;2;4;1;0;2;30;0;2;3;8;1;8;3
;;3;Kleian, H.J.;105;7;3;7;0;1;1;0;6;2;1;1;2;0;2;20;2;0;1;4;0;0;1;4;5;3;7;2;0;1;5;0;0;8;0;1;3;0;5
;;4;van der Steen, L.H.F.;266;41;17;46;7;8;14;9;12;24;13;1;0;0;0;5;1;3;0;2;8;1;0;2;3;13;5;1;0;0;1;20;0;0;1;5;1;2;0
;;5;Didden, R.J.G.;171;26;15;11;2;5;9;3;9;16;9;0;2;0;0;1;0;0;1;0;3;0;1;0;11;19;0;0;2;0;1;18;0;1;2;2;0;2;0
;;6;Couwenberg- de Wolf, P.J.T.H.;127;2;1;2;2;1;0;0;2;0;0;39;5;4;26;6;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;4;4;1;0;0;24;0;1
;;7;Aerts, H.H.W.;76;4;3;2;2;36;4;0;1;3;0;0;0;1;0;0;0;0;0;0;0;3;1;2;1;2;0;1;0;0;1;4;0;0;0;5;0;0;0
;;8;Musters, M.M.A.J.;79;2;18;6;0;15;1;0;1;0;2;0;1;4;4;2;0;0;0;0;4;3;0;0;1;3;1;0;0;0;0;1;0;0;0;7;2;0;1
;;9;van Iersel, A.J.J.;180;28;14;11;6;19;11;5;9;4;5;2;1;2;2;4;0;0;0;0;7;1;3;5;4;15;3;1;0;0;1;9;0;3;0;5;0;0;0
;;10;Berkelmans, D.J.L.;34;2;0;0;0;0;0;0;0;1;1;12;1;0;7;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0
;;11;van Bladel, R.A.;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;2;0;0;1;1;2;0;0;0;0;0;1;0
;;12;Vooijs, T.;37;2;1;3;0;0;2;3;0;4;4;0;0;0;2;0;0;0;0;0;0;0;1;1;1;8;0;0;0;0;0;5;0;0;0;0;0;0;0
;;13;de Gier, E.C.H.C.T.;14;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;4;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0
;;14;van Esch, H.L.R.F.;17;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;2;0;0;0;2;0;0;0
;;15;Boersma, R.;13;1;1;0;0;0;2;0;2;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
4;VVD;;;1830;128;21;86;26;81;57;20;54;51;43;18;58;98;20;158;18;39;40;16;183;29;30;34;23;72;49;63;5;0;15;62;17;61;42;35;20;24;34
;;1;Blankers, T.A.H.M.;1048;74;12;45;10;37;31;12;35;25;21;9;34;24;13;83;9;27;26;9;144;19;13;16;8;53;26;51;2;0;9;39;7;33;30;22;9;16;15
