Verkiezing;;Gemeenteraad Drimmelen 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Drimmelen;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1719;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Made;Stembureau Cultureel Centrum De Mayboom;Stembureau Zorgcentrum De Wijngaerd;Stembureau De Duinpan;Stembureau Sporthal De Amerhal;Stembureau Portakabin parkeerplaats Albert Heijn;Stembureau Ons Dorpshuys;Stembureau Ontmoetingscentrum De Zonzeel;Stembureau Brandweerkazerne;Stembureau Brasserie 't Appeltje;Stembureau Sporthal Driedorp;Stembureau Witte Kerkje Terheijden;Stembureau Portakabin nabij Basisschool De Zeggewijzer;Stembureau Portakabin nabij Basisschool De Windhoek;Stembureau Gemeentehuis Made (maandag);Stembureau Brasserie 't Appeltje (maandag);Stembureau Sporthal Driedorp (maandag);Stembureau Witte Kerkje Terheijden (maandag);Stembureau Gemeentehuis Made (dinsdag);Stembureau Brasserie t Appeltje (dinsdag);Stembureau Sporthal Driedorp (dinsdag);Stembureau Witte Kerkje Terheijden (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;101;110;111;112;201;210;211;212
Postcode;;;;;4921 BV;4921 BB;4921 JC;4921 EJ;4921 EV;4921 CZ;4924 ER;4927 BD;4926 AH;4926 RA;4845 EC;4844 CA;4844 RD;4844 SL;4921 BV;4926 RA;4845 EC;4844 CA;4921 BV;4926 RA;4845 EC;4844 CA
;;12;Damen, P.J.D.;17;1;0;0;1;0;0;0;1;0;0;0;6;3;3;2;0;0;0;0;0;0;0
;;13;Smits, E.E.M.;13;2;3;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0
;;14;Geurts, M.;22;0;1;0;0;1;0;0;0;0;0;1;14;4;0;0;0;0;1;0;0;0;0
;;15;van Eijsbergen, I.;15;0;1;1;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;16;de Heijde, A.A.;11;1;3;0;0;2;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0
;;17;Meijwaard, J.A.;28;2;4;1;2;1;0;13;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0
;;18;Dubbelman, P.A.;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0
;;19;Kavelaars, B.C.D.;23;0;0;0;0;0;0;0;1;11;7;0;1;0;0;0;1;0;0;0;2;0;0
;;20;Havermans, R.A.C.J.;15;0;0;0;0;0;0;0;8;2;1;0;1;0;0;0;0;0;0;0;0;3;0
;;21;Smits, S.J.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;22;Luijten, J.S.;15;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;1;0;0;2;2;0;0
;;23;Hoevenaar, J.A.M.;12;0;1;1;0;2;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Dis, H.;14;1;2;0;0;1;0;0;1;3;1;0;2;0;0;0;3;0;0;0;0;0;0
4;Groen Drimmelen (VP/D66);;;2391;199;210;99;107;155;92;53;124;71;75;125;226;112;82;114;29;27;96;189;35;37;134
