Verkiezing;;Gemeenteraad Drimmelen 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Drimmelen;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1719;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Made;Stembureau Cultureel Centrum De Mayboom;Stembureau Zorgcentrum De Wijngaerd;Stembureau De Duinpan;Stembureau Sporthal De Amerhal;Stembureau Portakabin parkeerplaats Albert Heijn;Stembureau Ons Dorpshuys;Stembureau Ontmoetingscentrum De Zonzeel;Stembureau Brandweerkazerne;Stembureau Brasserie 't Appeltje;Stembureau Sporthal Driedorp;Stembureau Witte Kerkje Terheijden;Stembureau Portakabin nabij Basisschool De Zeggewijzer;Stembureau Portakabin nabij Basisschool De Windhoek;Stembureau Gemeentehuis Made (maandag);Stembureau Brasserie 't Appeltje (maandag);Stembureau Sporthal Driedorp (maandag);Stembureau Witte Kerkje Terheijden (maandag);Stembureau Gemeentehuis Made (dinsdag);Stembureau Brasserie t Appeltje (dinsdag);Stembureau Sporthal Driedorp (dinsdag);Stembureau Witte Kerkje Terheijden (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;101;110;111;112;201;210;211;212
Postcode;;;;;4921 BV;4921 BB;4921 JC;4921 EJ;4921 EV;4921 CZ;4924 ER;4927 BD;4926 AH;4926 RA;4845 EC;4844 CA;4844 RD;4844 SL;4921 BV;4926 RA;4845 EC;4844 CA;4921 BV;4926 RA;4845 EC;4844 CA
;;7;Raes, J.C.M.;15;3;2;2;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;4;0;0;0
;;8;van Schie, J.J.P.;26;1;2;3;0;1;1;1;9;0;0;1;0;2;1;2;0;0;0;0;0;0;2
;;9;Oome, J.W.A.A.;14;2;1;2;0;5;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0
;;10;Jhr. Smits van Oyen, G.S.C.;6;0;0;0;1;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van den Heykant, G.H.M.;12;0;6;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Weterings, C.F.M.;18;1;0;2;0;2;0;0;1;3;1;1;5;0;0;0;0;0;0;2;0;0;0
;;13;Goos, A.C.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
;;14;Knoop, C.A.;8;3;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hop, A.J.M.;7;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Smits, P.W.J.;8;1;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;17;Jhr. Smits van Oyen, J.M.P.;4;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;Partij van de Arbeid (P.v.d.A.);;;612;27;70;44;31;35;17;17;53;20;35;22;40;8;20;34;12;4;13;54;21;10;25
;;1;de Bruijne, J.D.C.;358;21;49;25;17;19;10;14;24;6;9;14;27;7;14;23;3;2;8;32;16;3;15
;;2;van Gurp, P.H.J.;68;1;13;6;3;7;3;1;4;0;0;5;0;0;1;5;0;0;0;13;0;5;1
;;3;Vaessen, C.M.;26;0;1;0;1;1;0;0;0;8;7;0;0;0;0;0;5;0;0;0;2;0;1
;;4;Kupper, C.R.W.J.;23;0;0;1;0;0;0;0;20;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;5;van den Biggelaar, P.P.C.;40;3;5;11;4;3;1;1;2;0;2;0;2;0;0;0;0;0;0;6;0;0;0
;;6;Krischer, L.A.H.;16;1;0;0;0;0;0;0;1;0;0;1;4;1;1;0;0;0;0;0;1;0;6
;;7;den Hoed, J.;9;0;0;1;1;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0
;;8;Vrolijk, M.P.;9;0;0;0;1;1;1;0;1;0;0;0;0;0;0;3;0;0;1;1;0;0;0
;;9;Schelfhout, L.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Reniers, J.P.A.;7;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0
;;11;Smit, K.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Klein Overmeen, M.J.M.;10;0;0;0;1;1;0;0;0;0;2;0;2;0;1;0;0;0;2;0;0;0;1
;;13;van de Werken, W.;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Tuinzaad, B.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hamelink, M.;7;0;0;0;0;0;0;0;0;0;1;0;2;0;3;0;0;0;1;0;0;0;0
;;16;Krischer-van Heel, P.T.M.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;van Dijk, J.C.A.;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Kock, J.C.M.;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1
;;19;Zasburg, J.C.;28;0;1;0;1;2;2;1;1;6;7;0;0;0;0;1;4;0;0;0;2;0;0
7;SAMEN Drimmelen;;;894;61;64;42;28;66;33;20;54;72;41;48;86;30;46;28;25;7;21;46;19;11;46
;;1;Selders, F.M.L.;439;37;41;26;18;53;16;7;24;29;19;21;23;12;21;9;10;3;10;31;5;5;19
;;2;van der Vlist, J.;69;1;1;1;0;0;1;2;11;16;7;5;6;1;2;2;4;0;0;2;5;1;1
;;3;van Meel, C.W.W.G.;65;8;9;7;5;5;6;1;1;0;0;3;1;1;0;7;0;0;0;7;0;4;0
;;4;Visseren-van Geloof, E.A.H.M.;63;4;2;2;0;4;0;0;0;19;9;3;2;1;0;1;7;1;3;0;3;0;2
;;5;van Wezel-Broere, A.I.J.;101;0;0;1;0;0;3;0;0;1;1;1;37;15;16;2;0;0;4;0;0;0;20
;;6;Visseren, D.J.G.;15;0;0;0;1;0;0;0;0;4;4;0;1;0;0;0;1;0;0;0;4;0;0
;;7;Tak-Broere, C.H.W.;7;1;0;0;0;0;2;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0
;;8;Damen-Pinxteren, J.J.M.;20;2;0;0;1;0;0;2;0;1;0;9;2;0;0;0;0;2;0;0;0;1;0
;;9;Schellekens, A.C.;16;0;2;1;1;0;0;0;0;0;0;2;6;0;2;0;0;0;1;0;0;0;1
;;10;van Bragt, E.;16;3;2;1;0;1;1;0;0;0;0;2;1;0;1;3;0;0;0;1;0;0;0
;;11;Bolleboom, A.H.E.;9;0;1;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;van Geloof-Mouwen, A.J.A.;5;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0
;;13;van der Kleijn, A.A.H.;21;1;0;0;0;0;0;0;18;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;14;van Meel, A.P.C.;12;0;4;0;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0
;;15;Manders-Koopmans, J.T.;7;2;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
;;16;Tak, A.P.A.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;17;van Meel-Scheifes, L.L.M.;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0
;;18;van Vliet, J.A.;13;1;0;0;0;0;1;0;0;1;0;0;4;0;2;0;0;0;2;0;0;0;2
;;19;Selders, C.P.T.A.;9;1;1;2;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
