Verkiezing;;Gemeenteraad Etten-Leur 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Etten-Leur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Van Gogh Kerk;Trouwkerkje;Het Turfschip;Van Gogh Kerk 2;Van Gogh Kerk;Trouwkerkje;Het Turfschip;Van Gogh Kerk 2;Van Gogh Kerk;Zwembad De Banakker;Avoord Zorg en Wonen;Smeltkroes De Keen;ARV Achilles;Wijkgebouw Ut Praotuis;Hockeyclub Etten-Leur;Rugbyclub Etten-Leur;Wijkgebouw De Linde;Tafeltennishal Tanaka;Gemeentewerf;Wijkgebouw De Gong;Brede School De Vleer;Trouwkerkje;Het Turfschip;Zwembad De Banakker 2;Van Gogh Kerk 2;Het Turfschip 2;Basisschool De Hasselbraam;Basisschool De Klankhof;Brede School De Vleer 2;Mobiel Stembureau
;;11;van Bergen, F.A.;123;1;9;9;1;3;13;0;0;2;0;2;2;0;5;1;1;5;3;2;4;9;11;5;1;3;2;2;0;27;0
;;12;Troost, J.C.;14;0;0;2;0;0;0;0;0;1;0;1;0;0;3;1;1;0;0;0;2;0;1;1;0;0;0;1;0;0;0
;;13;Goossens, M.M.F.A.C.;47;0;2;0;3;1;2;0;3;3;3;0;0;3;5;0;3;1;0;2;1;3;4;1;0;3;2;2;0;0;0
;;14;Mucharowski, J.S.;14;0;0;0;0;0;0;0;0;0;0;2;0;6;1;0;0;0;3;0;1;0;0;0;0;0;1;0;0;0;0
;;15;Pappelendam, J.G.;12;0;4;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
;;16;van Peer, N.A.M.;11;0;0;0;0;2;1;0;1;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;17;Roeloffs, W.K.;27;0;1;0;0;0;2;1;0;1;0;2;3;0;1;0;0;3;0;0;2;1;8;1;0;0;0;0;1;0;0
;;18;Heeren, R.G.C.;14;0;0;0;1;1;0;0;1;0;0;3;0;0;4;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0
;;19;van der Kruijk, E.Q.;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;20;Loos, M.J.W.;11;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;4;0;1;1;0;0;1;1;0
;;21;Teunissen, A.M.;10;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0
;;22;Raaijmakers, B.H.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;23;Poppelaars, L.;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;24;Luijkx, J.A.W.;10;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0
;;25;van der Heijden, T.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;26;Kleemans, C.A.J.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;27;Naalden, C.F.A.;7;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;28;Noordijk, C.A.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Dirven, A.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
;;30;Görtemöller, J.F.W.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Vermunt, W.B.M.;7;0;0;0;0;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;32;Schouw, A.P.M.A.;352;11;13;2;11;19;19;2;12;13;4;12;10;21;29;21;8;8;17;13;17;12;22;6;4;19;9;3;0;13;2
;;33;van Iersel, F.J.A.;16;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;2;0;2;0;3;1;0;1;1;0;0;0;0
2;CDA;;;2947;65;96;36;63;103;187;63;90;126;34;110;91;178;306;128;53;78;63;117;153;71;236;80;45;149;93;15;6;63;49
;;1;van Hulst, J.;914;23;32;13;19;26;52;19;33;43;8;36;38;66;64;39;22;16;20;38;35;33;72;22;11;52;34;1;3;29;15
;;2;de Weert, G.J.A.M.;249;3;7;4;4;13;23;2;8;16;2;9;6;10;29;9;4;7;3;8;15;5;17;7;6;14;8;2;0;7;1
;;3;Nooijens-Brans, M.J.H.;404;11;6;1;8;12;34;7;12;10;1;8;9;12;81;43;7;2;8;17;26;7;20;9;8;19;11;3;0;7;5
;;4;Bierkens-Engbers, C.L.E.;83;3;2;2;5;5;5;0;3;3;1;1;3;2;7;0;1;2;3;15;8;3;3;2;0;3;0;0;0;0;1
;;5;Buiks, R.P.A.F.;513;10;25;11;10;21;45;23;10;14;3;16;13;23;43;12;9;6;12;15;14;7;71;33;6;20;26;7;0;7;1
;;6;Ernest-Rutten, C.E.F.;41;0;2;0;0;2;3;0;0;1;0;11;1;2;1;0;0;0;1;1;2;2;6;0;0;2;3;0;0;1;0
;;7;Hoevenberg-Aerts, C.C.J.;160;5;5;1;7;9;4;0;15;11;2;2;0;7;28;5;1;15;2;5;6;1;3;0;2;8;1;1;1;1;12
;;8;Lambregts, M.F.;155;2;7;1;2;4;9;3;2;6;4;12;7;21;11;5;2;5;3;1;18;4;8;0;1;7;3;0;0;1;6
;;9;de Hoon, A.J.M.;57;1;1;0;0;1;0;2;1;2;1;2;2;4;6;0;1;2;2;8;5;2;6;0;2;2;1;1;0;1;1
;;10;Matthijssen, A.;15;1;0;0;0;0;1;0;0;2;0;0;0;0;1;4;1;0;0;1;0;3;1;0;0;0;0;0;0;0;0
;;11;Vermunt, J.J.A.W.;48;0;1;1;0;1;3;3;0;1;0;3;3;0;9;2;1;0;4;1;0;0;8;1;1;2;0;0;0;1;2
;;12;Özçelik, A.;97;1;0;0;0;2;0;0;1;10;7;3;4;17;3;1;2;10;0;2;11;0;6;0;4;9;1;0;2;1;0
;;13;de Regt, P.C.;17;1;0;0;1;3;0;0;1;0;0;0;0;0;0;0;1;5;0;0;0;0;3;0;0;2;0;0;0;0;0
;;14;van Steen, K.;17;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;0;2;1;0;1;1;0;0;2;4
;;15;Borghouts, I.W.A.M;12;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;4;1;1;1;0;0;0;0;0
;;16;van Peer, C.M.J.;20;0;1;1;0;0;3;1;0;0;0;2;0;4;0;0;0;1;0;0;1;2;2;0;0;0;0;0;0;2;0
;;17;de Wit, S.J.;9;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0
;;18;Anink, B.F.J.G.;8;0;0;0;1;0;1;0;0;0;0;0;1;0;2;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
;;19;van den Wijngaart, R.M.;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3;0;0;1;0
;;20;van den Maagdenberg, B.J.;15;0;4;0;0;1;0;0;0;0;1;3;0;0;3;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0
;;21;Veraart, J.C.J.M.;5;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Sweep, G.A.M.;38;0;0;0;0;2;0;1;0;0;2;0;0;0;13;4;0;2;0;2;4;0;2;0;1;3;1;0;0;0;1
;;23;van Alphen, J.W.P.H.;4;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;24;Starink, R.J.H.;8;0;0;0;2;1;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;25;Ploegaert, P.R.M.;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Groeneveld, A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Koster, M.L.;6;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;28;Melisse, J.;12;1;0;0;3;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0
;;29;van Dorst, C.A.;28;1;2;1;0;0;1;1;1;1;0;1;2;6;0;1;0;1;2;0;1;2;1;2;0;0;0;0;0;1;0
3;Ons Etten-Leur;;;3088;61;122;64;94;90;200;39;99;150;41;136;92;168;173;76;19;84;97;100;269;108;271;81;48;161;65;27;30;113;10
;;1;Huijbregts, D.D.J.;1578;31;64;31;52;48;117;17;50;67;23;63;43;88;74;39;10;39;54;49;134;57;154;45;31;71;37;18;12;56;4
;;2;Verwijmeren, M.J.;235;1;7;5;3;8;6;2;6;14;2;15;5;9;26;14;1;3;7;7;18;15;13;7;3;18;1;1;2;16;0
;;3;Boeren-Tak, C.C.A.M.;332;12;21;5;11;14;32;5;12;11;2;12;11;26;20;5;1;8;4;17;27;9;23;4;7;14;5;0;1;12;1
;;4;Menheere, E.J.L.;60;3;3;0;2;0;2;0;2;4;3;6;2;6;7;0;0;1;0;1;5;1;3;0;0;4;1;0;3;1;0
;;5;Landman, N.C.K.;53;0;1;2;1;0;7;0;2;0;1;3;1;2;2;0;0;0;3;3;9;1;3;6;1;0;1;0;0;4;0
;;6;Vaarwerk, B.G.E.;28;0;1;0;0;1;2;1;2;0;1;2;2;0;1;0;0;0;1;0;3;2;3;0;0;4;0;0;0;2;0
;;7;Snel, E.A.P.;173;8;3;3;2;4;5;2;9;18;1;9;2;8;11;4;0;13;2;3;27;6;11;1;1;13;2;0;0;5;0
;;8;Verwijmeren, H.C.M.;38;0;4;3;0;0;0;0;1;2;1;0;1;2;5;1;0;0;0;1;5;0;4;0;0;1;0;2;2;1;2
;;9;Trouw, J.J.M;100;3;1;2;3;1;4;4;6;5;1;6;7;4;1;3;2;3;6;7;6;0;7;2;1;9;2;0;3;1;0
;;10;Braspenning, L.P.;31;0;0;1;4;0;1;0;1;4;0;0;0;0;5;1;0;0;0;1;0;4;5;1;0;1;0;0;1;1;0
;;11;Marijnissen-Oostenrijk, B.J.B.;33;0;2;1;0;0;0;0;0;0;0;2;2;4;1;1;0;2;0;0;7;1;5;3;0;2;0;0;0;0;0
;;12;de Winter-van Leeuwen, A.H.;25;1;2;1;0;1;0;0;0;0;0;2;0;4;1;1;1;3;0;0;2;0;4;1;0;1;0;0;0;0;0
;;13;Kruis, B.I.E.;9;0;0;0;1;0;1;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
;;14;Willemsen, L.M.A.C.;20;0;3;0;0;4;1;0;0;1;0;0;0;1;0;0;0;1;2;3;0;0;1;0;0;3;0;0;0;0;0
;;15;Vaarwerk, E.W.;8;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0
;;16;Verwijmeren, L.;64;0;3;0;1;0;5;3;1;7;0;2;1;1;4;2;3;3;1;1;4;3;13;1;0;1;0;0;0;4;0
;;17;Marcinkowski, S.J.L.;16;1;0;1;4;0;0;1;0;1;0;1;0;2;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Lambregts, S.P.G.G.J.;21;0;0;0;0;1;1;0;1;0;1;1;1;4;1;0;1;0;0;0;2;2;0;0;0;0;1;3;0;1;0
;;19;Spijkerman, M.W.A.;8;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;0;0
;;20;Mulders, W.M.;16;0;0;0;3;0;0;0;1;0;0;1;0;0;6;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0
;;21;Hopstaken, R.J.;18;0;1;0;0;0;0;2;0;0;0;0;3;2;0;1;0;0;0;0;0;2;1;1;0;0;2;0;3;0;0
;;22;van Dokkum-van der Hoek, J.;9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;1;0;0;0;0
;;23;van Agtmaal, G.J.A.P.;11;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;1;0;0;2;0;0;0;1
;;24;van den Oever, C.J.D.M.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;25;van Thoor, V.C.A.M.;26;0;1;1;0;0;0;0;0;2;0;0;6;0;0;1;0;0;6;0;3;1;2;1;0;0;0;0;1;0;1
;;26;van Oosterhout, J.P.M.;7;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;27;Kalanja, D.;18;1;0;0;2;1;0;0;1;3;0;0;1;0;0;0;0;0;0;0;3;0;1;0;0;5;0;0;0;0;0
;;28;Pruijssers, R.E.;9;0;0;0;0;1;0;0;0;1;0;4;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;29;Marcinkowski, R.;12;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;2;0;1;1;0;0;0;1;2;0;0;0;1;0
;;30;Huijbregts, H.C.;9;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0
;;31;Vaarwerk, K.N.;13;0;1;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;0;0;0;1;0
;;32;Lockx, D.J.J.M.;37;0;0;2;2;1;6;1;0;0;2;2;0;0;2;0;0;2;7;0;2;1;1;2;1;0;2;1;0;0;0
;;33;Kilsdonk, J.G.;22;0;3;1;0;0;2;1;1;1;0;0;1;0;0;0;0;0;0;1;2;0;2;1;0;2;2;0;1;1;0
;;34;Willemsen, A.F.E.;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0
;;35;Bastiaansen, A.J.;38;0;1;2;1;0;1;0;0;4;1;2;2;1;2;0;0;1;0;0;1;2;5;1;0;2;4;2;0;2;1
4;GROENLINKS / Partij van de Arbeid (P.v.d.A.);;;2048;66;84;45;53;67;133;40;74;87;17;62;50;121;120;73;48;58;87;67;164;69;160;41;15;97;39;13;27;62;9
;;1;Maes, D.;1302;46;57;24;36;43;89;27;50;38;12;43;31;94;83;54;29;35;44;40;102;36;95;33;10;60;27;11;20;27;6
;;2;Wierema, J.E.T.;176;6;3;6;6;8;15;2;5;14;3;2;4;7;6;4;2;12;11;7;16;5;10;2;1;5;3;1;1;9;0
;;3;Aerts, D.H.C.M.;85;5;1;4;6;5;4;1;2;7;0;3;0;0;3;1;1;2;2;5;7;6;7;2;1;6;1;0;0;3;0
;;4;Jacobs, S.P.J.M.;58;1;7;1;0;2;6;2;1;2;0;1;2;0;1;3;3;0;8;1;3;1;3;0;1;2;2;0;0;5;0
;;5;van den Andel, G.P.C.;11;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;3;1;1;0;1;2;0;0;0;0;0
;;6;Gesser, L.C.;9;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
;;7;van Dravik, E.H.M.;157;2;6;5;2;1;7;0;6;10;1;6;3;8;11;7;2;4;10;5;10;6;15;4;0;10;4;0;4;8;0
;;8;Huijskens, R.W.M.;20;1;0;2;0;0;1;1;0;0;0;1;2;1;0;0;0;1;1;2;3;1;2;0;0;1;0;0;0;0;0
;;9;van der Ham, J.W.J.;15;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;4;0;0;0;2;1;3;0;0;0;0;0;1;1;0
;;10;Gentle, L.F.;26;0;1;0;0;0;2;0;1;4;0;1;1;0;3;0;0;1;3;0;1;3;2;0;0;3;0;0;0;0;0
;;11;van Roekel, M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Aerts-van der Kuijl, A.;18;0;1;0;0;0;0;1;3;0;0;1;1;1;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;1;1
;;13;Creusen, J.W.;14;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;2;3;0;0;0;0;1;0;1;0
;;14;Steenbruggen, G.A.;9;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;0
;;15;Quaijtaal, J.L.M.;33;1;0;0;0;1;1;0;1;0;0;0;3;1;4;0;1;1;2;1;2;4;3;0;1;4;1;0;0;1;0
;;16;Karssen, A.M.;7;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;17;Otten, H.J.;9;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1
;;18;Legêne, C.C.;13;0;0;2;0;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1
;;19;Bartels, M.J.;7;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;van der Kuijl, C.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;21;Schuller, A.A.;7;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0
;;22;Heijdens-Graafland, E.J.;7;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
;;23;Eggenkamp, E.J.;61;1;8;1;0;3;3;0;4;2;0;3;2;5;2;1;2;1;3;1;8;2;3;0;0;1;1;0;1;3;0
5;VVD;;;2194;47;96;38;47;46;136;56;58;71;25;101;102;115;135;109;62;39;63;67;138;43;214;111;22;71;100;12;9;57;4
;;1;de Jager, E.P.;958;25;51;12;30;19;52;27;27;33;18;42;55;45;67;36;24;23;29;32;57;15;80;41;12;24;46;4;2;29;1
;;2;van Baal-Pauwels, P.M.;352;7;22;3;9;7;32;6;7;13;2;17;18;24;16;22;7;4;16;9;30;5;36;9;4;7;7;0;4;7;2
;;3;van Ruitenbeek, D.W.;39;0;0;0;0;1;2;2;3;1;0;1;0;0;2;0;0;2;2;2;3;0;7;4;0;3;4;0;0;0;0
;;4;Martens, F.J.M.;126;2;3;3;1;2;9;1;1;5;1;5;3;4;10;4;11;1;3;7;7;7;13;9;1;2;2;1;0;8;0
;;5;Bertens, Q.Y.M.;42;0;0;2;0;0;2;2;1;0;0;1;1;4;3;0;1;0;2;0;1;0;7;6;0;2;7;0;0;0;0
;;6;Korfmaker, L.C.M.;135;8;1;3;2;2;9;2;2;4;0;8;4;12;8;7;4;1;6;3;7;1;14;12;2;5;1;2;1;4;0
;;7;van Gestel, W.C.;75;1;0;2;1;1;4;0;0;7;1;9;1;1;7;15;4;0;1;0;4;2;3;2;2;3;2;2;0;0;0
;;8;van Sundert, J.A.;117;2;3;3;2;3;3;4;3;2;1;7;6;4;9;3;3;0;0;4;4;4;14;13;0;4;14;0;0;2;0
;;9;Moonen, I.M.;19;0;3;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;3;2;0;3;0;0;2;0;0;0;1;1
;;10;van Dijk, S.;10;0;1;0;0;0;0;1;0;0;0;1;1;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
;;11;Sels, L.J.R.;19;0;0;0;1;4;0;2;1;0;0;0;1;2;2;1;0;0;0;0;0;1;1;0;0;0;2;0;0;1;0
;;12;van Harssel, W.M.G.M.;21;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;2;0;0;0;6;2;0;3;0
;;13;Roozendaal-van Dorst, M.C.;23;1;0;4;0;0;0;2;2;0;0;0;1;2;0;0;1;0;0;0;1;2;5;1;0;1;0;0;0;0;0
;;14;Hockers-van Pul, A.P.;26;0;2;0;0;1;4;0;1;1;0;0;1;0;0;0;3;0;0;1;5;0;3;2;0;1;1;0;0;0;0
;;15;Castel, S.;9;0;0;0;0;0;1;0;0;0;0;2;0;0;1;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;16;de Graaf, R.G.;20;0;1;0;0;0;1;1;0;0;0;0;4;0;0;2;1;0;1;0;0;1;3;2;1;0;1;1;0;0;0
;;17;van Rooij, J.W.M.;29;0;2;3;0;1;2;3;0;0;1;0;0;1;2;4;0;0;1;0;2;0;5;0;0;0;2;0;0;0;0
;;18;van der Bijl, D.G.;6;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;19;Neggers, T.C.A.;33;0;0;2;0;0;6;3;0;1;0;0;0;4;0;1;0;0;0;3;2;0;5;3;0;0;1;0;2;0;0
;;20;Roest, N.H.;9;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
