Verkiezing;;Gemeenteraad Steenbergen 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Steenbergen;;;;;;;;;;;;;;;;;;
Nummer;;0851;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;'t Cromwiel;R.K. Basisschool Gummarus;"Scoutinggeb.""Wallenburch""";Gemeenschapshuis De Vaert;Dorpshuis Siemburg;Dorpshuis De Stelle;De Buitelstee A;De Buitelstee B;Gemeenschapshuis De Vossenburcht;Kantine Sportpark;Dorpshuis;'t Cromwiel (maandag);Dorpshuis (maandag);'t Cromwiel (dinsdag);Dorpshuis (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;102;112;202;212
Postcode;;;;;4652 GA;4651 RN;4651 KM;4651 WB;4651 XE;4756 AR;4655 AB;4671 CZ;4671 CZ;4681 AS;4651 KS;4671 CC;4651 RN;4671 CC;4651 RN;4671 CC
;opgeroepenen;;;20109;2413;1281;2453;1739;1688;1924;743;1750;1789;1891;1230;1208;0;0;0;0
;geldige stempas;;;7617;918;346;841;602;504;742;264;231;173;739;152;624;376;256;478;371
;geldig volmachtbewijs;;;1040;142;49;98;77;61;116;50;38;23;103;2;103;49;28;65;36
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8657;1060;395;939;679;565;858;314;269;196;842;154;727;425;284;543;407
;geldige stembiljetten;;;8611;1053;390;937;676;563;857;313;267;194;839;153;720;424;283;536;406
;blanco stembiljetten;;;23;3;3;0;3;1;0;1;1;0;2;1;4;0;0;3;1
;ongeldige stembiljetten;;;23;4;2;1;0;1;1;0;1;3;1;0;3;1;1;4;0
;aangetroffen stembiljetten;;;8657;1060;395;938;679;565;858;314;269;197;842;154;727;425;284;543;407
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gewoon Lokaal!;;;2540;194;74;248;160;123;402;99;67;49;493;35;256;52;74;90;124
;;1;Remery, M.H.H.I.;711;67;21;41;41;35;12;25;10;7;360;3;30;19;3;22;15
;;2;Maas, W.J.P.M.;431;16;8;29;20;11;311;1;2;0;0;4;4;6;2;15;2
;;3;van Agtmaal, D.;310;1;0;3;4;3;1;0;33;33;0;0;128;1;48;3;52
;;4;van Caam, G.M.;436;60;29;117;70;35;8;12;5;3;9;14;13;11;5;35;10
;;5;Rijshouwer, M.;38;0;2;0;0;1;33;1;0;0;0;0;0;1;0;0;0
;;6;van Agtmaal, C.W.;41;1;0;2;2;1;0;0;4;2;1;0;11;0;4;1;12
;;7;Stolk, H.;48;0;0;7;2;0;0;5;1;0;27;0;2;1;1;1;1
;;8;Vroege, M.A.;14;4;0;1;5;3;0;0;0;0;0;0;0;1;0;0;0
;;9;Hommel, L.P.A.;80;5;0;3;3;3;0;1;0;0;61;3;0;0;0;1;0
;;10;Borremans, D.J.F.;33;11;6;3;2;3;0;0;0;0;1;1;1;2;0;3;0
;;11;de Jong, M.M.T.;10;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0
;;12;Pronk, R.M.;31;0;0;1;1;0;27;0;0;0;0;0;2;0;0;0;0
;;13;de Jong, M.P.M.;24;3;3;6;2;3;0;1;0;0;0;1;0;4;0;1;0
;;14;van Kempen, C.J.;16;1;0;3;1;1;0;1;0;0;9;0;0;0;0;0;0
;;15;Prent, C.;9;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;5
;;16;de Jong, P.W.A.M.;61;3;0;4;0;0;1;45;0;0;0;3;0;2;0;3;0
;;17;Verhagen, M.H.J.;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;18;Koenraadt, C.G.M.;25;1;1;7;0;15;0;0;0;0;0;0;1;0;0;0;0
;;19;de Jong, M.T.B.;18;0;1;0;1;0;2;3;0;1;8;0;0;0;0;0;2
;;20;Somers, M.;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
;;21;Suijkerbuijk, P.A.C.M.;25;7;1;6;3;3;0;0;0;0;1;2;0;0;0;2;0
;;22;Govers, W.W.R.J.;8;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;1
;;23;Maas-van Ineveld, S.;4;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0
;;24;Prent, E.M.J.;160;14;2;9;2;6;0;3;11;3;6;4;61;3;11;1;24
2;De Volkspartij;;;1405;246;65;210;139;90;62;75;12;15;99;35;59;101;26;123;48
;;1;Kouwen, A.J.D.;383;60;17;75;51;30;4;10;5;9;25;15;18;23;6;23;12
;;2;Lambers, M.H.C.M.;220;40;10;19;20;10;5;8;2;0;5;6;10;21;7;40;17
;;3;de Neve, G.G.;194;51;9;27;15;8;0;28;1;0;12;1;1;19;3;17;2
;;4;Hobo, E.G.J.;82;22;7;8;9;9;0;9;2;2;0;0;4;0;0;9;1
;;5;Sluiters, B;117;21;7;33;12;2;2;0;0;2;7;5;0;10;1;14;1
;;6;van der Spelt, E.C.;81;13;4;10;5;5;8;9;1;1;9;1;3;8;2;1;1
;;7;Hulhoven, J.M.;51;1;0;2;0;2;43;0;0;0;0;0;0;0;0;3;0
;;8;Havermans, J.F.M.;29;2;0;0;1;0;0;0;1;0;25;0;0;0;0;0;0
;;9;Riemslag, H.A.L.M.;13;0;0;0;1;2;0;5;0;0;3;0;1;0;0;0;1
;;10;Booij, S;47;2;1;1;1;1;0;0;0;1;3;0;15;3;6;1;12
;;11;Somers, M.J.L.C.M.;20;3;1;1;2;1;0;0;0;0;0;0;2;6;0;4;0
;;12;de Korver, J;10;1;0;2;1;4;0;0;0;0;0;0;2;0;0;0;0
;;13;van Koppen, M.C.;18;3;2;3;2;4;0;0;0;0;0;0;0;1;0;2;1
;;14;Verweij, G.C.;11;0;0;3;4;0;0;0;0;0;0;0;0;4;0;0;0
;;15;Buijs, H.F.P.M.;14;3;0;0;0;0;0;0;0;0;9;0;0;2;0;0;0
;;16;Timmermans-Rockx, H.P.C.M.;41;6;1;10;3;3;0;6;0;0;1;1;3;2;1;4;0
;;17;Damen, L.F.C.;23;0;0;16;2;3;0;0;0;0;0;0;0;0;0;2;0
;;18;Knop, W.L.C.;51;18;6;0;10;6;0;0;0;0;0;6;0;2;0;3;0
3;VVD;;;1367;165;65;116;98;103;284;63;43;22;82;21;81;82;22;68;52
;;1;Gommeren, C.A.A.M.;624;66;27;38;34;49;193;34;17;11;27;9;35;30;11;20;23
;;2;van Es, T.P.M.;55;17;4;6;6;5;0;0;0;0;1;2;5;3;0;5;1
;;3;Feskens, M.C.H.M.;94;15;2;10;7;13;1;5;2;1;10;1;7;5;3;9;3
;;4;Verbeek, J.C.M.;243;37;17;40;36;25;7;3;2;4;3;8;4;28;2;24;3
;;5;Broos, N.C.J.;58;2;2;2;3;5;29;1;0;0;2;1;4;6;0;1;0
;;6;Uijtdewilligen, A.;58;2;1;3;0;1;38;2;0;0;2;0;2;3;0;4;0
;;7;van Dijke, C.J.;33;8;5;4;2;1;3;1;0;0;1;0;2;2;0;2;2
;;8;Janssen, H.L.;21;1;1;0;0;0;0;2;0;0;17;0;0;0;0;0;0
;;9;Veerman, G.C.P.A.;10;0;0;3;0;0;7;0;0;0;0;0;0;0;0;0;0
;;10;Stoutjesdijk - van Nieuwenhuijzen, G.G.;63;9;5;7;4;1;0;15;2;0;18;0;0;0;0;2;0
;;11;Rijshouwer, R.J.J.H.;7;0;0;0;0;0;5;0;0;1;0;0;0;1;0;0;0
;;12;Sneep, C.A.G.;27;0;0;0;1;0;0;0;9;1;0;0;10;1;1;0;4
;;13;van der Vorm-Knottnerus, C.G.A.;28;3;0;0;0;0;0;0;4;0;1;0;5;0;3;0;12
;;14;Bierens-Buijs, A.J.;7;1;0;1;0;0;0;0;1;2;0;0;0;0;1;1;0
;;15;Veraart, J.J.A.;13;1;0;0;2;0;0;0;5;0;0;0;4;1;0;0;0
;;16;Hage, M.P.;4;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0
;;17;Bom, M.J.;12;0;0;0;1;1;0;0;1;1;0;0;3;0;1;0;4
;;18;van Gils, J.A.M.;10;3;1;2;1;2;0;0;0;0;0;0;0;1;0;0;0
4;CDA;;;720;76;13;55;36;25;18;24;60;33;70;15;122;22;54;28;69
;;1;Weerdenburg, J.H.F.;242;46;4;16;16;10;10;15;5;6;50;5;17;10;8;11;13
;;2;Huijbregts, J.W.;169;3;0;2;1;1;0;0;27;19;2;2;50;0;24;2;36
;;3;Bolluijt-Nijpjes, C.J.;121;6;2;10;6;6;1;0;20;4;3;1;31;3;11;3;14
;;4;Weerdenburg, S.P.;6;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0
;;5;Legierse, J.A.;19;2;0;0;1;0;0;0;4;0;0;0;7;0;2;0;3
;;6;van Dijke, M.J.;19;3;2;1;4;2;0;0;0;0;0;1;0;2;0;4;0
;;7;van den Berg, E.W.M.;14;2;1;4;3;1;0;0;0;0;0;0;1;0;1;1;0
;;8;van Dijk, C.J.M.;24;1;0;2;0;1;4;9;1;0;1;0;0;2;0;3;0
;;9;Meijer, W.B.;8;2;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0
;;10;van Tilburg, J.D.C.;19;0;0;0;0;0;0;0;0;2;0;1;8;0;6;0;2
