Verkiezing;;Gemeenteraad Zundert 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zundert;;;;;;;;;;;;;;;;;;
Nummer;;0879;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Cafe het wapen van Zundert;Sint Annaschool;Sporthal Onder de Mast;Rijserf en De Willaert;Tenniscentrum de Leeuwerik;Gemeenschapshuis Wierenbos;Gemeenschapshuis 't Gouwe Hart;Ouderencentrum Levenslust;Sporthal ' Trefpunt 1;Koutershof;Sporthal 't Trefpunt 2;Drive-through CLTV;Sporthal onder de Mast maandag;Koutershof maandag;Sporthal onder de Mast dinsdag;Koutershof dinsdag
;;20;Godrie, R.R.C.;9;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0
;;21;de Meijer-Goorden, A.W.M.;5;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0
;;22;Franken, A.A.E.M.;6;0;0;2;1;0;0;0;0;0;0;0;0;1;1;1;0
;;23;Martens, A.H.J.;4;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
;;24;de Bruijn, A.J.C.M.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;25;Nelemans, R.J.H.M.;8;0;0;2;0;0;0;0;1;0;0;0;1;1;0;3;0
;;26;Pemen-Verkooijen, A.W.M.;7;0;0;2;0;0;0;0;0;0;4;0;0;0;1;0;0
;;27;Vermeiren, A.J.C.;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;28;Willekens, M.F.;14;1;0;0;0;0;0;10;3;0;0;0;0;0;0;0;0
;;29;van der Kloot, A.M.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0
2;VVD;;;1378;199;32;110;13;86;120;84;168;46;172;50;40;55;46;96;61
;;1;Oostvogels, R.J.J.;507;41;14;29;4;22;55;47;73;14;80;19;7;18;23;40;21
;;2;Paulussen, G.J.C.;115;27;4;17;1;10;5;3;18;2;8;0;1;12;0;6;1
;;3;Pellis, W.J.M.W.;30;1;0;1;0;2;1;1;13;2;1;1;1;2;0;2;2
;;4;Vreijsen, F.M.A.P.;151;13;2;7;3;6;4;0;2;10;42;16;0;2;12;15;17
;;5;Braspenning, R.W.M.;68;9;1;9;1;2;27;2;9;0;1;1;0;3;0;3;0
;;6;Verheijen, C.F.J.;72;18;2;10;0;3;1;0;16;2;3;4;1;4;0;7;1
;;7;Herijgers, M.L.;76;31;1;5;0;0;2;3;1;0;2;1;20;1;2;6;1
;;8;Clarijs, F.P.M.;25;0;0;0;0;0;0;0;3;7;7;3;0;0;3;0;2
;;9;Arnouts, J.J.A.;16;7;0;1;0;0;0;6;0;0;0;0;0;0;0;1;1
;;10;Verheijen, B.A.C.;23;5;0;0;0;4;8;0;0;1;0;0;1;1;2;0;1
;;11;Michielsen, F.;5;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
;;12;Arnouts, B.;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;van Dam, T.;7;0;2;1;0;0;0;0;0;2;1;0;0;0;0;0;1
;;14;Brouwers  - De Jong, I.J.W.;8;0;0;1;0;6;0;0;1;0;0;0;0;0;0;0;0
;;15;Nuij, W.G.A.;8;0;0;2;0;0;2;0;0;0;1;0;0;0;0;3;0
;;16;Hoogaerts, R.C.A.;11;0;0;4;0;1;0;0;4;0;0;0;0;2;0;0;0
;;17;Oostvogels, S.J.J.;17;3;2;0;0;0;0;10;1;0;0;0;0;0;0;1;0
;;18;Jochems, J.J.M.;98;14;1;11;1;24;6;6;9;0;4;0;6;8;1;6;1
;;19;van der Peijl, J.F.A.;17;4;0;3;0;0;1;0;6;0;2;1;0;0;0;0;0
;;20;Verwater, C.H.M.;9;0;0;0;1;0;0;0;0;1;4;1;0;0;1;0;1
;;21;van Strien-Cullens, A.W.;6;2;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0
;;22;Vreijsen, T.F.J.;6;2;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0
;;23;Bakx, A.H.T.;15;3;1;2;0;1;0;3;2;0;1;0;1;1;0;0;0
;;24;van Dun, H.C.M.;11;3;0;2;0;1;0;3;1;0;0;0;0;0;0;1;0
;;25;Uijtdewilligen, M.M.A.J.;12;0;0;0;0;3;5;0;2;1;1;0;0;0;0;0;0
;;26;van Tankeren, J.H.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;27;van Hassel, J.P.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3
;;28;Utens, P.G.H.N.;21;0;0;2;2;1;0;0;0;1;4;2;2;0;2;0;5
;;29;Bakx, H.A.;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
;;30;Kok, P.;32;12;2;1;0;0;0;0;6;0;6;0;0;0;0;2;3
3;Dorpsbelangen;;;1118;65;23;83;13;52;87;96;58;58;227;51;11;46;83;42;123
;;1;de Beer, J.C.M.;521;36;11;52;11;36;67;77;25;15;56;11;4;28;39;22;31
;;2;de Bruijn, M.J.J.;192;6;1;3;1;5;4;1;3;19;68;15;1;0;16;5;44
;;3;Timmers, C.J.M.;145;6;1;7;0;5;3;2;13;11;48;12;1;3;12;2;19
;;4;van Exsel, A.J.M.;68;2;0;4;0;0;2;1;1;2;23;5;0;3;6;1;18
;;5;van Campenhout, C.J.M.;41;6;3;8;0;0;0;3;1;0;1;0;3;5;0;8;3
;;6;Monsma, E.C.;28;1;2;6;0;0;4;4;2;0;0;2;1;2;1;2;1
;;7;Elst, L.J.A.M.;8;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0
;;8;Tilborghs, E.J.F.;19;0;0;0;0;0;1;1;0;4;7;0;0;0;5;0;1
;;9;Goos, J.C.M.M.;12;4;0;0;0;0;1;0;0;0;6;0;0;0;0;0;1
;;10;Godrie, P.C.J.A.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;11;van Voorthuisen, S.K.M.J.;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;12;van Nispen, J.A.M.;7;0;3;1;0;0;0;0;1;0;2;0;0;0;0;0;0
;;13;van Hooijdonk, J.C.A.M.;11;0;0;0;0;0;0;0;0;1;7;1;0;0;0;0;2
;;14;de Meijer, A.F.;5;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0
;;15;Baelemans, C.J.P.M.;6;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0
;;16;Brandt, M.;6;0;0;1;0;1;0;0;0;0;4;0;0;0;0;0;0
;;17;Sprangers-Dols, M.A.H.;9;2;0;0;0;0;0;0;2;0;1;1;0;1;2;0;0
;;18;de Bruijn, J.;5;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
;;19;Dekkers, T.;30;0;2;1;1;4;0;0;10;2;1;0;1;4;2;1;1
4;Ondernemend Platteland (ONPL);;;2342;173;68;173;24;140;295;477;233;60;246;46;67;72;47;117;104
;;1;Michielsen, L.J.C.;1123;78;31;99;10;54;108;340;108;23;72;22;32;35;15;62;34
;;2;Kools-Hereijgers, P.A.J.M.;154;10;2;11;0;6;23;43;14;0;15;2;5;8;0;12;3
;;3;Willemsen, J.A.E.;277;27;21;18;2;51;31;36;28;6;11;3;13;9;2;13;6
;;4;Vissers, J.A.W.;149;4;1;1;3;0;6;1;2;13;74;9;1;1;8;1;24
;;5;Doomen, R.H.C.;89;4;0;1;0;3;58;11;4;0;2;1;0;1;0;3;1
;;6;Christianen-Vriens, A.C.A.M.;55;3;1;3;0;1;0;1;5;9;16;3;0;0;3;1;9
;;7;Verschuuren, A.M.C.;113;16;3;17;0;9;13;10;17;3;7;1;4;6;1;5;1
;;8;Vermeeren-Frijters, T.J.A.;19;2;0;0;1;0;1;0;0;1;4;0;1;0;0;2;7
;;9;Gommers, B.C.M.;31;2;1;3;2;1;4;2;12;0;1;0;1;1;0;1;0
;;10;Elst, J.M.M.;40;3;1;4;0;3;22;0;1;0;0;1;0;3;0;2;0
;;11;Braspenning, P.G.W.;21;0;0;1;0;2;2;0;1;0;4;2;6;0;1;0;2
;;12;Vermeeren, A.J.M.;37;0;0;2;0;1;0;1;1;2;13;2;0;1;10;0;4
;;13;Rombouts-van Riel, E.M.J.;9;0;0;0;1;0;0;0;0;0;5;0;0;0;2;0;1
;;14;Verdaasdonk, J.A.M.;20;6;1;1;0;1;0;3;5;0;0;0;1;0;0;2;0
;;15;Hereijgers-Zagers, M.M.E.;36;2;0;1;1;0;12;8;8;0;0;0;0;2;0;2;0
;;16;Verpaalen, H.C.P.;23;4;0;2;4;1;1;0;1;1;2;0;2;1;1;1;2
;;17;Christianen, D.J.P.;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;18;van Beek, D.J.A.J.A.;6;1;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0
;;19;van Ostaaijen, A.J.M.;31;5;1;0;0;2;1;2;3;0;6;0;0;1;1;8;1
;;20;van de Wassenberg, G.A.H.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Dictus, J.F.M.;15;0;1;0;0;0;3;3;6;0;0;0;0;0;1;1;0
;;22;Antonissen-Vis, B.;11;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;4
;;23;Daamen, P.H.M.;18;0;0;1;0;0;0;0;8;0;3;0;0;0;1;0;5
;;24;Vriends, J.P.M.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;25;Goverden, A.J.M.;7;2;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0
;;26;van Hees, A.W.J.;19;1;2;0;0;3;1;9;1;1;1;0;0;0;0;0;0
;;27;Vanlaerhoven, A.J.C.;8;2;0;3;0;0;1;0;1;0;0;0;0;1;0;0;0
;;28;Verheyen, G.J.W.;3;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
;;29;Elst-Vriends, J.A.M.;13;0;1;2;0;0;5;4;0;0;1;0;0;0;0;0;0
;;30;Poppelaars, H.J.M.;10;1;0;2;0;0;1;3;2;0;0;0;0;0;0;1;0
5;OPZ Onafhankelijke Partij Zundert;;;712;66;50;87;12;57;105;33;66;5;48;7;10;59;20;65;22
;;1;Gulden, A.A.M.;371;30;23;51;11;28;47;15;25;3;32;5;5;26;15;41;14
;;2;Jorissen-Oomen, H.M.C.;92;4;6;8;0;3;22;10;4;1;6;0;1;9;3;10;5
;;3;'s-Gravemade, K.;17;3;0;1;1;2;0;0;1;1;4;1;0;0;0;1;2
;;4;Surewaard, P.H.A.M.;28;0;3;2;0;6;9;3;2;0;0;0;1;0;0;2;0
;;5;Elst, B.W.J.;45;3;2;4;0;3;5;1;22;0;1;0;0;1;1;2;0
;;6;Huisman, C.H.A.;21;2;0;1;0;3;13;0;0;0;0;0;0;0;0;2;0
;;7;Eken, J.;6;1;0;1;0;0;0;1;1;0;2;0;0;0;0;0;0
;;8;Schriever, T.;10;2;3;4;0;0;0;0;0;0;0;0;0;1;0;0;0
;;9;Nelemans, M.F.L.M.;18;1;4;5;0;6;1;0;1;0;0;0;0;0;0;0;0
;;10;van Kuijk, W.N.M.;24;5;1;4;0;2;0;0;1;0;1;0;1;6;0;3;0
;;11;Lazeroms, J.A.C.;16;2;5;0;0;2;0;0;3;0;1;0;0;3;0;0;0
;;12;Kerstens, L.A.C.M.;5;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
;;13;Kevenaar, J.A.H.;40;10;2;5;0;0;2;2;6;0;0;0;1;10;0;2;0
;;14;Geuskens, M.J.M.;7;1;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0
;;15;van den Bemd, J.C.M.;12;0;1;1;0;2;1;1;0;0;1;1;0;2;1;0;1
6;D66;;;1022;123;64;93;5;61;41;27;104;26;170;33;14;80;38;92;51
;;1;de Beer, T.H.F.;401;38;12;30;4;19;12;10;40;15;81;19;6;29;22;38;26
;;2;de Bruijn, F.;91;13;5;13;0;8;2;1;11;1;5;0;0;9;2;17;4
;;3;Raats - Adriaensen, H.J.M.;168;25;6;14;0;3;13;10;11;2;31;6;5;12;9;14;7
;;4;Botman, W.J.;9;4;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0
;;5;Bon, J.M.;58;14;8;5;0;0;1;2;6;0;9;0;1;4;0;3;5
;;6;Joosen, B.C.W.;74;9;4;12;0;9;1;2;11;0;4;1;0;10;1;8;2
;;7;Alhasan, A.;52;1;13;5;0;12;5;1;4;0;4;0;0;4;0;2;1
;;8;Bastiaansen, A.C.T.A.M.;40;6;4;0;1;3;0;0;2;4;13;3;0;0;2;1;1
;;9;Schoonrok - van Tankeren, M.;39;2;4;7;0;0;1;0;6;2;6;0;1;2;2;4;2
;;10;Eiting, M.B.;11;3;2;2;0;0;1;0;1;1;0;0;0;1;0;0;0
;;11;Foppen, E.J.;6;1;0;0;0;0;0;0;1;0;1;0;0;2;0;1;0
;;12;Bastiaansen, F.;30;0;0;2;0;4;2;0;9;1;4;2;1;4;0;1;0
;;13;Moelands - Daamen, M.C.C.;8;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;1
;;14;van Herp - Coppelmans, A.A.C.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;Aarts, T.H.F.;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Timmermans, L.C.M.;4;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1
;;17;Brookman, E.H.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van den Broek, A.M.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Adriaensen, P.J.S.M.;11;2;3;0;0;0;1;1;1;0;1;0;0;1;0;1;0
;;20;van Wijk, L.;12;1;1;2;0;0;0;0;1;0;0;2;0;2;0;2;1
7;Lokaal Perspectief;;;838;43;32;51;14;39;62;34;32;48;204;60;11;25;50;27;106
;;1;Geerts, P.H.A.C.;364;13;8;12;6;13;22;2;12;22;114;32;3;6;29;2;68
;;2;Aerts, G.J.F.;25;0;2;0;2;4;0;0;0;0;6;2;0;2;2;0;5
;;3;Hertsenberg, G.J.;24;0;0;1;0;0;0;13;2;0;1;0;0;3;1;2;1
;;4;Groot, J.A.J.;43;4;2;9;2;1;4;0;1;1;9;1;3;3;0;2;1
;;5;van Riel, R.A.M.;47;1;2;1;0;3;2;0;0;7;16;9;0;0;3;0;3
;;6;van Oijen, J.J.;18;0;0;0;0;1;3;11;0;0;1;0;0;0;0;1;1
;;7;Herijgers, A.C.E.M.;16;7;1;0;0;0;0;0;0;1;4;0;2;1;0;0;0
;;8;de Bie, H.J.;4;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0
;;9;Reiters, P.C.M.;15;0;1;0;0;0;0;2;0;3;4;2;0;0;0;0;3
;;10;van Geel, M.E.F.;151;15;14;12;3;11;20;2;11;3;20;4;3;7;4;10;12
;;11;Magilse, J.M.A.;20;0;0;0;1;1;0;0;0;1;9;2;0;0;3;0;3
;;12;Braspenning, M.J.M.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4
;;13;de Hoogh, G.A.;7;0;0;0;0;0;4;1;1;0;0;0;0;1;0;0;0
;;14;Hendriks, O.W.R;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Haest, L.J.A.M.;26;2;2;10;0;2;1;3;0;2;1;0;0;0;1;2;0
;;16;Frijters, L.J.M.;16;0;0;1;0;0;0;0;0;2;3;4;0;0;1;3;2
;;17;Mathijssen, H.E.J.;10;0;0;0;0;2;0;0;0;3;1;0;0;0;1;1;2
;;18;Kools, A.J.L.;10;0;0;1;0;0;5;0;2;0;0;0;0;0;0;2;0
;;19;Huijbregts, W.C.M.;7;0;0;0;0;1;0;0;0;0;4;0;0;2;0;0;0
;;20;van Opstal, A.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Domen, W.J.M.;3;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;22;Michielsen, J.C.W.;7;0;0;1;0;0;0;0;0;0;5;0;0;0;1;0;0
;;23;van de Sande, M.A.;19;0;0;1;0;0;0;0;1;2;6;3;0;0;3;2;1
