Verkiezing;;Gemeenteraad Baarle-Nassau 2022;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;
Gebied;;Gemeente Baarle-Nassau;;;;;;;;;
Nummer;;0744;;;;;;;;;
;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Baarle-Nassau;Bremerpoort;Cafe in Holland;De Uilenpoort;Gemeentehuis Baarle-Nassau 14-03-2022;Gemeentehuis Baarle-Nassau 15-03-2022;Gemeentehuis Baarle-Nassau
Gebiednummer;;;;;1;2;3;4;12;13;14
Postcode;;;;;5111 CC;5113 TG;5114 AC;5111 XP;5111 CC;5111 CC;5111 CC
;opgeroepenen;;;5787;2237;1080;152;2318;0;0;0
;geldige stempas;;;2581;715;459;100;560;314;433;0
;geldig volmachtbewijs;;;392;138;68;12;73;48;53;0
;geldige kiezerspas;;;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;2973;853;527;112;633;362;486;0
;geldige stembiljetten;;;2950;847;523;112;630;362;476;0
;blanco stembiljetten;;;7;4;1;0;0;0;2;0
;ongeldige stembiljetten;;;16;2;3;0;3;0;8;0
;aangetroffen stembiljetten;;;2973;853;527;112;633;362;486;0
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0
1;BAARLE !;;;899;283;75;41;239;114;147;0
;;1;van Tilborg, J.J.M.;318;105;9;1;90;56;57;0
;;2;van der Velden, F.A.J.M.;24;7;1;1;6;4;5;0
;;3;Dirven, C.A.M.M.;78;24;22;4;15;5;8;0
;;4;Pekaar, J.;37;4;0;0;11;9;13;0
;;5;Jansen, H.J.C.M.;26;9;0;0;7;3;7;0
;;6;van Hooijdonk, P.J.W.M.;86;32;4;1;29;7;13;0
;;7;Houtepen, J.P.M.;99;30;4;2;33;11;19;0
;;8;Hermanides, M.;52;19;1;4;13;7;8;0
;;9;van Dun, L.C.J.;26;2;0;24;0;0;0;0
;;10;Hendrickx, M.M.J.;43;8;25;4;5;0;1;0
;;11;van den Broek, M.L.;15;5;0;0;5;4;1;0
;;12;van den Broek, J.C.A.;36;14;2;0;10;5;5;0
;;13;Hafmans, J.O.G.;15;3;7;0;4;0;1;0
;;14;Kerremans, C.C.;44;21;0;0;11;3;9;0
2;CDA;;;834;320;66;18;176;99;155;0
;;1;Adams, T.G.S.;229;75;44;8;41;22;39;0
;;2;van den Broek-Brouwers, G.B.M.;86;28;4;1;18;14;21;0
;;3;van Tilburg, J.J.M.;84;36;5;1;27;6;9;0
;;4;de Jong, C.J.;21;8;0;0;6;2;5;0
;;5;Ulijn, G.A.A.;79;46;0;0;2;13;18;0
;;6;Van de Heyning, G.J.A.;29;9;0;0;6;4;10;0
;;7;van Aelst, G.M.;35;9;1;1;13;10;1;0
;;8;van de Heijning-Kuijpers, M.A.A.;29;8;0;1;7;6;7;0
;;9;van Sas, J.C.M.;15;5;4;0;1;2;3;0
;;10;Beljaars, G.D.;36;17;1;0;4;3;11;0
;;11;van Haperen, J.C.M.;29;14;4;0;2;3;6;0
;;12;Schellekens, C.A.;56;27;1;1;15;5;7;0
;;13;Gillis, J.J.L.W.;17;2;0;0;6;2;7;0
;;14;Tuijtelaars, R.A.J.;54;24;2;5;12;4;7;0
;;15;Hermans, M.H.M.E.;6;1;0;0;4;1;0;0
;;16;Voesenek, A.L.M.;4;1;0;0;3;0;0;0
;;17;Tuijtelaars, R.J.M.;16;9;0;0;5;0;2;0
;;18;Gieskens, W.P.;9;1;0;0;4;2;2;0
3;Fractie Ulicoten;;;575;60;351;16;53;49;46;0
;;1;Kusters, J.S.W.F.;268;14;198;7;15;13;21;0
;;2;Verbunt, L.M.S.;122;26;33;1;21;24;17;0
;;3;Geerts-de Groot, M.A.J.;31;0;26;0;2;3;0;0
;;4;Rijvers, J.J.B.M.;27;0;18;6;3;0;0;0
;;5;Rijvers, S.W.;60;10;35;2;6;5;2;0
;;6;van Dun-de Roover, J.M.E.;13;5;5;0;1;1;1;0
;;7;Verheijen, F.A.B.M.;2;0;2;0;0;0;0;0
;;8;Boeren, V.A.J.;12;2;9;0;0;1;0;0
;;9;Jansen, F.T.M.;1;0;1;0;0;0;0;0
;;10;Vermeulen, K.A.B.M.;11;1;4;0;3;0;3;0
;;11;Vriens, F.J.;11;0;10;0;0;1;0;0
;;12;Friederichs, J.A.C;7;1;4;0;0;1;1;0
;;13;Koijen, F.J.M.;10;1;6;0;2;0;1;0
4;Vooruitstrevende Partij Baarle (VPB);;;642;184;31;37;162;100;128;0
;;1;van de Laak, J.J.M.;345;103;26;7;95;45;69;0
;;2;Vriens, H.M.A.;13;5;0;0;2;4;2;0
;;3;Wouters - de Jong, K.;30;12;1;0;4;3;10;0
;;4;Severijns, C.A.M.;36;9;0;1;8;7;11;0
;;5;Jansen, L.;24;10;0;1;3;3;7;0
;;6;Vermeer, J.C.M.;15;0;0;1;8;4;2;0
;;7;Pegels, C.M.;26;1;1;22;1;1;0;0
;;8;van Alphen, M.A.;11;4;0;0;4;2;1;0
;;9;Bouwman, E.T.M.;6;1;0;0;1;3;1;0
;;10;Vermeer, A.C.J.;22;5;0;0;9;4;4;0
;;11;Oosterbeek - de Jong, N.M.C.;11;4;0;0;1;2;4;0
;;12;Papac, J.;3;0;0;3;0;0;0;0
;;13;Cornelissen, H.J.M.;11;3;0;0;3;3;2;0
;;14;Oomen, J.J.A.;8;4;1;0;2;0;1;0
;;15;Wouters, T.J.H.;3;0;0;0;2;0;1;0
;;16;Martens, J.;6;2;0;0;2;1;1;0
;;17;Tomee, J.F.C.;4;2;0;0;0;0;2;0
;;18;Boot, J.G.F.M.;4;1;0;0;1;2;0;0
;;19;Theeuwes, P.A.J.M.;10;4;0;0;2;4;0;0
;;20;van Tuijl, A.A.;19;3;2;1;7;3;3;0
;;21;Moors, A.H.M.;35;11;0;1;7;9;7;0
