Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Meierijstad;Wijnu gebouw;Wijkgebouw De Bloemfontein;Stichting Turkse Eenheid Veghel;Wijkgebouw De Lapvoet;Loods familie Verbeek;Rode kruis gebouw;Gymzaal Zuid, Basisschool De Vijfmaster;BS de Uilenbrink;Natuurtuin 't Bundertje;Wijkgebouw De Spil;Basisschool  de Ieme;ROC de Leijgraaf;M.F.C. De Hintel;Gymzaal naast D'n Brak;Dorpshuis Zijtaart;Gemeenschapshuis De Brink;Basisschool De Empel;Ter Aa Sport en Ontmoetingscentrum;Raadhuis Erp;Gemeenschapshuis 't Span;Gemeenschapshuis Den Hazenpot;Sportzaal 't Ven;Drive-in gemeentewerf Veghel;RAADhuis Schijndel;Gymzaal EBC Oost, bij bs de Beemd;Sportcomplex De Dioscuren;Basisschool de Regenboog;Sociaal Cultureel Centrum de Vink;Gymzaal bij de Schakel;'t Spectrum;Sociaal Cultureel Centrum de Kajuit;Gymzaal EBC Noord, bij bs De Vossenberg;Het Gasthuis;Café Zaal De HeerenMeester;Museum Jan Heestershuis;Café-Zaal 't Zuid;Drive-in gemeentewerf Schijndel;Kasteel-Raadhuis Dommelrode;De Beurs zalencentrum;Basisschool Dommelrode;Touringcarbedrijf Van Hoof Reizen;Basisschool Eerschot;Gymzaal Armenhoef, bij de Odaschool;Sportzaal De Kienehoef;De Meidoorn;MFA De Loop'r;Zalencentrum De Beckart;Drive-in manege De Pijnhorst;Mobiel stembureau 1: OBB;Mobiel stembureau 2: WAS;Gemeentehuis Meierijstad;Raadhuis Erp;Sportzaal 't Ven;Drive-in gemeentewerf Veghel;'t Spectrum;Drive-in gemeentewerf Schijndel;Kasteel-Raadhuis Dommelrode;Drive-in manege De Pijnhorst;Gemeentehuis Meierijstad;Raadhuis Erp;Sportzaal 't Ven;Drive-in Gemeentewerf Veghel;'t Spectrum;Drive-in gemeentewerf Schijndel;Kasteel-Raadhuis Dommelrode;Drive-in Manege de Pijnhorst
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;30;101;102;103;104;105;106;107;108;109;110;111;112;113;130;201;202;203;204;205;206;207;208;209;210;230;500;501;14001;14020;14023;14030;14107;14130;14201;14230;15001;15020;15023;15030;15107;15130;15201;15230
Postcode;;;;;5461 KN;5461 EA;5462 AE;5461 AA;5463 JA;5463 PC;5463 HM;5463 ET;5467 BM;5467 AC;5467 JZ;5467 KR;5467 HA;5464 PN;5464 VR;5465 RJ;5466 PE;5469 SL;5469 CG;5469 BK;5469 EX;5469 PS;5464 PG;5465 TA;5482 NG;5482 KE;5481 KD;5482 BJ;5482 BD;5482 DA;5482 WN;5482 MA;5481 HD;5481 HL;5481 EJ;5481 BL;5481 AR;5482 WL;5492 GD;5492 AD;5492 BJ;5491 EG;5491 AB;5491 GC;5491 JT;5492 EC;5491 XP;5492 HT;5491 LR;5461 KN;5461 KN;5461 KN;5469 BK;5464 PG;5465 TA;5482 WN;5482 WL;5492 GD;5491 LR;5461 KN;5469 BK;5464 PG;5465 TA;5482 WN;5482 WL;5492 GD;5491 LR
;;27;Schoeberichts, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Buiting, A.C.;81;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;11;9;6;6;11;7;7;1;5;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;3;1
;;29;Eegerdingk, S.;12;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;de Vries, E.J.;22;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;31;Hendriks-van Kemenade, J.C.M.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3;6;0;1;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0
;;32;Compagne, J.W.F.;13;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;2;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Cruijsen, F.P.H.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Brus, J.P.;11;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2;CDA;;;5732;160;175;63;123;45;62;91;62;103;75;74;40;91;74;224;213;153;130;131;222;117;85;45;3;58;43;184;51;76;107;127;53;47;99;82;83;44;35;75;88;97;78;132;98;96;85;105;246;31;25;20;79;69;16;7;73;11;54;9;168;116;31;8;117;32;89;27
;;1;Goijaarts, J.H.M.;2208;100;123;29;73;26;30;50;47;74;50;57;33;58;47;52;89;38;18;17;26;33;22;36;2;22;21;95;15;25;52;53;24;17;37;22;35;22;9;21;24;15;21;22;16;15;28;22;48;7;20;9;61;14;12;2;32;3;12;1;96;13;16;4;60;12;16;7
;;2;van Gerwen, J.T.M.M.;253;2;1;1;2;0;0;0;0;8;1;0;0;0;7;0;1;1;0;0;0;1;3;0;0;11;6;23;7;6;10;25;13;7;9;11;18;7;8;1;5;1;5;3;1;5;3;0;3;0;0;1;0;0;0;0;9;2;0;2;1;0;0;0;12;6;4;0
;;3;Koenen - Raijmakers, A.H.T.M.;919;14;16;6;8;2;14;5;5;0;4;6;3;7;0;146;14;0;99;90;174;45;27;1;1;1;0;0;4;1;0;2;1;1;0;3;3;2;2;0;1;0;3;1;3;5;3;8;7;0;0;7;3;45;0;0;2;2;3;0;13;93;6;3;1;1;2;0
;;4;Verhagen, M.P.F.M.;560;2;1;1;7;0;0;3;0;0;0;1;0;0;0;2;9;5;2;4;0;10;9;0;0;1;0;0;0;1;1;1;2;0;0;2;1;0;0;22;21;33;11;47;20;37;25;51;152;8;3;1;0;4;1;0;0;0;12;3;4;1;1;0;0;0;30;8
;;5;van Kessel, S.J.H.G.;27;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;4;1;1;5;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;0
;;6;van Berkel, G.A.M.;185;5;2;3;0;5;0;5;1;1;0;0;3;7;1;0;5;87;0;1;0;1;0;0;0;1;2;0;2;1;14;5;1;0;0;3;0;2;0;1;4;0;1;1;0;0;1;0;1;0;1;0;5;0;0;0;0;0;0;1;9;1;0;0;1;0;0;0
;;7;Brouwers, B.P.J.;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;4;2;2;11;21;10;4;2;1;2;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;7;3
;;8;van Bakel, M.A.P.;120;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;18;16;18;14;5;10;3;0;2;4;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;10;2
;;9;Schwiebbe, J.C.A.;86;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;5;4;8;3;6;1;5;1;0;5;3;7;2;2;0;0;0;1;0;0;3;0;1;4;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;11;2;0;0
;;10;van Balveren, A.P.;94;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;8;2;8;1;6;11;0;1;5;11;12;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;1;0;0;8;2;0;0
;;11;van Kaathoven, P.P.;31;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;3;3;1;1;1;6;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;0;0
;;12;van Rooij, F.C.P.;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;0;0;0;0;1;0;0;3;3;10;3;7;19;9;8;3;5;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;4;1
;;13;van den Broek, P.W.H.M.;128;18;5;14;11;5;4;2;0;7;10;0;0;6;7;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;4;0;2;1;0;0;0;0;14;0;3;0;2;0;3;0
;;14;van de Voort, J.M.;170;13;14;4;14;2;8;25;5;7;3;6;0;5;0;4;0;13;0;0;2;0;1;3;0;0;0;1;1;1;2;2;0;0;1;1;0;1;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;23;0;2;0;0;1;0;0
;;15;Brouwer, G.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
;;16;Smits, M.H.C.A.;99;1;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;2;0;1;0;2;1;18;0;6;0;6;0;0;6;6;1;0;4;0;2;0;1;4;0;0;4;12;1;2;0;0;0;0;0;2;3;0;0;0;0;0;0;0;6;1;1;0
;;17;Niemeijer, D.A.;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;3;4;1;7;0;3;3;3;3;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;18;Claassen, Z.L.;49;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;1;4;1;3;2;3;2;2;4;2;3;1;2;0;0;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0
;;19;van Sleuwen, P.J.A.M.;124;2;3;4;1;0;2;0;0;1;4;2;0;2;3;0;88;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;20;van de Meerakker, B.A.C.M.;20;2;1;1;2;1;0;0;0;3;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
;;21;Aarts - van de Loo, J.P.H.;28;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;5;0;2;2;3;6;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;22;Steenbakkers, G.A.A.M.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;23;Vilier, M.W.G.P.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;24;Raijmakers, T.J.M.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;25;Abrahams, M.L.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;26;van Dieperbeek, P.H.F.M.;18;1;3;0;2;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Engeland, M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;28;van den Oetelaar, B.J.G.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
;;29;Goossens, M.H.M.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;8;3;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;30;Ester, M.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Beek, J.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;32;Hendriks, C.A.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;33;Claassen, B.P.F.;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;1;1;3;3;0;0;2;4;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0
;;34;Hellings, J.T.H.M.;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;4;6;1;2;12;7;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0
;;35;Rijkers, J.H.A.A.;30;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Bekkers, I.J.W.G.;18;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;37;Poeliejoe, W.A.P.M.;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van der Pas - van Nuland, J.C.M.;125;0;1;0;0;1;0;1;0;0;2;1;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;2;0;0;4;7;12;1;7;16;10;7;2;6;4;0;0;0;1;0;0;0;0;16;0;1;0;0;0;2;0;10;2
3;VVD;;;3975;139;135;36;84;54;41;72;48;101;57;63;52;61;134;100;57;50;26;23;53;37;19;99;6;55;64;111;57;85;83;122;63;31;69;57;85;54;21;62;33;64;110;104;101;68;82;94;136;16;11;8;73;13;20;9;57;19;37;5;116;19;51;9;68;20;47;19
;;1;van Burgsteden, J.T.;1756;74;85;22;48;27;24;38;32;64;40;41;36;23;77;78;41;21;18;15;31;19;14;51;2;19;13;37;14;28;35;29;19;5;24;15;23;11;5;22;17;23;31;27;25;20;29;11;60;4;2;8;44;5;13;5;18;9;7;2;76;15;26;9;16;8;21;5
;;2;Wagenaars-van Beers, W.P.A.M.;530;7;10;2;5;2;7;7;2;6;3;6;2;5;18;6;6;9;1;2;7;5;4;12;2;3;5;4;8;5;3;5;8;3;5;4;7;8;2;18;8;19;29;37;34;22;29;11;40;5;3;0;2;1;2;1;2;3;17;2;1;3;5;0;7;2;12;9
;;3;Dominicus, A.H.P.M.;289;25;26;4;19;7;2;19;8;13;4;2;5;12;10;4;4;1;5;5;10;6;1;12;1;1;0;1;1;0;1;2;0;0;0;1;0;0;0;5;1;1;4;5;0;1;0;0;2;0;1;0;14;5;2;1;0;2;1;0;15;1;14;0;0;1;1;0
;;4;van Zutven, F.J.P.G.;95;2;3;1;3;6;1;4;3;3;0;2;3;5;1;1;2;10;1;0;2;1;0;5;0;0;0;0;0;1;0;1;0;0;1;0;0;0;14;0;0;0;0;2;1;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;6;0;2;0;0;0;0;0
;;5;Schoones, T.T.J.M.;654;1;0;0;0;1;0;0;0;0;3;0;0;0;2;1;1;5;0;0;0;1;0;0;0;28;41;64;31;45;36;78;33;23;38;32;50;33;0;1;0;2;2;1;2;2;1;0;0;0;3;0;2;0;0;0;31;5;0;0;3;0;0;0;42;9;0;1
;;6;Klaasen, P.A.J.M.;130;1;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;3;1;0;0;0;1;0;0;4;2;5;9;6;23;14;12;22;8;2;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;1;0
;;7;van der Heeden, K.;58;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;2;3;0;38;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;8;Plompen, V.M.C.;85;9;7;1;2;3;2;1;1;4;0;7;2;6;6;8;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;8;0;2;0;1;0;0;0
;;9;van Uden, D.D.J.M.;65;10;0;0;4;2;2;0;1;3;5;1;0;9;5;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;;10;van Seventer, M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1
;;11;de Laat, N.M.C.;69;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;2;4;10;4;6;5;6;5;5;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;4;3
;;12;Dekkers, R.A.;99;0;0;0;0;2;1;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1;1;0;0;0;7;3;8;14;15;6;1;3;4;15;1;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;5;0
;;13;Nillezen, G.H.H.;22;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;1;4;1;2;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;14;Bijlsma, J.G.;5;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Prins - Afman, M.W.;36;0;0;0;2;0;1;0;0;3;1;1;3;0;4;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;2;1;2;1;0;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;2;0
;;16;Molenaar, H.;46;9;3;3;0;1;1;3;1;2;0;2;0;0;1;0;0;2;0;0;0;1;0;6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;17;van Dalsum, A.C.M.;28;1;0;3;1;0;0;0;0;0;0;1;0;0;5;1;0;0;0;0;0;2;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
4;SP (Socialistische Partij);;;3211;89;76;67;57;95;14;88;74;51;56;58;47;48;54;39;33;33;18;19;24;18;7;26;1;52;104;95;86;151;92;71;178;29;88;78;43;64;8;47;55;34;46;53;51;84;34;23;76;7;5;5;47;15;13;6;58;15;26;8;73;10;14;5;107;21;33;9
;;1;Merks, R.C.M.;1345;22;18;26;20;19;5;31;20;10;25;10;19;16;21;11;13;13;4;6;6;13;5;10;0;33;61;63;54;66;52;51;85;17;49;39;31;41;4;19;15;12;10;19;16;23;6;11;25;6;1;4;16;4;0;2;35;8;14;2;20;4;7;3;51;8;15;0
;;2;van Limpt, P.C.J.;390;23;34;11;13;40;6;27;24;26;11;18;14;20;14;6;7;0;3;3;4;1;1;4;1;0;0;1;1;1;3;0;3;1;0;2;0;1;0;0;0;0;0;0;3;1;0;0;0;0;1;1;13;1;7;2;0;0;0;0;26;2;5;1;2;0;1;0
;;3;Wouters - van Broekhoven, A.M.;342;4;1;2;1;2;1;9;0;1;2;2;1;1;4;2;1;2;0;0;3;0;1;2;0;0;28;15;11;33;7;11;56;6;14;20;5;11;4;3;3;2;1;0;2;3;1;1;4;0;0;0;1;2;0;0;12;3;0;0;2;1;1;0;29;7;1;0
;;4;Broekmeulen, M.J.G.;289;6;4;2;8;5;1;5;4;2;3;4;1;2;4;0;5;1;1;1;2;0;0;0;0;8;1;0;6;5;2;2;4;0;2;1;2;2;0;11;17;13;16;13;15;20;10;6;23;0;1;0;3;1;2;0;1;1;8;3;6;2;0;0;4;0;16;1
;;5;Kloosterman, G.M.J.;69;3;5;2;4;4;0;2;2;1;2;2;2;1;1;0;1;12;1;0;0;1;0;2;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;7
;;6;Verbakel, A.G.L.;101;1;2;1;0;8;0;2;3;0;1;2;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;7;9;2;3;11;7;9;3;0;14;0;1;0;1;0;0;0;2;0;1;2;0;0;0;0;0;2;0;0
;;7;Tubbing, G.F.J.;21;0;0;4;0;3;0;1;1;0;0;2;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;8;Blommers, H.H.J.;23;2;1;0;0;1;0;1;12;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;9;Liebrecht, T.G.;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;10;Merks, T.;32;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;12;0;0;4;0;1;2;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0
;;11;van Boxtel, P.J.A.;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;1;1;1;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1
;;12;van Zandbeek, J.A.C.;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;van Vlaanderen, K.B.J.;13;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;14;Kastelijn, M.H.M.W.;70;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;1;0;0;0;0;0;3;2;2;5;14;8;0;7;2;2;2;2;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;5;0;0;0
