Verkiezing;;Gemeenteraad Laarbeek 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Laarbeek;;;;;;;;;;;;;;;;;;;;
Nummer;;1659;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentehuis (maandag);Gemeentehuis (dinsdag);Muziekcentrum 't Anker;Tennishal D'n Ouwe Toren;Ontmoetingscentrum;Voormalige videotheek;De Dreef;De Couwenbergh (maandag);De Couwenbergh (dinsdag);De Couwenbergh;Brouwerijcafé (maandag);Brouwerijcafe (dinsdag);Brouwerijcafe (maandag);Dorpshuis;Buurthuis;Buurthuis (maandag);Buurthuis (dinsdag)
;;20;Bouwdewijns, I.W.M.;10;0;0;2;1;0;0;0;0;1;4;0;0;0;0;2;0;0;0
;;21;Knoops, J.N.A;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Gerritsen, C.R.A.;5;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0
;;23;de Jong, K.H.H.;10;1;0;3;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0
;;24;Beestman-van Veggel, M.M.P.;36;0;0;0;1;0;0;1;0;0;0;0;0;0;2;5;24;2;1
;;25;Westerbeek, I.A.M.;13;0;0;0;2;0;2;9;0;0;0;0;0;0;0;0;0;0;0
;;26;van Schaik-Warnaar, N.;17;0;0;0;2;0;0;0;0;0;0;0;0;1;8;6;0;0;0
;;27;Smits, J.P.H.G.;11;0;0;0;1;0;2;2;1;0;0;0;0;2;2;1;0;0;0
;;28;van Maasakker, D.J.B.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;29;Leenders, R.L.L.J.;7;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;3;0;0
;;30;van den Biggelaar, P.J.L.;9;2;0;0;3;0;0;2;0;1;0;0;0;1;0;0;0;0;0
;;31;Raijmakers, F.F.L.A.M.;11;1;0;0;3;1;0;1;1;0;2;2;0;0;0;0;0;0;0
;;32;van de Wijdeven, H.M.A.;18;2;0;0;1;0;1;0;1;0;0;0;0;1;0;0;11;1;0
;;33;Aarts, P.A.;8;0;1;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;34;van de Laar, H.M.J.J.;13;0;0;1;0;1;0;0;0;0;0;2;2;3;0;4;0;0;0
;;35;van Wanrooij, M.J.J.;8;3;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0
;;36;Naus, M.H.;4;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
;;37;de Haas, F.A.M.;3;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
;;38;van der Schoot, J.H.A.;30;0;0;2;2;2;1;3;0;0;2;0;0;0;0;3;11;1;3
;;39;Vlemmings, M.L.A.;4;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0
;;40;Rooijakkers, B.J.M.;4;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;;41;van Schijndel, J.A.L.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Kreij, W.;11;3;0;3;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0
;;43;Heesakkers, H.J.A.;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Verschuuren, B.H.P.;16;0;2;0;0;0;0;1;3;2;4;2;0;0;0;1;1;0;0
;;45;Muller, D.N.;3;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
;;46;Kluijtmans, D.A.G.M.;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van Kemenade, B.P.J.;10;0;0;1;0;0;0;0;0;1;0;0;0;0;6;2;0;0;0
;;48;van Schijndel-van der Linden, A.A.;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;de Groof, H.T.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2
;;50;van Loen, H.W.;12;0;0;0;0;0;0;0;0;0;0;0;0;4;1;7;0;0;0
2;De Werkgroep;;;1815;95;54;89;123;87;60;123;192;100;107;296;41;94;102;143;83;13;13
;;1;Briels, JHCM;749;43;28;50;52;46;26;67;69;22;44;92;21;42;37;57;41;5;7
;;2;van Heugten, RJB;129;4;4;3;15;4;5;9;18;10;11;36;1;4;3;1;1;0;0
;;3;van Bree, HMM;71;8;7;9;11;6;6;7;0;0;0;9;1;3;0;3;1;0;0
;;4;Gruijters, JPH;77;3;0;1;2;1;0;0;11;12;11;22;1;4;4;4;0;1;0
;;5;Bergman, MJA;22;1;1;2;6;3;3;5;0;0;0;0;0;1;0;0;0;0;0
;;6;Otten, NAJM;159;6;2;3;9;7;3;7;28;15;18;32;1;2;10;12;4;0;0
;;7;Verbakel - Franke, JMH;77;2;2;1;2;3;4;0;2;1;1;4;5;4;16;28;2;0;0
;;8;Overmars, L;22;0;0;0;0;0;0;0;7;5;6;4;0;0;0;0;0;0;0
;;9;van den Heuvel - van Mierlo, WTM;54;0;1;2;4;1;4;3;7;2;3;26;0;1;0;0;0;0;0
;;10;Swinkels, BHM;39;0;0;0;0;0;0;0;0;2;0;2;6;11;8;10;0;0;0
;;11;van Bakel, JAP;18;0;0;1;0;0;0;1;7;2;0;5;0;0;0;2;0;0;0
;;12;Sanders, LCM;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1
;;13;Junggeburth, MFPA;10;0;0;1;0;0;0;0;0;2;0;1;0;3;2;1;0;0;0
;;14;Brouwers, JWAA;11;0;0;0;0;0;0;0;5;0;0;2;0;0;0;1;3;0;0
;;15;Bouwmans - Lukassen, CP;38;2;0;0;0;2;3;0;0;0;0;0;0;2;3;0;18;3;5
;;16;van Hoek, TGM;6;0;0;1;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0
;;17;van den Enden, MJWA;22;7;2;3;1;3;0;4;0;0;0;0;0;0;0;1;1;0;0
;;18;Verstappen, JGM;13;2;0;0;1;0;1;0;0;1;0;7;0;0;0;1;0;0;0
;;19;van den Heuvel, TM;34;1;1;0;0;0;0;1;9;6;1;15;0;0;0;0;0;0;0
;;20;Wich, MCM;28;0;0;1;0;0;0;0;10;6;2;8;0;0;0;1;0;0;0
;;21;Vlemmings - Smits, MCC;26;0;1;4;8;3;1;5;0;2;0;0;0;0;0;2;0;0;0
;;22;Maas - Knoops, FWM;6;1;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;23;Gijsbers, PLML;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;24;Roijackers, AIG;27;2;0;1;0;0;0;1;5;5;3;9;0;0;1;0;0;0;0
;;25;Maas, H.J.G.;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Boheemen, JM;8;0;0;0;0;0;0;1;0;2;1;2;0;2;0;0;0;0;0
;;27;Pardoel, TA;15;0;0;0;0;0;0;0;0;0;0;0;0;5;2;8;0;0;0
;;28;Vereijken, JFX;6;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;29;Wijdeven, JFM;5;0;0;0;1;0;0;0;3;0;0;0;0;0;0;1;0;0;0
;;30;Lukassen - Bouwmans, DHG;6;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0
;;31;Lhoest, GLM;8;0;0;0;1;0;0;0;1;1;1;4;0;0;0;0;0;0;0
;;32;van Kaathoven, MPH;8;0;0;0;0;0;0;1;0;0;0;1;0;1;3;2;0;0;0
;;33;Cornelissen, AT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Nijhuis, AAD;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Martens, JCA;6;0;0;0;0;2;0;0;1;0;0;2;1;0;0;0;0;0;0
;;36;van den Boom, PJA;9;0;0;0;0;0;0;0;0;0;1;1;0;2;3;2;0;0;0
;;37;Harings, APMC;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;38;van Kooten, FJ;4;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;;39;Smits, JJP;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;40;Wijdeven, ECJ;7;1;0;1;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0
;;41;de Hoon, MPCH;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;42;van Wetten, PAM;6;0;0;1;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0
;;43;van den Eijnde, L.S.M.;7;1;1;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0
;;44;van Beek, ECM;15;0;0;0;1;0;0;1;4;2;2;4;0;0;0;0;1;0;0
;;45;Bouwmans, HJMT;49;6;3;1;2;2;2;4;1;0;1;2;1;5;6;5;5;3;0
3;Algemeen Belang Laarbeek;;;1691;132;81;129;168;139;113;207;95;48;57;136;34;59;83;114;68;16;12
;;1;Slaets-Sonneveldt, M.C.;867;80;45;77;104;80;56;125;52;27;27;53;11;22;27;32;30;9;10
;;2;Verschuren, J.C.M.;88;5;7;3;7;5;4;2;7;6;10;28;0;0;3;1;0;0;0
;;3;van Sinten, B.L.J.;121;1;1;7;7;7;7;14;0;2;3;5;7;13;18;26;1;0;2
;;4;Fransen, R.H.J.;31;4;4;6;5;3;1;3;0;0;2;1;0;0;0;1;1;0;0
;;5;Sanders, M.;28;6;0;0;5;5;6;2;1;1;0;1;0;1;0;0;0;0;0
;;6;de Groot - van Lieshout, J.J.H.M.;70;1;1;4;3;2;1;0;2;0;0;9;3;7;9;27;1;0;0
;;7;Brouwers, J.J.M.;172;13;9;11;14;20;16;37;4;3;2;3;8;5;9;13;4;1;0
;;8;Coppens, F.L.M.;53;0;1;0;0;3;1;0;13;2;9;17;0;2;1;0;4;0;0
;;9;Staal-van Boxmeer, P.E.H.M.;10;0;1;0;0;1;0;1;2;0;0;0;0;1;0;4;0;0;0
;;10;van den Broek, P.J.J.M.;18;0;0;0;3;0;2;1;1;0;0;0;0;0;1;0;7;3;0
;;11;van Aspert, R.J.G.;20;0;0;1;0;0;0;0;1;0;0;0;1;6;9;1;1;0;0
;;12;Sonneveldt, D.A.P.;7;2;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Gilsing-Koopmans, M.A.M.A.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;2;0
;;14;van Gelder, B.A.;3;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;15;Doudart de la Grée-Leenders, J.M.;13;1;2;1;2;1;0;6;0;0;0;0;0;0;0;0;0;0;0
;;16;Slaets, A.C.;20;3;4;1;2;2;3;0;0;0;0;2;0;0;0;0;2;1;0
;;17;van Lieshout, S.G.P.;13;0;0;1;0;1;0;2;0;1;2;5;0;0;1;0;0;0;0
;;18;Fransen, L.E.H.;17;2;4;3;2;2;0;3;0;0;0;0;0;0;0;1;0;0;0
;;19;Schepers, I.M.;23;2;0;0;1;0;0;1;6;0;1;10;0;0;1;1;0;0;0
;;20;Verschuren, H.E.J.;3;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;21;Verbruggen, A.J.G.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0
;;22;Kluijtmans-Poulisse, M.S.A.;4;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;23;Vlemmings, M.J.J.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Wagelmans, M.H.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
;;25;Linders, J.G.E.;12;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;7;0;0
;;26;van den Heuvel, M.M.F.;7;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;2;0;0
;;27;Eekels, J.F.G.;4;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van der Linden, H.F.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Doudart de la Grée, G.C.H.;5;1;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0
;;30;van Leuken, S.;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Kivits, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Opheij, J.G.H.M.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
;;33;van Kaathoven, M.W.E.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
;;34;Beekmans, A.P.M.C.;3;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0
;;35;Kivits-Eekels, H.H.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Leeuw, J.T.L.M.;3;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
;;37;Beekmans, J.A.H.;6;0;0;2;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;38;Pouwels-Ruhl, C.J.;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;39;Huijbers, H.H.G.;3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Brouwers, T.M.;4;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
;;41;van den Thillart-Diepstraten, C.G.M.;5;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Heijl-Sterken, P.F.T.;10;3;0;1;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0
;;43;Klessens, L.C.W.;17;3;1;5;3;0;1;2;2;0;0;0;0;0;0;0;0;0;0
4;CDA;;;987;65;69;93;81;47;44;121;80;17;21;49;29;27;68;76;64;13;23
;;1;Meulensteen, A.J.L.;500;32;30;55;48;25;15;62;47;12;18;30;12;7;30;28;32;7;10
;;2;van der Aa, A.P.H.;60;1;2;5;0;0;0;2;3;1;0;3;6;6;9;12;7;0;3
;;3;de Gooijer - Derksen, H.M.;31;0;0;1;3;1;1;0;7;1;3;6;1;1;3;2;1;0;0
;;4;van de Ven - Vogels, A.J.M.;173;15;9;12;15;11;11;25;8;3;0;2;3;7;10;15;20;3;4
;;5;Meulensteen, J.L.T.;37;5;2;5;3;2;2;4;6;0;0;4;0;1;1;1;1;0;0
;;6;van der Heijden, M.J.T.;48;6;4;3;3;0;3;22;3;0;0;0;1;0;0;0;3;0;0
;;7;van Moorsel, N.J.J.;18;2;3;1;0;0;0;0;0;0;0;1;4;0;3;3;0;0;1
;;8;dos Ramos - Verstraeten, R.B.;9;2;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0
;;9;van Moorsel, M.A.C.J.;6;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;10;Welten, G.M.J.M.;6;0;2;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
;;11;van Kempen, C.G.J.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Leenders, J.A.J.;8;0;0;3;1;2;0;1;0;0;0;0;0;0;0;0;0;1;0
;;13;van Rixtel, G.M.T.A.;11;1;2;2;0;0;0;3;1;0;0;0;0;0;2;0;0;0;0
;;14;van der Aa - Klomp, W.M.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0
;;15;Kals, J.M.A.;10;0;0;0;0;0;0;0;0;0;0;0;2;0;1;7;0;0;0
;;16;Brugmans, H.A.W.E.;13;0;3;4;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;17;Rooijakkers, M.H.T.;8;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0
;;18;Kals - Somers, C.M.J.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;19;van der Meij, C.H.;9;0;1;0;3;0;4;0;0;0;0;0;0;0;1;0;0;0;0
;;20;van Sambeek, D.P.A.M.;13;0;4;0;0;4;1;0;1;0;0;1;0;0;0;0;0;2;0
;;21;Rooijakkers, A.J.M.;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Vogels, L.M.C.;10;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;5
;;23;Vermeulen, C.P.;4;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5;Partij van de Arbeid (P.v.d.A.);;;762;44;32;46;32;27;41;65;105;47;60;124;16;23;33;44;14;0;9
;;1;Engels-Strijbosch, L.P.;507;22;17;19;16;14;23;26;75;39;56;99;13;17;26;28;11;0;6
;;2;Vereijken, G.J.J.;92;10;11;11;8;8;11;22;3;2;0;1;1;1;0;1;2;0;0
;;3;Gloudemans, H.L.;24;3;0;2;4;1;1;4;5;1;0;2;0;1;0;0;0;0;0
;;4;van der Sanden, J.A.T.J.M.;27;3;4;9;2;1;2;4;0;0;0;0;0;1;0;1;0;0;0
;;5;Kobussen, J.A.;9;1;0;0;0;0;0;0;0;0;0;0;2;1;1;4;0;0;0
;;6;van Wijk, Y.S.D.;12;1;0;0;0;1;0;0;2;0;0;2;0;1;4;0;1;0;0
;;7;van Ekert, M.J.P.;9;0;0;2;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0
;;8;van de Kerkhof, R.M.G.;20;0;0;0;1;0;2;0;10;0;1;4;0;0;0;1;0;0;1
;;9;van den Brule, T.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;10;Klomp, P.J.M.;11;0;0;0;0;0;0;0;0;1;0;0;0;0;1;8;0;0;1
;;11;van Oosterhout, C.C.M.;8;2;0;1;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0
;;12;Saris, B.;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
;;13;van Hoof, A.D.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
;;14;Kastelijns-Potma, M.A.W.;13;0;0;2;1;1;0;7;0;0;0;2;0;0;0;0;0;0;0
;;15;van Hoof, G.P.J.M.;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;16;van de Ven, J.H.W.;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;17;van Wetten, A.P.J.M.;7;2;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0
;;18;Buter, D.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Strijbosch, J.H.;8;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;1
6;Ouderen Appèl - Hart voor Laarbeek;;;917;46;33;43;63;19;44;78;46;30;25;61;27;52;76;83;130;18;43
;;1;van Zeeland, F.P.A.C.;527;27;17;20;35;11;27;44;25;12;10;19;18;29;39;49;92;18;35
;;2;Peeters, L.W.J.;46;8;3;8;9;4;2;7;0;0;3;0;0;0;0;2;0;0;0
;;3;van Hoek, M.A.;5;0;0;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0
;;4;van Lierop, F.S.M.;36;2;5;5;5;0;0;10;0;0;0;2;0;3;4;0;0;0;0
;;5;de Hoon, A.P.;47;0;3;0;1;0;1;5;4;7;7;17;0;1;0;0;1;0;0
;;6;Bouwdewijns-Klomp, H.A.T.;46;2;1;2;0;0;3;3;10;6;4;12;0;0;2;0;1;0;0
;;7;Vereijken-van Otten, G.M.;22;1;0;2;0;0;1;1;0;0;0;1;0;5;4;7;0;0;0
;;8;van Gemert, H.M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Lierop, H.J.M.;4;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Vogels, H.C.C.A.M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Kemenade-van der Looij, M.J.C.M.;7;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;0;0;0
;;12;van de Westerlo, H.A.J.;12;1;0;0;1;0;0;0;0;0;0;0;3;0;5;2;0;0;0
;;13;van Uden-van den Heuvel, J.M.;11;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;3;0;3
;;14;Klomp, I.P.A.;8;0;0;0;0;0;0;0;0;0;0;1;0;4;0;3;0;0;0
;;15;Keeman-Tielemans, M.C.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kanters-Paans, A.M.;5;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;17;Warbout, D.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0
;;18;Smits-Vervoort, A.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Honings, M.C.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Maas, A.J.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Smits- van Schijndel, J.A.M.;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Corsten, J.H.W.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
;;23;van Bokhoven, J.P.A.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
;;24;Gevers-Manders, A.F.;15;0;0;0;4;0;2;1;0;1;0;0;0;0;0;3;4;0;0
;;25;Houben-van den Heuvel, F.F.A.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;26;van Berlo-Kersten, J.A.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Lierop-van den Heuvel, F.M.;5;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0
;;28;de Hoon, P.A.;9;0;1;1;1;0;1;0;2;0;0;2;0;0;0;1;0;0;0
;;29;Staadegaard-Franssen, C.M.J.;7;1;0;0;0;0;0;0;2;1;0;0;0;1;0;2;0;0;0
;;30;Dekkers, H.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0
;;31;Peeters, G.J.A;3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Hoefsloot, T.;7;0;0;1;1;0;0;0;0;0;0;0;1;2;2;0;0;0;0
;;33;Vogels, J.G.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;de Korte, G.L.M.;3;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
