Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Parrotia;Cultuurhuis de Suite;Buurthuis Keijenburg;Recreatiezaal Mimosaflat;Fatimahuis;Wiekendael;Buurtcentrum Kalsdonk;Buurtcentrum Kalsdonk;Parkeerterrein Liebau;Huis van de Westrand;Kadeplein;Moeder Godskerk;Moeder Godskerk;De Wieken;RSC Alliance;De Levensschool;'t Dijksteeke;'t Dijksteeke;Jan Tinbergen College;Sterrebos;Nisipa;Vondelschool;Schuurkapel;Schuurkapel;De Bergspil;De Wingerd;De Wingerd;Sterrebos;Werkplein Hart van West-Brabant;Huis van de Westrand;De Wieken;De Levensschool;RMHC De Pelikaan;RKVV Roosendaal;NS Station;RKSV Cluzona;De Geerhoek;De Geerhoek;ParelMoer;De Schalm;De Spil;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;101;102;103;104;105;106;201;202;203;204;205;206;207;208;301;302;303;304;305;306;307;308
Postcode;;;;;4701 PH;4701 EK;4702 CG;4702 BR;4702 GZ;4708 ZB;4702 RH;4702 RH;4703 CC;4703 HX;4703 GG;4707 AW;4707 AW;4707 CC;4707 XD;4707 TZ;4706 LB;4706 LB;4706 EZ;4706 LL;4709 AN;4707 AG;4708 DE;4708 DE;4708 HK;4708 KC;4708 KC;4706 LL;4701 GZ;4703 HX;4707 CC;4707 TZ;4708 AV;4708 AP;4702 VX;4724 BL;4724 EE;4724 EE;4727 SJ;4726 AH;4725 AC;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH
;;1;van Gestel, A.;2184;48;55;44;42;46;34;34;33;57;41;41;48;45;34;33;51;59;65;18;29;21;54;32;31;79;69;70;49;37;35;28;52;103;50;11;12;22;24;22;52;11;28;42;41;3;10;3;21;9;46;91;57;13;47;4;35;13
;;2;van der Star-Deijkers, E.G.A.;904;28;21;32;11;33;19;9;8;13;11;18;11;19;32;19;13;26;22;5;12;4;21;35;14;46;35;33;10;20;8;27;19;33;20;8;2;6;11;5;14;9;10;12;12;0;3;0;8;2;22;18;23;3;12;3;29;5
;;3;de Regt, E.J.C.;1053;3;4;5;1;2;2;1;0;3;2;3;6;8;4;3;3;7;5;3;2;5;5;3;5;8;7;12;6;6;6;1;4;10;5;3;146;171;189;42;113;28;1;3;4;59;1;3;3;0;6;1;9;99;3;6;9;4
;;4;Brouwers, W.C.H.;530;5;14;116;76;73;4;9;9;11;7;4;2;1;7;4;4;6;14;4;5;2;2;3;5;5;7;4;5;21;6;7;1;4;6;3;0;2;0;3;9;0;8;2;8;0;0;1;1;2;5;6;8;1;2;0;5;11
;;5;Raggers, K.A.;143;0;6;1;4;1;1;2;4;0;2;1;0;3;0;3;0;29;9;1;3;0;3;1;0;0;6;2;10;0;0;2;1;2;1;2;0;0;1;0;0;0;0;15;0;0;0;0;1;0;3;17;2;1;0;1;1;1
;;6;van Zalinge, G.A.;255;10;10;7;7;8;3;3;2;5;1;5;5;4;10;8;2;20;15;6;6;0;9;3;0;11;1;4;13;4;3;4;2;1;6;2;0;2;0;0;0;0;1;12;0;0;0;0;1;4;5;15;3;0;2;0;7;3
;;7;Verbeek, M.W.C.;185;5;2;3;3;2;1;0;0;3;4;3;8;6;1;3;0;9;8;2;0;1;21;3;0;20;8;2;2;2;5;1;0;1;7;1;2;3;0;0;0;1;2;2;3;1;0;0;7;0;1;4;5;1;4;1;8;3
;;8;Heeren, J.F.A.;217;2;4;1;1;0;4;4;3;2;2;0;3;6;2;2;1;4;4;0;2;0;11;10;12;16;9;20;2;0;2;8;5;9;9;1;0;1;5;1;0;2;0;0;5;0;3;0;2;3;4;2;18;0;4;0;4;2
;;9;Jochems, A.C.P.M.;129;1;0;1;0;3;0;0;0;1;0;2;1;2;2;0;1;1;0;0;3;0;0;1;0;2;2;3;0;1;0;0;1;0;0;1;16;12;38;5;10;1;3;0;3;0;0;0;0;1;0;1;0;10;0;0;0;0
;;10;Machielsen, M.G.A.;48;1;0;3;0;1;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;3;0;1;2;11;2;3;0;4;0;0;0;2;4;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0
;;11;Brouwers, J.B.L.;123;0;1;2;6;0;2;0;0;0;1;1;1;1;3;1;0;1;3;0;0;0;0;0;0;0;1;2;0;2;0;2;0;0;0;0;5;2;5;8;62;1;0;2;0;0;0;0;0;1;0;0;0;2;0;0;3;2
;;12;van Osta, P.J.;78;0;0;1;2;1;2;4;3;0;2;2;2;4;1;2;5;0;2;0;2;0;3;0;0;2;0;5;1;0;2;7;1;3;2;2;0;0;0;0;0;0;0;0;4;0;1;0;2;1;2;3;1;0;0;0;1;0
;;13;de Waard, M.J.M.;76;3;1;0;3;1;14;1;1;0;1;3;1;1;0;0;1;3;4;2;1;0;0;1;1;5;3;6;2;0;3;1;0;3;0;0;0;1;0;0;0;1;0;1;1;0;2;0;0;0;1;1;0;0;0;0;1;1
;;14;de Backer, G.C.M.;20;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;2;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;in 't Veen, C.M.W.;121;2;0;3;3;6;3;1;0;2;4;1;3;2;2;2;2;5;6;4;5;0;4;2;0;5;3;2;4;0;0;3;4;1;0;2;0;1;1;0;0;0;0;14;2;0;1;0;2;0;2;6;0;0;0;1;1;4
;;16;Roks, C.D.J.;116;3;0;7;5;3;2;5;5;6;2;2;1;2;1;2;3;4;6;0;2;1;4;0;1;5;2;2;3;4;2;3;2;0;2;4;0;1;0;0;1;2;1;2;1;0;1;0;0;1;1;1;2;2;1;0;3;0
;;17;Roks, F.A.C.;189;4;3;7;1;8;12;4;18;3;3;4;4;3;7;2;4;0;2;3;1;0;7;8;4;7;1;4;2;5;6;5;1;4;1;1;0;2;1;0;0;0;0;4;1;1;3;0;0;1;5;7;0;0;1;0;10;4
;;18;van Reusel, G.A.C.M.;16;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;3;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;19;den Boer, J.A.;23;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;6;0
;;20;Francken, P.;35;1;0;1;0;1;4;1;0;0;0;0;0;0;2;0;0;0;4;1;0;0;2;0;0;3;0;0;0;2;0;0;1;2;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;3
;;21;van Oers, J.P.C.A.A.;52;1;2;2;3;3;0;0;0;2;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;10;3;1;2;1;0;0;0;2;0;2;2;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;3;0;0;0;0;0
;;22;Hopstaken, R.M.E.;7;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Lodiers, C.J.A.;60;0;0;0;1;1;0;0;0;2;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;42;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0
;;24;de Bakker, R.C.W.P.;16;0;2;0;4;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;3
;;25;Wagemakers, J.C.M.;14;0;2;0;1;0;0;0;0;1;0;1;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;26;van Loon, J.W.C.;37;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;5;0;0;1;2;3;3;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;11;1;0
;;27;IJsenbrant, A.M.M.;12;0;0;0;2;0;0;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
;;28;Konings, J.M.M.A.;21;0;2;4;0;4;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0
;;29;Wijnen, M.F.J.;12;8;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Martens, R.J.P.;22;0;0;0;1;3;0;0;0;0;0;2;0;0;0;0;0;1;4;1;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;31;van Eijkeren, E.A.M.;7;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Heikoop, R.C.;6;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;33;Heeren, A.E.J.M.;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Schepers, C.A.F.;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Pluijmen-Schijven, L.A.;23;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;9;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
;;36;Meeuwissen, A.A.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;3;5;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;37;Franken, G.J.;10;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0
;;38;Schalk, W.A.D.;20;1;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;1;0;1;4;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0
;;39;Geleyns, P.L.;20;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;0;0;0;4;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0
;;40;Hermans, C.L.C.J.;14;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0
;;41;van Meer, J.A.M.;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;3;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
;;42;van Oers, J.C.J.;32;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;1;1;1;1;6;0;4;1;1;2;0;2;0;0;0;0;0;1;0;1;0;0;0;0
3;VVD;;;2739;101;65;46;34;71;53;19;37;39;20;25;40;43;30;43;42;116;97;28;71;30;54;35;34;104;97;96;69;42;43;26;43;139;65;60;19;42;31;28;51;42;53;55;22;10;8;4;44;14;60;83;83;32;15;8;58;20
;;1;Vermeulen, S.M.J.;1458;39;34;19;14;42;19;14;20;10;11;9;21;31;20;24;23;71;51;19;38;14;25;14;19;60;55;61;35;18;10;18;28;60;38;21;11;21;22;19;46;21;30;34;14;7;2;2;31;12;28;47;41;13;8;1;33;10
;;2;Verstraten, C.F.J.;306;27;7;8;5;10;4;2;6;8;0;6;4;0;0;6;4;12;10;3;13;9;6;1;2;6;7;10;8;14;2;2;3;5;3;19;1;5;0;0;1;5;13;4;0;0;2;0;0;2;12;9;8;2;3;0;5;2
;;3;van der Bijl, M.;35;2;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;1;4;0;2;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;3;1;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0
;;4;Nefs, M.;81;1;2;1;0;0;2;0;1;2;0;1;1;2;2;3;0;8;3;0;3;0;4;1;0;3;1;4;3;1;1;0;0;3;1;4;0;0;0;0;1;0;1;3;0;0;1;0;1;0;3;4;3;2;1;0;1;2
;;5;Eijck-Stein, A.T.;45;1;1;0;0;0;0;1;2;2;3;0;0;0;0;0;0;1;3;0;0;0;2;2;2;2;0;2;0;0;7;0;2;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;1;2;1;1;0;0;0;1
;;6;van Velthoven, D.J.;101;12;1;3;0;0;4;0;0;1;1;1;2;0;0;4;2;2;5;0;3;0;4;4;2;7;3;0;5;2;0;2;0;7;4;3;0;0;1;0;0;0;4;0;0;0;0;0;1;0;0;0;5;1;0;0;5;0
;;7;Boons, G.A.H.M.;46;0;0;0;0;3;0;0;0;0;0;0;1;1;1;1;0;1;4;0;0;2;1;6;0;4;2;1;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;1;3;3;0;1;1;1;0
;;8;Bolmers, G.A.;16;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0
;;9;Bruijns, H.M.M.;17;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;4;0;0;0;1;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;10;Durgun, M.;71;3;10;0;0;2;2;0;5;0;1;0;0;0;0;1;2;2;1;0;2;2;2;0;0;1;1;1;1;0;14;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;2;0;1;2;0;2;1;2;3;1
;;11;Bartels, M.E.A.;73;1;0;0;4;1;2;0;0;0;1;0;6;2;0;1;3;3;4;0;2;1;1;1;0;2;1;3;0;0;0;1;0;0;5;2;2;0;1;6;1;2;0;0;0;2;0;0;2;0;0;2;2;2;0;0;2;2
;;12;Jansen, H.P.M.;21;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;1;0;2;1;0;0;1;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;13;Brans, B.C.P.A.M.;39;1;0;1;3;1;0;0;0;0;0;0;0;1;0;0;0;3;2;0;0;0;0;0;0;1;1;1;1;0;0;0;0;10;1;0;0;0;4;0;0;0;1;0;3;1;0;0;0;0;0;0;3;0;0;0;0;0
;;14;Witte, B.;17;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;6;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;15;Lok, C.;26;0;4;0;0;2;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;3;3;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
;;16;de Jong, A.J.;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Vukosavljevic, D.;56;5;1;0;1;4;5;0;1;0;1;1;0;0;0;1;0;5;2;0;1;0;0;1;0;0;1;1;2;1;1;1;0;0;4;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;2;6;0;2;0;0;0;2
;;18;Knarren, E.;27;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;2;0;1;3;1;0;1;0;0;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
;;19;Nieuwlaat, J.M.C.;24;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;3;1;0;3;1;0;2;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;20;Zagers, J.D.A.;36;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;4;2;0;0;0;0;1;0;2;6;3;2;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;2;0;0;0;2;0
;;21;Frijters, A.L.C.;18;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0
;;22;Smits, P.H.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Schoonen, F.M.;19;1;0;0;0;1;1;0;0;2;0;1;1;1;0;0;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;24;Vromans, W.M.A.;36;0;1;0;0;2;5;0;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;2;1;0;1;2;1;1;0;0;0;0;0;2;0;1;1;0;0;0;1;0;3;1;2;0;0;0;0;0
;;25;de Bot, G.A.J.M.;25;0;0;3;1;0;1;0;0;5;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;2;2;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;26;de Groen, A.J.M.;136;1;2;7;3;3;2;0;0;5;1;2;3;1;3;0;4;0;2;2;2;1;4;2;3;8;2;0;3;1;3;1;2;26;7;4;0;0;0;0;0;2;0;3;1;0;0;0;2;0;4;0;6;3;1;0;4;0
4;CDA;;;2462;51;46;40;33;62;23;18;12;53;20;21;38;49;46;38;53;78;62;24;52;199;57;20;26;55;49;67;76;27;9;37;47;56;32;18;57;70;69;20;62;43;25;55;22;18;15;29;37;7;41;75;46;30;29;43;60;15
;;1;Roeken, D.C.M.;1412;28;25;25;15;38;11;7;7;37;11;10;21;22;28;19;39;42;37;14;25;184;33;9;15;23;25;31;44;13;5;22;21;35;18;4;18;29;34;12;35;30;17;25;16;8;7;26;19;6;18;45;27;13;16;41;22;5
;;2;van Ginderen, M.A.C.M. J.;276;10;4;5;3;7;5;2;2;5;3;0;4;4;5;5;6;9;8;2;14;3;2;6;5;11;9;15;13;3;2;2;8;11;1;6;6;3;4;1;3;4;2;4;3;0;4;2;2;0;7;13;6;0;3;0;5;4
;;3;Hamans, A.S.;51;1;1;0;0;1;1;0;0;3;0;1;0;2;0;3;1;0;2;0;0;1;1;1;0;3;3;1;2;1;0;2;2;1;0;1;1;0;0;0;1;0;1;2;0;0;0;0;0;0;2;0;4;0;3;0;2;0
;;4;Smits, P.F.A.;92;0;1;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;23;12;2;9;1;1;0;0;5;2;0;0;0;1;0;0;6;0;0;0;0
;;5;Jansen, G.B.J.;49;1;0;2;6;7;1;0;0;0;1;1;0;0;2;0;0;2;4;0;0;1;2;0;0;3;0;3;2;0;0;3;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;1;0
;;6;de Jong, J.C.M.;37;1;1;1;0;0;0;2;2;0;0;3;0;0;1;5;2;1;1;0;0;0;0;0;1;0;0;0;2;1;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;4;2
;;7;van Ginkel-Fokke, A.J.;46;2;0;1;0;1;0;0;0;1;0;2;0;1;0;1;0;0;1;2;2;0;3;0;1;4;0;2;3;0;1;1;2;0;3;1;0;1;0;0;0;2;0;0;2;0;0;0;2;1;1;0;0;0;0;0;2;0
;;8;Moeniralam, A.M.S.;62;0;4;0;2;1;3;1;0;0;0;1;1;5;3;0;0;6;2;4;1;0;1;1;0;0;1;1;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;1;4;0;1;2;1;2;0
;;9;van Winden, M.C.;40;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;6;5;12;0;4;1;1;1;0;3;0;0;0;0;0;0;0;1;2;0;0;0
;;10;Backx, A.P.M.;60;0;0;0;0;0;2;0;0;0;0;1;0;1;2;1;0;4;0;0;3;7;0;0;0;0;2;0;1;0;0;3;0;1;2;0;2;0;0;4;5;2;0;3;0;0;0;0;0;0;0;8;1;3;0;0;2;0
;;11;van de Vrede, J.A.;9;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;Lanooij, M.A.L.;30;3;1;0;0;0;0;0;0;2;0;0;3;2;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;5;1
;;13;van Geffen, H.J.;6;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Claassens, H.P.F.M.;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;3;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;15;Lanooij, J.M.P.H.;29;1;0;2;2;2;0;1;1;0;2;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;3;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;3;0
;;16;Biskop, J.J.G.M.;19;1;2;1;1;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
;;17;Jongmans, P.G.C.;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;18;van Oosterhout, W.F.J.M.;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Langermans, H.G.L.;9;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;20;van Mechelen, R.P.M.;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0
;;21;Roeken, J.C.C.;18;0;3;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;1;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
;;22;van Steekelenburg, P.P.M.;30;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;6;1;3;1;0;0;0;2;0;0;0;0;0;0;2;5;0;0;0;0
;;23;Kerkhof-Mos, C.C.;25;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;2;1;0;1;1;0;0;0;0;0;0;1;2;0;0;0;4;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
;;24;Breedveld, R.;114;1;4;0;0;4;0;1;0;2;1;1;7;7;2;1;1;5;3;1;2;0;9;2;2;5;1;6;1;2;0;0;6;0;4;3;0;3;0;0;0;0;0;2;1;0;0;0;5;0;4;2;3;0;3;0;4;3
5;GROENLINKS;;;2492;93;49;107;58;98;62;61;56;49;28;43;42;40;32;59;34;99;104;43;30;20;49;41;32;90;49;48;41;59;18;41;36;39;19;74;20;37;28;15;34;33;33;55;30;5;8;1;34;15;67;85;35;8;21;5;62;18
;;1;Koenraad, C.F.G.R.;1469;58;34;56;36;55;36;22;25;37;15;21;22;20;19;31;25;54;57;21;20;11;31;30;19;58;27;30;26;31;11;21;19;22;9;41;13;23;21;9;22;23;18;30;26;3;6;1;26;9;41;56;22;8;12;4;31;15
;;2;El Azzouzi, N.;538;26;7;36;9;32;13;27;20;6;8;11;12;6;6;14;5;26;21;17;5;2;10;4;7;15;11;7;9;15;5;8;8;10;7;20;2;5;5;3;7;1;7;15;1;2;1;0;3;1;13;11;4;0;4;0;8;0
