Verkiezing;;Gemeenteraad Oosterhout 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oosterhout;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Theater de Bussel;Pannehoef;"Speelgoed-& Carnavalsmuseum ""op Stelten""";Loods bij MidZuid;Sporthal Markkant;Arendshof;"Activiteitencentrum ""De Bunthoef""";Oosterheidehal;ATV Scorpio;Gymzaal Kruidenlaan;Sporthal Arkendonk;Voetbalvereniging SCO;Twins Sporting Club;"Gemeenschapshuis ""Oostquartier""";De Klip;"Dorpshuis ""Den Brink""";VV Oosterhout;Oosterheem;"Activiteitencentrum ""Dommelbergen""";De Doelen;Stadhuis;Pannehoef;Oosterheidehal;Sporthal Arkendonk;Stadhuis;Pannehoef;Oosterheidehal;Sporthal Arkendonk
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;31;32;33;34;41;42;43;44
Postcode;;;;;4902 ZP;4901 EJ;4905 AT;4901 HT;4902 SE;4906 KB;4901 NE;4904 CA;4904 LH;4903 RA;4907 AB;4907 ZJ;4908 DW;4907 EA;4909 AL;4849 BG;4911 AW;4906 MK;4901 MN;4907 XP;4901 JA;4902 ZP;4905 AT;4904 LH;4907 ZJ;4902 ZP;4905 AT;4904 LH;4907 ZJ
;opgeroepenen;;;45865;4044;3175;2504;1146;1769;2782;1341;2518;3719;895;2463;2501;2352;1779;930;2725;896;3376;1772;2067;1111;0;0;0;0;0;0;0;0
;geldige stempas;;;18364;1023;1212;820;687;107;1525;171;739;918;194;979;861;427;329;513;1151;657;84;411;569;355;579;480;384;537;788;753;478;633
;geldig volmachtbewijs;;;2472;167;143;107;100;20;223;19;75;152;37;106;119;49;36;78;168;90;15;51;63;42;69;52;71;68;112;88;85;67
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;20836;1190;1355;927;787;127;1748;190;814;1070;231;1085;980;476;365;591;1319;747;99;462;632;397;648;532;455;605;900;841;563;700
;geldige stembiljetten;;;20760;1183;1348;927;784;127;1743;190;804;1068;231;1085;975;476;363;588;1317;746;95;462;628;395;641;529;454;605;898;839;561;698
;blanco stembiljetten;;;54;5;7;1;3;0;2;0;4;1;0;1;1;0;2;2;1;1;4;0;0;0;7;3;1;0;2;2;2;2
;ongeldige stembiljetten;;;25;1;0;0;0;0;3;0;6;1;0;0;5;0;0;1;1;0;0;0;4;2;1;0;0;0;0;0;0;0
;aangetroffen stembiljetten;;;20839;1189;1355;928;787;127;1748;190;814;1070;231;1086;981;476;365;591;1319;747;99;462;632;397;649;532;455;605;900;841;563;700
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeentebelangen Oosterhout;;;4762;265;317;165;182;25;424;36;190;290;39;281;213;134;80;59;568;64;34;78;144;79;118;84;87;143;200;173;113;177
;;1;Piena, C.;1418;63;82;53;35;8;170;14;59;89;16;143;71;52;22;7;21;23;10;25;56;26;37;27;20;68;57;56;24;84
;;2;Hoosemans, W.P.J.M.;687;12;9;5;3;1;18;1;17;12;1;12;3;9;5;9;509;4;0;3;5;3;5;6;8;0;3;10;10;4
;;3;Kastelijns, A.A.B.;425;31;44;20;28;8;27;5;25;15;3;15;19;17;2;10;4;6;11;13;9;17;14;10;4;11;25;15;6;11
;;4;Buinsters-van Bragt, P.H.;479;22;24;15;14;1;38;2;26;93;3;26;18;12;4;2;10;9;2;8;15;2;11;8;27;7;14;16;33;17
;;5;Dujardin-Rombouts, M.C.J.A.;153;7;20;8;4;0;13;3;5;1;1;14;4;6;3;20;3;3;0;2;4;1;5;3;5;2;6;4;2;4
;;6;Kastelijns, J.H.J.;138;8;13;8;21;1;8;2;4;3;0;5;5;4;4;0;0;0;0;5;0;7;5;1;3;6;15;4;1;5
;;7;Lossez, A.E.;264;21;26;14;18;2;32;2;9;19;4;12;9;0;6;2;4;5;2;2;3;3;3;5;5;8;13;12;7;16
;;8;Içli, Z.;143;29;12;2;1;0;8;0;12;15;0;0;14;0;1;1;0;0;0;0;4;0;7;4;3;3;7;5;9;6
;;9;Jespers, A.P.M.;109;2;13;8;5;0;7;0;4;4;0;7;6;1;2;3;0;0;0;3;1;7;7;4;1;4;8;8;2;2
;;10;Martens-van Vlaenderen, C.G.J.M.;109;5;4;1;0;0;4;1;3;2;1;11;19;5;8;1;2;0;1;1;18;2;0;1;3;4;0;3;2;7
;;11;Esseboom, G.;149;13;9;10;1;0;35;0;4;8;1;6;5;3;4;0;2;2;4;3;3;1;3;5;3;3;4;7;4;6
;;12;Goemaat, G.P.;64;2;6;1;0;0;15;2;2;2;4;4;2;0;2;0;6;2;0;1;0;0;1;0;0;0;3;7;2;0
;;13;van Rijthoven-van Beek, M.J.C.F;47;4;3;0;1;0;5;0;2;4;1;1;2;0;2;0;1;1;0;0;2;1;2;4;2;2;2;4;0;1
;;14;van Rijthoven, M.M.D.P.C.;161;7;21;3;14;2;9;1;4;6;2;3;12;11;2;1;0;3;0;8;7;5;1;0;1;7;15;7;2;7
;;15;van Gastel, H.A.W.;66;5;2;5;3;0;4;0;0;5;1;7;3;4;1;0;0;3;0;0;4;1;10;3;0;2;2;1;0;0
;;16;Piena, B.;52;5;5;2;1;0;5;0;2;4;0;1;7;5;5;0;0;0;1;0;1;0;0;0;0;2;3;0;0;3
;;17;de Leeuw, R.A.W.H.;30;1;2;1;0;0;3;0;1;1;0;1;2;0;1;0;1;0;1;0;4;0;1;0;0;5;1;2;1;1
;;18;Loonen, A.C.C.R.;74;5;4;2;11;0;15;0;4;0;0;5;5;1;2;0;1;1;0;1;0;0;0;0;1;2;11;2;1;0
;;19;Schouwenaars, A.C.L.;21;0;1;2;5;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;2
;;20;Bogers, J.D.F.;57;7;7;4;15;0;0;1;0;0;0;4;2;1;1;3;0;2;1;0;0;0;1;3;0;1;0;2;2;0
;;21;Snoeren, J.C.M.;10;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;3;0;0;0
;;22;Oomen-van Trier, J.P.P.A.;39;11;2;0;1;2;5;0;2;1;0;1;0;0;2;0;0;0;0;2;1;0;0;0;0;3;1;3;2;0
;;23;Koenen, N.C.M.;11;0;2;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
;;24;van den Hout, P.A.H.J.;11;0;0;0;0;0;0;1;0;0;0;1;2;1;1;0;0;0;0;0;0;1;0;0;0;1;0;2;1;0
;;25;Gabriëls, F.W.S;8;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
;;26;van Dortmont, P.L.;37;4;2;0;1;0;2;0;1;5;0;0;1;2;0;0;1;0;0;0;6;1;1;0;1;2;3;1;2;1
2;VVD;;;2961;174;159;167;89;5;437;29;76;126;75;173;135;56;49;36;102;119;17;71;48;63;99;100;49;79;120;164;68;76
;;1;Melsen, D.F.J.;1331;64;76;76;46;3;193;16;34;61;30;78;66;28;30;22;46;30;9;32;28;36;39;47;24;37;43;70;35;32
;;2;de Wit-van Loon, M.B.T;519;18;29;29;14;0;98;4;13;17;8;42;24;10;5;8;13;18;1;18;11;9;17;15;9;15;18;27;10;19
;;3;Wesel, P.W.M.;114;1;6;7;1;0;17;1;1;7;7;8;4;2;1;1;0;4;2;3;0;6;4;4;1;6;5;9;4;2
;;4;Mertens, H.H.M.;45;1;2;6;2;0;3;0;4;1;3;4;2;0;1;0;2;0;0;0;0;0;0;3;1;1;5;3;0;1
;;5;Mulders, A.A.C.;90;4;0;3;2;0;12;0;0;3;0;4;1;3;0;1;0;45;1;1;1;0;1;0;0;0;5;2;0;1
;;6;Et-Talabi, J.;83;0;4;5;1;0;13;1;3;0;2;3;7;1;2;0;2;0;2;0;1;4;1;7;0;3;5;5;5;6
;;7;Jacobs, B.F.J.;48;0;4;1;1;0;2;0;1;14;2;1;1;1;0;0;0;0;0;1;0;2;1;0;4;1;1;2;6;2
;;8;Raaijmakers, M.J.G.;186;46;16;8;6;0;9;2;1;0;4;3;5;3;1;2;0;1;0;3;2;1;22;5;1;8;21;10;3;3
;;9;Heintjes, G.A.M.C.;36;1;5;0;0;0;2;0;2;0;0;0;8;1;2;0;0;0;0;0;2;0;0;2;0;3;4;2;0;2
;;10;Snoeren, H.P.F.;52;11;4;2;4;1;7;1;0;2;1;1;9;0;0;0;0;0;1;2;1;1;2;1;0;0;1;0;0;0
;;11;Beins, C.M.;41;4;2;4;1;1;5;0;1;6;3;0;2;0;0;0;2;1;0;0;0;0;1;2;0;0;1;5;0;0
;;12;Boermans-Prevoo, E.T.H.;91;4;1;3;1;0;27;3;3;1;9;5;1;2;2;0;1;3;1;5;0;0;1;3;1;1;1;9;2;1
;;13;Nuiten, P.J.E.M.;36;0;0;1;3;0;8;0;3;1;1;7;0;2;0;0;0;0;0;0;0;1;1;0;2;1;4;0;0;1
;;14;Peterse-Bras, P.C.;38;2;0;0;1;0;4;1;1;0;0;2;1;0;0;0;6;9;0;2;0;0;0;0;1;0;1;4;2;1
;;15;van der Rijken, N.A.;14;0;4;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
;;16;Wetzels-Ruiters, M.W.H.;40;1;0;6;1;0;13;0;1;2;0;2;2;0;0;0;0;1;0;0;1;0;1;2;2;1;1;2;0;1
;;17;Rutgrink, M.W.J.M.;4;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
