Verkiezing;;Gemeenteraad Bernheze 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bernheze;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1721;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Cultureel Centrum De Pas 1;Cultureel Centrum De Pas 2;Zaal 't Tunneke;Sporthal 't Vijfeiken;Sportzaal Lindershof 1;Sportzaal Lindershof 2;Cultureel Centrum Nesterlé;Sporthal De Overbeek 1;Sporthal De Overbeek 2;Cultureel Centrum De Stuik;Cultureel Centrum De Wis;Cultureel Centrum Bernrode;Sportzaal Bernrode;Cultureel Centrum Servaes;Sporthal De Zaert;Cultureel Centrum De Pas;Cultureel Centrum Nesterlé;Cultureel Centrum Servaes;Cultureel Centrum De Pas;Cultureel Centrum Nesterlé;Cultureel Centrum Servaes
;;19;Arts, M.J.J.M.;4;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0
;;20;van der Pas, R.M.A.;13;0;0;0;0;0;0;0;0;1;0;1;0;0;3;3;0;0;4;0;0;1
;;21;Kanters, J.T.;27;2;0;0;0;0;0;0;0;0;2;5;4;4;3;4;0;0;2;0;1;0
;;22;van den Akker, J.H.;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;23;van der Heijden, J.L.M.;5;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Kuijpers, H.C.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1
;;25;Beeftink, J.M.;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1
;;26;Broekman, H.T.A.;22;2;1;0;3;2;3;0;0;0;0;0;0;0;0;1;7;0;0;3;0;0
;;27;van Sleuwen, J.M.;10;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;3;0;0;3
;;28;van der Wijst, A.C.M.;6;0;0;3;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;29;van Dijk, A.J.;8;0;1;1;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;2;0
;;30;Daandels, H.A.W.M.;7;0;0;0;1;0;0;0;0;0;3;0;0;1;1;0;0;0;1;0;0;0
;;31;van Lith, W.J.G.;22;0;0;0;0;0;0;1;0;0;18;0;0;1;0;0;0;0;0;2;0;0
;;32;Leeger, E.M.;5;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1
;;33;van Boekel, P.A.M.;36;4;5;3;8;4;2;0;0;0;4;0;0;0;0;0;2;0;0;3;0;1
2;Lokaal;;;2940;98;126;89;119;63;55;418;183;214;271;124;102;78;139;115;105;155;46;142;208;90
;;1;Wijdeven, M.A.W.J.M.;1172;38;35;28;41;19;16;228;97;110;51;26;29;15;31;28;34;108;20;56;133;29
;;2;van de Ven, F.M.;173;15;28;20;21;17;8;4;2;1;2;2;0;0;0;2;22;2;0;25;2;0
;;3;Jacobs-Bardoel, G.M.F.T.;245;5;8;3;7;4;7;4;2;7;9;3;34;31;42;41;3;3;7;6;4;15
;;4;Schaareman, A.A.;36;7;5;4;6;1;3;0;0;1;0;2;0;0;0;0;4;0;0;3;0;0
;;5;Bouwman, J.C.;96;1;0;0;0;0;0;0;0;1;0;3;16;1;24;12;1;0;9;1;2;25
;;6;van Kessel, G.H.M.;108;1;1;1;4;0;0;29;29;17;1;1;0;0;1;1;0;10;0;0;10;2
;;7;Kerkhof, A.H.H.M.;98;2;0;2;2;2;1;30;8;11;0;0;0;0;5;0;1;11;0;8;14;1
;;8;van der Heijden, B.C.J.;87;3;1;0;1;0;1;27;16;21;0;0;0;0;0;0;1;4;0;0;10;2
;;9;van de Ven, M.C.M.;60;8;8;6;12;5;3;1;0;0;0;0;0;0;0;0;9;0;0;7;1;0
;;10;Houweling, R.;197;0;0;0;0;1;0;0;2;0;191;0;0;1;0;1;0;0;0;0;1;0
;;11;van den Dobbelsteen, E.I.J.M.;73;2;9;13;7;3;2;5;0;4;2;4;0;1;1;1;8;0;0;8;0;3
;;12;Dobbelsteen-de Mol, M.A.A.J.;113;1;0;0;0;1;0;0;1;0;1;69;3;14;5;7;3;0;1;4;2;1
;;13;Verstegen, G.J.;16;3;2;3;0;0;1;1;0;0;0;0;0;0;0;0;3;0;0;3;0;0
;;14;Geurts, R.M.C.;29;0;2;0;0;0;0;8;2;4;0;0;0;0;0;0;0;7;0;1;5;0
;;15;van Berloo-Dortmans, M.A.;33;0;0;0;0;0;0;1;0;0;0;0;12;5;4;4;0;0;3;0;0;4
;;16;Leeijen, J.G.J.;27;1;2;1;7;3;3;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0
;;17;van Rooij, P.J.;26;0;0;0;0;0;0;15;3;4;0;0;0;0;0;0;1;1;0;0;2;0
;;18;van Daal, J.M.M.;37;0;0;0;0;0;0;0;0;0;0;0;5;6;8;9;0;0;3;0;0;6
;;19;Leenders, N.J.A.;32;1;1;2;1;0;0;12;7;8;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van de Ven, S.F.M.;6;2;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;21;Minten, J.A.H.J.;19;1;3;3;2;1;4;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0
;;22;Sanders-Wijdeven, N.C.P.M.;20;0;0;0;2;0;0;8;0;3;0;0;0;1;0;0;0;3;0;0;3;0
;;23;Iryanan, R.;18;0;0;0;2;0;0;13;0;1;0;0;0;0;0;0;0;0;0;0;2;0
;;24;Hanegraaf, T;11;2;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;25;van de Ven, C.J.M.;14;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;1
;;26;Vos, J.A.H.;13;1;0;1;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;27;van Gerven, J.G.M.;13;0;1;0;0;0;1;0;0;0;0;3;3;0;3;0;2;0;0;0;0;0
;;28;Griens, M.;6;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
;;29;Bekkers-Lintermans, H.F.;8;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;1;0;1;1;0
;;30;van den Brand, J.W.M.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Jong, A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;32;van den Broek, H.J.;3;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0
;;33;Timmers, J.A.T.;10;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;1;0;0;4;0
;;34;Ketelaars, M.W.M.;28;0;3;0;0;0;0;15;2;5;0;0;0;0;0;0;0;0;0;0;3;0
;;35;Schets, P.C.W.;10;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;4;0
;;36;Stek, H.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0
;;37;Lunenburg, R.G.A.M.;9;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;1;0;0;0;0;0
;;38;Verheijden, J.A.A.;15;0;0;0;0;0;0;0;0;0;0;1;0;2;7;3;0;0;1;0;0;1
;;39;van der Ven, P.A.M.;5;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;2;0
;;40;Exters, J.A.L.;7;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;1;0
;;41;Strik, M.J.M.A.;3;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;42;Marechal, W.C.B.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0
;;43;Pepers, J.H.L.;6;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0
;;44;de Vaan-Kerkhof, M.J.H.;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;45;van der Linden, M.F.F.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;46;van den Heuvel-van Geelkerken, W.J.E.M.;10;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;2;0;0;2;0
;;47;van Lokven, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van der Ven, A.J.I.M.;5;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Wingens-Reijnen, C.M.W.;6;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;50;van Uden-van Grunsven, J.G.M.;18;2;9;1;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0
3;SP (Socialistische Partij);;;1551;125;88;51;128;61;80;90;37;15;24;46;70;68;94;63;116;45;63;158;42;87
;;1;van Erp, C.A.F.;679;53;35;30;70;22;38;47;15;12;14;24;20;22;22;16;64;27;17;81;15;35
;;2;Jansen, M.G.M.;199;20;23;11;25;17;19;5;1;0;1;2;3;2;2;3;24;6;3;18;9;5
;;3;van Beugen, B.;104;9;1;1;2;1;3;0;1;1;5;2;17;7;15;12;2;0;11;1;0;13
;;4;van Vugt, A.N.C.M.;97;2;0;0;0;0;1;0;0;0;0;2;12;15;24;7;2;1;16;3;0;12
;;5;Samuels-Janssen, J.J.;32;2;4;1;1;2;1;0;1;0;0;0;1;0;0;0;3;0;1;13;2;0
;;6;Prinsen, J.P.H.;14;0;0;1;0;0;0;0;0;0;0;1;2;0;1;5;0;0;1;1;0;2
;;7;van den Broek, J.A.A.F.;13;2;0;0;1;0;2;1;1;0;0;0;0;2;1;0;0;0;0;3;0;0
;;8;van Moorselaar, R.E.S.;60;3;3;0;0;1;0;4;0;0;0;1;2;5;12;9;1;1;8;3;1;6
;;9;van Laanen, W.A.M.;22;1;1;0;0;0;0;9;3;2;0;0;0;0;0;0;0;2;0;0;4;0
;;10;Sleegers, P.M.;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
;;11;van den Broek, G.;10;1;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;2
;;12;Nowacka-van Moorselaar, T.;29;2;2;1;0;2;0;6;1;0;1;1;2;0;4;2;2;0;1;1;0;1
;;13;Martens, C.J.;7;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0
;;14;Raaimakers, J.A.M.;30;1;5;0;2;6;2;3;0;0;0;0;1;0;0;0;4;1;0;3;2;0
;;15;van Aarle, M.T.W.;10;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0;0;1;0;3
;;16;Megens, F.T.J.J.;10;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
;;17;Verkaik, M.;15;4;3;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van der Aa, J.H.M.;30;0;0;0;0;0;0;0;0;0;0;0;4;8;5;5;0;0;2;0;0;6
;;19;Heurkens, F.F.W.;14;2;0;0;4;0;0;1;0;0;3;0;0;0;0;0;0;3;0;1;0;0
;;20;van den Hanenberg-van Grunsven, M.A.G.;10;0;0;0;0;0;1;4;3;0;0;0;0;0;0;0;1;0;0;0;1;0
;;21;van der Wielen, G.J.M.;5;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;Hanegraaf, G.M.A.;11;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;1;4;0
;;23;Mulders, S.E.H.;19;6;0;0;2;0;1;0;0;0;0;0;0;0;0;0;3;0;0;6;1;0
;;24;Melssen, J.L.M.;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;25;van Schijndel-Kramer, K.G.E.;12;0;0;0;0;0;0;0;2;0;0;0;1;2;2;0;0;3;0;0;1;1
;;26;Overtoom, T.T.;4;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;27;van Erp-van Peufflik, A.T.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;28;Thomassen-van der Heijden, C.M.;13;4;3;0;0;0;2;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0
;;29;Suiker-Dijkhoff, P.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;1;0;0
;;30;Vos-Welten, H.J.;3;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Ruijs-Ruijs, H.J.M.;6;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;32;van der Biezen, E.F.J.M.;4;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;de Bie-van Oort, A.M.M.;9;2;1;0;1;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;34;van Lieverlooy, N.J.M.;14;1;1;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
;;35;Govers, P.J.M.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van der Wielen-van Rijbroek, P.M.L.;5;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
;;37;Kooijman, A.E.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;38;Ruijs, C.W.H.;15;2;0;0;0;1;0;2;5;0;0;0;0;0;0;0;0;1;0;4;0;0
;;39;van der Heijden, T.C.A.M.;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;40;Kolman-Ruijs, C.P.M.;19;5;1;1;3;1;1;0;0;0;0;0;0;0;0;0;3;0;0;4;0;0
4;D66;;;1575;100;100;108;101;42;43;68;24;27;51;86;111;100;138;98;68;25;59;115;40;71
;;1;Kraus, S.I.;506;51;38;31;27;23;26;29;12;8;26;17;25;19;19;19;25;11;14;54;18;14
;;2;Konings, M.J.M.;322;2;1;4;4;1;0;1;0;1;2;15;54;39;77;56;0;0;32;2;0;31
;;3;Verstegen, G.P.J.;125;10;15;35;31;2;4;0;1;0;0;0;0;2;0;2;4;0;0;19;0;0
;;4;van der Giessen, J.A.M.;137;13;23;21;13;7;6;3;1;1;2;1;4;3;5;2;14;0;0;14;3;1
;;5;Bosch, M.H.M.;73;1;1;0;2;0;0;1;0;0;1;39;3;7;6;3;3;3;0;0;1;2
;;6;van Breemaat, E.A.J.M.;22;3;0;2;2;1;0;3;1;2;0;1;0;0;0;0;2;2;0;2;1;0
;;7;Boellaard, A.;67;12;9;2;5;3;1;0;1;2;1;0;1;0;4;2;11;1;0;7;2;3
;;8;Glastra van Loon, J.H.;12;0;2;1;2;0;0;0;0;0;0;0;0;3;0;0;2;0;0;2;0;0
;;9;Linders, A.M.L.;9;1;0;0;0;1;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;2
;;10;Rijkers, W.B.J.;61;0;1;1;0;1;0;21;6;10;3;5;0;1;0;0;0;2;0;0;10;0
;;11;Derwig, M.;9;0;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;12;Spierings-Broeksteeg, C.J.;18;1;1;0;4;1;0;0;0;0;0;0;0;0;0;0;3;1;0;7;0;0
;;13;Oosterwijk, M.J.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;14;Snelting-van Densen, M.C.J.;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Verhaak, A.C.M.;8;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;1;0;1
;;16;Lunenburg, R.W.M.;13;0;2;3;1;0;1;0;0;0;0;3;0;1;0;0;0;0;0;2;0;0
;;17;Aarts, A.G.J.M.;20;0;0;0;0;0;0;0;0;0;16;0;0;0;2;0;0;0;2;0;0;0
;;18;van Marsbergen-Bosma, A.Y.;52;0;0;0;0;0;1;0;0;0;0;0;10;13;7;8;0;0;7;0;0;6
;;19;van Strien, A.J.G.;5;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Donkers, A.J.M.;32;0;1;1;1;0;0;0;0;0;0;1;2;2;8;1;1;0;4;0;0;10
;;21;Swelheim, T.;12;1;0;0;0;0;0;0;0;0;0;4;1;2;3;0;0;1;0;0;0;0
;;22;Steenbergen, M.Y.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;23;Schuts, L.A.A.M.;21;0;0;0;0;0;0;0;0;0;0;0;5;5;7;2;0;1;0;0;0;1
;;24;Meijer, M.;9;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
;;25;van der Wielen, M.H.M.;21;1;0;1;0;0;0;10;2;3;0;0;1;0;0;0;0;3;0;0;0;0
;;26;Kokshoorn, R.G.P.;15;2;2;4;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
5;VVD;;;1132;112;105;99;113;44;31;70;14;17;41;47;44;29;51;63;60;17;22;105;14;34
;;1;van Gestel, M.C.T.;715;59;66;58;66;26;17;44;9;10;28;24;34;22;35;47;39;10;20;67;6;28
;;2;Bongers, A.A.R.;76;9;13;9;12;2;1;3;0;0;1;1;1;1;6;0;3;1;1;9;1;2
;;3;van de Gein, A.A.;35;7;2;4;3;3;1;0;0;0;1;3;1;1;1;0;5;0;0;3;0;0
;;4;van den Oetelaar, S.A.S.M.;57;7;11;4;3;4;2;2;0;0;2;4;1;1;1;2;1;1;0;11;0;0
;;5;van de Ven, M.M.J.P;73;12;3;16;18;0;5;1;1;1;1;1;3;1;0;0;3;0;0;7;0;0
;;6;Kremers, P.G.M.;26;4;2;1;8;2;1;0;0;0;0;0;0;0;0;2;5;0;0;0;1;0
;;7;van den Akker, A.W.T.;36;5;0;0;0;0;0;12;4;5;1;0;0;0;1;1;0;3;0;2;2;0
;;8;Nellen, A.J.P.;25;5;3;6;2;2;2;0;0;0;2;0;1;0;0;0;1;0;0;0;1;0
;;9;Heerkens, A.J.M.;17;0;0;1;0;0;0;8;0;1;1;0;1;0;1;0;0;0;1;0;3;0
;;10;van Bennekom, G.M.;9;2;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;2;0;0
;;11;Versluis, J.;41;0;0;0;0;1;0;0;0;0;3;13;1;2;6;10;2;0;0;1;0;2
;;12;van Druten, D.W.H.;22;2;5;0;1;4;1;0;0;0;0;0;0;1;0;1;0;2;0;3;0;2
6;Progressief Bernheze;;;1284;100;120;45;81;56;46;51;23;24;67;41;57;50;93;57;99;23;47;126;24;54
;;1;Neelen, E.H.M.;561;58;78;26;43;34;24;23;6;11;9;12;12;18;35;14;51;10;10;64;6;17
;;2;Jansen, J.A.F.;184;17;18;12;17;18;9;6;3;0;1;11;4;4;2;3;25;0;4;26;2;2
;;3;Baarslag, K.H.Y.P.;55;9;7;5;6;0;1;1;0;2;0;4;1;1;3;0;2;1;2;7;3;0
;;4;van Voorden, C.H.E.;12;1;2;0;1;0;1;0;0;0;0;2;0;0;2;0;1;0;0;2;0;0
;;5;van den Helm, L.J.M.;44;9;5;1;6;2;2;1;1;2;1;1;0;0;0;0;6;2;0;5;0;0
;;6;Habraken-Brooijmans, K.I.M.;153;1;0;0;0;0;0;1;0;1;0;7;29;17;25;25;0;0;23;4;0;20
;;7;van den Bogaart, E.C.H.;55;2;0;0;0;0;0;16;8;7;0;0;0;0;3;0;0;9;0;0;10;0
;;8;Potters, H.G.J.M.;29;0;0;0;0;0;0;1;0;0;16;2;3;1;3;0;0;0;2;0;0;1
;;9;van Rooij, C.A.M.;10;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0
;;10;van Beusekom, J.M.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;3;0;0;3
;;11;Geenen, F.A.M.;25;0;2;0;0;0;0;0;1;0;19;0;0;1;1;0;1;0;0;0;0;0
;;12;Bos, J.E.B.;12;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0
;;13;Groote Schaarsberg, A.M.J.;5;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0
;;14;Geenen, C.M.A.N.;18;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;1;0;0;0;1;0
;;15;van der Heijden, W.M.;7;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;2;0;0;2
;;16;Brachel, J.;11;2;2;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;3;0;0
;;17;van Grinsven, D.W.;17;0;0;0;0;0;0;0;0;0;0;2;0;3;4;2;0;0;1;0;0;5
;;18;van Hoof, M.T.M.;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;19;Geurts, S.W.;22;1;0;0;0;0;1;1;0;0;0;0;3;3;0;9;0;0;0;3;0;1
;;20;Eijkman, F.J.T.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Eijkman-Verlaak, C.G.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;22;Bongers, A.J.M.;9;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;1;0;0;2;0
;;23;Buijks, H.G.J.;7;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0
;;24;van der Heijden-van den Berg, J.H.M.;4;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1
;;25;Timmers, L.M.M.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
