Verkiezing;;Gemeenteraad Loon op Zand 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Loon op Zand;;;;;;;;;;;;;;;;;;;
Nummer;;0809;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Klavier;Voormalig Bankkantoor;Gildenbond;Park Vossenberg;Auto-, fiets stemstraat Kaatsheuvel;Buurthuis Pannehoef;De Touwladder;Crossroads;Kerk Sint Jans Onthoofding;De Wetering;Basisschool De Vlinderboom;'t Maoske;Het Klavier;Het Klavier;De Wetering;De Wetering;Mobiel stembureau
;;8;Sprangers, C.W.;19;2;1;2;3;0;1;1;0;0;0;0;0;6;2;0;0;1
;;9;Spitters-Maas, M.J.G.;23;3;0;4;0;1;1;1;10;1;1;0;0;0;1;0;0;0
;;10;van den Dries, G.J.T.J.;10;1;0;0;0;0;0;0;0;2;4;0;0;0;0;3;0;0
;;11;Burgmans, G.A.A.;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;12;Giesbers, R.J.M.;5;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;0;0
;;13;Roelofs, J.K.S.M.;10;0;0;1;0;0;0;0;0;1;3;2;0;0;0;0;3;0
;;14;van Gulik, H.J.M.;24;3;0;2;2;0;3;3;1;0;1;0;0;5;4;0;0;0
3;Voor Loon;;;1084;23;3;17;14;1;14;11;11;186;330;123;5;18;23;109;152;44
;;1;Lommers, H.J.C.;439;7;2;7;4;0;6;4;2;79;120;46;3;8;9;43;66;33
;;2;van Eijndhoven-Brekelmans, K.;234;11;1;2;6;0;6;2;6;41;79;22;1;7;6;12;30;2
;;3;Ligtenberg, W.P.A.;119;2;0;3;0;0;0;3;1;21;39;7;0;0;1;16;23;3
;;4;Nieuwenhuisen, B.M.;44;1;0;1;0;0;0;0;0;8;12;12;0;0;0;5;5;0
;;5;Brekelmans, J.C.G.M;40;0;0;2;2;0;1;0;0;4;15;2;1;0;0;5;7;1
;;6;Ligtenberg, W.J.J.;28;0;0;0;1;0;0;1;0;4;8;3;0;0;2;3;2;4
;;7;Dusée, C.J.A.G;34;0;0;1;0;0;1;0;0;1;8;11;0;0;0;6;5;1
;;8;Lommers-Vermeulen, C.M.C.;18;1;0;0;1;1;0;0;0;0;4;4;0;1;1;4;1;0
;;9;Ligtenberg-Essers, M.M.;26;0;0;0;0;0;0;0;1;1;8;5;0;0;2;4;5;0
;;10;Coenen-Grobbee, J.J.L.M.;5;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
;;11;Leermakers, A.C.G.M.;30;0;0;0;0;0;0;1;1;8;10;2;0;0;1;4;3;0
;;12;Smulders, J.B.J.F.N.;13;0;0;1;0;0;0;0;0;5;3;3;0;0;0;1;0;0
;;13;Bernaards, J.M.T.I.;11;1;0;0;0;0;0;0;0;3;4;1;0;0;0;2;0;0
;;14;Brouwers, P.J.J.;11;0;0;0;0;0;0;0;0;3;5;2;0;0;0;1;0;0
;;15;Steer-Mutsaers, M.E.J.;10;0;0;0;0;0;0;0;0;1;6;0;0;0;0;1;2;0
;;16;van Riel, J.C.M.;5;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0
;;17;Coolegem-Jacobs, P.J.C.;17;0;0;0;0;0;0;0;0;5;3;2;0;2;1;1;3;0
4;VVD;;;1525;131;152;87;104;14;63;108;181;72;179;57;42;115;70;42;57;51
;;1;Mandemakers, S.A.C.;1047;88;119;66;77;12;37;80;144;42;100;32;32;85;48;23;33;29
;;2;Verhoeven, M.C.G.;157;8;9;1;6;1;13;6;4;8;43;11;7;0;0;10;13;17
;;3;van de Wouw, W.;72;13;6;7;6;0;0;6;15;1;2;1;0;11;3;0;0;1
;;4;Hoes, S.C.M.;42;0;2;0;0;0;0;0;3;9;12;6;0;0;4;1;5;0
;;5;Geijsen, M.;41;3;2;4;1;0;2;1;2;7;2;4;0;0;0;6;4;3
;;6;Bruurmijn, P.F.H.;11;4;1;1;0;0;2;0;1;0;0;0;0;1;1;0;0;0
;;7;Molenschot-Verbraak, M.D.;53;10;4;3;6;1;6;4;3;0;1;0;1;10;4;0;0;0
;;8;Ernst-Lukkenaer, B.E.C.J.;16;0;2;0;1;0;2;5;2;0;3;0;0;0;1;0;0;0
;;9;van Helvoirt, H.A.F.;22;0;0;0;0;0;1;0;0;2;10;3;2;0;0;2;2;0
;;10;van Gils, G.J.;7;2;2;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0
;;11;Sterrenburg, G.L.J.;16;1;0;0;0;0;0;2;4;0;1;0;0;1;7;0;0;0
;;12;Knops, R.M.T.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Ackermans, A.M.;11;1;1;2;1;0;0;1;2;0;1;0;0;1;1;0;0;0
;;14;de Klerk, L.F.W.;6;0;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1
;;15;de Kort, R.A.J.;23;1;3;0;5;0;0;2;1;2;3;0;0;5;1;0;0;0
5;Pro3;;;1518;121;91;102;80;11;78;110;122;96;188;90;44;139;104;66;74;2
;;1;Laros, L.L.W.C.;529;60;38;39;31;9;40;58;48;24;27;12;16;66;47;6;7;1
;;2;Flohr, P.J.M.;291;7;6;4;8;0;2;2;9;34;85;37;2;14;7;33;41;0
;;3;Mesdag-Blom, M.;244;24;23;25;12;0;18;16;35;11;19;9;2;24;17;4;5;0
;;4;Gerhardus, A.J.W;78;3;0;0;0;0;1;1;0;8;21;25;0;0;2;10;6;1
;;5;Verschure, M.P.L.;123;15;8;21;12;1;6;11;8;2;4;1;1;16;14;2;1;0
;;6;van Boxel-van de Ven, W.M.;29;1;0;0;2;0;0;0;4;1;2;1;11;2;4;0;1;0
;;7;van Wezel, A.C.F;37;1;6;1;2;0;8;2;5;0;0;0;1;7;3;1;0;0
;;8;Mulders, J.M.;22;0;1;0;0;0;0;0;1;2;6;0;0;0;0;6;6;0
;;9;van der Schans, M.;17;1;0;0;0;0;1;11;1;0;0;0;0;3;0;0;0;0
;;10;Mesdag, A.W.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;Willigers, A.J.A.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Egging, T.A.J.;12;0;2;0;3;0;1;0;0;0;5;0;1;0;0;0;0;0
;;13;Nawijn, J.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;Smulders, P.M.J.A.;5;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0
;;15;van Hedel, J.C.M.;17;1;1;4;0;0;0;2;2;0;1;0;0;2;4;0;0;0
;;16;Wijtenburg, M.W.M.;21;3;4;4;0;1;1;3;1;0;0;0;0;0;4;0;0;0
;;17;Drenth, S.M.;26;3;1;0;1;0;0;1;0;6;6;2;1;2;1;1;1;0
;;18;de Wijs, C.J.I.M;10;0;1;0;0;0;0;0;0;2;3;0;1;0;0;0;3;0
;;19;van Bekhoven, J.J.P.;12;0;0;0;7;0;0;3;2;0;0;0;0;0;0;0;0;0
;;20;Verheijen, J.E.;6;0;0;1;0;0;0;0;0;0;2;1;0;1;0;1;0;0
;;21;Foks, G.C.;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Boermans, F.M.C.;4;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0
;;23;Volz, H.;7;0;0;2;0;0;0;0;3;0;0;1;0;1;0;0;0;0
;;24;Raeven, J.M.M.M.;23;0;0;0;1;0;0;0;1;5;5;1;6;0;0;2;2;0
6;TOEKOMSTIG KLM;;;667;63;31;36;22;7;21;43;61;50;116;29;15;48;38;22;60;5
;;1;Krikken, M.;357;35;23;29;17;4;13;36;43;16;41;3;14;33;25;6;17;2
;;2;Coomans, A.W.M.;82;2;1;0;1;0;0;0;2;10;37;9;0;1;0;3;14;2
;;3;van der Velden, M.J.W.J.M.;45;5;0;0;0;0;1;1;0;7;16;1;0;6;0;1;7;0
;;4;Smeets, M.M.E.;64;7;5;6;3;3;1;4;9;3;4;3;1;2;8;1;4;0
;;5;van Opstal, C.A.M.;69;2;0;0;0;0;0;1;2;10;15;13;0;0;0;10;15;1
;;6;Stoter, L.H.A.;11;3;0;1;0;0;0;0;1;2;0;0;0;3;1;0;0;0
;;7;Verschure, M.J.M.;39;9;2;0;1;0;6;1;4;2;3;0;0;3;4;1;3;0
