Verkiezing;;Gemeenteraad Geertruidenberg 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Geertruidenberg;;;;;;;;;;;;;;;;;;
Nummer;;0779;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Dongemond Soccer Centre;Fort Sint Gertrudis;Sportcafé Dongemond;Geertruidskerk;Zaal Boelaars;Gymzaal de Brug;Woonzorgcentrum de Mauritsstaete;Buurthuis De Schelf;Ontmoetingscentrum Raamsdonk;Gemeentehuis;Geertruidskerk;Ontmoetingscentrum Raamsdonk;Gemeentehuis;Geertruidskerk;Ontmoetingscentrum Raamsdonk
;;11;van Raamsdonk, R.C.;24;5;2;2;0;2;0;0;0;3;0;3;1;0;1;4;1
;;12;de Bont, A.L.P.;14;0;0;0;7;1;0;0;0;4;0;0;0;0;2;0;0
;;13;Stevens, S.;27;2;5;1;3;1;1;5;0;1;0;7;0;0;0;1;0
;;14;van Dijk, H.N.;8;1;0;3;0;3;0;0;0;0;0;0;0;0;0;1;0
;;15;Heesters, J.J.C.;30;0;4;2;2;1;1;0;0;9;2;1;3;0;1;4;0
;;16;van Kuijk, M.A.;24;6;1;0;1;0;2;0;0;6;0;4;1;0;3;0;0
;;17;van Drunen, P.M.H.;11;1;3;0;1;0;0;0;0;3;0;1;0;0;2;0;0
;;18;Wijnmaalen, T.J.M.;4;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;19;Leemans, J.B.M.;12;0;0;0;0;0;2;0;1;0;8;1;0;0;0;0;0
;;20;van Laarhoven, J.P.;15;1;6;0;0;2;0;0;1;1;0;4;0;0;0;0;0
;;21;van der Pol, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Verburg, F.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Verschuren, R.J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Kraus - Verschuren, E.J.M.;5;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0
;;25;Cobben, W.H.M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;26;Kramer, N.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Boonman, A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;28;van Gils, W.H.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Steenoven, F.J.;17;0;2;0;1;4;0;0;0;0;0;0;7;0;0;3;0
;;30;van Dortmont, J.J.A.;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;31;van Eersel - Entken, U.A.A.;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;32;d' Aguiar, G.A.C.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;33;van den Heijkant - Joosen, W.M.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;34;Nabbe, S.P.G.;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;35;Heesters - Jansens, C.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van Eersel, J.M.;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Damen, A.M.J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;de Bodt, J.A.;5;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0
;;39;van Dongen, C.A.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;40;Kraus, C.C.A.M.;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
;;41;van den Broek, W.A.C.;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;42;Wijnmaalen, B.C.M.M.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0
;;43;Gamers, I.E.C.W.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van Nunen, W.M.;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;45;Berende - van Broekhoven, S.J.M.;12;2;1;0;0;2;0;1;0;1;0;0;0;0;0;5;0
;;46;Schmidt, P.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Hoogendoorn, A.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van Nunen - Kaptein, J.G.M.M.;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;49;Zijlmans, S.;10;0;0;0;0;2;0;0;0;0;0;0;6;0;0;2;0
;;50;Heesters, J.C.;19;0;4;1;1;3;0;0;0;4;0;3;2;0;1;0;0
2;Lokaal+;;;1690;326;82;72;77;91;58;117;4;212;136;144;33;23;212;55;48
;;1;Hofkens, M.P.C.;644;130;20;29;17;43;18;55;1;71;55;60;9;7;78;30;21
;;2;van den Kieboom, H.P.L.;213;37;10;4;12;5;9;17;0;53;4;23;2;1;34;1;1
;;3;op de Laak, M.A.J.;108;12;9;17;8;5;5;4;1;12;4;5;7;0;10;8;1
;;4;Eijkhout, F.A.M;65;6;7;4;5;3;3;3;0;12;0;8;3;0;8;3;0
;;5;Bouwens, C.W.M.;51;7;4;3;9;3;0;2;0;7;2;6;4;0;4;0;0
;;6;Dirven, M.T.;79;26;0;1;2;4;1;4;0;19;1;9;2;0;9;1;0
;;7;de Wijs, D.J.C.;61;12;1;1;1;0;1;0;0;0;29;1;0;5;1;2;7
;;8;van der Plas, J.N.;40;1;1;1;0;0;0;4;1;2;18;1;0;7;0;0;4
;;9;Krols, M.W.P.;73;16;12;3;4;5;7;9;0;5;0;2;2;0;6;1;1
;;10;Landzaat, N;35;12;0;1;2;2;1;1;0;3;2;2;0;0;3;0;6
;;11;Damen, P.M.A;53;12;0;0;2;2;4;4;0;4;2;7;0;0;13;2;1
;;12;Buijks, J.N.;26;4;1;1;0;1;0;2;1;0;10;0;0;2;1;0;3
;;13;Blankers-Quirijnen, D.B.V.C.;31;10;1;1;0;1;0;2;0;4;0;6;0;0;6;0;0
;;14;Licher, J.B.;26;3;7;1;2;4;0;0;0;2;1;3;0;0;2;1;0
;;15;Renema, J;30;13;2;0;3;1;0;0;0;4;0;1;0;0;3;2;1
;;16;Koenen-op de Laak, C.M.;6;1;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0
;;17;Kielestein, C.J.;11;1;0;0;2;0;0;3;0;2;0;0;0;0;3;0;0
;;18;Pagie, C.A.M.;23;3;0;1;0;5;0;2;0;2;0;4;0;0;5;1;0
;;19;Bergmans, A.A.F.;13;7;0;0;0;0;1;0;0;2;1;1;0;0;1;0;0
;;20;Huigen, J.M.G.;34;4;3;0;0;2;4;2;0;3;1;2;0;0;11;0;2
;;21;van Oversteeg, W.M.;14;2;2;0;3;1;2;0;0;0;1;0;0;0;3;0;0
;;22;Licher, E.;9;1;0;0;1;0;0;0;0;0;0;0;2;0;3;2;0
;;23;van Herwijnen, G.A.;5;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0
;;24;van der Ven, A.G.L.;14;4;0;0;1;0;2;3;0;0;0;2;0;0;2;0;0
;;25;Kievith, J.W.M.;6;0;0;0;0;0;0;0;0;4;1;0;0;0;1;0;0
;;26;Franssen, W.E.C.J.;5;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0
;;27;Licher, F.;6;0;0;1;0;2;0;0;0;0;0;0;0;0;3;0;0
;;28;Boogaarts, T.M.J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;29;Quirijnen, W.J.;8;0;2;1;1;0;0;0;0;1;0;1;0;1;1;0;0
3;Morgen!;;;1311;191;84;64;42;123;48;55;6;177;117;94;44;24;104;71;67
;;1;Voulon, A.H.;573;82;38;40;21;46;25;25;4;98;30;42;17;4;49;31;21
;;2;van de Weerd - van Zoelen, F.W.J.;109;11;14;4;2;21;1;2;0;6;4;12;6;1;8;10;7
;;3;de Bakker, R.;51;4;6;4;0;10;0;3;0;8;3;3;4;0;1;5;0
;;4;Verschuren, P.A.M.;109;7;0;1;1;2;2;5;0;2;47;2;1;13;3;2;21
;;5;van Oort, K.J.H.A.;119;26;5;3;4;17;7;8;1;13;3;8;5;0;10;7;2
;;6;Slenders, J.A.M.;100;14;2;0;7;8;2;3;0;17;16;5;0;0;11;3;12
;;7;Schrijvershof, M.J.A.;24;4;10;0;0;0;0;0;0;2;1;4;3;0;0;0;0
;;8;Terzic, M.;26;8;2;1;0;2;1;1;0;0;1;7;0;1;1;1;0
;;9;Nijst, L.M.F.;6;0;0;4;0;1;0;0;0;1;0;0;0;0;0;0;0
;;10;van Zitteren, M.H.F.;13;1;0;1;0;3;1;0;0;1;0;0;1;0;1;4;0
;;11;van Dooren, J.;44;9;3;1;1;4;4;1;0;3;0;6;5;0;6;1;0
;;12;Moerenhout, G.P.S.;6;0;0;0;0;4;0;0;1;0;0;0;0;1;0;0;0
;;13;Kuijsters - Boons, C.E.M.;25;2;0;0;0;0;1;2;0;2;9;1;0;4;1;0;3
;;14;Niessen, W.M.;5;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0
;;15;Henselmans, J.H.M.;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;16;Rasenberg, J.J.M.;9;1;0;1;2;1;0;0;0;4;0;0;0;0;0;0;0
;;17;van Meel, W.H.;6;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;18;Mertens, T.;35;7;1;2;2;1;0;2;0;8;2;2;2;0;2;4;0
;;19;van den Enden, A.L.M.;4;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;20;Wong, K.W.K.;24;6;1;1;1;0;0;0;0;7;0;2;0;0;4;1;1
;;21;Frölich, N.;21;5;1;1;0;1;2;2;0;3;1;0;0;0;5;0;0
4;CDA;;;951;122;44;22;25;32;35;70;9;88;140;74;29;36;121;21;83
;;1;Broeders, A.C;381;56;22;12;10;13;20;38;6;41;30;30;14;8;52;6;23
;;2;de Jongh, A.H.M;240;22;12;4;6;7;9;11;1;16;38;27;5;15;29;8;30
;;3;Hooijmaijers, L.F.A.W;146;17;4;0;0;5;3;6;1;6;56;5;2;7;9;2;23
;;4;Vissers-Boelaars, Y.E.A.A;39;2;0;2;1;1;1;3;0;2;6;3;4;0;10;1;3
;;5;Steenvoorde-Daleman, M.P;30;6;0;0;3;1;0;2;0;6;2;4;0;0;6;0;0
;;6;Veltkamp, J;29;1;1;2;0;2;2;5;0;1;0;2;2;6;4;1;0
;;7;Sluiter, W;13;2;0;0;0;1;0;0;0;7;0;1;0;0;2;0;0
;;8;van Strien, J.A.A.M;13;7;1;0;1;0;0;0;0;1;2;1;0;0;0;0;0
;;9;Pfaffenhöfer, K.M;4;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;10;Pullens, W.C.M;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;van Strien, L.C.J;9;0;0;0;0;0;0;1;0;0;4;0;0;0;1;0;3
;;12;Boons, W.M;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Verwijs, M;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;14;Verheijden, F.J.M;6;0;0;0;0;0;0;1;0;2;0;1;0;0;2;0;0
;;15;Verwijs, J;4;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0
;;16;Avontuur, E.M.P;10;5;1;0;0;0;0;0;0;2;0;0;1;0;0;1;0
;;17;Broeders-Verheijden, S.H.B;6;0;0;0;0;0;0;2;0;1;0;0;0;0;3;0;0
;;18;Verschuren-van Strien, A.A.M;12;0;0;0;3;1;0;0;0;0;2;0;1;0;3;1;1
5;VVD;;;870;128;46;42;30;81;45;76;4;85;71;66;26;18;85;49;18
;;1;Weterings, H.J.H.;492;86;11;20;22;45;33;50;1;56;27;41;16;5;50;18;11
;;2;de Jongh, H.H.M.;122;14;6;4;2;8;4;9;2;15;18;5;4;5;13;11;2
;;3;Duijzer, P.F.;11;3;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0
;;4;Zijlmans, J.J.;39;2;0;1;0;0;0;2;0;1;15;2;0;8;2;2;4
;;5;Roders, V.N.;9;2;0;0;0;3;0;0;1;1;0;0;0;0;0;2;0
;;6;de Jong, W.M.;11;2;0;2;0;0;0;1;0;0;0;2;1;0;1;2;0
;;7;van Ras, N.J.P.;6;2;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0
;;8;de Jongh-Maassen, A.M.L.;15;2;3;2;1;0;0;1;0;1;2;1;0;0;0;2;0
;;9;Schneijdenberg, R.;11;3;1;1;0;0;0;1;0;0;0;0;0;0;0;5;0
;;10;Weterings, C.C.A.J.;11;0;6;0;0;1;1;2;0;0;0;0;0;0;1;0;0
;;11;van Zwol, C.M.A.;10;0;0;0;0;0;1;0;0;3;0;5;0;0;1;0;0
;;12;Wentink, D.;6;0;0;1;0;0;1;0;0;0;0;0;2;0;1;1;0
;;13;Pawirodikromo, J.S.;26;5;4;0;0;0;0;5;0;4;2;2;0;0;4;0;0
;;14;Dekker, B.M.A.;41;4;1;3;1;9;2;2;0;3;3;5;0;0;5;3;0
;;15;van der Vorst, M.;9;1;0;1;0;0;2;0;0;0;0;0;0;0;3;2;0
;;16;Steenmeijer-de Jongh, A.M.U.;4;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0
;;17;Pelzer, M.J.W.;4;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;18;Kok-Gladdines, A.A.;8;0;0;2;2;3;0;0;0;0;0;0;1;0;0;0;0
;;19;Vreeburg, R.C.G.M.;4;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
;;20;Laurijssen-Kerremans, L.C.;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;21;Starren, S.W.;6;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0
;;22;van der Maas, A.A.;22;0;11;1;0;1;0;0;0;1;3;1;2;0;1;1;0
6;Sociale Volkspartij Geertruidenberg;;;344;56;35;14;6;22;11;8;3;51;5;31;21;4;42;30;5
;;1;van de Wiel, F.H.J.M.;148;27;15;4;4;6;3;6;1;22;2;13;11;2;15;12;5
;;2;Cornet, M.;45;2;6;4;0;6;2;0;1;6;1;2;6;1;3;5;0
;;3;Eberhard, A.K.;41;4;5;1;0;8;1;0;1;5;1;1;1;0;5;8;0
;;4;Heijmans, R.A.L.;26;4;0;2;1;2;1;2;0;1;0;8;1;0;3;1;0
;;5;Evers-de Rooij, C.M.;23;6;5;0;0;0;2;0;0;2;0;1;0;1;5;1;0
;;6;Klaassen, C.M.;16;5;1;1;1;0;0;0;0;4;0;2;0;0;1;1;0
;;7;Strijder, J.J.;5;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0
;;8;Marcelissen, M.W.M.;18;4;2;0;0;0;1;0;0;3;1;2;0;0;5;0;0
;;9;Mes, J.W.;5;1;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0
;;10;van Kappel, A.C.H.;5;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
;;11;Schreuders-Meijer, S.;5;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0
;;12;Evers, H.J.;7;2;0;1;0;0;1;0;0;1;0;0;0;0;2;0;0
7;GemeenteBelangenGeertruidenberg;;;1022;115;173;73;28;74;20;29;2;120;89;60;48;11;81;71;28
;;1;Smit, A.;262;24;35;17;2;29;8;8;0;37;11;20;11;0;31;24;5
;;2;Verschuuren, H.W.A.;80;6;6;2;3;3;1;4;0;9;25;0;1;6;1;5;8
;;3;Verschuuren, L.J.W.;41;6;6;2;3;1;1;1;0;3;1;9;1;0;6;1;0
;;4;Langermans, A.J.W.;263;30;69;30;6;26;1;0;0;22;11;11;16;0;15;20;6
;;5;de Vetter, R.J.M.;41;2;2;3;0;1;0;2;0;6;13;0;4;0;4;0;4
;;6;van Asten-Broeders, M.E.J.;57;5;5;2;2;2;2;5;0;11;1;7;4;0;9;2;0
;;7;Langerak, M.T.;25;3;10;0;1;0;1;0;0;0;2;0;2;1;1;4;0
;;8;van Ingen, M.;18;1;2;0;1;1;1;1;0;2;6;0;0;0;3;0;0
;;9;Dubbelman, T.A.;12;3;0;3;0;0;0;1;0;4;0;0;0;0;0;1;0
;;10;Schipperen Klerks, P.A.M.;53;5;16;8;2;2;0;2;0;7;0;1;3;0;4;3;0
;;11;van Steenhoven, R.;15;4;0;0;2;1;1;1;1;4;0;1;0;0;0;0;0
;;12;de Vetter Huijbers, M.H.;6;1;0;0;1;0;0;0;1;0;2;0;0;0;1;0;0
;;13;Ribbers, P.;15;5;1;0;0;0;0;0;0;6;2;0;0;0;1;0;0
;;14;Loois, J.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
;;15;Broeders, S.C.E.;18;1;0;0;0;0;0;2;0;1;10;1;0;2;0;0;1
;;16;van Asten, A.F.H.;6;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1
;;17;van Kastel, A.M.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Som, M.J.M.;4;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1
;;19;Stufferz, P.A.L.;10;1;1;2;1;0;0;0;0;0;0;0;2;0;1;2;0
;;20;Montens, Q.;28;8;0;0;2;0;2;2;0;5;0;5;0;2;2;0;0
;;21;Kievits, W.;6;1;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;22;Langermans, A.J.;12;2;3;0;0;0;1;0;0;0;2;2;0;0;0;1;1
;;23;van Hoof, S.;5;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;24;Warnars, S.;7;0;1;0;0;2;0;0;0;2;0;0;1;0;0;0;1
;;25;Snijders, J.H.M.;15;2;4;4;0;3;0;0;0;0;0;0;0;0;1;1;0
;;26;van Loveren, R.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Gurp, J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;28;van Kastel, P.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;29;Weterings, J.C.;13;3;4;0;0;1;1;0;0;0;1;2;0;0;0;1;0
