Verkiezing;;Gemeenteraad Son en Breugel 2022;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;
Gebied;;Gemeente Son en Breugel;;;;;;;;;;;;;;;
Nummer;;0848;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis, Raadhuisplein 1;De Zwaan, Markt 9;La Sonnerie, Nieuwstraat 45;Braecklant Amerikalaan 2;De Bongerd, Asteroïdelaan 2a;De Boerderij, Leeuwstraat 2;Voetbalver SBC, Afrikalaan 2;HTC Tennis, Rooijseweg 7;Gemeentehuis, Raadhuisplein 1;Braecklant, Amerikalaan 2;Gemeentehuis, Raadhuisplein 1;Braecklant, Amerikalaan 2;Berkenstaete, De Bontstraat 71
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13
Postcode;;;;;5691 AL;5691 AR;5691 AB;5691 KD;5694 WJ;5694 VR;5691 ZH;5691 PA;5691 AL;5691 KD;5691 AL;5691 KD;5691 SV
;;4;van Beers, M.H.J.M.;7;0;0;0;2;1;0;0;2;0;1;1;0;0
;;5;van Steenhoven, G.J.;55;15;6;9;5;2;1;0;1;4;0;11;1;0
;;6;Limpens, C.H.L.;5;1;0;0;2;0;0;0;0;0;1;1;0;0
;;7;Avci, N.A.;41;7;9;4;4;2;5;2;0;5;0;1;2;0
;;8;Vink, A.F.;32;1;0;1;5;14;2;0;3;1;0;4;1;0
;;9;den Hamer, C. J.;12;1;3;1;3;2;0;0;0;0;0;1;1;0
;;10;Hulsen, K.W.H.;14;2;0;4;4;2;0;0;0;1;0;0;1;0
;;11;Scheepens, G.M.C.;45;7;1;1;4;12;4;9;3;0;0;3;1;0
;;12;Corbijn, H.B.;6;0;0;1;4;0;0;0;0;0;0;0;1;0
;;13;Verhagen, M.A.C.;3;0;0;0;2;0;0;0;0;0;0;0;0;1
;;14;Scholtens, F.H.J.;3;0;0;0;0;1;0;0;0;0;0;0;2;0
;;15;Douma, A.;2;0;0;0;1;1;0;0;0;0;0;0;0;0
;;16;Werner, H.D.M.;3;0;0;0;0;1;0;0;0;0;1;0;1;0
;;17;Hensen, A.T.M.J.;4;2;0;0;0;0;0;0;0;0;0;1;1;0
4;Dorpsbelang Son en Breugel;;;704;126;24;30;142;88;64;28;11;37;34;62;55;3
;;1;Goossens-Junier, C.J.;344;51;11;17;56;54;36;11;4;22;15;34;30;3
;;2;van Beek, M.J.A.;46;11;1;3;12;3;2;4;1;1;1;1;6;0
