Verkiezing;;Gemeenteraad Waalwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Waalwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis Waalwijk;Stembureau Basischool Besoyen;Stembureau De Mads, Dans- en muziekcentrum;Stembureau Gemeenschapshuis De Ouwe Toren;Stembureau Balade;Stembureau Kindcentrum Zanddonk;Stembureau Buurthuis Zanddonk;Stembureau 't Bourgondisch Hof;Stembureau Gymzaal Juliana v Stolberg;Stembureau Buurthuis Bloemenoord;Stembureau Steunpunt de Blijde Incomste;Stembureau Buurthuis Vrijhoeve;Stembureau Buurtcentrum Sprang-Driessen;Stembureau Buurthuis Capelle;Stembureau Soc Cult Centrum  Den Bolder;Stembureau Buurthuiskamer 't Schooltje;Stembureau Bibliotheek Waalwijk;Stembureau De Slagen 2 (voorheen MET);Stembureau Sporthal de Slagen;Stembureau Parkpaviljoen;Stembureau Basisschool de Krullevaar;Stembureau De Schakel;Stembureau Zidewinde;Stembureau Stadhuis Waalwijk Maandag;Stembureau 't Bourgondisch Hof Maandag;Stembureau Soc Cult Centrum  Den Bolder Maandag;Stembureau Zidewinde Maandag;Stembureau Stadhuis Waalwijk Dinsdag;Stembureau 't Bourgondisch Hof Dinsdag;Stembureau Soc Cult Centrum  Den Bolder Dinsdag;Stembureau Zidewinde Dinsdag
;;10;Verhagen - van Lier, M.J.M.;150;4;5;8;38;29;2;6;8;1;8;2;1;1;1;1;1;3;4;0;5;2;0;6;2;2;1;1;3;4;0;1
;;11;Montens, S.J.A.;597;1;0;0;0;3;1;1;0;0;0;0;1;1;1;234;50;2;0;0;0;0;162;0;0;0;49;1;1;0;87;2
;;12;van Baardwijk, J.M.;239;1;2;6;3;2;0;0;1;2;4;0;37;27;13;0;1;2;10;9;0;18;2;52;2;0;0;17;7;2;2;17
;;13;Bruurmijn, S.P.;223;21;44;12;6;8;8;25;4;9;10;6;3;5;0;1;0;5;8;14;6;4;0;0;5;3;1;1;5;7;0;2
;;14;Metzke, C.;66;0;1;0;3;0;2;0;1;3;3;0;0;4;1;13;9;1;0;2;0;0;8;0;0;0;4;1;0;0;10;0
;;15;Pulles, J.P.L.;113;14;11;2;4;3;7;7;8;7;3;8;1;1;1;0;0;3;1;5;5;2;0;2;2;1;0;0;8;7;0;0
;;16;Zijlmans, D.L.G.C.;68;1;3;2;0;10;0;2;3;0;25;0;1;1;0;0;0;3;0;3;1;0;0;0;1;0;0;1;3;7;1;0
;;17;van der Pluijm, N.E.W.;216;3;13;1;8;2;5;11;6;19;2;9;1;15;0;0;2;5;30;38;7;4;2;12;2;3;0;2;3;7;1;3
;;18;van Ierland, F.J.M.;94;2;3;0;3;1;0;1;2;0;0;0;6;7;23;2;0;5;2;3;2;13;0;3;0;0;0;8;1;0;4;3
;;19;de Waal, I.;61;2;3;2;1;1;3;12;2;3;7;0;1;1;0;0;0;1;0;3;1;0;0;0;3;3;0;0;3;8;1;0
;;20;Pulles, K.J.T.;6;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0
;;21;Kamp, C.B.;16;0;0;1;0;8;0;0;1;0;0;0;1;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Vugts, W.J.A.M.;19;2;2;1;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;1;1;0;2
;;23;Schoenmakers, C.J.B.;26;0;0;1;0;0;0;0;0;0;0;0;0;0;1;9;3;0;0;0;0;0;4;1;0;0;4;0;0;0;3;0
;;24;Pullens, C.J.R.M.;16;0;3;0;1;0;0;0;0;0;1;0;2;0;0;0;0;4;0;1;0;0;0;0;0;4;0;0;0;0;0;0
;;25;de Meijer, J.A.J.;38;2;1;2;0;4;3;1;4;1;1;1;0;0;0;0;0;1;1;2;4;0;0;0;2;2;0;0;2;4;0;0
;;26;de Jong, A.P.J.M.;30;0;0;1;0;0;0;0;1;0;0;2;1;2;1;0;0;0;0;1;0;3;0;6;0;1;0;4;0;0;0;7
;;27;van Heeswijk, A.J.M.;69;2;0;6;6;15;3;4;4;1;0;0;1;2;1;4;0;1;4;2;1;0;0;3;1;1;0;1;3;1;1;1
2;VVD;;;2146;70;84;46;76;58;35;115;38;163;81;174;34;64;49;83;42;66;104;132;114;50;77;94;39;27;24;23;59;61;24;40
;;1;Klerks, I.C.;1121;30;49;19;44;36;20;60;18;76;45;95;20;41;22;41;22;42;52;47;62;17;47;60;18;18;7;11;29;35;13;25
;;2;Spierings, T.F.J.H.;167;13;4;8;6;5;3;7;1;12;8;13;3;3;3;5;2;5;10;9;14;4;3;6;2;2;0;1;6;7;1;1
;;3;Bokšan, M.;108;5;5;6;6;2;0;6;4;12;6;6;0;1;0;2;2;3;3;5;7;2;2;6;4;4;0;0;5;3;0;1
;;4;Klerks, A.J.;79;1;0;4;10;5;7;5;4;6;2;5;0;0;1;0;0;0;4;6;5;1;2;3;0;0;0;0;2;4;1;1
;;5;Knops, E.H.H.;35;0;1;0;0;2;0;1;0;0;1;0;3;3;7;0;1;0;2;2;0;8;0;3;0;0;0;1;0;0;0;0
;;6;Dubbeldam, D.;87;2;0;0;0;0;0;3;2;6;1;6;2;0;2;1;0;1;15;28;3;0;0;0;3;0;1;6;1;2;0;2
;;7;van Lier, N.C.;120;2;6;2;2;3;0;14;3;24;7;9;0;1;0;1;1;5;4;8;8;2;4;0;3;0;0;1;3;4;0;3
;;8;Meertens, J.A.A.;26;1;1;0;0;0;2;0;2;1;0;1;0;0;0;0;0;1;4;5;1;1;0;2;0;0;0;0;2;2;0;0
;;9;Mateijsen, O.J.M.;31;1;1;0;2;0;1;1;1;4;1;8;0;0;0;3;0;1;1;3;0;0;0;0;0;0;2;0;0;0;0;1
;;10;Bakker, R.;145;5;9;1;5;0;0;5;3;9;4;11;5;14;2;5;4;4;6;9;6;9;3;9;3;1;2;2;4;2;1;2
;;11;Boutens, F.J.T.;25;3;2;0;0;0;0;0;0;5;1;2;0;0;0;0;1;0;1;2;0;0;0;1;4;0;0;0;3;0;0;0
;;12;Bakker, A.N.;28;2;2;2;0;0;2;0;0;2;0;4;0;0;1;0;0;0;0;3;0;3;1;2;0;0;0;1;1;0;1;1
;;13;van Tuyl, J.M.M.;25;1;0;1;0;1;0;1;0;2;1;8;0;0;1;0;0;1;0;1;3;0;0;1;0;0;0;0;2;1;0;0
;;14;Brito y Heynen, H. L.;10;2;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hehemann, D.H.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Helvoirt, G.J.M.;18;0;1;1;0;0;0;7;0;1;1;0;0;0;1;2;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0
;;17;Spierings, J.;6;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Moons, M.G.A.;23;1;3;0;1;1;0;4;0;1;0;5;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;2;0
;;19;van Ingen, K.;10;1;0;0;0;2;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
;;20;Quist, J.S.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;7;0;0;0;1;0;7;0;0;1;2;0;1;0;2;0
;;21;Hehemann - Van den Elsen, A.C.J.M.;4;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;22;Kuijten, C.M.A.;49;0;0;0;0;1;0;0;0;0;0;0;0;1;1;18;2;0;0;1;0;2;7;0;1;0;10;0;0;0;2;3
3;GroenLinksaf;;;1796;53;94;96;105;93;86;120;82;80;116;64;33;49;34;67;31;83;55;77;40;29;35;35;35;40;10;15;60;48;17;14
;;1;Odabasi-Seker, R.;790;24;50;41;50;46;36;50;22;36;63;38;13;31;13;22;4;32;28;31;22;10;12;12;15;17;4;6;30;23;2;7
;;2;den Braven, F.A.T.;204;2;15;16;19;13;14;20;15;9;14;11;4;0;5;1;2;12;0;7;0;0;0;0;3;1;0;2;9;4;4;2
;;3;van Laar, M.Y.;148;4;1;4;7;2;4;8;4;8;7;4;8;4;6;3;4;6;10;14;5;12;0;7;1;0;2;4;5;1;1;2
;;4;den Braven, G.;81;2;3;5;4;5;3;5;9;2;9;2;0;4;0;1;0;4;4;3;0;2;0;1;3;4;0;0;3;3;0;0
;;5;Wens, A.H.P.;50;2;1;4;2;1;6;7;4;6;1;1;0;1;0;0;1;0;0;1;2;0;0;0;4;2;0;0;2;1;0;1
;;6;Slaats, G.M.J.;70;2;4;4;7;6;0;3;2;3;4;0;0;0;0;0;0;8;3;2;7;0;0;2;2;4;0;0;2;5;0;0
;;7;Joosen, V.C.W.;128;4;2;1;4;1;3;0;3;2;1;2;4;0;2;35;12;2;1;6;1;3;19;1;2;1;3;0;2;2;9;0
;;8;Odabasi, R.O.A.;35;1;1;7;2;6;5;4;2;0;2;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
;;9;van den Udenhout, A.J.A.M.;48;0;4;3;1;2;1;8;6;2;2;0;0;2;2;0;0;5;0;3;0;0;0;0;0;2;0;0;2;3;0;0
;;10;Bell, E.P.H.H.;11;0;0;3;0;0;2;0;2;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Honhoff, J.M.T.E.;13;0;1;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
;;12;Bögemann, B.C.;13;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Sahin, Ö.;39;0;0;2;2;3;3;0;4;4;3;0;0;1;0;0;1;0;1;4;1;1;0;0;0;5;0;1;1;2;0;0
;;14;Hulsbos, G.P.A.;11;0;1;0;0;0;5;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
;;15;Schapendonk, M.H.;32;2;1;1;1;3;1;5;2;0;1;0;0;0;0;1;0;4;3;1;0;0;0;1;3;1;0;0;1;0;0;0
;;16;Stokwielder, A.H.J.;24;0;0;1;2;1;0;0;2;2;3;1;1;1;0;0;1;3;0;0;1;0;0;0;0;1;0;2;0;1;1;0
;;17;van Mierlo, M.R.J.;16;3;4;2;1;0;1;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;18;van Meeuwen, P.A.J.J.;13;0;3;0;0;0;0;1;1;2;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
;;19;van Ooijen, M.A.H.J.;9;3;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
;;20;Karimi, M.N.;10;0;2;0;0;0;0;1;0;0;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Zwietering, K.;5;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;22;van 't Hoff, M.M.H.A.J.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Nolet, B.C.;5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;24;van der Ploeg, E.;7;1;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;25;Welling, C.M.;5;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1
;;26;van der Ploeg, M.;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;1;0;0;0;0;0
;;27;Hagendoorn, F.W.M.;5;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Baggerman, C.M.W.;17;2;0;0;2;0;0;2;1;1;0;2;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;1;0;0
4;CDA;;;1231;21;37;25;30;35;22;34;25;77;48;44;53;65;15;89;71;38;33;50;51;30;77;65;20;21;34;14;20;31;32;24
;;1;Spohr, R.J.M.;596;9;21;9;17;11;18;18;14;39;26;26;29;45;8;13;11;26;22;34;31;16;15;43;12;10;7;13;11;16;6;20
;;2;van Elderen, J.H.J.M.;70;0;3;6;5;5;1;6;4;3;9;3;0;0;0;1;0;1;2;5;3;0;1;2;0;4;0;0;1;4;1;0
;;3;de Bruijn, F.I.H.M.;202;3;4;1;1;5;1;5;1;7;5;4;1;4;1;49;20;3;2;0;4;4;30;3;3;3;18;1;2;2;14;1
;;4;Hooijmaijers, A.J.G.;87;0;0;1;0;2;2;0;0;0;1;0;2;0;1;17;14;0;1;1;1;7;20;1;1;1;5;0;0;0;9;0
;;5;Paulissen, W.;16;3;1;3;1;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;1;0;0;0;0;0;0
;;6;van Dongen, P.J.H.;36;0;0;2;0;1;0;0;0;0;0;0;0;0;0;5;19;0;0;0;1;0;4;0;0;0;1;0;0;1;2;0
;;7;Paulides, C.J.P.;86;1;2;2;3;7;0;1;3;6;2;0;12;11;5;1;1;0;4;6;0;2;3;7;1;0;2;0;1;2;0;1
;;8;Klapwijk, D.;9;1;0;0;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
;;9;Stanneveld, R.;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Zoutewelle-Boonstra, M.;15;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;2
;;11;van Dijk, W.;6;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;12;Gaakeer, N.A.;25;0;2;0;1;0;0;0;2;5;0;3;0;2;0;0;1;1;0;0;2;1;0;2;1;0;0;0;2;0;0;0
;;13;Daamen-Reith, M.J.V.;22;1;0;1;1;0;0;1;0;3;2;2;0;0;0;0;0;3;0;0;4;0;0;1;1;0;0;0;0;2;0;0
;;14;Broekmans, J.J.A.;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;5;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0
;;15;van Heesbeen, A.C.M.M.;29;3;3;0;1;1;0;2;0;5;2;2;0;0;0;0;0;1;0;1;2;0;0;0;0;1;0;0;1;4;0;0
;;16;van Dongen, M.;16;0;1;0;0;1;0;0;0;6;0;1;0;1;0;0;0;0;0;2;2;0;0;0;0;1;0;0;1;0;0;0
5;D66;;;1074;25;69;23;56;27;27;68;18;69;44;53;18;37;27;50;39;39;42;56;58;24;34;25;17;19;6;7;28;27;22;20
;;1;Schuijffel, C.G.W.M.C;602;17;37;18;30;19;15;44;12;41;28;43;10;19;10;17;11;28;27;32;41;8;13;14;9;11;3;4;18;12;4;7
;;2;Mertens, T.;57;3;3;4;2;0;1;1;2;3;4;2;1;3;0;3;3;1;2;3;3;1;2;1;2;0;0;0;3;3;0;1
;;3;Metzke, H.H.J.;105;0;0;0;0;1;3;4;0;0;0;0;0;0;0;26;20;0;3;5;0;0;16;2;1;2;2;2;0;3;15;0
;;4;van Dun, S.M.A.;144;1;16;0;4;3;0;5;0;9;2;4;5;11;15;0;3;5;7;9;11;6;2;4;2;5;0;0;1;1;2;11
;;5;van den Meerendonk, J.H.M.;24;1;3;0;0;1;2;4;0;2;0;0;0;1;0;3;0;2;0;0;1;0;0;0;2;0;0;0;0;2;0;0
;;6;Kieboom, N.H.J.;28;1;2;1;4;0;1;3;1;0;4;1;1;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0;1;2;0;0
;;7;Greve, W.;26;0;0;0;9;1;4;2;2;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;2;0;0
;;8;Koster, C.Q.G.;14;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;0;5;0;1;0;0;0;1;0;0;1;1
;;9;Martijn, A.M.H.R.;61;2;3;0;7;1;1;4;1;13;3;2;1;2;0;1;2;2;1;2;1;0;1;2;0;1;1;0;5;2;0;0
;;10;Pols, P.M.A.;13;0;5;0;0;1;0;1;0;0;2;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
6;Staatkundig Gereformeerde Partij (SGP);;;1333;11;40;13;10;9;5;11;17;14;8;13;192;202;73;21;26;11;29;47;4;145;14;191;11;5;3;63;4;11;5;125
;;1;Tiemstra, R.A.A.;539;1;14;7;3;4;3;3;8;4;4;6;93;60;27;12;6;5;10;14;0;51;6;89;3;5;0;30;3;1;4;63
;;2;van Zelst, H.J.;398;7;21;4;4;4;1;1;9;6;4;6;40;73;25;6;17;4;11;22;3;43;4;33;5;0;2;9;0;9;1;24
;;3;van der Schans, J.M.;72;0;1;0;1;0;1;0;0;0;0;0;10;20;7;2;1;0;2;0;0;8;1;9;1;0;0;2;0;0;0;6
;;4;Vink, T.P.;96;1;1;0;0;0;0;0;0;2;0;1;13;18;6;0;1;1;2;4;0;4;0;23;1;0;1;10;0;0;0;7
;;5;Tabbers, A.A.;90;2;2;0;0;0;0;5;0;1;0;0;16;6;4;0;0;0;1;2;1;12;0;22;0;0;0;7;1;0;0;8
;;6;van Tilborgh, C.A.;17;0;0;0;0;0;0;1;0;0;0;0;4;3;2;0;1;0;0;1;0;2;0;1;0;0;0;0;0;0;0;2
;;7;Pruissers, W.J.;23;0;0;0;1;0;0;0;0;1;0;0;11;3;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;2
;;8;van Tilborgh, Ph.;25;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;0;9;0;3;0;0;0;0;0;1;0;7
;;9;Klop, C.;21;0;1;0;0;1;0;0;0;0;0;0;2;6;0;1;0;0;1;0;0;1;0;2;0;0;0;2;0;0;0;4
;;10;Schoondermark, M.;12;0;0;1;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0
;;11;van der Schans, M.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
;;12;Oerlemans, J.H.;18;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;2;0;10;0;1;0;0;0;1;0;0;0;0
;;13;Braspenning, J.A.;7;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0
;;14;de Leeuw, T.C.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Baan, J.W.;9;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;3;0;0;0;0;0;0;0;0
7;Lijst IJpelaar;;;588;30;34;22;25;58;44;38;34;16;39;12;10;13;3;10;9;32;17;20;14;6;8;5;21;6;1;10;27;14;6;4
;;1;IJpelaar - Alias, E.Y.;374;19;27;13;11;26;22;19;27;14;24;9;8;7;3;5;4;24;14;8;13;3;5;4;12;5;0;9;23;9;3;4
;;2;Smits, C.P.M.;18;0;0;0;1;0;0;1;0;0;0;0;0;2;0;1;4;0;2;0;0;1;2;0;0;0;1;0;0;0;3;0
;;3;El Messaoudi, S.;24;0;1;2;0;6;5;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;1;0;0
;;4;Snoeren-Leijtens, P.H.M.;21;0;1;0;0;0;1;0;1;0;3;1;0;3;0;0;0;0;0;6;0;1;0;1;1;0;0;0;0;2;0;0
;;5;van Hilst, J.A.F.;14;1;0;0;0;0;0;3;0;2;2;0;1;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0
;;6;El Messaoudi, Z.;55;8;1;2;3;15;10;6;1;0;1;0;0;0;0;1;0;2;1;2;0;0;0;0;0;0;0;0;1;1;0;0
;;7;van Diessen-Bijveld, J.G.A.M.;27;0;2;0;1;1;1;2;0;0;3;0;1;0;0;3;1;4;0;3;0;0;1;0;1;1;0;0;2;0;0;0
