Verkiezing;;Gemeenteraad Nuenen, Gerwen en Nederwetten 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nuenen, Gerwen en Nederwetten;;;;;;;;;;;;;;;;;;;;
Nummer;;0820;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Klooster Raadszaal;BS De Dassenburcht;BS De Nieuwe Linde;Gymzaal Jacobushoek;Kerkgebouw de Regenboog;Wijkgebouw Scarabee;Gasterij Jo van Dijkhof;Gemeenschapshuis De Koppelaar;Gemeenschapshuis D'n Heuvel;Gemeenschapshuis Enode;OBS de Rietpluim;Gemeentehuis;Het mooiste blauw basisschool;Het Klooster Raadszaal;Gemeentehuis;Het Klooster Raadszaal;Gemeentehuis;Zorgcentrum  De Akkers
Gebiednummer;;;;;1;3;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21
Postcode;;;;;5671 GA;5671 VP;5673 AP;5672 HZ;5671 GR;5672 EA;5672 DA;5674 NW;5674 RR;5674 TN;5673 PS;5671 CK;5674 CK;5671 GA;5671 CK;5671 GA;5671 CK;5671 CW
;opgeroepenen;;;19198;1490;1466;1744;2880;1651;764;1253;761;1783;614;2639;1316;837;0;0;0;0;0
;geldige stempas;;;10068;1020;768;717;949;201;606;817;423;859;378;939;325;358;515;211;715;230;37
;geldig volmachtbewijs;;;1082;113;92;109;0;19;64;91;41;100;45;131;38;44;62;28;74;30;1
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;11150;1133;860;826;949;220;670;908;464;959;423;1070;363;402;577;239;789;260;38
;geldige stembiljetten;;;11051;1119;856;816;935;218;664;900;457;956;416;1060;361;399;573;239;787;257;38
;blanco stembiljetten;;;70;7;3;6;10;2;6;3;7;2;7;7;2;1;3;0;1;3;0
;ongeldige stembiljetten;;;25;5;1;4;3;0;0;5;0;0;0;3;0;2;1;0;1;0;0
;aangetroffen stembiljetten;;;11146;1131;860;826;948;220;670;908;464;958;423;1070;363;402;577;239;789;260;38
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;4;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;W70 Nuenen Gerwen Nederwetten Eeneind;;;3134;377;240;282;219;55;168;248;126;238;113;360;106;98;155;58;217;60;14
;;1;Stultiens, R.M.M.;929;100;67;75;72;15;45;84;33;71;31;106;33;33;46;25;68;20;5
;;2;Geven, J.F.A.M.;362;47;17;30;29;6;23;25;21;42;8;37;11;10;15;6;23;9;3
;;3;Beerens, K.;399;43;29;40;30;12;20;25;5;22;7;52;20;21;27;6;31;8;1
;;4;Vereijken, J.F.A.;203;24;20;42;9;2;7;24;2;8;1;16;6;0;20;2;15;4;1
;;5;Post, E.M.;126;18;4;8;9;3;5;13;3;5;12;23;6;1;6;3;7;0;0
;;6;van Hooff, H.M.C.;43;3;2;3;3;1;8;3;0;9;0;4;0;0;1;0;3;2;1
;;7;Koenen, L.B.J.;18;1;1;1;1;1;2;0;0;1;6;1;0;1;0;1;1;0;0
;;8;Swinkels, P.B.K.M.;91;12;26;3;6;1;5;7;1;1;3;7;2;2;5;2;8;0;0
;;9;Huijbers, R.H.J.G.;111;6;9;2;5;1;4;3;35;18;4;8;5;6;1;0;2;1;1
;;10;Hekker, G.;56;3;2;2;3;1;3;4;0;5;15;6;0;2;1;3;6;0;0
;;11;van Kuijk, M.H.I.J.;67;4;7;1;4;0;10;11;2;4;6;8;2;2;2;1;2;1;0
;;12;Voorjans, W.A.P.;36;7;2;1;4;0;2;0;0;6;2;9;0;1;1;0;1;0;0
;;13;Cannavacciuolo, C.;30;8;4;2;0;0;1;1;2;0;1;5;4;0;0;0;0;2;0
;;14;Boons, P.P.A.;39;3;8;2;3;1;3;2;0;6;0;2;2;1;3;0;2;1;0
;;15;van Mourik, M.A.;34;0;11;0;0;0;3;1;0;4;1;1;0;8;5;0;0;0;0
;;16;Braeken, I.F.G.;15;1;2;0;0;0;2;5;0;0;0;1;1;0;0;1;1;1;0
;;17;van de Wiel, J.M.L.;12;2;0;0;1;0;0;3;0;1;0;3;0;2;0;0;0;0;0
;;18;Kuipers, C.J.N.;26;5;1;6;0;0;0;0;0;1;0;4;1;1;1;0;5;0;1
;;19;van Megen, J.;38;9;1;6;3;2;0;4;0;1;4;5;0;0;3;0;0;0;0
;;20;Mennen, A.E.I.;34;3;1;5;6;1;4;1;2;0;0;8;0;0;0;0;0;3;0
;;21;Dielissen, L.P.C.;18;4;1;2;2;0;1;0;0;1;0;6;0;0;1;0;0;0;0
;;22;Schepers, M.M.C.;15;1;0;1;0;0;1;2;2;7;1;0;0;0;0;0;0;0;0
;;23;van der Heijden, R.A.P.M.;4;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;24;van de Roer, W.T.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;25;Gomaa, K.G.S.;5;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
;;26;van Berkel, C.G.M.F.;20;2;1;1;4;1;3;0;1;3;1;0;2;0;1;0;0;0;0
;;27;van der Heijden, D.J.N.;66;15;1;12;6;0;1;2;3;0;1;9;2;1;1;2;9;1;0
;;28;van Moorsel, M.E.;48;11;3;7;3;0;2;5;0;4;1;7;2;0;0;0;2;0;1
;;29;Stegeman, J.J.;10;0;1;1;1;0;1;1;0;2;1;1;0;1;0;0;0;0;0
;;30;Jansen, M.W.C.;11;0;3;0;0;0;0;1;0;1;0;2;0;0;1;0;3;0;0
;;31;Bouhuijs, M.A.;12;3;0;0;1;0;1;2;0;1;0;1;0;0;0;1;2;0;0
;;32;Goedemans, S.A.;11;3;0;3;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0
;;33;Wouters, N.J.H.;8;0;0;0;0;2;1;2;1;0;2;0;0;0;0;0;0;0;0
;;34;van de Ven, A.A.W.;13;1;0;5;1;2;2;0;1;0;0;0;0;0;1;0;0;0;0
;;35;Dickhoff, T.A.W.R.;8;2;0;0;1;0;0;0;1;0;0;2;0;0;0;0;1;1;0
;;36;Thonglor, S.;9;3;0;0;0;0;1;0;2;2;0;1;0;0;0;0;0;0;0
;;37;van den Heuvel, L.T.M.;17;0;0;3;4;0;1;5;0;0;0;1;0;1;2;0;0;0;0
;;38;van der Maazen, N.J.D.;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
;;39;van der Meijden, H.M.A.J.;42;2;1;10;1;0;0;0;0;2;0;13;1;0;3;2;7;0;0
;;40;Suiker, H.M.;12;2;0;0;1;1;2;0;1;2;0;1;1;0;0;0;1;0;0
;;41;Korteweg, K.J.;5;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;42;van de Kerkhof, W.A.C.;5;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0
;;43;van Happen, P.H.J.;15;4;0;1;2;0;2;0;0;0;0;0;0;1;4;1;0;0;0
;;44;Snellen, W.A.J.G.;6;0;0;2;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0
;;45;van Wijk, P.J.;13;4;1;0;0;0;0;1;0;1;1;3;0;0;0;0;2;0;0
;;46;Schijven, G.;20;6;0;3;2;0;1;3;0;0;0;1;0;0;3;0;1;0;0
;;47;Merks, H.A.S.A.;7;0;0;0;0;0;0;3;0;3;0;0;0;0;0;1;0;0;0
;;48;Molenaar, C.M.;13;1;7;0;0;1;0;2;0;0;0;1;0;0;0;0;1;0;0
;;49;Kuijten, J.E.B.M.;17;4;2;1;1;0;1;0;2;0;0;0;0;0;1;0;5;0;0
;;50;Jansen, M.P.J.;27;4;2;0;0;0;0;0;3;4;1;1;1;3;0;1;3;4;0
2;GROENLINKS/Partij van de Arbeid;;;2409;238;197;156;202;49;189;256;97;125;81;192;63;125;142;50;198;41;8
;;1;Wesenbeek, J.G.I.M.;1071;104;90;70;82;19;85;139;26;47;39;90;27;34;71;25;96;22;5
;;2;Spijkerman, M.M.M.E.;114;13;8;11;12;2;13;9;1;2;2;9;4;3;11;0;11;3;0
;;3;Thomassen, R.;40;4;4;1;5;1;4;3;0;4;0;4;1;0;4;1;4;0;0
;;4;Kranen, H.J.M.;68;14;2;3;6;3;5;7;0;2;0;4;0;3;7;0;11;1;0
