Verkiezing;;Gemeenteraad Goirle 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Goirle;;;;;;;;;;;;;;;;;;;;
Nummer;;0785;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentehuis;Gemeentehuis;Ontmoetingscentrum De Leybron;Ontmoetingscentrum De Leybron;Ontmoetingscentrum De Leybron;Sporthal De Haspel;Sporthal De Wissel;Sporthal Frankenhal;Bibliotheek Goirle;Mill-Hill College;Basisschool 't Schrijverke;Basisschool De Vonder;Wijkcentrum De Deel;Wijkcentrum De Wildacker;Basisschool de Kleine Akkers;Zorgcentrum Elizabeth/Guldenakker;Mainframe
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;5051 LT;5051 LT;5051 LT;5133 AM;5133 AM;5133 AM;5051 KR;5051 NZ;5052 BL;5051 RD;5051 BP;5051 ML;5133 BC;5052 BL;5051 ST;5051 CR;5051 HC;5051 RG
;;12;de Brouwer, F.A.H.;12;2;2;2;0;0;0;2;0;0;0;0;1;0;0;1;1;0;1
;;13;de Groot, S.A.;9;2;0;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;14;van Olphen, W.;12;0;1;2;0;0;0;0;0;2;1;3;0;0;0;0;3;0;0
;;15;de Groot-Haen, M.C.A.;15;2;2;0;0;0;0;2;0;2;1;3;2;0;0;1;0;0;0
;;16;Sperber, J.J.W.M.;16;1;6;4;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0
3;Pro Actief Goirle;;;1319;96;133;153;8;14;15;107;64;151;86;44;146;16;67;78;113;9;19
;;1;van der Velden, H.F.J.M.;443;35;48;43;1;3;1;27;24;45;32;11;61;6;26;33;33;5;9
;;2;Dejonckheere, H.J.E.;70;4;10;14;1;2;1;3;4;7;3;1;8;0;3;2;5;0;2
;;3;Straathof, J.A.;52;4;6;7;0;0;0;9;3;5;4;2;4;0;2;1;4;0;1
;;4;van Elsacker, A.J.M.;160;7;21;12;3;1;3;31;4;23;9;4;10;1;5;14;10;0;2
;;5;van Neerven, C.A.M.;262;18;15;37;3;2;7;14;12;36;22;19;24;2;17;9;23;1;1
;;6;Gabriëls, H.A.J.M.;28;2;2;6;0;0;0;4;5;0;1;0;6;0;0;1;1;0;0
;;7;Staats, J.;19;2;1;2;0;0;0;3;0;1;2;1;5;0;0;0;2;0;0
;;8;Snels, T.J.M.;42;5;10;2;0;2;3;2;0;1;2;1;5;0;1;3;4;1;0
;;9;Hijl, G.M.G.P.;39;2;3;9;0;0;0;3;0;5;2;0;3;0;0;5;7;0;0
;;10;den Ouden, W.A.M.;12;2;1;0;0;0;0;0;2;1;0;0;1;4;1;0;0;0;0
;;11;Bogers, A.M.;17;0;1;3;0;0;0;3;0;2;2;0;1;0;0;2;3;0;0
;;12;van Boxtel, H.H.J.;64;8;6;8;0;0;0;4;2;6;2;2;9;1;3;2;7;1;3
;;13;van Erck, J.;24;0;2;3;0;1;0;0;4;6;1;0;2;1;2;2;0;0;0
;;14;Schutte, A.L.S.;5;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1
;;15;Hendriks, T.P.H.;10;3;2;2;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
;;16;van der Kuijlen, W.J.F.;15;2;0;0;0;2;0;1;2;3;0;0;0;0;1;0;4;0;0
;;17;Broekhuijsen, C.M.;7;1;0;0;0;1;0;0;1;0;0;2;0;0;1;0;1;0;0
;;18;van Oosterwijk, M.C.J.P.;50;1;5;5;0;0;0;3;1;7;2;1;6;1;5;4;8;1;0
4;VVD;;;1093;99;101;123;5;8;19;97;91;77;54;78;195;22;33;25;50;6;10
;;1;van Beurden, A.P.;608;55;51;73;3;5;16;67;43;49;21;38;116;8;16;7;31;4;5
;;2;Verschuuren, N.P.J.M.;88;11;12;6;0;1;1;5;3;9;4;9;15;2;2;0;5;1;2
;;3;Franken, D.J.W.A.;64;12;2;7;0;0;0;2;4;2;5;7;17;2;2;1;0;0;1
;;4;van Dijk, P.J.L.;27;1;0;6;0;0;0;0;5;2;0;1;2;0;0;9;1;0;0
;;5;Vissers-van Herpen, T.A.;102;7;9;10;1;2;0;6;8;6;9;12;15;5;6;1;5;0;0
;;6;Appels, J.C.M.;31;1;1;4;0;0;0;1;2;1;2;4;11;1;1;0;2;0;0
;;7;El- Mouniri, A.;39;3;6;4;0;0;0;5;6;1;3;0;3;1;0;6;0;1;0
;;8;van Brederode, F.M.J.;22;2;3;4;0;0;0;4;2;0;1;1;3;1;1;0;0;0;0
;;9;van de Maat, I.T.M.;15;0;2;1;0;0;0;1;4;1;1;3;1;0;1;0;0;0;0
;;10;Tromp, J.M.;13;0;2;0;0;0;0;0;3;2;2;0;1;0;2;0;0;0;1
;;11;van Brederode-Aarts, M.J.A.M.;10;0;0;1;0;0;1;2;2;1;0;1;1;1;0;0;0;0;0
;;12;Driessen, B.H.B.F.;16;0;1;3;0;0;0;1;1;0;1;0;3;1;1;0;4;0;0
;;13;van Zunderd, P.J.;13;2;1;0;1;0;0;1;1;0;1;0;4;0;0;0;2;0;0
;;14;Swaans, J.A.P.M.;23;1;7;3;0;0;1;1;2;3;3;2;0;0;0;0;0;0;0
;;15;van der Heijden, T.;22;4;4;1;0;0;0;1;5;0;1;0;3;0;1;1;0;0;1
5;D66;;;1053;64;111;120;8;17;37;91;76;123;57;68;94;40;45;31;58;6;7
;;1;Verheijen, P.W.M.;427;19;50;57;4;7;11;33;32;53;22;23;38;15;17;14;24;5;3
;;2;van den Hout, J.C.;422;27;43;48;1;7;17;42;32;51;20;27;40;10;18;8;26;1;4
;;3;Meijers, M.A.H.A.;40;3;1;3;1;3;6;5;2;2;2;2;2;5;1;2;0;0;0
