Verkiezing;;Gemeenteraad Halderberge 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Halderberge;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1655;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Fidei et Arti;Gemeentehuis Woensdag;Gemeentewerf woensdag;Sporthal de Beuk;Basisschool de Klinkert;Sportkantine de Parrestee;Het Kompas;Zaal Hart van Gastel;Voetbalkantine Oud Gastel;Het Veerhuis woensdag;Voetbalkantine Stampersgat woensdag;Basisschool het Bossche Hart woensdag;Sint Jan de Doper kerk Woensdag;Gemeentehuis maandag;Gemeentewerf maandag;Het Veerhuis maandag;Sint Jan de Doper kerk maandag;Basisschool het Bossche Hart maandag;Voetbalkantine Stampersgat maandag;Gemeentehuis dinsdag;Gemeentewerf dinsdag;Het Veerhuis dinsdag;Sint Jan de Doper kerk dinsdag;Basisschool het Bossche Hart dinsdag;Voetbalkantine Stampersgat dinsdag
;;15;Maes, A.A.J.;14;0;0;0;0;0;7;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Brugel, A.M.M.;8;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0
;;17;Wijnen-van den Berg, K.A.P.M.;15;0;0;2;0;1;0;4;1;0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
;;18;van Ineveld, P.C.;7;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Cremers-van Oosterhout, N.M.C.;48;10;7;4;7;9;0;0;1;0;0;0;1;1;2;0;0;0;0;0;5;0;0;0;1;0
;;20;van Beek, O.;12;0;2;2;0;1;0;4;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Broeren, M.W.J.;6;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0
;;22;van Peer, J.M.A.;16;2;3;1;2;4;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;23;Bons, P.J.;8;3;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0
;;24;de Bruijn, A.;4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;25;Daas, W.E.;14;0;1;0;4;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0
;;26;Pertijs, J.D.;32;0;1;0;0;1;1;0;0;1;0;0;13;2;0;0;0;1;2;0;1;0;1;0;8;0
