Verkiezing;;Gemeenteraad 's-Hertogenbosch 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente 's-Hertogenbosch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskantoor;Stembureau Groot Tuighuis;Stembureau Orangerie (A);Stembureau Orangerie (B);Stembureau Stadsklooster San Damiano;Stembureau Willem Twee Poppodium;Stembureau Tijdelijke Unit Centraal Station;Stembureau Tijdelijke Unit Centraal Station (maandag);Stembureau Tijdelijke Unit Centraal Station (dinsdag);Stembureau Mobiel stembureau (beperkt open);Stembureau Mobiel Stembureau (beperkt open);Stembureau Mobiel Stembureau (beperkt open);Stembureau Stadskantoor (maandag;Stembureau Stadskantoor (dinsdag);Stembureau Scouting Lucas;Stembureau Lucaskerk;Stembureau Sportzaal Weberstraat;Stembureau Provinciehuis;Stembureau Wijkcentrum de Stolp;Stembureau Sportzaal Rijnstraat (A);Stembureau Sportzaal Rijnstraat (B);Stembureau Verzamelgebouw Seringenstraat;Stembureau Buurthuis Graafsewijk Noord;Stembureau Kindcentrum Het IJzeren Kind;Stembureau SCC De Biechten (A);Stembureau SCC De Biechten (B);Stembureau Sportzaal Rijnstraat;Stembureau Sportzaal Rijnstraat;Stembureau Herstelacademie De Stijl;Stembureau Trefpunt De Slinger;Stembureau Kantoorpand achter Brandweerkazerne;Stembureau Koning Willem I College / Vlijmenseweg;Stembureau Koning Willem I College / Onderwijsboulevard;Stembureau Stichting De Westhoek;Stembureau 't Buurthuis;Stembureau RK Annakerk;Stembureau Sporthal de Schutskamp (A);Stembureau Sporthal de Schutskamp (B);Stembureau Sporthal de Schutskamp (A maandag);Stembureau Sporthal de Schutskamp (A dinsdag);Stembureau Sportzaal Churchilllaan;Stembureau Gereformeerde Kerk 's-Hertogenbosch;Stembureau Weener XL;Stembureau Nico Schuurmanshuis;Stembureau D'n Boerderij restaurant;Stembureau Clubhuis Voetbalvereniging TGG;Stembureau BBS Haren-Donk-Reit;Stembureau Gymzaal Eekbrouwersweg (A);Stembureau Gymzaal Eekbrouwersweg (B);Stembureau Gymzaal Eekbrouwersweg (A maandag);Stembureau Gymzaal Eekbrouwersweg (A dinsdag);Stembureau Brede Bossche School De Hambaken;Stembureau Buurtcentrum Noorderpoort Samen Doen;Stembureau Steunpunt Epigoon;Stembureau Sporthal Maaspoort (A);Stembureau Sporthal Maaspoort (B);Stembureau Sporthal Sociaal Cultureel Centrum De Schans A;Stembureau Sporthal Sociaal Cultureel Centrum De Schans B;Stembureau Gymzaal Meanderschool (A);Stembureau Gymzaal Meanderschool (B);Stembureau Kindcentrum Sterrenbosch;Stembureau Sporthal Sociaal Cultureel Centrum De Schans (MA);Stembureau Sporthal Sociaal Cultureel Centrum De Schans (DI);Stembureau Sportzaal Meerwijkweg (A);Stembureau Sportzaal Meerwijkweg (B);Stembureau Sportzaal Meerwijkweg (A maandag);Stembureau Sportzaal Meerwijkweg (A dinsdag);Stembureau Sportzaal Engelerhout (A);Stembureau Sportzaal Engelerhout (B);Stembureau Sportzaal Engelerhout (A maandag);Stembureau Sportzaal Engelerhout (A dinsdag);Stembureau Steunpunt Van Meeuwenhof;Stembureau Sociaal Cultureel Centrum Perron-3;Stembureau Basisschool De Krommenhoek;Stembureau Sportzaal Overlaet (A);Stembureau Sportzaal Overlaet (B);Stembureau Sportzaal Overlaet (A maandag);Stembureau Sportzaal Overlaet (A dinsdag);Stembureau HEVO Seniorenvereniging;Stembureau Oude Basisschool Kruisstraat;Stembureau Buro3o;Stembureau Sporthal de Hazelaar (A);Stembureau Sporthal de Hazelaar (B);Stembureau Sporthal de Hazelaar (A maandag);Stembureau Sporthal de Hazelaar (A dinsdag);Stembureau H. Laurentiuskerk;Stembureau De Vrolijke Schutters;Stembureau Wijkcentrum Windkracht 5 (A);Stembureau Wijkcentrum Windkracht 5 (B);Stembureau Wijkcentrum Windkracht 5 (A maandag);Stembureau Wijkcentrum Windkracht 5 (A dinsdag);Stembureau Hof Eyghentijds;Stembureau Postduivenvereniging de Zwaluw;Stembureau De Hazenkamp;Stembureau Gemeenschapshuis De Meent (A);Stembureau Gemeenschapshuis De Meent (B);Stembureau Gemeenschapshuis de Meent (maandag);Stembureau Gemeenschapshuis De Meent (dinsdag);Stembureau Gemeenschapshuis 't Zijl;Stembureau Gemeenschapshuis 't Zijl  (maandag);Stembureau Gemeenschapshuis 't Zijl (dinsdag)
Gebiednummer;;;;;101;102;103;104;109;110;111;112;113;114;115;116;117;118;150;151;152;153;200;201;202;207;208;209;210;211;212;213;250;251;252;300;301;302;303;304;305;306;307;309;311;312;350;351;352;353;354;355;356;357;359;361;362;401;402;403;408;409;410;411;416;417;418;450;451;452;454;500;501;502;504;550;551;552;553;554;555;557;559;560;600;601;602;603;605;607;608;650;651;652;654;656;657;700;701;702;703;705;750;751;752
Postcode;;;;;5211 HH;5211 LJ;5211 NH;5211 NH;5211 CA;5211 VD;5211 AP;5211 AP;5211 AP;;;;5211 HH;5211 HH;5216 JJ;5216 HB;5216 EX;5216 TV;5215 EJ;5215 EJ;5215 EJ;5213 GS;5213 BB;5246 GB;5246 GA;5246 GA;5215 EJ;5215 EJ;5212 TW;5212 RE;5212 VN;5223 DE;5223 DE;5223 CZ;5223 XM;5223 HJ;5223 KG;5223 KG;5223 KG;5223 KG;5224 BT;5224 HN;5231 VL;5231 PT;5232 NJ;5233 XR;5233 HG;5233 VG;5233 VG;5233 VG;5233 VG;5231 BV;5231 BV;5235 GP;5235 AA;5235 AA;5237 DE;5237 DE;5237 NS;5237 NS;5235 CG;5237 DE;5237 DE;5236 BM;5236 BM;5236 BM;5236 BM;5221 AM;5221 AM;5221 AM;5221 AM;5241 GL;5243 SR;5243 WC;5241 KB;5241 KB;5241 KB;5241 KB;5241 XV;5249 RD;5248 AP;5244 GD;5244 GD;5244 GD;5244 GD;5242 HT;5242 CR;5247 JT;5247 JT;5247 JT;5247 JT;5245 NB;5245 NE;5391 AB;5391 AR;5391 AR;5391 AR;5391 AR;5382 KE;5382 KE;5283 KE
;opgeroepenen;;;126723;1606;1383;2441;3960;1063;1475;0;0;0;0;0;0;0;0;1186;1916;1586;1272;1608;2683;0;2141;4528;2541;2282;0;0;0;2308;2380;1141;1573;2008;2679;1368;1574;2915;3281;0;0;1513;1709;859;1289;945;1204;1307;2874;3843;0;0;1219;1337;1771;929;1535;1228;1634;2350;3226;1389;0;0;1544;3507;0;0;2174;2315;0;0;1624;1214;1133;2356;2033;0;0;1265;1282;1082;2602;0;0;0;1620;1654;2328;981;0;0;1785;1322;1311;977;1234;0;0;2321;0;0
;geldige stempas;;;54995;1182;549;629;692;796;470;1722;682;1002;107;79;109;587;860;578;1004;481;473;862;142;139;633;671;719;681;526;394;501;838;1397;246;595;313;610;381;472;472;423;463;577;596;418;262;638;961;314;710;319;343;421;531;425;254;563;255;229;676;775;685;611;442;649;890;746;693;271;455;725;695;374;489;491;872;493;328;313;347;396;965;260;606;401;386;577;685;1125;413;706;622;395;469;526;642;224;361;428;237;359;552;151;193
;geldig volmachtbewijs;;;6220;109;33;48;42;74;35;117;43;66;3;2;10;68;91;56;102;47;62;100;14;14;85;79;93;69;59;31;47;93;143;29;61;33;48;54;62;61;55;51;84;84;46;42;51;109;41;95;47;40;37;52;55;39;52;23;23;73;91;83;74;39;66;87;99;101;32;48;104;112;36;62;63;89;61;41;39;33;45;118;29;84;50;54;79;83;146;57;91;90;42;53;82;103;31;56;52;32;40;113;19;29
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;61215;1291;582;677;734;870;505;1839;725;1068;110;81;119;655;951;634;1106;528;535;962;156;153;718;750;812;750;585;425;548;931;1540;275;656;346;658;435;534;533;478;514;661;680;464;304;689;1070;355;805;366;383;458;583;480;293;615;278;252;749;866;768;685;481;715;977;845;794;303;503;829;807;410;551;554;961;554;369;352;380;441;1083;289;690;451;440;656;768;1271;470;797;712;437;522;608;745;255;417;480;269;399;665;170;222
;geldige stembiljetten;;;60971;1286;578;672;734;865;503;1823;720;1064;109;80;119;654;943;632;1099;526;530;953;156;152;713;747;809;750;585;424;547;926;1534;273;652;344;652;432;532;530;475;512;654;678;460;301;687;1066;353;797;362;383;456;582;477;290;613;275;251;750;863;766;683;479;713;974;844;793;303;502;827;805;408;549;552;956;554;367;352;378;441;1082;287;689;450;440;652;766;1269;469;795;712;437;521;606;744;255;417;480;268;398;663;170;222
;blanco stembiljetten;;;125;3;1;0;2;4;2;11;4;1;0;0;0;0;3;2;3;2;3;2;0;0;2;0;3;0;1;1;1;5;5;0;1;2;2;3;0;3;2;0;0;0;1;2;2;3;0;0;2;0;1;1;3;2;0;1;1;0;1;2;2;1;1;2;1;0;0;0;3;1;2;0;1;2;0;2;0;0;1;0;0;1;1;0;2;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0
;ongeldige stembiljetten;;;114;2;2;1;2;1;0;5;1;3;1;0;0;1;5;0;2;0;3;8;0;1;3;3;0;0;0;0;1;1;3;0;0;0;5;0;2;0;1;1;7;2;3;1;0;1;1;8;2;0;0;0;1;1;0;2;0;0;2;0;0;1;1;1;0;1;0;1;0;1;0;2;1;3;0;0;0;1;0;1;0;0;0;0;1;1;2;1;2;0;0;1;0;0;0;0;0;0;1;2;0;0
