Verkiezing;;Gemeenteraad Heeze-Leende 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heeze-Leende;;;;;;;;;;;;;;;;
Nummer;;1658;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis 't Perron;Handboogsportvereniging Rozen van Oranje;Gemeentehuis;Gymzaal Engelse Tuin;Heemkundekring de Heerlijkheid HLZ;Basisschool De Trumakkers;Dorpshuis de Schammert;Basisschool Sint Jan;'t Brouwershuis;Dorpshuis Valentijn;Gemeentehuis Maandag;Gemeentehuis Dinsdag;Dorpshuis de Schammert Maandag;Dorpshuis de Schammert Dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;314;315;714;715
Postcode;;;;;5591 HM;5591 GH;5591 HS;5591 BP;5591 NE;5591 NG;5595 CD;5595 GN;5595 XC;6029 RJ;5591 HS;5591 HS;5595 CD;5595 CD
3;VVD;;;989;68;86;123;115;60;83;85;36;34;66;95;95;23;20
;;1;Cuijten, J.H.M;602;41;56;90;72;32;44;48;19;22;36;54;63;11;14
;;2;ten Hout, M.L;113;4;12;8;15;8;10;9;6;2;13;7;13;6;0
;;3;Vos, R.L.C.;16;0;0;1;4;1;0;0;1;2;5;0;2;0;0
;;4;Groenewoud, R;47;2;1;6;6;3;7;4;1;2;0;10;4;1;0
;;5;Cuijpers, F.J.P.M;18;0;4;1;6;1;1;0;1;0;0;3;0;1;0
;;6;van Grunsven-te Dorsthorst, A.J.H.;32;0;1;2;5;4;6;3;0;2;1;6;2;0;0
;;7;Schmitz, J.H.W.M.;9;6;0;0;0;1;1;0;0;0;0;1;0;0;0
;;8;Cuijpers-Custers, C.H.A.M;6;2;0;0;0;0;0;0;0;0;1;3;0;0;0
;;9;Thewissen, E;9;1;3;1;0;0;1;0;0;0;0;1;2;0;0
;;10;Baijens, M.J.F.;31;0;1;0;0;0;0;12;4;4;3;1;0;3;3
;;11;Verschuuren-Kalkers, C.P.E.;27;1;2;8;4;2;2;0;0;0;3;3;1;0;1
;;12;Schepers, N.A.M.;17;2;2;2;2;0;1;0;0;0;3;0;4;0;1
;;13;van der Vorst, J.W.A.;26;7;2;2;0;0;8;0;2;0;0;2;3;0;0
;;14;van Gelder, C.F.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Benthem-Abbink, D.J.;13;0;2;0;0;0;0;7;2;0;0;0;0;1;1
;;16;Veendrick, M.J.A.;7;0;0;1;0;3;1;0;0;0;0;1;1;0;0
;;17;van den Heuvel, J.P.A.M.;15;1;0;1;1;5;1;2;0;0;1;3;0;0;0
4;Partij voor Oud en Jong (PvOJ);;;774;38;18;18;33;26;30;219;48;71;31;21;31;99;91
;;1;Maas, F.M.P.;291;24;10;11;9;13;8;62;18;25;13;9;16;46;27
;;2;den Dulk, H.;23;1;3;3;6;2;3;0;0;0;0;2;2;1;0
;;3;Verbeek, R.A.;70;0;0;0;0;0;0;30;4;6;3;0;0;10;17
;;4;Geurts, G.J.M.M.;115;0;1;0;0;2;0;58;9;18;1;1;0;19;6
;;5;Beks, M.P.J.H.;133;5;1;2;10;2;4;46;12;8;1;3;4;7;28
;;6;Schonenburg, A.A.A.;9;0;2;1;0;2;2;0;0;0;1;0;1;0;0
;;7;van Velthoven, J.F.J.;43;0;0;0;0;0;3;13;2;5;0;0;0;13;7
;;8;Looijmans, L.T.H.;27;6;1;0;0;5;8;0;0;0;0;4;3;0;0
;;9;Verberne, F.A.;14;0;0;0;1;0;0;5;1;6;0;0;1;0;0
;;10;van der Heijden, M.;6;2;0;0;0;0;0;0;0;0;0;1;3;0;0
;;11;van Elderen, P.C.J.W.;11;0;0;0;0;0;0;3;1;2;0;0;0;2;3
;;12;Beks, F.P.H.;7;0;0;1;0;0;2;0;1;1;0;0;0;0;2
;;13;van Weert, F.M.;17;0;0;0;0;0;0;2;0;0;12;0;1;1;1
;;14;Pessers, R.H.T.M.;8;0;0;0;7;0;0;0;0;0;0;1;0;0;0
5;Algemeen belang Heeze-Leende (AbHL);;;1312;143;79;126;159;116;136;96;30;36;135;79;126;16;35
;;1;Scheepers, H.J.A.;526;78;34;67;88;61;47;21;4;8;22;31;60;1;4
