Verkiezing;;Gemeenteraad Someren 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Someren;;;;;;;;;;;;;;;;;
Nummer;;0847;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zalencentrum Centraal;De Ruchte;De Ruchte (2);De Weijers;De Weijers (2);De Bunt;De Vurherd;De Einder;De Einder (2);Basisschool De Ranonkel;Sonnehove (bijz. stemb.);De Ruchte (14-03-2022);De Einder (14-03-2022);De Ruchte (15-03-2022);De Einder (15-03-2022)
;;5;Zegwaard - van der Kooij, E.;134;25;13;18;8;13;1;4;5;3;10;2;15;0;17;0
;;6;Driessen, H.M.G.;82;4;6;6;11;4;4;4;5;8;2;0;8;5;10;5
;;7;Sleegers - Relou, A.T.W.;21;3;4;1;6;2;0;1;1;0;1;0;0;0;2;0
;;8;Krosenbrink, R.J.J.;50;10;6;3;3;2;0;0;0;0;10;0;4;0;10;2
;;9;Kurek, S.;10;1;1;1;0;0;0;1;0;0;1;0;1;0;4;0
;;10;Bloemers, M.G.G.;16;0;1;0;4;3;0;0;2;3;0;1;0;0;2;0
;;11;van de Laar, W.L.;77;13;9;5;4;5;0;0;2;0;21;0;6;0;11;1
;;12;van Bussel, M.H.P.B.;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
;;13;Linskens, C.A.M.;4;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0
;;14;van de Ven, J.F.P.;20;2;2;2;1;0;0;1;0;0;5;0;2;0;5;0
;;15;Heijblom - Coolen, P.J.G.M.;18;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0
;;16;Bennenbroek, R.A.J.;34;4;10;4;1;2;0;0;0;0;4;0;1;0;8;0
;;17;Nagel - Maas, A.T.W.;12;2;2;0;0;0;0;1;0;0;1;0;2;0;4;0
;;18;van Diepen, L.P.J.M.;22;3;5;2;0;2;0;1;2;1;3;0;0;0;2;1
;;19;van Otterdijk, S.C.P.J.;8;0;2;0;0;0;1;0;0;1;2;0;0;0;0;2
;;20;Hoeben, E.A.F.;18;2;0;1;1;1;0;0;4;3;0;0;2;0;0;4
;;21;van den Heuvel, L.J.W.;58;10;14;9;0;2;1;0;0;0;11;0;2;0;9;0
;;22;Bazen, R.;13;0;3;3;2;2;0;0;0;0;3;0;0;0;0;0
;;23;Raijmakers, M.W.E.;43;9;7;7;4;0;0;0;2;1;4;0;3;0;6;0
;;24;van den Boomen - van der Vleuten, M.G.;21;2;0;1;1;2;0;2;0;0;8;0;0;0;5;0
;;25;van Iersel, A.J.M.;6;0;0;1;1;0;0;0;2;0;0;0;0;0;2;0
;;26;Tielen, A.C.;73;3;3;9;10;10;3;4;1;0;4;0;13;4;7;2
;;27;van Eijk, J.P.;25;4;3;3;1;3;0;0;0;0;1;1;6;0;2;1
;;28;Leenders, S.J.H.;9;3;1;1;0;0;2;1;1;0;0;0;0;0;0;0
;;29;Swinkels, J.L.G.;9;0;2;0;4;2;0;0;0;0;0;0;1;0;0;0
;;30;Hanssen, W.L.G.;7;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0
;;31;Leenders, J.H.M.M.;9;0;2;1;1;0;0;0;1;0;2;0;1;0;1;0
;;32;Kuijpers, T.E.M.;10;0;4;2;1;2;0;0;0;0;0;0;0;0;1;0
;;33;Swinkels, H.G.;11;2;1;0;2;1;0;0;0;0;3;0;0;0;2;0
;;34;Engelen, P.M.;7;2;2;0;1;1;0;0;0;0;0;0;1;0;0;0
;;35;van Seggelen, A.J.;17;7;1;1;1;1;0;0;0;0;0;2;1;0;3;0
;;36;van Hoof, P.J.E.M.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;van den Boogaert, P.F.;6;1;0;3;0;1;0;0;0;0;1;0;0;0;0;0
;;38;van Eijk, A.D.;11;1;0;2;1;1;0;0;2;2;1;0;0;0;1;0
;;39;van Horrik, M.J.;9;0;3;3;0;0;0;1;0;0;0;0;0;0;2;0
;;40;Reinders, H.G.;7;3;0;0;0;0;0;0;0;0;2;0;0;0;2;0
;;41;Verhees, W.A.J.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;42;Hikspoors - Karis, E.H.;5;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0
;;43;Zegwaard, J.;9;0;1;1;0;1;0;0;0;0;2;0;1;0;3;0
;;44;Welten, H.P.M.;5;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0
;;45;Bennenbroek, A.H.;11;0;3;2;0;0;0;0;0;0;1;1;2;0;2;0
;;46;Kuijpers - van der Weerden, M.H.H.C.;10;0;2;0;0;2;0;0;0;0;0;0;0;0;6;0
;;47;van den Boomen, B.M.C.;3;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
;;48;Bakermans, J.J.L.;7;1;0;0;0;3;0;0;0;0;3;0;0;0;0;0
;;49;Meijer, M.G.J.;9;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0
;;50;Jeuken, M.A.J.;33;5;2;6;1;3;0;0;0;0;4;0;1;0;11;0
3;Wij Zijn Someren / VVD;;;1516;191;126;105;104;70;54;372;38;11;164;5;88;15;158;15
;;1;Klessens, J.M.T.J.;461;74;47;42;35;22;20;39;18;3;46;2;42;6;60;5
;;2;Kusters, K.W.H.M.;185;4;3;2;4;2;0;159;0;0;7;0;3;0;1;0
;;3;van Doorn - Peerlings, A.M.;100;9;11;5;10;5;4;2;7;4;10;0;7;3;16;7
;;4;van der Kuijlen, F.P.A.W.;31;5;5;7;1;1;2;0;0;0;0;0;4;0;6;0
;;5;Sanders, M.G.T.L.;17;3;3;1;2;3;0;1;0;0;0;0;3;0;1;0
;;6;Claassen, G.J.S.;47;4;1;1;1;0;0;31;1;0;5;1;0;1;0;1
;;7;van de Moosdijk, L.J.M.;58;14;5;10;2;3;6;7;4;1;1;0;0;0;5;0
;;8;van Horrik - Sonnemans, S.M.J.;55;17;7;6;3;1;6;0;1;0;4;0;1;2;6;1
;;9;Klaus, M.A.;70;10;10;3;2;1;2;0;0;0;30;0;2;0;10;0
;;10;van den Heuvel, F.A.;71;2;0;0;0;1;1;60;0;0;4;0;1;1;1;0
;;11;Versteegh, W.J.;31;5;1;2;2;6;0;2;0;0;2;0;4;1;6;0
;;12;Winiarska, A.M.;24;3;6;2;0;3;2;0;0;0;6;0;0;0;2;0
;;13;van Otterdijk, W.S.M.;22;5;3;6;3;1;0;0;1;0;1;0;0;0;2;0
;;14;Joosten, R.;17;3;3;1;3;0;0;0;0;0;3;0;3;0;1;0
;;15;Beytur, B.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;16;Kusters, H.M.P.;17;2;1;0;0;0;0;10;0;0;3;0;0;0;1;0
