Verkiezing;;Gemeenteraad Sint-Michielsgestel 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sint-Michielsgestel;;;;;;;;;;;;;;;;;;;;;
Nummer;;0845;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Brandweerkazerne Sint-Michielsgestel;Protestantse Kerk;Party's & Meetings Absoluut;De Meander (Gemeentehuis);Voetbalclub SCG'18;Sporthal Theereheide;Café Zaal de Schuif;Boer Goossens;Sportclub Den Dungen;Litserborg;Brandweerkazerne Berlicum;Basisschool Theresia;Den Durpsherd;De Moerkoal;Mobiel stembureau voor zorginstellingen;De Meander (Gemeentehuis);De Moerkoal;De Meander (Gemeentehuis);Litserborg
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;5271 SB;5271 BK;5271 AL;5271 GC;5271 NB;5271 RR;5293 AN;5275 BM;5275 HV;5275 BV;5258 BK;5258 AG;5258 KB;5258 LE;5271 BH;5271 GC;5258 LE;5271 GC;5275 BV
;;24;Spierings - van Dinther, S.J.G.M.;7;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
;;25;van Schijndel - van Gestel, J.H.J.;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;26;Megens, J.H.;9;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;27;Vriens, A.A.P.;7;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0
;;28;Vos, H.J.G.;5;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;29;van den Akker, L.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Lammers, J.A.T.M.;3;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Simons, R.P.J.M.;8;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0
;;32;Smies, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Verhees, S.A.J.;8;0;0;1;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van de Vijfeijken, S.T.A.;5;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van der Pol, M.J.R.;6;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
;;36;van den Heuvel - de Hart, M.A.J.;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;37;van den Brand, D.F.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;38;van der Pas, D.J.L.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;39;van de Westelaken, S.G.W.;12;1;0;3;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Bekkers, W.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
6;VVD;;;1080;54;17;65;69;4;89;102;33;21;55;77;126;142;58;2;44;47;52;23
;;1;van de Hulsbeek-Visser, Y.;582;22;12;22;36;0;41;10;21;10;28;64;102;86;34;1;24;31;24;14
;;2;van der Steen, J.H.L.;172;18;3;34;27;3;28;3;3;1;3;0;8;7;2;0;14;0;14;4
;;3;Vorstenbosch, J.A.F.M.;100;5;1;0;1;1;2;86;0;0;0;0;0;0;0;0;0;0;4;0
;;4;Bijsterbosch, N.F.P.;43;3;0;3;1;0;8;2;3;2;8;1;0;3;1;0;3;0;4;1
;;5;van Buuren-van der Heijden, D.J.P.J.;54;0;0;1;0;0;0;0;0;0;1;6;4;23;9;0;0;8;0;2
;;6;Kivits, A.W.P.;14;0;0;0;0;0;1;0;0;0;0;0;4;8;1;0;0;0;0;0
;;7;Meijs, J.H.N.M.;10;0;0;1;1;0;5;0;0;0;1;0;0;0;0;0;1;0;1;0
;;8;Sijsenaar, L.W.;15;0;0;0;1;0;0;0;1;1;7;0;0;1;0;0;0;0;3;1
;;9;Goossens, C.W.J.;26;0;0;0;0;0;0;0;0;0;1;1;4;8;6;0;0;6;0;0
;;10;Mars, H.;9;3;0;0;2;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0
;;11;de Baar, B.;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;12;van Kempen, A.B.M.;3;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;13;Vestjens, T.H.J.J.;12;0;0;0;0;0;0;0;2;6;3;0;0;0;0;0;0;0;0;1
;;14;van der Heijden, T.H.M.;6;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0
;;15;Nieuwenhuis, J.H.;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Heijboer-Klapwijk, S.I.S.;12;1;0;2;0;0;1;0;0;1;0;0;0;3;1;0;2;1;0;0
;;17;van de Hulsbeek, A.W.M.;7;0;0;0;0;0;1;0;0;0;0;1;1;2;1;1;0;0;0;0
;;18;van den Dungen, H.M.J.;9;0;0;2;0;0;0;0;1;0;1;1;2;0;1;0;0;0;1;0
7;D66;;;813;58;31;49;63;8;64;37;24;15;55;39;77;89;67;2;36;29;55;15
;;1;Koopmans, C.W.G.M.;274;20;8;17;25;4;27;6;13;6;27;8;25;23;15;1;13;4;25;7
;;2;Muller, D.;34;2;0;1;1;0;0;17;0;0;3;1;2;0;3;0;1;0;2;1
;;3;van Roosmalen-de Feijter, E.C.;293;14;2;10;21;2;11;5;6;9;17;27;38;57;40;0;5;20;6;3
;;4;Taks, J.B.A.A;53;5;8;5;5;0;9;0;0;0;2;0;5;1;0;0;6;0;5;2
;;5;den Ouden, M.D.;59;8;10;6;4;2;6;2;3;0;3;0;0;0;1;0;5;0;8;1
;;6;Roosen, M.M.W.M.;13;0;0;0;0;0;0;0;0;0;0;2;3;2;3;0;0;2;1;0
;;7;Bood, R.P.;11;1;1;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0
;;8;Massop, M.R.M;9;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;1;0
;;9;Versluis, M.J.;11;1;1;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0
;;10;van Doorn, V.J.M.;16;0;1;0;2;0;0;0;0;0;0;0;3;4;2;0;0;2;2;0
;;11;Quirijns, A.J.;5;0;0;0;1;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0
;;12;van Hulten, M.J.J.;15;3;0;2;2;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0
;;13;Spierings, M.J.G.;20;4;0;2;0;0;3;0;2;0;1;0;1;1;1;1;1;1;1;1
8;Blanco (van Asch, R.W.G.T.);;;286;30;13;22;26;4;6;15;10;5;20;31;15;27;25;0;13;5;15;4
;;1;van Asch, R.W.G.T.;222;18;12;22;21;3;5;13;8;4;11;23;14;19;20;0;12;3;10;4
;;2;van Hoesel, K.W.M.F;64;12;1;0;5;1;1;2;2;1;9;8;1;8;5;0;1;2;5;0
9;Podium5;;;425;44;11;59;79;11;30;18;2;2;20;12;12;28;5;4;26;5;52;5
;;1;Eijkemans-Kivits, A.A.;170;25;2;21;37;7;13;6;1;0;9;3;0;3;0;2;11;0;28;2
;;2;van Doorn, W.M.J.M;37;2;4;2;10;0;1;0;0;0;3;0;0;0;0;2;7;0;6;0
;;3;Megens-van den Brand, C.;17;0;1;1;5;0;1;1;0;1;2;0;0;2;0;0;0;0;3;0
;;4;Spierings, S.J.M.H.;46;3;0;0;0;1;0;5;0;0;2;6;8;15;4;0;0;2;0;0
;;5;van Zandbeek, A.A.;8;2;0;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;6;van den Bosch, A.A.;36;1;2;5;17;2;2;1;0;0;3;0;0;0;0;0;0;0;3;0
;;7;Blaak, J.J.;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;8;Smulders, W.C.L.;18;2;1;5;0;1;2;5;0;0;0;0;0;0;0;0;1;0;1;0
;;9;van Eindhoven, G.H.;5;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Immens-van Dooren, T.M.C.;24;0;0;7;6;0;6;0;0;0;1;0;0;1;0;0;1;0;2;0
;;11;Willems, H.A.A.M;7;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2
;;12;van Breugel, J.A.T.;22;2;0;10;1;0;1;0;0;0;0;0;0;0;0;0;3;0;4;1
;;13;van Boxtel, D.M.J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van den Boogaard, R.M.A.A.;8;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;4;0
;;15;Megens, M.A.M.;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Spierings, J.L.;20;1;1;0;0;0;1;0;1;0;0;3;4;5;1;0;0;3;0;0
